Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML
DECOY_sp|P00561|AK1H_ECOLI Bifunctional aspartokinase/homoserine dehydrogenase 1 OS=Escherichia coli (strain K12) GN=thrA PE=1 SV=2	DECOY_sp|P00561|AK1H_ECOLI Bifunctional aspartokinase/homoserine dehydrogenase 1 OS=Escherichia coli (strain K12) GN=thrA PE=1 SV=2				831861	819285	715291	841818	845529	949291
DECOY_sp|P06974|FLIM_ECOLI Flagellar motor switch protein FliM OS=Escherichia coli (strain K12) GN=fliM PE=1 SV=1	DECOY_sp|P06974|FLIM_ECOLI Flagellar motor switch protein FliM OS=Escherichia coli (strain K12) GN=fliM PE=1 SV=1				5.03305e+07	4.65938e+07	4.88813e+07	4.33068e+07	4.39252e+07	4.22709e+07
DECOY_sp|P08200|IDH_ECOLI Isocitrate dehydrogenase [NADP] OS=Escherichia coli (strain K12) GN=icd PE=1 SV=1	DECOY_sp|P08200|IDH_ECOLI Isocitrate dehydrogenase [NADP] OS=Escherichia coli (strain K12) GN=icd PE=1 SV=1				8.71015e+06	8.7891e+06	8.0518e+06	7.52888e+06	7.63339e+06	7.59892e+06
DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1	DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1				1.27552e+07	1.30167e+07	1.36425e+07	1.23918e+07	1.27172e+07	1.27288e+07
DECOY_sp|P0ADX5|YHFG_ECOLI Uncharacterized protein YhfG OS=Escherichia coli (strain K12) GN=yhfG PE=4 SV=1	DECOY_sp|P0ADX5|YHFG_ECOLI Uncharacterized protein YhfG OS=Escherichia coli (strain K12) GN=yhfG PE=4 SV=1						638871	1.40498e+06		733513
DECOY_sp|P10408|SECA_ECOLI Protein translocase subunit SecA OS=Escherichia coli (strain K12) GN=secA PE=1 SV=2	DECOY_sp|P10408|SECA_ECOLI Protein translocase subunit SecA OS=Escherichia coli (strain K12) GN=secA PE=1 SV=2				752205		546439			
DECOY_sp|P21865|KDPD_ECOLI Sensor protein KdpD OS=Escherichia coli (strain K12) GN=kdpD PE=1 SV=2	DECOY_sp|P21865|KDPD_ECOLI Sensor protein KdpD OS=Escherichia coli (strain K12) GN=kdpD PE=1 SV=2				1.30047e+06	1.32905e+06	1.00431e+06	1.42134e+06	1.43845e+06	1.56047e+06
DECOY_sp|P23839|YICC_ECOLI UPF0701 protein YicC OS=Escherichia coli (strain K12) GN=yicC PE=1 SV=2	DECOY_sp|P23839|YICC_ECOLI UPF0701 protein YicC OS=Escherichia coli (strain K12) GN=yicC PE=1 SV=2								7.41863e+06	
DECOY_sp|P24182|ACCC_ECOLI Biotin carboxylase OS=Escherichia coli (strain K12) GN=accC PE=1 SV=2	DECOY_sp|P24182|ACCC_ECOLI Biotin carboxylase OS=Escherichia coli (strain K12) GN=accC PE=1 SV=2				3.81503e+06	4.10304e+06	4.47925e+06	3.68759e+06	3.75391e+06	3.63199e+06
DECOY_sp|P31677|OTSA_ECOLI Alpha,alpha-trehalose-phosphate synthase [UDP-forming] OS=Escherichia coli (strain K12) GN=otsA PE=1 SV=3	DECOY_sp|P31677|OTSA_ECOLI Alpha,alpha-trehalose-phosphate synthase [UDP-forming] OS=Escherichia coli (strain K12) GN=otsA PE=1 SV=3				476838	575978	719801	684899	607927	604950
DECOY_sp|P52140|YFJY_ECOLI UPF0758 protein YfjY OS=Escherichia coli (strain K12) GN=yfjY PE=3 SV=1	DECOY_sp|P52140|YFJY_ECOLI UPF0758 protein YfjY OS=Escherichia coli (strain K12) GN=yfjY PE=3 SV=1				289203	219209	260821	209794	237475	178789
DECOY_sp|P54745|HRSA_ECOLI Heat-responsive suppressor HrsA OS=Escherichia coli (strain K12) GN=hrsA PE=1 SV=1	DECOY_sp|P54745|HRSA_ECOLI Heat-responsive suppressor HrsA OS=Escherichia coli (strain K12) GN=hrsA PE=1 SV=1								4.99053e+06	
DECOY_sp|P60584|CAIA_ECOLI Crotonobetainyl-CoA dehydrogenase OS=Escherichia coli (strain K12) GN=caiA PE=1 SV=1	DECOY_sp|P60584|CAIA_ECOLI Crotonobetainyl-CoA dehydrogenase OS=Escherichia coli (strain K12) GN=caiA PE=1 SV=1				2.20272e+06	3.20828e+06	2.91221e+06	3.27999e+06	3.0989e+06	3.04103e+06
DECOY_sp|P76372|WZZB_ECOLI Chain length determinant protein OS=Escherichia coli (strain K12) GN=wzzB PE=1 SV=2	DECOY_sp|P76372|WZZB_ECOLI Chain length determinant protein OS=Escherichia coli (strain K12) GN=wzzB PE=1 SV=2				3.51211e+06	3.46207e+06	3.42101e+06	3.03489e+06	3.12116e+06	2.94658e+06
DECOY_sp|P77202|DSBG_ECOLI Thiol:disulfide interchange protein DsbG OS=Escherichia coli (strain K12) GN=dsbG PE=1 SV=2	DECOY_sp|P77202|DSBG_ECOLI Thiol:disulfide interchange protein DsbG OS=Escherichia coli (strain K12) GN=dsbG PE=1 SV=2				338664	49655.4		508786	512937	523864
