Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)				1.56538e+06	6.82235e+06	6.75622e+06	1.54501e+06	1.63073e+06	6.82883e+06
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)				2.76044e+06	1.20344e+07	1.12532e+07	2.82009e+06	2.51828e+06	1.18354e+07
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)				2.64811e+06	1.03626e+07	9.35487e+06	2.64686e+06	2.73912e+06	1.05649e+07
P00350	P00350		gnd		3.69711e+07	3.7245e+07	3.72993e+07	3.69264e+07	3.70197e+07	3.79372e+07
P00363	P00363		frdA		4.7557e+07	4.90279e+07	4.74367e+07	4.77785e+07	4.6534e+07	4.89506e+07
P00370	P00370		gdhA		2.03326e+06	2.09359e+06	2.03939e+06	1.99222e+06	1.97806e+06	2.05651e+06
P00393	P00393		ndh		5.70826e+06	5.41833e+06	5.50945e+06	5.76045e+06	5.67164e+06	5.53935e+06
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)				1.33639e+06	5.22427e+06	5.05441e+06	1.33402e+06	1.3145e+06	5.23465e+06
P00448	P00448		sodA		3.87651e+06	3.98592e+06	3.98485e+06	3.87543e+06	3.91484e+06	4.14835e+06
P00452	P00452		nrdA		6.77495e+06	6.82306e+06	6.76449e+06	6.72463e+06	6.81438e+06	7.02836e+06
P00490	P00490		malP		6.36683e+06	6.13134e+06	5.95682e+06	6.36996e+06	6.35792e+06	5.95465e+06
P00509	P00509		aspC		1.94454e+07	1.90691e+07	1.86708e+07	1.91744e+07	1.91883e+07	1.90874e+07
P00550	P00550		mtlA		717957	684870	700935	642412	731551	702924
P00561	P00561		thrA		3.14263e+06	3.40247e+06	3.34625e+06	3.05589e+06	3.11749e+06	3.2906e+06
P00562	P00562		metL		2.98542e+06	2.8144e+06	2.81248e+06	2.86709e+06	2.86839e+06	2.72351e+06
P00579	P00579		rpoD		9.15393e+06	9.10726e+06	8.78929e+06	8.8983e+06	8.7813e+06	9.02672e+06
