Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML
DECOY_sp|P09148|GAL7_ECOLI Galactose-1-phosphate uridylyltransferase OS=Escherichia coli (strain K12) GN=galT PE=1 SV=2	DECOY_sp|P09148|GAL7_ECOLI Galactose-1-phosphate uridylyltransferase OS=Escherichia coli (strain K12) GN=galT PE=1 SV=2				521247			439100		449279
DECOY_sp|P0A6W3|MRAY_ECOLI Phospho-N-acetylmuramoyl-pentapeptide-transferase OS=Escherichia coli (strain K12) GN=mraY PE=1 SV=1	DECOY_sp|P0A6W3|MRAY_ECOLI Phospho-N-acetylmuramoyl-pentapeptide-transferase OS=Escherichia coli (strain K12) GN=mraY PE=1 SV=1				749567	679611	622761	818817	645035	687535
DECOY_sp|P0A8V2|RPOB_ECOLI DNA-directed RNA polymerase subunit beta OS=Escherichia coli (strain K12) GN=rpoB PE=1 SV=1	DECOY_sp|P0A8V2|RPOB_ECOLI DNA-directed RNA polymerase subunit beta OS=Escherichia coli (strain K12) GN=rpoB PE=1 SV=1				6.04279e+06	6.08064e+06	5.66642e+06			5.95845e+06
DECOY_sp|P0A9F1|MNTR_ECOLI Transcriptional regulator MntR OS=Escherichia coli (strain K12) GN=mntR PE=1 SV=1	DECOY_sp|P0A9F1|MNTR_ECOLI Transcriptional regulator MntR OS=Escherichia coli (strain K12) GN=mntR PE=1 SV=1				637138	742859	782795	442255	741188	576951
DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1	DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1				2.21723e+07	2.16751e+07	2.71022e+07	2.33939e+07	2.29118e+07	2.66949e+07
DECOY_sp|P0AAN3|HYPB_ECOLI Hydrogenase isoenzymes nickel incorporation protein HypB OS=Escherichia coli (strain K12) GN=hypB PE=1 SV=1	DECOY_sp|P0AAN3|HYPB_ECOLI Hydrogenase isoenzymes nickel incorporation protein HypB OS=Escherichia coli (strain K12) GN=hypB PE=1 SV=1				628847	726516	700060	315012	696343	571661
DECOY_sp|P0AC78|WECA_ECOLI Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase OS=Escherichia coli (strain K12) GN=wecA PE=1 SV=1	DECOY_sp|P0AC78|WECA_ECOLI Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase OS=Escherichia coli (strain K12) GN=wecA PE=1 SV=1				7.60766e+06				7.54165e+06	7.04019e+06
DECOY_sp|P0ACQ4|OXYR_ECOLI Hydrogen peroxide-inducible genes activator OS=Escherichia coli (strain K12) GN=oxyR PE=1 SV=1	DECOY_sp|P0ACQ4|OXYR_ECOLI Hydrogen peroxide-inducible genes activator OS=Escherichia coli (strain K12) GN=oxyR PE=1 SV=1				1.18947e+06	938275	1.19226e+06	895790	1.09877e+06	1.01911e+06
DECOY_sp|P0ADX5|YHFG_ECOLI Uncharacterized protein YhfG OS=Escherichia coli (strain K12) GN=yhfG PE=4 SV=1	DECOY_sp|P0ADX5|YHFG_ECOLI Uncharacterized protein YhfG OS=Escherichia coli (strain K12) GN=yhfG PE=4 SV=1						1.45018e+06	302771		
DECOY_sp|P0ADX9|RSMD_ECOLI Ribosomal RNA small subunit methyltransferase D OS=Escherichia coli (strain K12) GN=rsmD PE=1 SV=1	DECOY_sp|P0ADX9|RSMD_ECOLI Ribosomal RNA small subunit methyltransferase D OS=Escherichia coli (strain K12) GN=rsmD PE=1 SV=1				1.78755e+06	1.90289e+06	1.74048e+06	1.67585e+06	1.76265e+06	1.85545e+06
