Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML
A5A625	A5A625		yibV		496901	604241		619685	418470	492791
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)				919330	971735	621156	544699	1.12934e+06	
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)				1.22177e+06	1.45363e+06	1.5013e+06	1.35216e+06		1.26042e+06
P00350	P00350		gnd		9.1476e+07	9.29385e+07	9.13517e+07	9.1041e+07	9.19222e+07	9.01776e+07
P00363	P00363		frdA		4.33766e+07	4.41984e+07	4.44749e+07	4.40038e+07	4.37036e+07	4.36246e+07
P00370	P00370		gdhA		1.98043e+06	1.91318e+06	1.98501e+06	2.01343e+06	1.95328e+06	1.97732e+06
P00393	P00393		ndh		5.43244e+06	5.44008e+06	5.59436e+06	5.6474e+06	5.47367e+06	5.27351e+06
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)					1.15048e+06	1.2108e+06	1.20323e+06	780780	
P00448	P00448		sodA		3.86927e+06	4.06538e+06	3.78855e+06	3.96529e+06	3.99208e+06	3.72335e+06
P00452	P00452		nrdA		9.6815e+06	9.7474e+06	9.72743e+06	9.78073e+06	9.73971e+06	9.73002e+06
P00490	P00490		malP		5.83398e+06	5.82402e+06	5.54397e+06	5.67882e+06	5.75009e+06	5.68464e+06
P00509	P00509		aspC		1.80415e+07	1.87809e+07	1.85591e+07	1.85423e+07	1.86077e+07	1.823e+07
P00547	P00547		thrB		893200	951081	1.01663e+06	973265	997826	815436
P00550	P00550		mtlA		1.50927e+06	1.59752e+06	1.3861e+06	1.53662e+06	1.60643e+06	1.58403e+06
P00561	P00561		thrA		2.13768e+06	2.17406e+06	2.28373e+06	2.21328e+06	2.13565e+06	2.1785e+06
P00562	P00562		metL		2.72779e+06	2.77391e+06	2.70294e+06	2.67841e+06	2.70214e+06	2.70268e+06
P00579	P00579		rpoD		8.3998e+06	8.2791e+06	8.27327e+06	8.30895e+06	8.32909e+06	8.45315e+06
P00582	P00582		polA		3.48288e+06	3.38467e+06	3.432e+06	3.44903e+06	3.41421e+06	3.36056e+06
P00803	P00803		lepB		4.80754e+06	4.99321e+06	4.48318e+06	4.70285e+06	4.88533e+06	4.72405e+06
P00805	P00805		ansB		2.20826e+07	2.1884e+07	2.1282e+07	2.17901e+07	2.19145e+07	2.19647e+07
P00811	P00811		ampC		953984	814628	917304	881836	889435	894311
P00861	P00861		lysA		606783	586256	676577	665402	626773	585803
P00864	P00864		ppc		2.93377e+07	2.9362e+07	3.01786e+07	2.97751e+07	2.87933e+07	2.93423e+07
P00887	P00887		aroH		2.71482e+06	2.88924e+06	2.55316e+06	2.77232e+06	2.55791e+06	2.62087e+06
P00888	P00888		aroF		2.14772e+06	1.97562e+06	1.92011e+06	2.01749e+06	2.03064e+06	1.94442e+06
P00892	P00892		ilvG		961022	1.2761e+06	1.22779e+06	1.04453e+06	1.03244e+06	995263
P00894	P00894		ilvH		805273	685845	835415	699041	722489	764844
P00914	P00914		phrB		679531	621797	688927	658421	662146	689340
P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)	P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)				856973	1.06501e+06	945620	980100	850462	825516
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)					1.56966e+06	1.66639e+06	1.55879e+06		814792
P00926	P00926		dsdA		1.31006e+06	1.28814e+06	1.32244e+06	1.33842e+06	1.34466e+06	1.29239e+06
P00934	P00934		thrC		4.51001e+06	4.56395e+06	4.34419e+06	4.37808e+06	4.47963e+06	4.26989e+06
P00935	P00935		metB		2.56512e+06	2.36396e+06	2.40459e+06	2.1975e+06	2.24605e+06	2.64959e+06
P00946	P00946		manA		1.11001e+07	1.1605e+07	1.14004e+07	1.12086e+07	1.11064e+07	1.11103e+07
P00954	P00954		trpS		1.361e+07	1.4208e+07	1.36476e+07	1.38111e+07	1.33378e+07	1.31575e+07
P00956	P00956		ileS		2.39512e+07	2.50009e+07	2.55708e+07	2.52889e+07	2.42594e+07	2.50245e+07
P00957	P00957		alaS		1.65958e+07	1.67022e+07	1.65053e+07	1.6701e+07	1.65905e+07	1.64617e+07
P00959	P00959		metG		1.84914e+07	1.87211e+07	1.8527e+07	1.87853e+07	1.86163e+07	1.83302e+07
P00960	P00960		glyQ		4.84669e+06	4.88151e+06	4.66332e+06	4.87734e+06	4.93058e+06	4.58069e+06
P00961	P00961		glyS		1.33661e+07	1.34203e+07	1.36866e+07	1.34082e+07	1.35069e+07	1.32404e+07
P00962	P00962		glnS		9.99423e+06	1.05891e+07	1.03976e+07	1.04265e+07	1.02532e+07	1.0338e+07
P00963	P00963		asnA		1.42242e+07	1.44925e+07	1.44803e+07	1.4635e+07	1.39631e+07	1.34284e+07
P00968	P00968		carB		6.64014e+06	6.76739e+06	6.64923e+06	6.58058e+06	6.682e+06	6.58608e+06
P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)	P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)				326033	962081	935085	948784	387472	374676
P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)	P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)				68655.2	1.54002e+06	1.50159e+06	1.41697e+06		
P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)	P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)				1.65714e+06	2.59779e+06	2.29192e+06	2.71114e+06		1.47374e+06
P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)					1.39655e+06	1.40567e+06	1.31944e+06		
P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)	P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)					539528	528428			
