Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML
A5A614	YCIZ_ECOLI	yciZ	UPF0509 protein YciZ	1	1	1.86187e+06	1.90094e+06				
O00762ups|UBE2C_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		3	3	7.78589e+06	7.47634e+06	3.92891e+06	4.33397e+06	7.29375e+06	3.77095e+06
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		4	4	2.13334e+07	2.43807e+07	1.31313e+07	1.09938e+07	2.4205e+07	1.18307e+07
P00167ups|CYB5_HUMAN_UPS	Cytochrome	Cytochrome		3	3	1.19893e+07	1.14495e+07		7.68388e+06	1.25422e+07	
P00350	6PGD_ECOLI	gnd	6-phosphogluconate dehydrogenase, decarboxylating	26	26	3.49998e+08	3.44902e+08	3.45127e+08	3.35919e+08	3.44038e+08	3.46645e+08
P00363	FRDA_ECOLI	frdA	Fumarate reductase flavoprotein subunit	28	28	2.55365e+08	2.34753e+08	2.37305e+08	2.40627e+08	2.34833e+08	2.4154e+08
P00370	DHE4_ECOLI	gdhA	NADP-specific glutamate dehydrogenase	11	11	1.49204e+07	1.51775e+07	1.56821e+07	1.5661e+07	1.55446e+07	1.56683e+07
P00393	DHNA_ECOLI	ndh	NADH dehydrogenase	19	19	4.14696e+07	4.18449e+07	4.04988e+07	4.16569e+07	4.16525e+07	4.11685e+07
P00448	SODM_ECOLI	sodA	Superoxide dismutase [Mn]	9	9	4.40815e+07	4.33524e+07	4.30959e+07	4.41764e+07	4.33733e+07	4.15305e+07
P00452	RIR1_ECOLI	nrdA	Ribonucleoside-diphosphate reductase 1 subunit alpha	31	31	4.30004e+07	4.15602e+07	4.33148e+07	4.26958e+07	4.24066e+07	4.24091e+07
P00490	PHSM_ECOLI	malP	Maltodextrin phosphorylase	31	31	3.73702e+07	3.75714e+07	3.77211e+07	3.74689e+07	3.78814e+07	3.76249e+07
P00509	AAT_ECOLI	aspC	Aspartate aminotransferase	26	26	9.80438e+07	9.95182e+07	9.82589e+07	9.77767e+07	9.80845e+07	9.76051e+07
P00547	KHSE_ECOLI	thrB	Homoserine kinase	2	2	3.32481e+06	3.15545e+06	3.60731e+06	3.05925e+06	2.98775e+06	3.44314e+06
P00550	PTM3C_ECOLI	mtlA	PTS system mannitol-specific EIICBA component	5	5	3.49365e+06	3.77052e+06	3.58799e+06	3.79371e+06	3.55654e+06	3.72858e+06
P00561	AK1H_ECOLI	thrA	Bifunctional aspartokinase/homoserine dehydrogenase 1	13	13	1.56341e+07	1.61012e+07	1.72044e+07	1.75871e+07	1.65855e+07	1.66088e+07
P00562	AK2H_ECOLI	metL	Bifunctional aspartokinase/homoserine dehydrogenase 2	20	20	8.82958e+06	8.77562e+06	8.91142e+06	8.67473e+06	8.71439e+06	8.69215e+06
P00579	RPOD_ECOLI	rpoD	RNA polymerase sigma factor RpoD	21	20	9.59996e+07	1.00077e+08	9.71512e+07	9.63454e+07	9.94086e+07	9.53495e+07
P00582	DPO1_ECOLI	polA	DNA polymerase I	45	45	2.32797e+07	2.38186e+07	2.36402e+07	2.35441e+07	2.41729e+07	2.40671e+07
P00803	LEP_ECOLI	lepB	Signal peptidase I	8	8	1.4863e+07	1.5155e+07	1.63132e+07	1.66564e+07	1.42286e+07	1.48664e+07
P00805	ASPG2_ECOLI	ansB	L-asparaginase 2	18	18	1.30417e+08	1.38494e+08	1.37055e+08	1.35371e+08	1.40377e+08	1.38302e+08
P00811	AMPC_ECOLI	ampC	Beta-lactamase	4	4	5.7222e+06	5.71109e+06	6.55491e+06	6.06904e+06	6.43447e+06	6.16286e+06
P00861	DCDA_ECOLI	lysA	Diaminopimelate decarboxylase	2	2	1.16389e+06	578040	1.0466e+06	866100	1.01956e+06	1.14059e+06
P00864	CAPP_ECOLI	ppc	Phosphoenolpyruvate carboxylase	41	41	6.37234e+07	6.54534e+07	6.60896e+07	6.68891e+07	6.47935e+07	6.50012e+07
P00887	AROH_ECOLI	aroH	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive	4	4	8.4232e+06	8.36663e+06	7.75745e+06	6.68631e+06	8.58469e+06	7.34912e+06
P00888	AROF_ECOLI	aroF	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive	8	7	1.10805e+07	1.15412e+07	1.11356e+07	1.15443e+07	1.16866e+07	1.12782e+07
P00892	ILVG_ECOLI	ilvG	Acetolactate synthase isozyme 2 large subunit	2	2	524572	670122	508967		621870	646909
P00893	ILVI_ECOLI	ilvI	Acetolactate synthase isozyme 3 large subunit	1	1		5.63646e+06		9.57537e+06	6.07644e+06	5.75642e+06
P00894	ILVH_ECOLI	ilvH	Acetolactate synthase isozyme 3 small subunit	3	3	896015	970039	1.08932e+06	802689	851219	1.11755e+06
P00914	PHR_ECOLI	phrB	Deoxyribodipyrimidine photo-lyase	4	4	1.32674e+06	1.43757e+06	1.29875e+06	1.12783e+06	1.26543e+06	1.262e+06
P00915ups|CAH1_HUMAN_UPS	Carbonic	Carbonic		6	6	7.54991e+06	6.88642e+06	3.70598e+06	3.90012e+06	6.92194e+06	3.09329e+06
P00918ups|CAH2_HUMAN_UPS	Carbonic	Carbonic		8	8	1.71489e+07	1.66364e+07	8.4019e+06	8.62549e+06	1.75523e+07	8.38399e+06
P00926	SDHD_ECOLI	dsdA	D-serine dehydratase	4	4	2.29865e+06	2.54124e+06	2.79923e+06	2.45692e+06	2.58843e+06	2.80528e+06
P00934	THRC_ECOLI	thrC	Threonine synthase	14	14	2.00262e+07	1.94564e+07	1.96323e+07	1.91271e+07	1.94899e+07	1.87822e+07
P00935	METB_ECOLI	metB	Cystathionine gamma-synthase	2	2	2.33378e+06	2.58035e+06	2.01578e+06	2.32592e+06	2.00008e+06	1.93466e+06
P00936	CYAA_ECOLI	cyaA	Adenylate cyclase	3	3	3.12075e+06		3.07579e+06	2.69862e+06	3.10194e+06	2.6329e+06
P00946	MANA_ECOLI	manA	Mannose-6-phosphate isomerase	11	11	4.94138e+07	4.78907e+07	5.31647e+07	5.36745e+07	5.04799e+07	5.33414e+07
P00954	SYW_ECOLI	trpS	Tryptophan--tRNA ligase	13	13	8.98608e+07	9.50579e+07	9.51222e+07	9.51408e+07	9.73564e+07	9.64996e+07
P00956	SYI_ECOLI	ileS	Isoleucine--tRNA ligase	38	38	1.20886e+08	1.19349e+08	1.18962e+08	1.19775e+08	1.20301e+08	1.21341e+08
P00957	SYA_ECOLI	alaS	Alanine--tRNA ligase	42	42	1.32224e+08	1.33903e+08	1.30208e+08	1.31613e+08	1.34546e+08	1.30815e+08
P00959	SYM_ECOLI	metG	Methionine--tRNA ligase	34	34	6.4248e+07	6.30898e+07	6.21994e+07	6.26013e+07	6.49988e+07	6.3284e+07
P00960	SYGA_ECOLI	glyQ	Glycine--tRNA ligase alpha subunit	10	10	3.02271e+07	2.91309e+07	3.19334e+07	2.99658e+07	3.10891e+07	3.0193e+07
P00961	SYGB_ECOLI	glyS	Glycine--tRNA ligase beta subunit	38	38	7.55229e+07	7.55105e+07	7.53797e+07	7.60531e+07	7.4603e+07	7.6628e+07
P00962	SYQ_ECOLI	glnS	Glutamine--tRNA ligase	29	29	7.86897e+07	7.86969e+07	7.85417e+07	8.11433e+07	7.98929e+07	7.89913e+07
P00963	ASNA_ECOLI	asnA	Aspartate--ammonia ligase	10	10	1.12059e+08	1.12302e+08	1.08159e+08	1.12078e+08	1.11267e+08	1.11408e+08
P00968	CARB_ECOLI	carB	Carbamoyl-phosphate synthase large chain	32	32	1.86226e+07	1.88224e+07	1.95362e+07	1.93958e+07	1.88383e+07	1.92428e+07
P01008ups|ANT3_HUMAN_UPS	Antithrombin-III	Antithrombin-III		8	8	1.56609e+07	1.49654e+07	8.92217e+06	8.53796e+06	1.58557e+07	8.29695e+06
P01112ups|RASH_HUMAN_UPS	GTPase	GTPase		5	5	3.66741e+06	3.97676e+06	2.71347e+06	2.34673e+06	4.05316e+06	1.82303e+06
P01127ups|PDGFB_HUMAN_UPS	Platelet-derived	Platelet-derived		2	2	1.50313e+07	1.43844e+07	7.42349e+06	7.86268e+06	1.48853e+07	8.05018e+06
P01375ups|TNFA_HUMAN_UPS	Tumor	Tumor		4	4	8.80747e+06	9.09257e+06	3.51249e+06	3.52277e+06	9.00651e+06	3.98743e+06
P01579ups|IFNG_HUMAN_UPS	Interferon	Interferon		4	4	1.48489e+07	1.43877e+07	8.06683e+06	7.77955e+06	1.47028e+07	6.91852e+06
P02144ups|MYG_HUMAN_UPS	Myoglobin	Myoglobin		5	5	1.41374e+07	1.55169e+07	6.83685e+06	6.44287e+06	1.50706e+07	7.0487e+06
P02358	RS6_ECOLI	rpsF	30S ribosomal protein S6	10	10	9.46621e+08	9.96039e+08	9.78836e+08	9.5631e+08	9.85452e+08	1.01683e+09
P02359	RS7_ECOLI	rpsG	30S ribosomal protein S7	14	14	1.05278e+09	1.0433e+09	1.02411e+09	1.02338e+09	1.06432e+09	1.02779e+09
P02413	RL15_ECOLI	rplO	50S ribosomal protein L15	13	13	8.02928e+08	8.20761e+08	8.03438e+08	7.98912e+08	8.28666e+08	8.04218e+08
P02768ups|ALBU_HUMAN_UPS	Serum	Serum		12	12	2.73766e+07	2.59183e+07	1.46932e+07	1.39571e+07	2.63504e+07	1.41515e+07
P02787ups|TRFE_HUMAN_UPS	Serotransferrin	Serotransferrin		10	10	8.08264e+06	8.83742e+06	4.50644e+06	4.20549e+06	8.98986e+06	4.31107e+06
P02788ups|TRFL_HUMAN_UPS	Lactotransferrin	Lactotransferrin		15	15	2.09347e+07	1.99091e+07	1.01162e+07	1.04313e+07	1.99895e+07	9.90331e+06
P02918	PBPA_ECOLI	mrcA	Penicillin-binding protein 1A	8	8	5.26522e+07	5.04685e+07	5.80203e+07	5.2312e+07	5.15834e+07	5.28948e+07
P02919	PBPB_ECOLI	mrcB	Penicillin-binding protein 1B	14	14	3.49827e+07	3.83468e+07	3.87047e+07	3.69984e+07	3.68384e+07	3.63775e+07
P02925	RBSB_ECOLI	rbsB	D-ribose-binding periplasmic protein	13	13	4.33002e+07	4.28955e+07	4.20867e+07	4.22384e+07	4.14579e+07	4.18855e+07
P02930	TOLC_ECOLI	tolC	Outer membrane protein TolC	15	15	1.30101e+08	1.28176e+08	1.27466e+08	1.279e+08	1.29561e+08	1.27019e+08
P02931	OMPF_ECOLI	ompF	Outer membrane protein F	19	18	2.05646e+08	2.08097e+08	2.01569e+08	1.9759e+08	2.03777e+08	2.04519e+08
P02932	PHOE_ECOLI	phoE	Outer membrane pore protein E	2	2	1.56022e+06	1.56706e+06	1.20078e+06	1.07917e+06	1.49181e+06	1.34203e+06
P02942	MCP1_ECOLI	tsr	Methyl-accepting chemotaxis protein I	13	13	4.39581e+07	4.46665e+07	4.67123e+07	4.46821e+07	4.36814e+07	4.33696e+07
P02943	LAMB_ECOLI	lamB	Maltoporin	9	9	9.1553e+06	8.88027e+06	9.68268e+06	9.43373e+06	8.6735e+06	9.54551e+06
P03004	DNAA_ECOLI	dnaA	Chromosomal replication initiator protein DnaA	12	12	5.98346e+06	6.08414e+06	5.89591e+06	6.30795e+06	5.93547e+06	5.91217e+06
P03007	DPO3E_ECOLI	dnaQ	DNA polymerase III subunit epsilon	3	3	1.46571e+06		1.32005e+06	1.40928e+06		1.543e+06
P03018	UVRD_ECOLI	uvrD	DNA helicase II	11	11	7.67752e+06	8.31536e+06	7.82989e+06	7.94111e+06	8.49013e+06	7.74151e+06
P03023	LACI_ECOLI	lacI	Lactose operon repressor	4	4	1.04459e+06	1.3107e+06	1.1e+06	1.22862e+06	910675	1.15414e+06
P03024	GALR_ECOLI	galR	HTH-type transcriptional regulator GalR	2	2	6.61268e+06	7.67183e+06	7.00014e+06	6.56184e+06	7.91953e+06	7.06993e+06
P03817	MIOC_ECOLI	mioC	Protein MioC	1	1	4.27129e+07	4.03693e+07	4.04926e+07	3.98419e+07	3.95508e+07	3.92181e+07
P03841	MALM_ECOLI	malM	Maltose operon periplasmic protein	5	5	3.17586e+07	3.18442e+07	3.39169e+07	3.37877e+07	3.37242e+07	3.60765e+07
P04036	DAPB_ECOLI	dapB	4-hydroxy-tetrahydrodipicolinate reductase	8	8	3.2424e+07	3.25296e+07	3.18271e+07	3.30866e+07	3.37944e+07	3.17097e+07
P04040ups|CATA_HUMAN_UPS	Catalase	Catalase		5	5	2.31713e+06	2.57342e+06	1.54849e+06	1.44198e+06	2.95575e+06	1.4816e+06
P04079	GUAA_ECOLI	guaA	GMP synthase [glutamine-hydrolyzing]	26	26	8.3888e+07	8.51542e+07	8.40538e+07	8.30503e+07	8.39427e+07	8.26094e+07
P04335	FRSA_ECOLI	frsA	Esterase FrsA	13	13	1.88607e+07	1.89404e+07	1.86605e+07	1.92561e+07	1.98751e+07	1.85523e+07
P04425	GSHB_ECOLI	gshB	Glutathione synthetase	15	15	3.54296e+07	3.48035e+07	3.6261e+07	3.8066e+07	3.40498e+07	3.71757e+07
P04693	TYRB_ECOLI	tyrB	Aromatic-amino-acid aminotransferase	5	5	2.52147e+07	2.56053e+07	2.62854e+07	2.64999e+07	2.73242e+07	2.5363e+07
P04805	SYE_ECOLI	gltX	Glutamate--tRNA ligase	23	23	1.4434e+08	1.42769e+08	1.42006e+08	1.41863e+08	1.43294e+08	1.42321e+08
P04825	AMPN_ECOLI	pepN	Aminopeptidase N	28	28	8.14418e+07	8.10004e+07	8.3481e+07	8.09465e+07	8.05404e+07	8.01835e+07
P04846	NLPA_ECOLI	nlpA	Lipoprotein 28	2	2	7.4154e+06	7.7287e+06	7.67323e+06	7.5659e+06	7.85165e+06	7.52156e+06
P04949	FLIC_ECOLI	fliC	Flagellin	15	15	4.14117e+08	4.19131e+08	4.08283e+08	4.30251e+08	4.27367e+08	4.36878e+08
P04951	KDSB_ECOLI	kdsB	3-deoxy-manno-octulosonate cytidylyltransferase	7	7	3.78362e+07	3.80872e+07	3.75545e+07	3.71012e+07	3.80257e+07	3.89534e+07
P04968	ILVA_ECOLI	ilvA	L-threonine dehydratase biosynthetic IlvA	4	4	2.45586e+06	2.15409e+06	2.30728e+06	2.27408e+06	2.45144e+06	2.45753e+06
P04982	RBSD_ECOLI	rbsD	D-ribose pyranase	1	1	4.34134e+06	5.25097e+06	5.43215e+06	5.58492e+06	5.31411e+06	5.63523e+06
P04994	EX7L_ECOLI	xseA	Exodeoxyribonuclease 7 large subunit	4	4	2.78451e+06	2.38465e+06	3.19671e+06	2.81592e+06	2.83176e+06	3.14852e+06
P04995	EX1_ECOLI	sbcB	Exodeoxyribonuclease I	8	8	1.0192e+07	1.12797e+07	1.20828e+07	1.15221e+07	1.11079e+07	1.14467e+07
P05020	PYRC_ECOLI	pyrC	Dihydroorotase	11	11	1.81875e+07	1.84849e+07	1.90007e+07	1.87648e+07	1.87814e+07	1.91157e+07
P05041	PABB_ECOLI	pabB	Para-aminobenzoate synthase component 1	4	4	4.78269e+06	4.88413e+06	4.67701e+06	5.40091e+06	5.21986e+06	5.05499e+06
P05055	PNP_ECOLI	pnp	Polyribonucleotide nucleotidyltransferase	36	36	1.88827e+08	1.88772e+08	1.89461e+08	1.84648e+08	1.88125e+08	1.86305e+08
P05100	3MG1_ECOLI	tag	DNA-3-methyladenine glycosylase 1	2	2	7.54506e+06	7.45168e+06	5.94291e+06	6.31336e+06	6.27884e+06	6.33309e+06
P05194	AROD_ECOLI	aroD	3-dehydroquinate dehydratase	6	6	2.29539e+07	2.31815e+07	2.38951e+07	2.62631e+07	2.36094e+07	2.4036e+07
P05413ups|FABPH_HUMAN_UPS	Fatty	Fatty		6	6	1.59208e+07	1.62259e+07	8.73197e+06	8.32749e+06	1.74217e+07	8.61491e+06
P05458	PTRA_ECOLI	ptrA	Protease 3	11	11	5.57648e+06	5.87946e+06	6.0469e+06	5.46039e+06	5.70652e+06	5.7022e+06
P05459	PDXB_ECOLI	pdxB	Erythronate-4-phosphate dehydrogenase	15	15	3.09555e+07	3.31376e+07	3.24359e+07	3.25254e+07	3.35432e+07	3.1943e+07
P05523	FPG_ECOLI	mutM	Formamidopyrimidine-DNA glycosylase	3	3		548774	658996	407629	517196	
P05637	APAH_ECOLI	apaH	Bis(5'-nucleosyl)-tetraphosphatase [symmetrical]	8	8	9.19324e+06	9.52493e+06	1.02548e+07	9.37264e+06	9.84592e+06	1.02147e+07
P05719	T1SK_ECOLI	hsdS	Type-1 restriction enzyme EcoKI specificity protein	5	5	1.09159e+07	1.05518e+07	1.10028e+07	1.10187e+07	1.02688e+07	1.05451e+07
P05791	ILVD_ECOLI	ilvD	Dihydroxy-acid dehydratase	13	13	1.25951e+07	1.35564e+07	1.26426e+07	1.30489e+07	1.41027e+07	1.29228e+07
P05793	ILVC_ECOLI	ilvC	Ketol-acid reductoisomerase	15	15	2.42456e+07	2.43983e+07	2.41519e+07	2.49117e+07	2.39245e+07	2.45058e+07
P05825	FEPA_ECOLI	fepA	Ferrienterobactin receptor	17	17	9.98288e+06	1.03817e+07	1.08376e+07	1.10083e+07	1.07944e+07	1.04946e+07
P05852	GCP_ECOLI	gcp	Probable tRNA threonylcarbamoyladenosine biosynthesis protein Gcp	3	3	7.90537e+06	8.3277e+06	8.17943e+06	7.96756e+06	8.07041e+06	8.042e+06
P06129	BTUB_ECOLI	btuB	Vitamin B12 transporter BtuB	25	25	5.32515e+07	5.64715e+07	5.56217e+07	5.67414e+07	5.54893e+07	5.64202e+07
P06136	FTSQ_ECOLI	ftsQ	Cell division protein FtsQ	3	3	2.17739e+07	2.34481e+07	2.46729e+07	2.70727e+07	2.17204e+07	2.66069e+07
P06149	DLD_ECOLI	dld	D-lactate dehydrogenase	19	19	1.96611e+07	2.03616e+07	1.91958e+07	1.95125e+07	1.90541e+07	1.94012e+07
P06282	CDH_ECOLI	cdh	CDP-diacylglycerol pyrophosphatase	4	4	7.06736e+06	7.08262e+06	6.75132e+06	6.56765e+06	6.66063e+06	6.9782e+06
P06396ups|GELS_HUMAN_UPS	Gelsolin	Gelsolin		12	12	4.71463e+06	5.10329e+06	2.40381e+06	2.84556e+06	5.10635e+06	2.35093e+06
P06610	BTUE_ECOLI	btuE	Vitamin B12 transport periplasmic protein BtuE	7	7	5.48778e+07	5.5973e+07	5.59162e+07	5.62814e+07	5.4745e+07	5.74843e+07
P06611	BTUD_ECOLI	btuD	Vitamin B12 import ATP-binding protein BtuD	3	3	2.39248e+06		2.52609e+06	2.81953e+06		2.45403e+06
P06612	TOP1_ECOLI	topA	DNA topoisomerase 1	24	24	2.68711e+07	2.72903e+07	2.73765e+07	2.78543e+07	2.84814e+07	2.80145e+07
P06616	ERA_ECOLI	era	GTPase Era	8	8	1.21859e+07	1.10777e+07	1.03528e+07	1.09332e+07	1.09557e+07	1.06148e+07
P06709	BIRA_ECOLI	birA	Bifunctional protein BirA	5	5	5.93443e+06	5.6101e+06	6.06408e+06	6.07467e+06	5.19377e+06	5.99243e+06
P06710	DPO3X_ECOLI	dnaX	DNA polymerase III subunit tau	8	8	4.53961e+06	4.40413e+06	4.77692e+06	4.25934e+06	4.57244e+06	5.25999e+06
P06715	GSHR_ECOLI	gor	Glutathione reductase	14	14	2.43742e+07	2.40634e+07	2.50949e+07	2.46749e+07	2.48351e+07	2.43046e+07
P06721	METC_ECOLI	metC	Cystathionine beta-lyase MetC	3	3	414615	426544	549798	464564	432885	300013
P06722	MUTH_ECOLI	mutH	DNA mismatch repair protein MutH	3	3	3.48593e+06	3.38349e+06	3.5281e+06	3.30148e+06	3.58739e+06	3.23507e+06
P06732ups|KCRM_HUMAN_UPS	Creatine	Creatine		13	13	8.76346e+06	8.896e+06	4.3935e+06	4.43884e+06	8.91058e+06	4.26262e+06
P06846	EBGR_ECOLI	ebgR	HTH-type transcriptional regulator EbgR	8	8	4.93788e+06	4.65221e+06	4.95821e+06	5.46805e+06	4.84296e+06	4.63593e+06
P06959	ODP2_ECOLI	aceF	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex	36	36	3.13284e+08	3.22048e+08	3.21274e+08	3.16187e+08	3.21015e+08	3.18523e+08
P06961	CCA_ECOLI	cca	Multifunctional CCA protein	10	10	6.25518e+06	7.07784e+06	7.5805e+06	7.26512e+06	6.62482e+06	7.47685e+06
P06968	DUT_ECOLI	dut	Deoxyuridine 5'-triphosphate nucleotidohydrolase	3	3	8.3242e+07	8.63844e+07	9.2524e+07	9.37437e+07	8.38285e+07	9.31492e+07
P06971	FHUA_ECOLI	fhuA	Ferrichrome-iron receptor	19	19	7.67682e+07	7.7095e+07	7.67335e+07	7.5437e+07	7.70913e+07	7.56282e+07
P06974	FLIM_ECOLI	fliM	Flagellar motor switch protein FliM	7	7	1.87234e+07	1.8658e+07	1.92705e+07	1.8549e+07	1.82779e+07	1.84268e+07
P06983	HEM3_ECOLI	hemC	Porphobilinogen deaminase	13	13	6.40067e+07	6.17484e+07	6.0776e+07	5.90552e+07	6.38511e+07	6.1012e+07
P06986	HIS8_ECOLI	hisC	Histidinol-phosphate aminotransferase	9	9	1.30813e+07	1.29608e+07	1.26094e+07	1.16312e+07	1.26691e+07	1.20288e+07
P06987	HIS7_ECOLI	hisB	Histidine biosynthesis bifunctional protein HisB	8	8	4.495e+06	4.98348e+06	4.93675e+06	5.25742e+06	4.94725e+06	5.15225e+06
P06988	HISX_ECOLI	hisD	Histidinol dehydrogenase	6	6	3.08535e+06	3.72183e+06	3.42218e+06	3.58023e+06	3.78489e+06	3.35547e+06
P06992	RSMA_ECOLI	rsmA	Ribosomal RNA small subunit methyltransferase A	3	3	1.27743e+08	1.28309e+08	1.3111e+08	1.32628e+08	1.30055e+08	1.34112e+08
P06993	MALT_ECOLI	malT	HTH-type transcriptional regulator MalT	3	3	5.96002e+06	5.39682e+06	5.52407e+06	5.07568e+06	5.73707e+06	5.74994e+06
P06996	OMPC_ECOLI	ompC	Outer membrane protein C	20	17	1.38001e+09	1.39605e+09	1.3263e+09	1.32563e+09	1.40915e+09	1.38322e+09
P06999	K6PF2_ECOLI	pfkB	6-phosphofructokinase isozyme 2	5	5	4.70279e+06	4.81542e+06	5.13688e+06	5.22064e+06	5.1953e+06	5.10745e+06
P07000	PLDB_ECOLI	pldB	Lysophospholipase L2	1	1	2.09752e+06	2.00736e+06	1.90048e+06	2.24626e+06	2.26067e+06	1.76525e+06
P07001	PNTA_ECOLI	pntA	NAD(P) transhydrogenase subunit alpha	11	11	1.28543e+07	1.24389e+07	1.18098e+07	1.24382e+07	1.35242e+07	1.29422e+07
P07003	POXB_ECOLI	poxB	Pyruvate dehydrogenase [ubiquinone]	8	8	1.16148e+07	1.18333e+07	1.11419e+07	1.19754e+07	1.1283e+07	1.14412e+07
P07004	PROA_ECOLI	proA	Gamma-glutamyl phosphate reductase	15	15	3.14198e+07	3.25276e+07	3.33276e+07	3.22974e+07	3.16135e+07	3.20145e+07
P07012	RF2_ECOLI	prfB	Peptide chain release factor 2	19	19	6.70071e+07	6.61985e+07	6.91796e+07	6.90648e+07	6.56132e+07	7.02179e+07
P07014	DHSB_ECOLI	sdhB	Succinate dehydrogenase iron-sulfur subunit	10	10	2.27126e+07	2.27085e+07	2.38173e+07	2.28209e+07	2.35488e+07	2.35415e+07
P07017	MCP2_ECOLI	tar	Methyl-accepting chemotaxis protein II	17	15	6.54535e+07	6.81724e+07	6.58043e+07	6.81896e+07	6.81828e+07	6.67753e+07
P07021	YFIB_ECOLI	yfiB	Putative lipoprotein YfiB	4	4	4.73147e+06	4.50392e+06	4.51676e+06	4.34186e+06	4.61639e+06	4.32115e+06
P07023	TYRA_ECOLI	tyrA	T-protein	9	9	6.96469e+06	6.76922e+06	6.56248e+06	6.89335e+06	6.30184e+06	6.39083e+06
P07024	USHA_ECOLI	ushA	Protein UshA	12	12	2.303e+07	2.38473e+07	2.46737e+07	2.39291e+07	2.36571e+07	2.42186e+07
P07026	SDIA_ECOLI	sdiA	Regulatory protein SdiA	2	2	5.46194e+06	5.16037e+06	4.97517e+06	5.46514e+06	5.18901e+06	5.47e+06
P07118	SYV_ECOLI	valS	Valine--tRNA ligase	49	49	1.13468e+08	1.13629e+08	1.14951e+08	1.12684e+08	1.13752e+08	1.12166e+08
P07330	CHEB_ECOLI	cheB	Chemotaxis response regulator protein-glutamate methylesterase	4	4	2.66891e+06	2.95953e+06	2.85768e+06	2.97758e+06	2.4467e+06	3.01042e+06
P07363	CHEA_ECOLI	cheA	Chemotaxis protein CheA	15	15	1.0293e+07	1.03088e+07	1.07221e+07	1.07166e+07	9.84791e+06	1.11891e+07
P07364	CHER_ECOLI	cheR	Chemotaxis protein methyltransferase	2	2	181689	340688		412775	430219	182268
P07395	SYFB_ECOLI	pheT	Phenylalanine--tRNA ligase beta subunit	36	36	9.03934e+07	9.31266e+07	8.99927e+07	8.895e+07	9.27225e+07	9.23413e+07
P07604	TYRR_ECOLI	tyrR	Transcriptional regulatory protein TyrR	10	10	8.07556e+06	8.7546e+06	8.67098e+06	7.82178e+06	8.09859e+06	8.11658e+06
P07639	AROB_ECOLI	aroB	3-dehydroquinate synthase	11	11	1.83242e+07	1.72472e+07	1.74611e+07	1.77929e+07	1.73206e+07	1.81183e+07
P07648	EX5C_ECOLI	recC	Exodeoxyribonuclease V gamma chain	5	5	1.49948e+06	1.3733e+06	1.48888e+06	1.16502e+06	1.18452e+06	1.15917e+06
P07649	TRUA_ECOLI	truA	tRNA pseudouridine synthase A	4	4	3.73834e+06	4.46518e+06	4.33926e+06	4.17469e+06	3.73744e+06	4.1154e+06
P07650	TYPH_ECOLI	deoA	Thymidine phosphorylase	23	23	3.08288e+07	3.13431e+07	3.21338e+07	3.21925e+07	3.19265e+07	3.30239e+07
P07658	FDHF_ECOLI	fdhF	Formate dehydrogenase H	12	12	4.27753e+06	4.48055e+06	4.75924e+06	4.57667e+06	4.35979e+06	4.52848e+06
P07762	GLGB_ECOLI	glgB	1,4-alpha-glucan branching enzyme GlgB	21	21	1.20611e+07	1.20036e+07	1.24598e+07	1.19593e+07	1.18417e+07	1.20798e+07
P07813	SYL_ECOLI	leuS	Leucine--tRNA ligase	31	31	1.00901e+08	9.90944e+07	1.06575e+08	1.03864e+08	1.01759e+08	1.00313e+08
P07821	FHUC_ECOLI	fhuC	Iron(3+)-hydroxamate import ATP-binding protein FhuC	2	2		5.20527e+06	4.59375e+06	5.60453e+06		
P07822	FHUD_ECOLI	fhuD	Iron(3+)-hydroxamate-binding protein FhuD	2	2	1.5275e+06	1.4586e+06	1.50587e+06	1.46247e+06	1.46575e+06	1.61287e+06
P07862	DDLB_ECOLI	ddlB	D-alanine--D-alanine ligase B	11	11	4.22998e+07	4.20713e+07	4.5308e+07	4.5759e+07	4.10337e+07	4.39824e+07
P07913	TDH_ECOLI	tdh	L-threonine 3-dehydrogenase	7	7	3.21662e+07	3.07017e+07	2.98422e+07	3.07292e+07	3.11368e+07	3.02398e+07
