Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML
P0A8R4	SLYX_ECOLI	slyX	Protein SlyX	2	2	1.6325e+06	1.33846e+06	1.61738e+06	1.49675e+06	1.46345e+06	1.63408e+06
P0A8R9	HDFR_ECOLI	hdfR	HTH-type transcriptional regulator HdfR	5	5	3.45069e+06	3.75141e+06	3.38188e+06	3.49673e+06	3.60429e+06	3.35501e+06
P0A8S1	ICIA_ECOLI	iciA	Chromosome initiation inhibitor	5	5	1.09995e+07	1.20339e+07	1.2316e+07	1.27105e+07	1.18734e+07	1.20409e+07
P0A8T1	PRMA_ECOLI	prmA	Ribosomal protein L11 methyltransferase	4	4	4.35688e+07	4.56038e+07	4.19085e+07	4.07759e+07	4.22463e+07	4.30089e+07
P0A8T7	RPOC_ECOLI	rpoC	DNA-directed RNA polymerase subunit beta'	81	81	2.43023e+08	2.44622e+08	2.45378e+08	2.44326e+08	2.46166e+08	2.45467e+08
P0A8U0	SYDP_ECOLI	syd	Protein syd	4	4	2.77052e+06	2.60759e+06	2.37351e+06	2.82337e+06	2.19185e+06	2.28638e+06
P0A8U2	YAFD_ECOLI	yafD	UPF0294 protein YafD	1	1			665893	944429		1.02319e+06
P0A8U6	METJ_ECOLI	metJ	Met repressor	5	5	3.95623e+07	4.00715e+07	3.96969e+07	3.82741e+07	3.97412e+07	3.78262e+07
P0A8V0	RBN_ECOLI	rbn	Ribonuclease BN	2	2	503176	348548	438710	500215	448751	505413
P0A8V2	RPOB_ECOLI	rpoB	DNA-directed RNA polymerase subunit beta	74	74	2.37181e+08	2.43631e+08	2.43032e+08	2.39614e+08	2.46752e+08	2.47072e+08
P0A8V6	FADR_ECOLI	fadR	Fatty acid metabolism regulator protein	11	11	2.26608e+07	2.20886e+07	2.22346e+07	2.3588e+07	2.38439e+07	2.31706e+07
P0A8W0	NANR_ECOLI	nanR	Transcriptional regulator NanR	8	8	8.37177e+06	8.72845e+06	8.33716e+06	8.61106e+06	8.88976e+06	9.12446e+06
P0A8W2	SLYA_ECOLI	slyA	Transcriptional regulator SlyA	4	4	3.99627e+07	4.14129e+07	3.9693e+07	4.01635e+07	4.07546e+07	3.8131e+07
