Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML
P30177	YBIB_ECOLI	ybiB	Uncharacterized protein YbiB	9	9	3.4854e+07	3.5477e+07	3.58718e+07	3.38673e+07	3.51588e+07	3.61585e+07
P30178	YBIC_ECOLI	ybiC	Uncharacterized oxidoreductase YbiC	3	3	4.57148e+06	4.22095e+06	4.47058e+06	3.57235e+06	4.55872e+06	3.98489e+06
P30744	SDHM_ECOLI	sdaB	L-serine dehydratase 2	8	8	3.50039e+07	4.11892e+07	3.69549e+07	3.5327e+07	3.64524e+07	3.89336e+07
P30749	MOAE_ECOLI	moaE	Molybdopterin synthase catalytic subunit	5	5	9.69649e+06	9.68488e+06	9.49716e+06	9.95643e+06	1.03159e+07	9.41377e+06
P30750	METN_ECOLI	metN	Methionine import ATP-binding protein MetN	2	2	5.35603e+06	6.50527e+06	5.66668e+06	6.62786e+06	6.32334e+06	5.76737e+06
P30843	BASR_ECOLI	basR	Transcriptional regulatory protein BasR	2	2	6.52374e+06	6.25273e+06	5.3721e+06	5.57336e+06	5.17096e+06	5.75321e+06
P30850	RNB_ECOLI	rnb	Exoribonuclease 2	23	23	4.48778e+07	4.10344e+07	4.10151e+07	4.2637e+07	4.26335e+07	4.11139e+07
P30855	EVGS_ECOLI	evgS	Sensor protein EvgS	4	4	1.19787e+06	697976	1.2766e+06	2.56396e+06	1.46633e+06	1.36271e+06
P30859	ARTI_ECOLI	artI	Putative ABC transporter arginine-binding protein 2	8	8	1.35323e+07	1.56595e+07	1.55806e+07	1.52425e+07	1.48617e+07	1.60416e+07
P30860	ARTJ_ECOLI	artJ	ABC transporter arginine-binding protein 1	1	1			5.89598e+06	7.88768e+06	6.88027e+06	
P30864	YAFC_ECOLI	yafC	Uncharacterized HTH-type transcriptional regulator YafC	1	1						1.55909e+06
P30870	GLNE_ECOLI	glnE	Glutamate-ammonia-ligase adenylyltransferase	7	7	2.3142e+06	2.51477e+06	2.23467e+06	2.67786e+06	2.67884e+06	2.43845e+06
