Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML
DECOY_sp|P04335|FRSA_ECOLI Esterase FrsA OS=Escherichia coli (strain K12) GN=frsA PE=3 SV=2	DECOY_sp|P04335|FRSA_ECOLI Esterase FrsA OS=Escherichia coli (strain K12) GN=frsA PE=3 SV=2					756082		919840	845004	911419
DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1	DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1				1.78692e+07	1.89068e+07	1.84083e+07	2.30984e+07	2.26349e+07	2.13657e+07
DECOY_sp|P0ADX5|YHFG_ECOLI Uncharacterized protein YhfG OS=Escherichia coli (strain K12) GN=yhfG PE=4 SV=1	DECOY_sp|P0ADX5|YHFG_ECOLI Uncharacterized protein YhfG OS=Escherichia coli (strain K12) GN=yhfG PE=4 SV=1				988742			1.82549e+06		2.07188e+06
DECOY_sp|P0AEC5|BARA_ECOLI Signal transduction histidine-protein kinase BarA OS=Escherichia coli (strain K12) GN=barA PE=1 SV=1	DECOY_sp|P0AEC5|BARA_ECOLI Signal transduction histidine-protein kinase BarA OS=Escherichia coli (strain K12) GN=barA PE=1 SV=1				6.19439e+06	6.24691e+06	6.20362e+06	6.2941e+06	6.46856e+06	6.28407e+06
DECOY_sp|P25549|ASLA_ECOLI Arylsulfatase OS=Escherichia coli (strain K12) GN=aslA PE=3 SV=2	DECOY_sp|P25549|ASLA_ECOLI Arylsulfatase OS=Escherichia coli (strain K12) GN=aslA PE=3 SV=2				1.64251e+06	1.83642e+06	1.66407e+06	1.98063e+06	1.80733e+06	1.87991e+06
DECOY_sp|P45423|YHCG_ECOLI Uncharacterized protein YhcG OS=Escherichia coli (strain K12) GN=yhcG PE=4 SV=1	DECOY_sp|P45423|YHCG_ECOLI Uncharacterized protein YhcG OS=Escherichia coli (strain K12) GN=yhcG PE=4 SV=1				547050	633251	622253	399677	473212	536432
DECOY_sp|P68767|AMPA_ECOLI Cytosol aminopeptidase OS=Escherichia coli (strain K12) GN=pepA PE=1 SV=1	DECOY_sp|P68767|AMPA_ECOLI Cytosol aminopeptidase OS=Escherichia coli (strain K12) GN=pepA PE=1 SV=1				405530	393221	486660	462499		442349
DECOY_sp|P76097|YDCJ_ECOLI Uncharacterized protein YdcJ OS=Escherichia coli (strain K12) GN=ydcJ PE=4 SV=1	DECOY_sp|P76097|YDCJ_ECOLI Uncharacterized protein YdcJ OS=Escherichia coli (strain K12) GN=ydcJ PE=4 SV=1					2.6988e+06	2.98902e+06		3.16117e+06	
DECOY_sp|P77425|ALLC_ECOLI Allantoate amidohydrolase OS=Escherichia coli (strain K12) GN=allC PE=1 SV=1	DECOY_sp|P77425|ALLC_ECOLI Allantoate amidohydrolase OS=Escherichia coli (strain K12) GN=allC PE=1 SV=1				1.47516e+06	1.71434e+06	1.59666e+06	1.60059e+06	1.83676e+06	1.70157e+06
DECOY_sp|P77455|PAAZ_ECOLI Bifunctional protein PaaZ OS=Escherichia coli (strain K12) GN=paaZ PE=1 SV=1	DECOY_sp|P77455|PAAZ_ECOLI Bifunctional protein PaaZ OS=Escherichia coli (strain K12) GN=paaZ PE=1 SV=1				2.66521e+06	2.86754e+06	2.60306e+06	3.17085e+06	3.00684e+06	3.22901e+06
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)				5.93476e+06	5.86958e+06	5.88447e+06	1.10347e+07	1.10097e+07	1.08401e+07
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)				7.68875e+06	7.6818e+06	7.71308e+06	1.34829e+07	1.30966e+07	1.39587e+07
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)				9.33792e+06	8.91973e+06	9.49311e+06	1.76614e+07	1.72691e+07	1.69821e+07
P00350	P00350		gnd		3.73697e+07	3.79808e+07	3.81828e+07	3.70172e+07	3.71427e+07	3.70308e+07
P00363	P00363		frdA		4.38381e+07	4.16206e+07	4.30298e+07	4.0039e+07	3.98599e+07	4.00799e+07
P00370	P00370		gdhA		2.24977e+06	2.21481e+06	2.17448e+06	2.19204e+06	2.18436e+06	2.20545e+06
P00393	P00393		ndh		5.33311e+06	5.52191e+06	5.44505e+06	5.54472e+06	5.61167e+06	5.57128e+06
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)				3.72945e+06	3.72291e+06	3.75319e+06	6.82437e+06	6.77689e+06	6.47268e+06
P00448	P00448		sodA		3.77745e+06	3.62806e+06	3.71878e+06	3.71131e+06	3.75512e+06	3.49316e+06
P00452	P00452		nrdA		1.03987e+07	1.0353e+07	1.05308e+07	1.04474e+07	1.03642e+07	1.04419e+07
P00490	P00490		malP		4.93318e+06	4.79973e+06	4.82095e+06	4.79912e+06	4.75455e+06	4.74805e+06
P00509	P00509		aspC		1.80167e+07	1.77374e+07	1.80913e+07	1.80561e+07	1.79903e+07	1.85992e+07
P00547	P00547		thrB		1.08909e+06	1.0374e+06	994447	920965	837476	873460
P00550	P00550		mtlA		1.32506e+06	1.33666e+06	1.37036e+06	1.21995e+06	1.21166e+06	1.25755e+06
P00561	P00561		thrA		2.67149e+06	2.50143e+06	2.61634e+06	2.51451e+06	2.54382e+06	2.61232e+06
P00562	P00562		metL		2.66183e+06	2.67608e+06	2.49764e+06	2.6909e+06	2.72843e+06	2.7058e+06
P00579	P00579		rpoD		8.92466e+06	8.46782e+06	8.76238e+06	8.33726e+06	8.32976e+06	8.37934e+06
P00582	P00582		polA		4.42159e+06	4.40336e+06	4.52482e+06	4.32228e+06	4.42135e+06	4.39887e+06
P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)	P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)				3.77993e+06	3.67672e+06	3.77739e+06	6.79174e+06	6.47693e+06	6.42469e+06
P00803	P00803		lepB		5.00063e+06	4.73168e+06	5.59122e+06	5.27509e+06	5.15901e+06	5.07828e+06
P00805	P00805		ansB		2.25288e+07	2.1738e+07	2.21581e+07	2.1709e+07	2.17712e+07	2.15077e+07
P00811	P00811		ampC		1.52237e+06	1.28816e+06	1.4325e+06	1.42155e+06	1.47026e+06	1.41812e+06
P00861	P00861		lysA		333314	216122	269606	372134	265838	
P00864	P00864		ppc		1.05692e+07	1.04197e+07	1.03419e+07	1.0421e+07	1.0397e+07	1.05726e+07
P00887	P00887		aroH		1.62245e+06	1.62435e+06	1.60009e+06	1.62612e+06	1.69728e+06	1.63779e+06
P00888	P00888		aroF		2.22216e+06	2.1862e+06	2.21441e+06	2.20382e+06	2.26101e+06	2.18593e+06
P00892	P00892		ilvG		480253	454251	494137	465092	411786	405587
P00914	P00914		phrB		943594	927159	774851	952456	944669	827526
P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)	P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)				7.20301e+06	7.10065e+06	7.25048e+06	1.2583e+07	1.26439e+07	1.26564e+07
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)				1.44057e+07	1.38867e+07	1.42952e+07	2.6158e+07	2.62497e+07	2.63664e+07
P00926	P00926		dsdA		1.27086e+06	1.2226e+06	1.22176e+06	1.2215e+06	1.35764e+06	1.46447e+06
P00934	P00934		thrC		4.65372e+06	4.73601e+06	4.75842e+06	4.6664e+06	4.56744e+06	4.47674e+06
P00935	P00935		metB		1.06415e+06	1.18197e+06	1.05391e+06	1.13063e+06	1.0376e+06	999208
P00946	P00946		manA		1.1263e+07	1.14471e+07	1.15367e+07	1.14342e+07	1.16273e+07	1.12312e+07
P00954	P00954		trpS		1.30561e+07	1.33969e+07	1.35905e+07	1.32945e+07	1.32135e+07	1.28384e+07
P00956	P00956		ileS		2.05183e+07	2.05728e+07	2.05254e+07	2.00516e+07	2.00121e+07	1.96929e+07
P00957	P00957		alaS		1.79557e+07	1.78638e+07	1.7849e+07	1.75152e+07	1.74347e+07	1.75162e+07
P00959	P00959		metG		1.91059e+07	1.91806e+07	1.96123e+07	1.94964e+07	1.99707e+07	1.95111e+07
P00960	P00960		glyQ		4.79806e+06	4.73906e+06	4.86716e+06	4.56358e+06	4.79148e+06	4.71826e+06
P00961	P00961		glyS		1.45208e+07	1.46251e+07	1.45445e+07	1.47148e+07	1.46376e+07	1.44384e+07
P00962	P00962		glnS		1.43837e+07	1.41969e+07	1.43404e+07	1.42167e+07	1.40967e+07	1.37362e+07
P00963	P00963		asnA		2.37926e+07	2.45588e+07	2.46312e+07	2.49305e+07	2.51115e+07	2.45395e+07
P00968	P00968		carB		4.52883e+06	4.50157e+06	4.51514e+06	4.42572e+06	4.34843e+06	4.47207e+06
P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)	P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)				1.07309e+07	1.1002e+07	1.0903e+07	1.88935e+07	1.92724e+07	1.86156e+07
P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)	P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)				1.3766e+07	1.09447e+07	1.43798e+07	2.58143e+07	2.44574e+07	2.46538e+07
P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)	P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)				9.28388e+06	9.37895e+06	9.52684e+06	1.67614e+07	1.71732e+07	1.72612e+07
P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)				1.28963e+07	1.32009e+07	1.30562e+07	2.45956e+07	2.4171e+07	2.40485e+07
P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)	P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)				5.15675e+06	5.14882e+06	4.84542e+06	8.94494e+06	9.25962e+06	8.45792e+06
P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)				1.90361e+07	1.89244e+07	1.92957e+07	3.56216e+07	3.66498e+07	3.55774e+07
P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)	P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)				4.25222e+06	4.22677e+06	4.32602e+06	7.88858e+06	7.83322e+06	7.96137e+06
P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)	P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)				8.29383e+06	8.09168e+06	8.22351e+06	1.50082e+07	1.52961e+07	1.48478e+07
P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)	P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)				1.11063e+07	1.1348e+07	1.07902e+07	1.96974e+07	2.06387e+07	2.00974e+07
P02358	P02358		rpsF		1.30337e+08	1.27728e+08	1.32072e+08	1.27994e+08	1.27299e+08	1.25156e+08
P02359	P02359		rpsG		1.35368e+08	1.40204e+08	1.36938e+08	1.35739e+08	1.32728e+08	1.32969e+08
P02413	P02413		rplO		1.50943e+08	1.46505e+08	1.49413e+08	1.50225e+08	1.46196e+08	1.4876e+08
P02741ups|CRP_HUMAN_UPS C-reactive protein (Chain 19-224) - Homo sapiens (Human)	P02741ups|CRP_HUMAN_UPS C-reactive protein (Chain 19-224) - Homo sapiens (Human)				1.05442e+06	1.09275e+06	1.08183e+06	2.13472e+06	2.08623e+06	2.12328e+06
P02753ups|RETBP_HUMAN_UPS Retinol-binding protein 4 (Chain 19-201) - Homo sapiens (Human)	P02753ups|RETBP_HUMAN_UPS Retinol-binding protein 4 (Chain 19-201) - Homo sapiens (Human)				2.84612e+06	2.94832e+06	2.91829e+06	5.13736e+06	5.14742e+06	4.94323e+06
P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)				1.85141e+07	1.83224e+07	1.8572e+07	3.43166e+07	3.47867e+07	3.47384e+07
P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)				1.49361e+07	1.45551e+07	1.47011e+07	2.65172e+07	2.65204e+07	2.59806e+07
P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)				1.21126e+07	1.19396e+07	1.22131e+07	2.23438e+07	2.23881e+07	2.23992e+07
P02918	P02918		mrcA		1.50404e+06	1.51066e+06	1.5156e+06	1.3379e+06	1.36973e+06	1.47504e+06
P02919	P02919		mrcB		1.84829e+06	1.74844e+06	1.81751e+06	1.99209e+06	1.83407e+06	1.81353e+06
P02925	P02925		rbsB		9.873e+06	9.7951e+06	9.89274e+06	1.00134e+07	1.01169e+07	9.63506e+06
P02930	P02930		tolC		2.59416e+07	2.63139e+07	2.65694e+07	2.62329e+07	2.62733e+07	2.6004e+07
P02931	P02931		ompF		3.00982e+07	2.96907e+07	3.00707e+07	2.93484e+07	2.86468e+07	3.11666e+07
P02932	P02932		phoE		769489	1.0733e+06	893261	896452	1.03199e+06	870347
P02942	P02942		tsr		7.76421e+06	7.29439e+06	7.72796e+06	7.42543e+06	7.39528e+06	7.42044e+06
P02943	P02943		lamB		1.55514e+06	1.5386e+06	1.51902e+06	1.53919e+06	1.47813e+06	1.45637e+06
P03004	P03004		dnaA		2.25927e+06	2.09944e+06	2.19806e+06	2.4075e+06	2.26033e+06	2.19337e+06
P03007	P03007		dnaQ		1.55508e+06	1.55734e+06	1.53789e+06	1.57265e+06	1.40773e+06	1.57009e+06
P03018	P03018		uvrD		3.12042e+06	3.09285e+06	3.07631e+06	3.0924e+06	3.16654e+06	3.09023e+06
P03024	P03024		galR		2.22404e+06	2.31444e+06	2.13898e+06	2.28429e+06	2.18218e+06	2.28877e+06
P03817	P03817		mioC		7.54647e+06	7.58902e+06	6.99548e+06	7.63037e+06	6.9857e+06	7.33686e+06
P03841	P03841		malM		1.01381e+07	9.94602e+06	1.00007e+07	1.03712e+07	1.04106e+07	1.02092e+07
P04036	P04036		dapB		5.51474e+06	5.5391e+06	5.38156e+06	5.20314e+06	5.31865e+06	5.31547e+06
P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)	P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)				4.93399e+06	4.833e+06	4.89857e+06	9.01949e+06	8.74864e+06	8.94741e+06
P04079	P04079		guaA		1.74215e+07	1.74253e+07	1.73672e+07	1.65363e+07	1.68648e+07	1.64703e+07
P04335	P04335		frsA		4.62592e+06	4.61593e+06	4.48643e+06	4.5848e+06	4.30875e+06	4.43403e+06
P04425	P04425		gshB		7.92143e+06	7.89449e+06	8.01982e+06	7.75637e+06	7.5652e+06	7.84561e+06
