Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML
P0AEN1	P0AEN1		fre		9.29034e+06	9.87192e+06	9.29406e+06	1.01196e+07	8.99456e+06	9.88585e+06
P0AEN4	P0AEN4		ftsL		1.02045e+06	1.17012e+06	1.03025e+06	1.08124e+06	1.0228e+06	1.10622e+06
P0AEN8	P0AEN8		fucU		5.11502e+06	5.27864e+06	5.11948e+06	5.21253e+06	4.9308e+06	5.501e+06
P0AEP3	P0AEP3		galU		7.41186e+07	7.23318e+07	7.30875e+07	7.26418e+07	7.22462e+07	7.00992e+07
P0AEQ3	P0AEQ3		glnH		1.54655e+07	1.42819e+07	1.49404e+07	1.47769e+07	1.54589e+07	1.47847e+07
P0AEQ6	P0AEQ6		glnP		1.36047e+06	1.73202e+06	1.31781e+06	1.69165e+06	1.29989e+06	1.8295e+06
P0AES0	P0AES0		gsp		2.5217e+06	2.51679e+06	2.49712e+06	2.26751e+06	2.39882e+06	2.57076e+06
P0AES2	P0AES2		gudD		1.63906e+06	1.64349e+06	1.51325e+06	1.60541e+06	1.53972e+06	1.55787e+06
P0AES4	P0AES4		gyrA		1.40437e+07	1.44231e+07	1.38114e+07	1.44575e+07	1.37978e+07	1.38255e+07
P0AES6	P0AES6		gyrB		7.78534e+06	7.58635e+06	7.76205e+06	7.78139e+06	7.79574e+06	7.93627e+06
P0AES9	P0AES9		hdeA		5.78051e+06	5.92981e+06	5.70101e+06	5.99756e+06	5.42958e+06	6.02976e+06
P0AET2	P0AET2		hdeB		1.17778e+07	1.63473e+07	1.20874e+07	1.49652e+07	1.23436e+07	1.3938e+07
P0AEU0	P0AEU0		hisJ		3.35475e+06	3.2698e+06	3.43215e+06	3.22665e+06	3.43659e+06	3.08942e+06
P0AEU7	P0AEU7		skp		3.3489e+07	2.72071e+07	3.35444e+07	2.58931e+07	3.18459e+07	2.67736e+07
P0AEV9	P0AEV9		hycI		216239	89604.4	150369	208944	287383	250182
