Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML
P0A9A2	P0A9A2		ftnB		667391	688655	699729	801012	748181	847474
P0A9A6	P0A9A6		ftsZ		1.48504e+07	1.44916e+07	1.50551e+07	1.46407e+07	1.47676e+07	1.55287e+07
P0A9A9	P0A9A9		fur		1.92976e+07	1.8869e+07	1.90604e+07	1.92734e+07	1.96018e+07	1.92313e+07
P0A9B2	P0A9B2		gapA		3.78354e+08	3.73948e+08	3.71371e+08	3.70455e+08	3.68565e+08	3.65916e+08
P0A9B6	P0A9B6		epd		2.12182e+06	2.08598e+06	2.09096e+06	2.08191e+06	2.17956e+06	2.0689e+06
P0A9C0	P0A9C0		glpA		2.26737e+06	2.25669e+06	2.26489e+06	2.24343e+06	2.38058e+06	2.35227e+06
P0A9C3	P0A9C3		galM		7.64198e+06	7.61847e+06	7.22123e+06	8.03039e+06	7.90947e+06	7.55937e+06
P0A9C5	P0A9C5		glnA		3.67219e+07	3.71539e+07	3.72244e+07	3.81259e+07	3.77489e+07	3.76121e+07
P0A9C9	P0A9C9		glpX		5.82688e+06	5.90345e+06	5.87475e+06	5.83906e+06	5.92893e+06	6.17611e+06
P0A9D2	P0A9D2		gstA		8.01461e+06	7.78141e+06	7.62679e+06	8.03975e+06	7.88374e+06	7.72129e+06
P0A9D4	P0A9D4		cysE		3.57698e+06	3.85483e+06	3.54072e+06	3.7942e+06	3.99515e+06	3.93033e+06
P0A9D8	P0A9D8		dapD		4.10539e+07	4.08669e+07	4.12503e+07	4.03214e+07	4.0312e+07	4.03099e+07
P0A9E5	P0A9E5		fnr		7.80603e+06	8.13476e+06	7.86794e+06	8.16975e+06	8.2331e+06	7.99563e+06
P0A9F1	P0A9F1		mntR		1.12005e+06	1.20288e+06	1.24604e+06	1.4222e+06	1.38927e+06	1.34802e+06
P0A9F3	P0A9F3		cysB		4.09112e+06	4.12809e+06	4.04348e+06	4.00053e+06	3.89092e+06	4.01823e+06
P0A9F6	P0A9F6		gcvA		526522	608832	524896	448994	419122	432429
P0A9G2	P0A9G2		nhaR		1.22999e+06	1.29335e+06	1.28654e+06	1.19472e+06	1.24768e+06	1.19787e+06
P0A9G4	P0A9G4		cueR		471802	630101	599114	376201	346395	358243
P0A9G6	P0A9G6		aceA		6.37857e+06	6.60952e+06	5.84193e+06	6.23144e+06	6.26326e+06	6.10712e+06
P0A9G8	P0A9G8		modE		3.29973e+06	3.25962e+06	3.25676e+06	3.2338e+06	3.28626e+06	3.2848e+06
P0A9H1	P0A9H1		mug		2.33772e+06	2.38588e+06	2.22958e+06	2.19458e+06	2.27066e+06	2.34912e+06
P0A9H5	P0A9H5		btuR		1.01138e+06	947336	988276	901149	892289	894404
P0A9H7	P0A9H7		cfa		3.54644e+06	3.27985e+06	3.36265e+06	3.57522e+06	3.5353e+06	3.43847e+06
P0A9H9	P0A9H9		cheZ		1.96119e+06	2.08468e+06	2.07608e+06	2.21864e+06	2.13517e+06	2.0823e+06
P0A9I1	P0A9I1		citE		6.51879e+06	6.88553e+06	6.53996e+06	6.61419e+06	6.75941e+06	6.32764e+06
P0A9I3	P0A9I3		gcvR		2.44118e+06	2.36629e+06	2.42157e+06	2.51214e+06	2.58409e+06	2.51156e+06
P0A9I8	P0A9I8		nirD		2.97176e+06	3.04547e+06	3.17053e+06	3.18578e+06	3.09593e+06	3.08644e+06
P0A9J0	P0A9J0		rng		4.61671e+06	4.72361e+06	4.60877e+06	4.73189e+06	4.67505e+06	4.48413e+06
P0A9J4	P0A9J4		panE		2.72483e+06	2.95915e+06	2.79928e+06	2.97539e+06	2.88341e+06	3.02642e+06
P0A9J6	P0A9J6		rbsK		3.80552e+06	3.58973e+06	3.72683e+06	3.48568e+06	3.53443e+06	3.3416e+06
P0A9J8	P0A9J8		pheA		2.35122e+06	2.21017e+06	2.23344e+06	2.22493e+06	2.21548e+06	2.12656e+06
P0A9K3	P0A9K3		ybeZ		6.45204e+06	6.49246e+06	6.57023e+06	6.21972e+06	6.22573e+06	6.29494e+06
P0A9K7	P0A9K7		phoU		3.56603e+06	3.60234e+06	3.52708e+06	3.61002e+06	3.4468e+06	3.62827e+06
P0A9K9	P0A9K9		slyD		9.39774e+07	8.98731e+07	8.9723e+07	9.32019e+07	9.30076e+07	9.40959e+07
P0A9L3	P0A9L3		fklB		2.0156e+07	1.98273e+07	2.09515e+07	2.00291e+07	1.97783e+07	2.02283e+07
P0A9L5	P0A9L5		ppiC		2.86516e+06	2.69831e+06	2.70593e+06	2.6298e+06	2.57365e+06	2.54605e+06
P0A9L8	P0A9L8		proC		3.2102e+06	3.22747e+06	3.31173e+06	3.17166e+06	3.27741e+06	3.24725e+06
P0A9M0	P0A9M0		lon		1.01599e+07	1.01881e+07	1.00093e+07	1.02363e+07	1.02898e+07	1.03816e+07
P0A9M2	P0A9M2		hpt		5.8996e+06	5.96362e+06	5.93659e+06	6.37436e+06	6.31176e+06	6.36421e+06
P0A9M5	P0A9M5		gpt		7.54853e+07	7.44649e+07	7.49837e+07	8.31768e+07	8.09006e+07	8.01455e+07
P0A9M8	P0A9M8		pta		4.06137e+07	3.9783e+07	4.13277e+07	4.09685e+07	4.13896e+07	4.14931e+07
P0A9N4	P0A9N4		pflA		5.11501e+06	5.19219e+06	5.1433e+06	5.33e+06	5.5759e+06	5.46206e+06
P0A9N8	P0A9N8		nrdG		575438	609474	639340	632836	639398	542052
P0A9P0	P0A9P0		lpdA		3.38005e+07	3.34233e+07	3.30865e+07	3.36447e+07	3.32908e+07	3.34314e+07
P0A9P4	P0A9P4		trxB		1.03677e+07	1.04337e+07	1.05457e+07	1.05792e+07	1.08274e+07	1.06081e+07
P0A9P6	P0A9P6		deaD		1.02181e+07	1.02361e+07	1.01287e+07	9.8494e+06	1.00266e+07	1.01636e+07
P0A9Q1	P0A9Q1		arcA		2.59168e+07	2.58329e+07	2.53528e+07	2.6859e+07	2.6992e+07	2.7729e+07
P0A9Q5	P0A9Q5		accD		1.66941e+07	1.62661e+07	1.63194e+07	1.69229e+07	1.65641e+07	1.6558e+07
P0A9Q7	P0A9Q7		adhE		2.043e+08	2.04448e+08	2.06941e+08	2.04869e+08	2.04727e+08	2.03799e+08
P0A9Q9	P0A9Q9		asd		2.11716e+07	2.00655e+07	2.08811e+07	2.03909e+07	2.04716e+07	2.08489e+07
P0A9R4	P0A9R4		fdx		8.4964e+06	8.72341e+06	8.3875e+06	8.49945e+06	8.8475e+06	9.04058e+06
P0A9R7	P0A9R7		ftsE		2.88957e+06	3.09216e+06	2.95861e+06	3.09375e+06	3.02873e+06	2.90363e+06
P0A9S1	P0A9S1		fucO		1.36864e+06	1.50006e+06	1.31956e+06	1.27802e+06	1.2639e+06	1.07865e+06
P0A9S5	P0A9S5		gldA		1.6694e+07	1.70489e+07	1.65253e+07	1.61343e+07	1.58926e+07	1.56315e+07
P0A9T0	P0A9T0		serA		7.58482e+06	7.48592e+06	7.6251e+06	7.49075e+06	7.72217e+06	7.61036e+06
P0A9T4	P0A9T4		tas		9.88697e+06	9.5733e+06	9.80131e+06	9.64329e+06	9.55858e+06	9.60053e+06
P0A9T6	P0A9T6		ybaQ		1.17471e+06	1.20583e+06	1.13982e+06	1.26813e+06	960864	1.18721e+06
P0A9T8	P0A9T8		ybbA		854107	838660	847433	727368	803360	840485
P0A9U1	P0A9U1		ybhF		602535	639027	486874	570242	515072	494206
P0A9U3	P0A9U3		ybiT		6.17364e+06	6.15398e+06	6.1762e+06	6.49009e+06	6.50397e+06	6.41438e+06
P0A9V1	P0A9V1		lptB		5.44477e+06	5.39326e+06	5.37422e+06	5.34722e+06	5.39189e+06	5.43646e+06
P0A9W0	P0A9W0		ulaR		939461	969566	969300	875634	906865	839987
P0A9W3	P0A9W3		yjjK		9.74433e+06	9.79334e+06	9.45751e+06	9.90404e+06	9.86809e+06	9.50716e+06
P0A9W6	P0A9W6		yrbA		6.56684e+06	6.41041e+06	6.95969e+06	7.49932e+06	7.30111e+06	7.83435e+06
P0A9W9	P0A9W9		yrdA		5.4613e+06	5.22515e+06	5.26734e+06	5.66441e+06	5.50648e+06	5.62053e+06
P0A9X4	P0A9X4		mreB		9.4985e+06	9.51224e+06	9.48924e+06	9.73406e+06	9.83015e+06	9.63527e+06
P0A9X9	P0A9X9		cspA		2.71332e+07	2.75686e+07	2.76981e+07	2.62369e+07	2.68299e+07	2.70583e+07
P0A9Y6	P0A9Y6		cspC		1.30216e+08	1.32366e+08	1.33451e+08	1.28245e+08	1.2784e+08	1.24461e+08
P0A9Z1	P0A9Z1		glnB		1.53329e+07	1.48581e+07	1.43229e+07	1.40338e+07	1.45659e+07	1.39429e+07
P0AA04	P0AA04		ptsH		5.60125e+07	5.69857e+07	5.39468e+07	6.56656e+07	6.02549e+07	6.19833e+07
P0AA10	P0AA10		rplM		8.17136e+07	8.39509e+07	8.12632e+07	8.63666e+07	8.66216e+07	8.98907e+07
P0AA16	P0AA16		ompR		1.06119e+07	1.04868e+07	1.10667e+07	1.04503e+07	1.027e+07	1.02791e+07
P0AA25	P0AA25		trxA		2.86505e+07	2.83861e+07	2.89536e+07	2.83963e+07	2.83109e+07	2.7108e+07
P0AA31	P0AA31		yedF		3.77677e+06	4.08938e+06	4.14984e+06	3.83655e+06	3.94157e+06	3.95498e+06
P0AA39	P0AA39		rluC		1.05544e+06	963541	991020	989654	1.00863e+06	1.05104e+06
P0AA43	P0AA43		rsuA		5.05476e+06	5.00547e+06	5.12807e+06	4.78267e+06	4.86024e+06	4.8096e+06
P0AA53	P0AA53		qmcA		1.7462e+06	2.20708e+06	1.89912e+06	2.04497e+06	2.04965e+06	2.10176e+06
P0AA86	P0AA86		dsbE		1.89183e+06	1.85341e+06	1.98531e+06	1.92206e+06	1.74011e+06	1.97101e+06
P0AA91	P0AA91		yeaY		1.56548e+06	1.65842e+06	1.58368e+06	1.41624e+06	1.52018e+06	1.40832e+06
P0AA93	P0AA93		ypdA		385279	413184	335821	388253	345387	232541
P0AA95	P0AA95		yacC		1.2321e+06	1.12748e+06	1.22713e+06	1.09638e+06	1.09619e+06	1.1427e+06
P0AA97	P0AA97		yaeQ		1.07489e+06	981779	967705	1.0445e+06	1.08039e+06	1.0134e+06
P0AAA1	P0AAA1		yagU		6.59678e+06	6.75078e+06	7.19628e+06	7.02709e+06	7.05846e+06	7.62608e+06
P0AAB4	P0AAB4		ubiD		2.21446e+06	2.09068e+06	2.32192e+06	2.61937e+06	2.40837e+06	2.13316e+06
P0AAB6	P0AAB6		galF		1.22179e+07	1.21746e+07	1.20577e+07	1.28912e+07	1.27706e+07	1.29328e+07
P0AAB8	P0AAB8		uspD		3.43911e+06	3.30625e+06	3.09763e+06	3.31122e+06	3.12467e+06	3.45945e+06
P0AAC0	P0AAC0		uspE		5.70522e+06	5.62687e+06	5.60114e+06	5.13425e+06	5.09887e+06	4.88665e+06
P0AAC8	P0AAC8		iscA		7.06284e+06	6.96435e+06	7.23084e+06	6.64509e+06	6.51648e+06	6.44219e+06
P0AAD6	P0AAD6		sdaC		202537	186816	225056	203043	220388	216377
P0AAF6	P0AAF6		artP		1.18252e+06	1.02855e+06	1.20245e+06	1.06172e+06	1.18128e+06	1.11485e+06
P0AAG3	P0AAG3		gltL		576462	568356	444291	533361	506600	509155
P0AAH0	P0AAH0		pstB		1.16591e+06	1.16548e+06	1.18288e+06	1.02643e+06	1.03408e+06	949459
P0AAH8	P0AAH8		sapF		542945	645849	600748	582673	557027	563866
P0AAI3	P0AAI3		ftsH		1.26121e+07	1.25358e+07	1.23966e+07	1.28476e+07	1.27491e+07	1.29614e+07
P0AAI5	P0AAI5		fabF		4.82079e+07	4.88737e+07	4.86623e+07	5.13915e+07	5.28093e+07	5.12447e+07
P0AAI9	P0AAI9		fabD		5.39715e+06	5.46028e+06	5.3162e+06	5.30143e+06	5.42232e+06	5.31412e+06
P0AAJ3	P0AAJ3		fdnH		4.57293e+06	4.64016e+06	4.80655e+06	4.82074e+06	4.86718e+06	4.6997e+06
P0AAJ5	P0AAJ5		fdoH		4.14806e+06	4.09292e+06	3.95845e+06	3.81918e+06	3.68758e+06	3.7076e+06
P0AAJ8	P0AAJ8		hybA		1.81377e+06	1.93148e+06	1.96211e+06	2.06179e+06	2.0407e+06	2.09526e+06
P0AAK1	P0AAK1		hycB		1.44221e+06	1.41605e+06	1.52054e+06	1.6108e+06	1.59872e+06	1.63482e+06
P0AAN1	P0AAN1		hybE		1.30228e+06	1.31537e+06	1.39932e+06	1.32098e+06	1.30616e+06	1.4127e+06
P0AAN3	P0AAN3		hypB		2.72863e+06	2.67235e+06	2.76549e+06	2.91009e+06	2.70579e+06	2.8392e+06
