Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML
O00762ups|UBE2C_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		3	3		6.90924e+06		7.13972e+06		7.075e+06
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		5	5		2.14722e+07		2.34395e+07		2.33546e+07
P00167ups|CYB5_HUMAN_UPS	Cytochrome	Cytochrome		3	3		6.18728e+06		6.16994e+06		6.70744e+06
P00350	6PGD_ECOLI	gnd	6-phosphogluconate dehydrogenase, decarboxylating	27	27	3.68129e+08	3.55068e+08	3.62337e+08	3.54437e+08	3.531e+08	3.4791e+08
P00363	FRDA_ECOLI	frdA	Fumarate reductase flavoprotein subunit	28	28	2.34195e+08	2.26919e+08	2.15843e+08	2.31622e+08	2.26125e+08	2.26456e+08
P00370	DHE4_ECOLI	gdhA	NADP-specific glutamate dehydrogenase	11	11	1.83571e+07	1.66975e+07	1.6828e+07	1.70561e+07	1.85394e+07	1.59273e+07
P00393	DHNA_ECOLI	ndh	NADH dehydrogenase	18	18	3.73913e+07	3.56723e+07	3.62461e+07	3.5902e+07	3.78799e+07	3.68723e+07
P00448	SODM_ECOLI	sodA	Superoxide dismutase [Mn]	7	7	4.89393e+07	4.65216e+07	4.5388e+07	4.54652e+07	4.72404e+07	4.45888e+07
P00452	RIR1_ECOLI	nrdA	Ribonucleoside-diphosphate reductase 1 subunit alpha	31	31	4.2618e+07	4.18978e+07	4.20318e+07	4.13038e+07	4.24018e+07	4.10992e+07
P00490	PHSM_ECOLI	malP	Maltodextrin phosphorylase	31	31	4.00953e+07	4.05101e+07	4.04244e+07	4.04914e+07	4.10747e+07	3.98832e+07
P00509	AAT_ECOLI	aspC	Aspartate aminotransferase	27	27	1.01747e+08	9.90206e+07	9.94247e+07	1.01451e+08	9.88822e+07	9.74464e+07
P00547	KHSE_ECOLI	thrB	Homoserine kinase	2	2	3.65148e+06	4.36492e+06	4.01517e+06	4.45038e+06	4.09021e+06	3.65845e+06
P00550	PTM3C_ECOLI	mtlA	PTS system mannitol-specific EIICBA component	5	5	3.61078e+06	3.35641e+06	3.62718e+06	3.9088e+06	3.5968e+06	3.6833e+06
P00561	AK1H_ECOLI	thrA	Bifunctional aspartokinase/homoserine dehydrogenase 1	13	13	1.54726e+07	1.59959e+07	1.64313e+07	1.59872e+07	1.60078e+07	1.60596e+07
P00562	AK2H_ECOLI	metL	Bifunctional aspartokinase/homoserine dehydrogenase 2	16	16	8.29142e+06	8.48122e+06	8.75861e+06	8.90014e+06	8.68802e+06	8.5064e+06
P00579	RPOD_ECOLI	rpoD	RNA polymerase sigma factor RpoD	19	18	8.25379e+07	8.45411e+07	8.19288e+07	8.87552e+07	8.5661e+07	8.52669e+07
P00582	DPO1_ECOLI	polA	DNA polymerase I	42	42	2.38087e+07	2.37467e+07	2.37041e+07	2.38628e+07	2.37134e+07	2.42848e+07
P00803	LEP_ECOLI	lepB	Signal peptidase I	7	7	1.50678e+07	1.48679e+07	1.46237e+07	1.44255e+07	1.40943e+07	1.38945e+07
P00805	ASPG2_ECOLI	ansB	L-asparaginase 2	19	19	1.35575e+08	1.35071e+08	1.36158e+08	1.36527e+08	1.36549e+08	1.37101e+08
P00811	AMPC_ECOLI	ampC	Beta-lactamase	5	5	4.85913e+06	4.47163e+06	5.11688e+06	5.00248e+06	4.48984e+06	5.01536e+06
P00861	DCDA_ECOLI	lysA	Diaminopimelate decarboxylase	2	2	1.32495e+06	1.24408e+06	1.02073e+06	757624	1.41519e+06	1.15488e+06
P00864	CAPP_ECOLI	ppc	Phosphoenolpyruvate carboxylase	41	41	6.66711e+07	6.50375e+07	6.48255e+07	6.63464e+07	6.54552e+07	6.5198e+07
P00887	AROH_ECOLI	aroH	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive	4	4	8.60961e+06	8.90661e+06	8.06652e+06	8.8068e+06	7.65837e+06	9.22131e+06
P00888	AROF_ECOLI	aroF	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive	8	7	1.10487e+07	1.072e+07	1.08262e+07	1.13649e+07	1.10096e+07	1.126e+07
P00892	ILVG_ECOLI	ilvG	Acetolactate synthase isozyme 2 large subunit	2	2		303283	358100	362674	413924	339748
P00894	ILVH_ECOLI	ilvH	Acetolactate synthase isozyme 3 small subunit	3	3	941761	954440	1.04296e+06	963008	998568	981094
P00909	TRPC_ECOLI	trpC	Tryptophan biosynthesis protein TrpCF	1	1				1.20812e+06		
P00914	PHR_ECOLI	phrB	Deoxyribodipyrimidine photo-lyase	5	5	1.07648e+06	1.13971e+06	1.1826e+06	1.18718e+06	1.12857e+06	1.19673e+06
P00915ups|CAH1_HUMAN_UPS	Carbonic	Carbonic		6	6		7.14265e+06		6.96541e+06		6.68047e+06
P00918ups|CAH2_HUMAN_UPS	Carbonic	Carbonic		7	7		1.78218e+07		1.75194e+07		1.81684e+07
P00926	SDHD_ECOLI	dsdA	D-serine dehydratase	4	4	2.53484e+06	2.17445e+06	2.57724e+06	2.33227e+06	2.60579e+06	2.37874e+06
P00934	THRC_ECOLI	thrC	Threonine synthase	14	14	1.90697e+07	1.98352e+07	1.8931e+07	1.94771e+07	1.8954e+07	1.9398e+07
P00935	METB_ECOLI	metB	Cystathionine gamma-synthase	2	2	2.12194e+06	2.19743e+06	1.82869e+06	2.53078e+06	1.87081e+06	1.83613e+06
P00936	CYAA_ECOLI	cyaA	Adenylate cyclase	2	2		2.94932e+06		2.52334e+06	2.41573e+06	2.45074e+06
P00946	MANA_ECOLI	manA	Mannose-6-phosphate isomerase	11	11	5.37216e+07	5.25339e+07	5.22525e+07	5.09235e+07	5.51677e+07	5.29234e+07
P00954	SYW_ECOLI	trpS	Tryptophan--tRNA ligase	13	13	8.95711e+07	9.53414e+07	9.12909e+07	9.81212e+07	8.88487e+07	9.9208e+07
P00956	SYI_ECOLI	ileS	Isoleucine--tRNA ligase	37	37	1.19231e+08	1.20138e+08	1.16089e+08	1.21501e+08	1.19657e+08	1.20668e+08
P00957	SYA_ECOLI	alaS	Alanine--tRNA ligase	42	42	1.31581e+08	1.34366e+08	1.28816e+08	1.353e+08	1.28618e+08	1.32831e+08
P00959	SYM_ECOLI	metG	Methionine--tRNA ligase	34	34	6.26029e+07	6.32187e+07	6.18668e+07	6.25575e+07	6.27101e+07	6.28117e+07
P00960	SYGA_ECOLI	glyQ	Glycine--tRNA ligase alpha subunit	9	9	3.43274e+07	3.27616e+07	3.4199e+07	3.19795e+07	3.57232e+07	3.16415e+07
P00961	SYGB_ECOLI	glyS	Glycine--tRNA ligase beta subunit	40	40	7.9494e+07	7.86239e+07	7.708e+07	7.97494e+07	7.91428e+07	7.71482e+07
P00962	SYQ_ECOLI	glnS	Glutamine--tRNA ligase	28	28	7.62806e+07	8.09184e+07	7.49783e+07	8.05152e+07	7.67523e+07	7.9144e+07
P00963	ASNA_ECOLI	asnA	Aspartate--ammonia ligase	10	10	1.14078e+08	1.20045e+08	1.13443e+08	1.16901e+08	1.1094e+08	1.11862e+08
P00968	CARB_ECOLI	carB	Carbamoyl-phosphate synthase large chain	32	32	1.94689e+07	1.9121e+07	1.91767e+07	1.94663e+07	1.96993e+07	1.90697e+07
P01008ups|ANT3_HUMAN_UPS	Antithrombin-III	Antithrombin-III		7	7		1.59144e+07		1.56096e+07		1.57136e+07
P01112ups|RASH_HUMAN_UPS	GTPase	GTPase		5	5		1.0771e+07		1.08982e+07		1.05396e+07
P01127ups|PDGFB_HUMAN_UPS	Platelet-derived	Platelet-derived		3	3		1.25444e+07		1.24539e+07		1.25175e+07
P01344ups|IGF2_HUMAN_UPS	Insulin-like	Insulin-like		1	1				5.74439e+06		6.89389e+06
P01375ups|TNFA_HUMAN_UPS	Tumor	Tumor		3	3		8.51952e+06		9.00782e+06		8.12707e+06
P01579ups|IFNG_HUMAN_UPS	Interferon	Interferon		4	4		1.36549e+07		1.41394e+07		1.40419e+07
P02144ups|MYG_HUMAN_UPS	Myoglobin	Myoglobin		6	6		1.39462e+07		1.5229e+07		1.41647e+07
P02358	RS6_ECOLI	rpsF	30S ribosomal protein S6	10	10	9.06899e+08	9.54257e+08	8.69998e+08	1.01154e+09	9.04605e+08	9.77629e+08
P02359	RS7_ECOLI	rpsG	30S ribosomal protein S7	14	14	1.02683e+09	1.02574e+09	9.94729e+08	1.05075e+09	9.69742e+08	1.03571e+09
P02413	RL15_ECOLI	rplO	50S ribosomal protein L15	12	12	8.59667e+08	8.56476e+08	8.60461e+08	8.92478e+08	8.71491e+08	8.67568e+08
P02768ups|ALBU_HUMAN_UPS	Serum	Serum		12	12		2.58944e+07		2.6011e+07		2.59145e+07
P02787ups|TRFE_HUMAN_UPS	Serotransferrin	Serotransferrin		10	10		1.52639e+07		1.55721e+07		1.48876e+07
P02788ups|TRFL_HUMAN_UPS	Lactotransferrin	Lactotransferrin		13	13		2.08319e+07		2.00741e+07		2.01127e+07
P02918	PBPA_ECOLI	mrcA	Penicillin-binding protein 1A	9	9	5.79885e+07	5.85162e+07	6.41142e+07	5.8562e+07	5.72904e+07	5.59382e+07
P02919	PBPB_ECOLI	mrcB	Penicillin-binding protein 1B	16	16	4.02767e+07	4.10221e+07	4.25318e+07	4.37223e+07	4.19932e+07	4.07038e+07
P02925	RBSB_ECOLI	rbsB	D-ribose-binding periplasmic protein	14	14	4.2377e+07	4.32372e+07	4.12511e+07	4.32006e+07	4.17349e+07	4.09434e+07
P02930	TOLC_ECOLI	tolC	Outer membrane protein TolC	16	16	1.30238e+08	1.2681e+08	1.24958e+08	1.26259e+08	1.22897e+08	1.26811e+08
P02931	OMPF_ECOLI	ompF	Outer membrane protein F	19	18	2.06595e+08	1.93724e+08	2.04426e+08	1.94916e+08	1.99258e+08	1.88324e+08
P02932	PHOE_ECOLI	phoE	Outer membrane pore protein E	3	3	1.32068e+06	1.57155e+06	1.16128e+06	1.48431e+06	1.29127e+06	1.42901e+06
P02942	MCP1_ECOLI	tsr	Methyl-accepting chemotaxis protein I	12	12	4.03532e+07	4.47016e+07	4.32188e+07	4.6063e+07	4.28671e+07	4.32657e+07
P02943	LAMB_ECOLI	lamB	Maltoporin	8	8	8.88997e+06	9.64707e+06	8.34988e+06	9.32043e+06	9.3352e+06	9.17041e+06
P03004	DNAA_ECOLI	dnaA	Chromosomal replication initiator protein DnaA	12	12	6.64289e+06	6.9738e+06	6.95082e+06	6.67109e+06	7.0494e+06	6.43469e+06
P03007	DPO3E_ECOLI	dnaQ	DNA polymerase III subunit epsilon	3	3	1.13084e+06	1.32311e+06	1.34505e+06	1.15086e+06	1.51723e+06	861026
P03018	UVRD_ECOLI	uvrD	DNA helicase II	11	11	7.88101e+06	7.37544e+06	7.73624e+06	7.8044e+06	7.87254e+06	7.50662e+06
P03023	LACI_ECOLI	lacI	Lactose operon repressor	4	4	2.04435e+06	2.11506e+06	2.24854e+06	2.21402e+06	1.97866e+06	1.56136e+06
P03024	GALR_ECOLI	galR	HTH-type transcriptional regulator GalR	2	2	7.60194e+06	7.2431e+06	7.72667e+06	7.93013e+06	6.56122e+06	7.7649e+06
P03813	YGEA_ECOLI	ygeA	Uncharacterized protein YgeA	1	1		475130			456592	384468
P03817	MIOC_ECOLI	mioC	Protein MioC	1	1	3.79828e+07	3.77677e+07	3.76117e+07	3.85102e+07	3.70432e+07	3.59127e+07
P03841	MALM_ECOLI	malM	Maltose operon periplasmic protein	6	6	3.56416e+07	3.46478e+07	3.42551e+07	3.35405e+07	3.40466e+07	3.44229e+07
P04036	DAPB_ECOLI	dapB	4-hydroxy-tetrahydrodipicolinate reductase	9	9	3.33597e+07	3.298e+07	3.28084e+07	3.39527e+07	3.40304e+07	3.33059e+07
P04040ups|CATA_HUMAN_UPS	Catalase	Catalase		4	4		2.38728e+06		2.19005e+06		2.35284e+06
P04079	GUAA_ECOLI	guaA	GMP synthase [glutamine-hydrolyzing]	26	26	8.46479e+07	8.33608e+07	8.1996e+07	8.39912e+07	8.40729e+07	8.19642e+07
P04335	FRSA_ECOLI	frsA	Esterase FrsA	14	14	1.67154e+07	1.65784e+07	1.62417e+07	1.68785e+07	1.60674e+07	1.69589e+07
P04425	GSHB_ECOLI	gshB	Glutathione synthetase	14	14	3.49022e+07	3.57822e+07	3.57724e+07	3.53591e+07	3.86205e+07	3.50641e+07
P04693	TYRB_ECOLI	tyrB	Aromatic-amino-acid aminotransferase	4	4	2.50039e+07	2.4222e+07	2.41618e+07	2.54032e+07	2.43704e+07	2.49906e+07
P04805	SYE_ECOLI	gltX	Glutamate--tRNA ligase	22	22	1.40093e+08	1.40135e+08	1.36241e+08	1.40427e+08	1.41081e+08	1.40075e+08
P04825	AMPN_ECOLI	pepN	Aminopeptidase N	29	29	8.29067e+07	8.46628e+07	8.0995e+07	8.2951e+07	8.46909e+07	7.94284e+07
P04846	NLPA_ECOLI	nlpA	Lipoprotein 28	3	3	8.02018e+06	7.0327e+06	7.44103e+06	7.90017e+06	7.89968e+06	7.81593e+06
P04949	FLIC_ECOLI	fliC	Flagellin	15	15	4.08694e+08	3.75926e+08	3.77771e+08	3.88144e+08	3.72025e+08	3.8965e+08
P04951	KDSB_ECOLI	kdsB	3-deoxy-manno-octulosonate cytidylyltransferase	6	6	3.67119e+07	3.81262e+07	3.77158e+07	3.70999e+07	3.71744e+07	3.68108e+07
P04968	ILVA_ECOLI	ilvA	L-threonine dehydratase biosynthetic IlvA	5	5	1.83001e+06	1.77851e+06	1.52861e+06	1.7028e+06	1.68768e+06	1.80686e+06
P04982	RBSD_ECOLI	rbsD	D-ribose pyranase	1	1	5.1085e+06	4.3412e+06	4.95408e+06	5.31759e+06	5.3951e+06	4.92794e+06
P04994	EX7L_ECOLI	xseA	Exodeoxyribonuclease 7 large subunit	3	3	4.62599e+06	5.80873e+06	6.9368e+06	4.18224e+06	6.66945e+06	4.65279e+06
P04995	EX1_ECOLI	sbcB	Exodeoxyribonuclease I	8	8	1.21336e+07	1.12176e+07	1.08582e+07	1.19557e+07	1.29324e+07	1.18986e+07
P05020	PYRC_ECOLI	pyrC	Dihydroorotase	11	11	1.87149e+07	1.89984e+07	1.84883e+07	1.95217e+07	1.86907e+07	1.89274e+07
P05041	PABB_ECOLI	pabB	Para-aminobenzoate synthase component 1	4	4	4.76025e+06	5.02457e+06	5.28158e+06	5.18562e+06	5.01752e+06	5.1339e+06
P05055	PNP_ECOLI	pnp	Polyribonucleotide nucleotidyltransferase	36	36	1.95761e+08	2.02188e+08	1.91132e+08	2.03308e+08	1.96425e+08	1.96429e+08
