Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML
P02925	P02925		rbsB		9.38932e+06	9.20099e+06	9.3583e+06	9.3834e+06	9.4905e+06	9.08789e+06
P02930	P02930		tolC		2.61663e+07	2.52626e+07	2.55425e+07	2.608e+07	2.59775e+07	2.58526e+07
P02931	P02931		ompF		3.88228e+07	3.81616e+07	3.89242e+07	3.75449e+07	3.87632e+07	4.09601e+07
P02942	P02942		tsr		1.11619e+07	1.15191e+07	1.13891e+07	1.12229e+07	1.12521e+07	1.08062e+07
P02943	P02943		lamB		1.39939e+06	1.55149e+06	1.55511e+06	1.41099e+06	1.4132e+06	1.5247e+06
P03004	P03004		dnaA		1.92317e+06	1.83361e+06	2.05706e+06	1.87176e+06	1.97094e+06	1.91934e+06
P03018	P03018		uvrD		1.86935e+06	1.79564e+06	1.8637e+06	1.77762e+06	1.84881e+06	2.05228e+06
P03817	P03817		mioC		9.97077e+06	9.77692e+06	1.00406e+07	1.01869e+07	9.5369e+06	9.14458e+06
P03841	P03841		malM		1.02864e+07	1.01245e+07	1.06225e+07	1.04538e+07	9.81953e+06	9.46151e+06
P04036	P04036		dapB		5.88389e+06	5.44125e+06	5.44892e+06	5.64105e+06	5.45074e+06	4.98663e+06
P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)	P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)				757537	1.34715e+06	1.47606e+06	719783	696252	1.41403e+06
P04079	P04079		guaA		2.07778e+07	2.09232e+07	2.06634e+07	2.06045e+07	2.07501e+07	1.94843e+07
P04335	P04335		frsA		4.55089e+06	4.62641e+06	4.65888e+06	4.58819e+06	4.73702e+06	4.0367e+06
P04425	P04425		gshB		1.28837e+07	1.32814e+07	1.34155e+07	1.31668e+07	1.29181e+07	1.25084e+07
P04693	P04693		tyrB		4.00818e+06	3.987e+06	3.97398e+06	4.15524e+06	3.65909e+06	4.52314e+06
P04805	P04805		gltX		2.37389e+07	2.34271e+07	2.357e+07	2.35429e+07	2.36636e+07	2.3175e+07
P04825	P04825		pepN		1.71711e+07	1.76955e+07	1.79163e+07	1.72052e+07	1.7692e+07	1.6059e+07
P04846	P04846		nlpA		3.44323e+06	3.14326e+06	3.219e+06	3.53108e+06	3.12308e+06	3.33334e+06
P04949	P04949		fliC		4.09692e+07	3.83657e+07	3.8212e+07	4.21705e+07	4.1024e+07	3.56769e+07
P04951	P04951		kdsB		5.60944e+06	5.541e+06	5.39597e+06	5.74271e+06	5.68135e+06	5.50612e+06
P04982	P04982		rbsD		1.1622e+06	1.17071e+06	1.1556e+06	1.05754e+06	1.12858e+06	1.02217e+06
P04995	P04995		sbcB		1.12931e+07	1.29085e+07	1.29848e+07	1.11777e+07	1.23271e+07	1.28197e+07
P05020	P05020		pyrC		6.64423e+06	6.31159e+06	6.11012e+06	6.60043e+06	6.53453e+06	6.36714e+06
P05041	P05041		pabB		1.83527e+06	1.60565e+06	1.87594e+06	1.8807e+06	1.78874e+06	2.24993e+06
P05055	P05055		pnp		4.66712e+07	4.66377e+07	4.67987e+07	4.67181e+07	4.57146e+07	4.3695e+07
P05100	P05100		tag		1.95731e+06	1.62156e+06	1.41596e+06	1.67967e+06	2.11988e+06	1.68555e+06
P05194	P05194		aroD		1.0069e+06	1.10434e+06	1.19438e+06	1.02731e+06	1.1041e+06	1.25915e+06
P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)	P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)				4.30354e+06	7.50006e+06	7.80536e+06	4.43732e+06	4.1813e+06	6.62924e+06
P05458	P05458		ptrA		982215	997647	952392	1.03103e+06	943549	1.00042e+06
P05459	P05459		pdxB		6.24088e+06	6.02052e+06	6.06774e+06	6.13925e+06	6.26284e+06	5.88561e+06
P05637	P05637		apaH		1.50639e+06	1.26036e+06	1.35385e+06	1.52581e+06	1.44463e+06	1.30938e+06
P05719	P05719		hsdS		1.47841e+06	1.3514e+06	1.40113e+06	1.46784e+06	1.30189e+06	1.48225e+06
P05791	P05791		ilvD		3.48344e+06	3.39862e+06	3.35722e+06	3.40996e+06	3.26725e+06	3.50429e+06
P05793	P05793		ilvC		5.58565e+06	5.65057e+06	5.39377e+06	5.62952e+06	5.45422e+06	5.15155e+06
P05825	P05825		fepA		2.07682e+06	2.11639e+06	2.05271e+06	2.16333e+06	2.13222e+06	1.97279e+06
P05852	P05852		gcp		2.6313e+06	2.76877e+06	2.807e+06	2.78635e+06	2.81962e+06	2.85681e+06
P06129	P06129		btuB		1.52584e+07	1.64735e+07	1.62385e+07	1.52816e+07	1.48924e+07	1.53515e+07
P06149	P06149		dld		7.59683e+06	7.40798e+06	7.67894e+06	7.50744e+06	7.06384e+06	5.8975e+06
P06282	P06282		cdh		2.61809e+06	2.44532e+06	2.47817e+06	2.48598e+06	2.54226e+06	2.70593e+06
P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human)	P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human)				1.32843e+06	2.35885e+06	2.47907e+06	1.31748e+06	1.1854e+06	2.58166e+06
P06610	P06610		btuE		9.18222e+06	9.86333e+06	9.67465e+06	9.02762e+06	9.41929e+06	8.75029e+06
P06612	P06612		topA		5.82656e+06	6.00369e+06	5.941e+06	6.13281e+06	5.832e+06	6.25567e+06
P06616	P06616		era		3.95826e+06	4.12974e+06	4.14125e+06	4.02323e+06	3.90314e+06	3.95437e+06
P06709	P06709		birA		970065	962843	970344	969352	1.0872e+06	1.02674e+06
P06710	P06710		dnaX		1.43371e+06	1.22432e+06	1.37196e+06	1.44765e+06	1.37925e+06	1.3437e+06
P06715	P06715		gor		4.52699e+06	4.70734e+06	4.68522e+06	4.39807e+06	4.32636e+06	4.50113e+06
