Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML
DECOY_sp|P07026|SDIA_ECOLI Regulatory protein SdiA OS=Escherichia coli (strain K12) GN=sdiA PE=1 SV=2	DECOY_sp|P07026|SDIA_ECOLI Regulatory protein SdiA OS=Escherichia coli (strain K12) GN=sdiA PE=1 SV=2				1.12318e+06	1.31797e+06	1.34098e+06	1.00118e+06	1.06146e+06	1.15e+06
DECOY_sp|P0A6W3|MRAY_ECOLI Phospho-N-acetylmuramoyl-pentapeptide-transferase OS=Escherichia coli (strain K12) GN=mraY PE=1 SV=1	DECOY_sp|P0A6W3|MRAY_ECOLI Phospho-N-acetylmuramoyl-pentapeptide-transferase OS=Escherichia coli (strain K12) GN=mraY PE=1 SV=1				727204	508996	699321	536986	687702	567865
DECOY_sp|P0A9F1|MNTR_ECOLI Transcriptional regulator MntR OS=Escherichia coli (strain K12) GN=mntR PE=1 SV=1	DECOY_sp|P0A9F1|MNTR_ECOLI Transcriptional regulator MntR OS=Escherichia coli (strain K12) GN=mntR PE=1 SV=1				812767	1.00101e+06	919638	910284	798536	840591
DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1	DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1				2.3568e+07	2.68844e+07	2.23942e+07	2.28727e+07	2.17539e+07	2.60963e+07
DECOY_sp|P0ABZ1|FLIG_ECOLI Flagellar motor switch protein FliG OS=Escherichia coli (strain K12) GN=fliG PE=1 SV=1	DECOY_sp|P0ABZ1|FLIG_ECOLI Flagellar motor switch protein FliG OS=Escherichia coli (strain K12) GN=fliG PE=1 SV=1				611185	817606			597931	769949
DECOY_sp|P0AC78|WECA_ECOLI Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase OS=Escherichia coli (strain K12) GN=wecA PE=1 SV=1	DECOY_sp|P0AC78|WECA_ECOLI Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase OS=Escherichia coli (strain K12) GN=wecA PE=1 SV=1							7.29058e+06	7.0412e+06	6.73696e+06
DECOY_sp|P0ACP1|CRA_ECOLI Catabolite repressor/activator OS=Escherichia coli (strain K12) GN=cra PE=1 SV=1	DECOY_sp|P0ACP1|CRA_ECOLI Catabolite repressor/activator OS=Escherichia coli (strain K12) GN=cra PE=1 SV=1				489880		402560			
DECOY_sp|P0ADX5|YHFG_ECOLI Uncharacterized protein YhfG OS=Escherichia coli (strain K12) GN=yhfG PE=4 SV=1	DECOY_sp|P0ADX5|YHFG_ECOLI Uncharacterized protein YhfG OS=Escherichia coli (strain K12) GN=yhfG PE=4 SV=1					770821				
DECOY_sp|P0ADX9|RSMD_ECOLI Ribosomal RNA small subunit methyltransferase D OS=Escherichia coli (strain K12) GN=rsmD PE=1 SV=1	DECOY_sp|P0ADX9|RSMD_ECOLI Ribosomal RNA small subunit methyltransferase D OS=Escherichia coli (strain K12) GN=rsmD PE=1 SV=1				3.6246e+06	3.88709e+06	4.0516e+06	3.95882e+06	3.84036e+06	4.02052e+06
DECOY_sp|P0AEH1|RSEP_ECOLI Regulator of sigma E protease OS=Escherichia coli (strain K12) GN=rseP PE=1 SV=1	DECOY_sp|P0AEH1|RSEP_ECOLI Regulator of sigma E protease OS=Escherichia coli (strain K12) GN=rseP PE=1 SV=1				1.11749e+06	1.02709e+06	1.06294e+06	994781	1.12452e+06	1.06198e+06
DECOY_sp|P0CE48|EFTU2_ECOLI Elongation factor Tu 2 OS=Escherichia coli (strain K12) GN=tufB PE=1 SV=1	DECOY_sp|P0CE48|EFTU2_ECOLI Elongation factor Tu 2 OS=Escherichia coli (strain K12) GN=tufB PE=1 SV=1				4.09638e+06	4.92512e+06	3.97199e+06	4.57052e+06	4.6233e+06	5.3434e+06
DECOY_sp|P25549|ASLA_ECOLI Arylsulfatase OS=Escherichia coli (strain K12) GN=aslA PE=3 SV=2	DECOY_sp|P25549|ASLA_ECOLI Arylsulfatase OS=Escherichia coli (strain K12) GN=aslA PE=3 SV=2				1.28701e+06	1.48517e+06	1.31491e+06	1.36964e+06	1.16701e+06	1.50572e+06
DECOY_sp|P27238|YFED_ECOLI Uncharacterized protein YfeD OS=Escherichia coli (strain K12) GN=yfeD PE=4 SV=3	DECOY_sp|P27238|YFED_ECOLI Uncharacterized protein YfeD OS=Escherichia coli (strain K12) GN=yfeD PE=4 SV=3				809168	825682	807845	1.0769e+06	995051	878959
DECOY_sp|P32701|YJCC_ECOLI Uncharacterized membrane protein YjcC OS=Escherichia coli (strain K12) GN=yjcC PE=1 SV=2	DECOY_sp|P32701|YJCC_ECOLI Uncharacterized membrane protein YjcC OS=Escherichia coli (strain K12) GN=yjcC PE=1 SV=2							1.38328e+06		
DECOY_sp|P33235|FLGK_ECOLI Flagellar hook-associated protein 1 OS=Escherichia coli (strain K12) GN=flgK PE=3 SV=3	DECOY_sp|P33235|FLGK_ECOLI Flagellar hook-associated protein 1 OS=Escherichia coli (strain K12) GN=flgK PE=3 SV=3					1.79538e+06				
DECOY_sp|P39356|YJHU_ECOLI Uncharacterized transcriptional regulator YjhU OS=Escherichia coli (strain K12) GN=yjhU PE=3 SV=2	DECOY_sp|P39356|YJHU_ECOLI Uncharacterized transcriptional regulator YjhU OS=Escherichia coli (strain K12) GN=yjhU PE=3 SV=2				1.15299e+06	1.32562e+06	1.16726e+06	1.19104e+06	1.26539e+06	1.16796e+06
DECOY_sp|P60390|RSMH_ECOLI Ribosomal RNA small subunit methyltransferase H OS=Escherichia coli (strain K12) GN=rsmH PE=1 SV=1	DECOY_sp|P60390|RSMH_ECOLI Ribosomal RNA small subunit methyltransferase H OS=Escherichia coli (strain K12) GN=rsmH PE=1 SV=1				4.21277e+06	4.41399e+06	4.33678e+06	4.4682e+06	4.39861e+06	4.42521e+06
DECOY_sp|P60785|LEPA_ECOLI Elongation factor 4 OS=Escherichia coli (strain K12) GN=lepA PE=1 SV=1	DECOY_sp|P60785|LEPA_ECOLI Elongation factor 4 OS=Escherichia coli (strain K12) GN=lepA PE=1 SV=1				2.63228e+06	3.87298e+06		2.36387e+06	1.82124e+06	3.80611e+06
DECOY_sp|P64564|YGGT_ECOLI Uncharacterized protein YggT OS=Escherichia coli (strain K12) GN=yggT PE=3 SV=1	DECOY_sp|P64564|YGGT_ECOLI Uncharacterized protein YggT OS=Escherichia coli (strain K12) GN=yggT PE=3 SV=1				673351	841719	753678	759106	644526	787785
DECOY_sp|P76373|UDG_ECOLI UDP-glucose 6-dehydrogenase OS=Escherichia coli (strain K12) GN=ugd PE=1 SV=1	DECOY_sp|P76373|UDG_ECOLI UDP-glucose 6-dehydrogenase OS=Escherichia coli (strain K12) GN=ugd PE=1 SV=1				1.75802e+06	1.94458e+06	1.73674e+06	1.90342e+06	1.61775e+06	1.4602e+06
DECOY_sp|P77672|LSRC_ECOLI Autoinducer 2 import system permease protein LsrC OS=Escherichia coli (strain K12) GN=lsrC PE=1 SV=1	DECOY_sp|P77672|LSRC_ECOLI Autoinducer 2 import system permease protein LsrC OS=Escherichia coli (strain K12) GN=lsrC PE=1 SV=1						674761		708388	712225
P00350	P00350		gnd		3.56578e+07	3.59092e+07	3.61061e+07	3.64768e+07	3.54991e+07	3.61943e+07
P00363	P00363		frdA		4.61338e+07	4.50405e+07	4.6008e+07	4.54171e+07	4.68042e+07	4.56269e+07
P00370	P00370		gdhA		1.78974e+06	1.82579e+06	1.84071e+06	1.8558e+06	1.93407e+06	1.90797e+06
P00393	P00393		ndh		5.40481e+06	5.84668e+06	5.42048e+06	5.758e+06	5.36464e+06	5.80547e+06
P00448	P00448		sodA		3.07574e+06	3.22938e+06	3.12444e+06	3.31259e+06	3.06678e+06	3.23327e+06
P00452	P00452		nrdA		9.71033e+06	9.83164e+06	9.70317e+06	9.93988e+06	9.93244e+06	9.87694e+06
P00490	P00490		malP		7.75305e+06	7.43345e+06	7.65801e+06	7.35132e+06	7.47837e+06	7.25131e+06
P00509	P00509		aspC		1.77394e+07	1.84857e+07	1.81627e+07	1.83848e+07	1.80294e+07	1.81526e+07
P00547	P00547		thrB		953505	878536	1.00223e+06	954819	954941	967885
P00550	P00550		mtlA		1.58581e+06	1.46361e+06	1.67261e+06	1.54461e+06	1.60881e+06	1.46286e+06
P00561	P00561		thrA		3.08009e+06	3.25808e+06	3.19482e+06	3.41187e+06	3.21695e+06	3.23736e+06
P00562	P00562		metL		2.78705e+06	2.77669e+06	2.72318e+06	2.71601e+06	2.79286e+06	2.77705e+06
P00579	P00579		rpoD		8.20718e+06	8.06028e+06	8.28332e+06	7.83048e+06	8.20741e+06	8.23169e+06
P00582	P00582		polA		3.54964e+06	3.53894e+06	3.45021e+06	3.54309e+06	3.43843e+06	3.40064e+06
P00803	P00803		lepB		4.5234e+06	4.54599e+06	4.67337e+06	4.7145e+06	4.57332e+06	4.34319e+06
P00805	P00805		ansB		2.04095e+07	2.06377e+07	2.03494e+07	2.02749e+07	1.97877e+07	2.00521e+07
P00811	P00811		ampC		978575	958708	868790	935722	957608	911433
P00861	P00861		lysA		220031	153035	138440	255579	173814	206567
P00864	P00864		ppc		1.12947e+07	1.12444e+07	1.11579e+07	1.11804e+07	1.12726e+07	1.11599e+07
P00887	P00887		aroH		2.67838e+06	2.70931e+06	2.61309e+06	2.84793e+06	2.61326e+06	2.81394e+06
P00888	P00888		aroF		2.22769e+06	2.21389e+06	2.05905e+06	2.26745e+06	2.18642e+06	2.15834e+06
P00894	P00894		ilvH		822900	838654	795561	742493	840062	844720
P00914	P00914		phrB		608216	651980	587673	637088	622214	600228
P00926	P00926		dsdA		1.38864e+06	1.40296e+06	1.37961e+06	1.42735e+06	1.29206e+06	1.39102e+06
P00934	P00934		thrC		4.54734e+06	4.50428e+06	4.41414e+06	4.28638e+06	4.38855e+06	4.48753e+06
