Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML
DECOY_sp|P00561|AK1H_ECOLI Bifunctional aspartokinase/homoserine dehydrogenase 1 OS=Escherichia coli (strain K12) GN=thrA PE=1 SV=2	DECOY_sp|P00561|AK1H_ECOLI Bifunctional aspartokinase/homoserine dehydrogenase 1 OS=Escherichia coli (strain K12) GN=thrA PE=1 SV=2				664282	774656	830237	936300	1.12279e+06	921641
DECOY_sp|P08200|IDH_ECOLI Isocitrate dehydrogenase [NADP] OS=Escherichia coli (strain K12) GN=icd PE=1 SV=1	DECOY_sp|P08200|IDH_ECOLI Isocitrate dehydrogenase [NADP] OS=Escherichia coli (strain K12) GN=icd PE=1 SV=1				8.65958e+06	8.66956e+06	7.42868e+06	7.52137e+06	7.55502e+06	8.79492e+06
DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1	DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1				1.41485e+07	1.38026e+07	1.24372e+07	1.28776e+07	1.28114e+07	1.32938e+07
DECOY_sp|P54745|HRSA_ECOLI Heat-responsive suppressor HrsA OS=Escherichia coli (strain K12) GN=hrsA PE=1 SV=1	DECOY_sp|P54745|HRSA_ECOLI Heat-responsive suppressor HrsA OS=Escherichia coli (strain K12) GN=hrsA PE=1 SV=1				6.26536e+06		5.83522e+06	6.44314e+06		
DECOY_sp|P75750|YBGQ_ECOLI Uncharacterized outer membrane usher protein YbgQ OS=Escherichia coli (strain K12) GN=ybgQ PE=3 SV=2	DECOY_sp|P75750|YBGQ_ECOLI Uncharacterized outer membrane usher protein YbgQ OS=Escherichia coli (strain K12) GN=ybgQ PE=3 SV=2				1.43756e+06	1.3371e+06	1.26441e+06	1.21428e+06	1.20865e+06	1.39141e+06
DECOY_sp|P77455|PAAZ_ECOLI Bifunctional protein PaaZ OS=Escherichia coli (strain K12) GN=paaZ PE=1 SV=1	DECOY_sp|P77455|PAAZ_ECOLI Bifunctional protein PaaZ OS=Escherichia coli (strain K12) GN=paaZ PE=1 SV=1				2.82816e+06	3.01757e+06	2.5655e+06	2.49765e+06	2.49105e+06	3.39035e+06
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)				2.81901e+06	2.82743e+06	449749	295042	136171	2.70686e+06
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)				5.06568e+06	5.05113e+06		522191	482584	4.84998e+06
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)				3.58538e+06	3.74605e+06	565633	568509	493071	3.4367e+06
P00350	P00350		gnd		3.79738e+07	3.76487e+07	3.67587e+07	3.6829e+07	3.69959e+07	3.75666e+07
P00363	P00363		frdA		3.22271e+07	3.18231e+07	3.15407e+07	3.17005e+07	3.22166e+07	3.05839e+07
P00370	P00370		gdhA		1.99201e+06	1.86933e+06	1.96231e+06	1.96052e+06	1.96434e+06	1.87838e+06
P00393	P00393		ndh		5.80771e+06	5.79017e+06	5.62477e+06	5.78513e+06	5.44102e+06	5.64996e+06
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)				2.18156e+06	2.13723e+06	332767	300417	336268	1.5113e+06
P00448	P00448		sodA		3.74576e+06	3.84326e+06	3.81264e+06	3.63872e+06	3.6956e+06	3.85403e+06
P00452	P00452		nrdA		1.0017e+07	1.01558e+07	9.97577e+06	9.93613e+06	9.95488e+06	9.94964e+06
P00490	P00490		malP		5.52687e+06	5.58319e+06	5.53976e+06	5.52663e+06	5.56258e+06	5.61402e+06
P00509	P00509		aspC		1.92274e+07	1.92088e+07	1.92085e+07	1.91541e+07	1.9018e+07	1.79639e+07
P00550	P00550		mtlA		824742	793028	894904	777810	831354	722692
P00561	P00561		thrA		2.4133e+06	2.33067e+06	2.25829e+06	2.33459e+06	2.49025e+06	2.55345e+06
P00562	P00562		metL		2.35831e+06	2.43137e+06	2.34795e+06	2.40795e+06	2.38311e+06	2.55251e+06
P00579	P00579		rpoD		8.68741e+06	8.72292e+06	8.61011e+06	8.75859e+06	8.88808e+06	7.86062e+06
P00582	P00582		polA		7.25122e+06	7.14983e+06	7.1446e+06	7.23285e+06	6.88418e+06	6.81752e+06
P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)	P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)				1.4421e+06	1.29457e+06	453264	459025	384095	919039
P00803	P00803		lepB		4.48763e+06	4.33068e+06	4.55417e+06	4.30565e+06	4.39767e+06	3.84681e+06
P00805	P00805		ansB		2.12544e+07	2.1262e+07	2.16884e+07	2.19274e+07	2.22435e+07	1.86461e+07
P00811	P00811		ampC		877939	855548	926409	851789	895404	676324
P00864	P00864		ppc		3.17137e+07	3.15979e+07	3.16706e+07	3.12811e+07	3.11102e+07	2.95886e+07
P00887	P00887		aroH		3.04399e+06	3.03065e+06	2.90671e+06	3.21546e+06	2.82103e+06	2.97323e+06
P00888	P00888		aroF		1.87972e+06	1.89026e+06	1.81187e+06	1.90413e+06	1.84481e+06	1.72307e+06
P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)	P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)				1.13271e+07	1.14047e+07	3.39229e+06	6.70238e+06	3.88276e+06	1.02397e+07
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)				7.07915e+06	7.31931e+06	782755	761374	721411	7.22874e+06
P00926	P00926		dsdA		1.31853e+06	1.36912e+06	1.44221e+06	1.13303e+06	1.26939e+06	1.01052e+06
P00934	P00934		thrC		4.54129e+06	4.52141e+06	4.38262e+06	4.42656e+06	4.44559e+06	4.40398e+06
P00935	P00935		metB		651014	626981	627809	683767	706242	678546
P00946	P00946		manA		1.13747e+07	1.15673e+07	1.14381e+07	1.13661e+07	1.17316e+07	1.14187e+07
P00954	P00954		trpS		1.44271e+07	1.36814e+07	1.40091e+07	1.43174e+07	1.41753e+07	1.32915e+07
P00956	P00956		ileS		2.1392e+07	2.14273e+07	2.14039e+07	2.12592e+07	2.15787e+07	1.97735e+07
P00957	P00957		alaS		1.59497e+07	1.61622e+07	1.61669e+07	1.62397e+07	1.5955e+07	1.38584e+07
P00959	P00959		metG		1.86885e+07	1.86131e+07	1.85e+07	1.85571e+07	1.83717e+07	1.78818e+07
P00960	P00960		glyQ		5.0218e+06	4.86151e+06	4.7522e+06	4.79751e+06	4.58593e+06	5.22697e+06
P00961	P00961		glyS		1.35599e+07	1.34995e+07	1.32055e+07	1.32183e+07	1.32279e+07	1.22797e+07
P00962	P00962		glnS		1.08096e+07	1.08348e+07	1.07143e+07	1.05691e+07	1.05574e+07	9.71531e+06
P00963	P00963		asnA		2.50354e+07	2.48873e+07	2.40736e+07	2.36596e+07	2.42007e+07	2.34304e+07
P00968	P00968		carB		4.45787e+06	4.45781e+06	4.49708e+06	4.47174e+06	4.43233e+06	4.57422e+06
P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)	P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)				7.41267e+06	7.02321e+06	1.0415e+06	983047	822208	7.03616e+06
P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)	P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)				5.77109e+06	5.56362e+06	570967	524927	567949	5.38569e+06
P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)	P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)				6.35903e+06	6.28053e+06	1.18977e+06	901716	990006	5.7877e+06
P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)				6.39902e+06	6.2759e+06	646032	651635	586040	6.06557e+06
P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)	P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)				4.39344e+06	4.23742e+06	1.69946e+06	1.62294e+06	1.6276e+06	4.59957e+06
P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)				5.98516e+06	5.92996e+06	524165	518784	554229	6.46437e+06
P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)	P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)				1.62152e+06	1.679e+06		108485		1.63471e+06
P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)	P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)				6.11454e+06	6.02706e+06	672088	686349	659700	5.99277e+06
P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)	P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)				6.13751e+06	6.41459e+06	555855	585450	351004	5.82815e+06
P02358	P02358		rpsF		1.21265e+08	1.18719e+08	1.224e+08	1.233e+08	1.23924e+08	7.6237e+07
P02359	P02359		rpsG		1.68677e+08	1.68519e+08	1.72118e+08	1.68624e+08	1.70187e+08	1.58281e+08
P02413	P02413		rplO		1.26783e+08	1.26103e+08	1.25633e+08	1.26205e+08	1.25425e+08	1.11631e+08
P02753ups|RETBP_HUMAN_UPS Retinol-binding protein 4 (Chain 19-201) - Homo sapiens (Human)	P02753ups|RETBP_HUMAN_UPS Retinol-binding protein 4 (Chain 19-201) - Homo sapiens (Human)				693939	643840	736134	491908	697865	642817
P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)				1.80494e+07	1.80008e+07	2.13432e+06	2.24939e+06	1.94089e+06	1.84405e+07
P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)				1.26765e+07	1.24485e+07	1.67736e+06	1.89336e+06	1.82408e+06	1.21566e+07
P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)				5.57437e+06	5.56606e+06	799672	757650	639631	5.71409e+06
P02918	P02918		mrcA		967347	941197	1.14384e+06	942475	993894	783364
P02919	P02919		mrcB		1.41088e+06	1.31263e+06	1.32452e+06	1.33318e+06	1.42998e+06	1.39765e+06
P02925	P02925		rbsB		1.21351e+07	1.22555e+07	1.17533e+07	1.1959e+07	1.20281e+07	1.23498e+07
P02930	P02930		tolC		2.58712e+07	2.51749e+07	2.59492e+07	2.66885e+07	2.50861e+07	2.35449e+07
P02931	P02931		ompF		2.177e+07	2.17422e+07	2.17504e+07	2.2114e+07	2.18864e+07	2.27686e+07
P02942	P02942		tsr		1.14587e+07	1.11466e+07	1.14244e+07	1.13044e+07	1.13899e+07	1.04866e+07
P02943	P02943		lamB		1.6271e+06	1.68833e+06	1.56494e+06	1.49365e+06	1.61205e+06	1.60668e+06
P03004	P03004		dnaA		2.06736e+06	2.11039e+06	1.96896e+06	2.00921e+06	2.00504e+06	2.10305e+06
P03018	P03018		uvrD		3.50672e+06	3.49874e+06	3.13878e+06	3.24607e+06	3.45168e+06	3.59059e+06
P03817	P03817		mioC		8.1868e+06	8.07334e+06	8.40285e+06	8.31724e+06	8.82031e+06	7.43571e+06
P03841	P03841		malM		1.0377e+07	1.03028e+07	1.03108e+07	1.06013e+07	9.89413e+06	9.84195e+06
P04036	P04036		dapB		4.69397e+06	4.70003e+06	4.74524e+06	4.94914e+06	4.60652e+06	4.36443e+06
P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)	P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)				1.3045e+06	1.29476e+06				1.24331e+06
P04079	P04079		guaA		2.06474e+07	2.04786e+07	2.01629e+07	2.03596e+07	2.03931e+07	1.90661e+07
P04335	P04335		frsA		4.22474e+06	4.45339e+06	4.41222e+06	4.4348e+06	4.49305e+06	4.28541e+06
P04425	P04425		gshB		1.04533e+07	1.03266e+07	1.07201e+07	1.07022e+07	1.07494e+07	9.85036e+06
P04693	P04693		tyrB		3.9704e+06	3.91649e+06	3.9764e+06	4.03258e+06	3.88191e+06	4.18118e+06
P04805	P04805		gltX		1.88717e+07	1.9134e+07	1.86245e+07	1.86977e+07	1.8654e+07	1.91116e+07
P04825	P04825		pepN		1.59324e+07	1.6139e+07	1.56899e+07	1.59751e+07	1.58612e+07	1.45655e+07
P04846	P04846		nlpA		3.03608e+06	3.00506e+06	3.11088e+06	3.10769e+06	3.16236e+06	3.13403e+06
P04949	P04949		fliC		2.53573e+07	2.53441e+07	2.80533e+07	2.83117e+07	2.73701e+07	2.30372e+07
P04951	P04951		kdsB		5.61712e+06	5.45333e+06	5.48904e+06	5.46445e+06	5.6509e+06	5.81489e+06
P04982	P04982		rbsD		1.13778e+06	1.16181e+06	1.21352e+06	1.14042e+06	996395	953416
P04995	P04995		sbcB		1.24067e+07	1.21107e+07	1.25068e+07	1.22785e+07	1.19328e+07	1.14983e+07
P05020	P05020		pyrC		6.64876e+06	6.75038e+06	6.77012e+06	6.68509e+06	7.31604e+06	6.28416e+06
P05041	P05041		pabB		1.38647e+07	1.43276e+07	1.47971e+07	1.42471e+07	1.42862e+07	1.40812e+07
P05055	P05055		pnp		4.58237e+07	4.57276e+07	4.65419e+07	4.62099e+07	4.66006e+07	4.32987e+07
P05100	P05100		tag		1.52534e+06	1.3493e+06	1.32213e+06	1.43833e+06	1.4134e+06	1.49939e+06
P05194	P05194		aroD		1.1311e+06	1.17772e+06	1.02653e+06	1.10159e+06	1.02103e+06	1.17995e+06
