Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML
O00762ups|UBE2C_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		2	2			1.98616e+06		2.09967e+06	2.18011e+06
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		3	3			1.71978e+07		1.52719e+07	1.56483e+07
P00350	6PGD_ECOLI	gnd	6-phosphogluconate dehydrogenase, decarboxylating	29	29	3.50937e+08	3.40962e+08	3.55356e+08	3.31648e+08	3.39807e+08	3.51441e+08
P00363	FRDA_ECOLI	frdA	Fumarate reductase flavoprotein subunit	28	28	2.42624e+08	2.41229e+08	2.42385e+08	2.39852e+08	2.4839e+08	2.47711e+08
P00370	DHE4_ECOLI	gdhA	NADP-specific glutamate dehydrogenase	12	12	1.50835e+07	1.45916e+07	1.48384e+07	1.50882e+07	1.41339e+07	1.48788e+07
P00393	DHNA_ECOLI	ndh	NADH dehydrogenase	18	18	2.71641e+07	2.77595e+07	2.69577e+07	2.73496e+07	2.7351e+07	2.68441e+07
P00448	SODM_ECOLI	sodA	Superoxide dismutase [Mn]	8	8	4.25939e+07	4.34209e+07	4.46161e+07	4.21897e+07	4.48686e+07	4.30652e+07
P00452	RIR1_ECOLI	nrdA	Ribonucleoside-diphosphate reductase 1 subunit alpha	31	31	4.2928e+07	4.18072e+07	4.33889e+07	4.31741e+07	4.23537e+07	4.25217e+07
P00490	PHSM_ECOLI	malP	Maltodextrin phosphorylase	32	32	3.5937e+07	3.51813e+07	3.56515e+07	3.56122e+07	3.53177e+07	3.51844e+07
P00509	AAT_ECOLI	aspC	Aspartate aminotransferase	28	28	9.54996e+07	9.7218e+07	1.00051e+08	9.73756e+07	1.00451e+08	9.9718e+07
