Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML
P0AGB0	P0AGB0		serB		2.36206e+06	2.44156e+06	2.30745e+06	2.15962e+06	2.31344e+06	2.41898e+06
P0AGB6	P0AGB6		rpoE		3.29154e+06	3.65294e+06	3.40961e+06	3.47151e+06	3.54151e+06	3.524e+06
P0AGC3	P0AGC3		slt		1.1797e+06	949174	1.14383e+06	1.14539e+06	1.07527e+06	991430
P0AGD1	P0AGD1		sodC		661125	402727	612410	397044	442819	450239
P0AGD3	P0AGD3		sodB		7.32314e+07	7.83867e+07	7.2211e+07	7.43372e+07	7.84338e+07	7.79677e+07
P0AGD7	P0AGD7		ffh		4.5214e+06	4.40169e+06	4.54203e+06	4.50418e+06	4.32194e+06	4.50168e+06
P0AGE0	P0AGE0		ssb		1.89448e+07	1.90423e+07	1.95606e+07	1.95772e+07	1.94151e+07	1.92727e+07
P0AGE6	P0AGE6		yieF		9.08474e+06	9.38348e+06	8.63256e+06	8.92008e+06	9.12897e+06	9.02007e+06
P0AGE9	P0AGE9		sucD		6.69204e+06	6.56892e+06	6.71741e+06	6.75641e+06	6.49524e+06	6.57881e+06
P0AGF2	P0AGF2		ygdK		1.49941e+06	1.89912e+06	1.67796e+06	1.64548e+06	1.80113e+06	1.97484e+06
P0AGG0	P0AGG0		thiL		3.29567e+06	3.18237e+06	2.9401e+06	3.23336e+06	3.0817e+06	3.16039e+06
P0AGG2	P0AGG2		tesB		745993	828707	833259	865963	812020	895118
P0AGG4	P0AGG4		trxC		3.4534e+06	3.52174e+06	3.60606e+06	3.54407e+06	3.61918e+06	3.53529e+06
P0AGG8	P0AGG8		tldD		3.07198e+06	2.69284e+06	2.88724e+06	3.04436e+06	2.66885e+06	2.69026e+06
P0AGI8	P0AGI8		trkA		365428	281515	308754	339316	399997	226866
P0AGJ2	P0AGJ2		trmH		1.15471e+06	1.13034e+06	1.08321e+06	1.0642e+06	1.1454e+06	1.17562e+06
P0AGJ5	P0AGJ5		yfiF		1.2526e+07	1.25439e+07	1.2192e+07	1.24059e+07	1.22807e+07	1.22709e+07
P0AGJ7	P0AGJ7		trmL		2.10605e+06	1.9097e+06	2.10731e+06	2.08487e+06	2.00776e+06	2.02553e+06
P0AGJ9	P0AGJ9		tyrS		1.58732e+07	1.51907e+07	1.54263e+07	1.559e+07	1.55588e+07	1.52389e+07
P0AGK4	P0AGK4		yhbY		1.27307e+07	1.2369e+07	1.25476e+07	1.27762e+07	1.33737e+07	1.30507e+07
P0AGK8	P0AGK8		iscR		2.11185e+06	1.99184e+06	2.26051e+06	2.02181e+06	1.79629e+06	1.79509e+06
P0AGL7	P0AGL7		rsmE		4.0499e+06	4.20752e+06	3.7931e+06	4.12703e+06	4.27932e+06	4.54765e+06
P0C018	P0C018		rplR		3.50183e+07	3.5233e+07	3.46632e+07	3.54103e+07	3.51772e+07	3.60645e+07
P0C037	P0C037		yaiE		1.05679e+07	1.13172e+07	1.05372e+07	1.05258e+07	9.15536e+06	1.09672e+07
P0C054	P0C054		ibpA		4.37741e+06	4.04423e+06	4.2254e+06	4.51665e+06	4.37932e+06	4.25051e+06
P0C093	P0C093		slmA		2.96893e+06	3.12502e+06	2.93226e+06	3.08209e+06	3.09288e+06	3.04049e+06
