Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML
DECOY_sp|P09148|GAL7_ECOLI Galactose-1-phosphate uridylyltransferase OS=Escherichia coli (strain K12) GN=galT PE=1 SV=2	DECOY_sp|P09148|GAL7_ECOLI Galactose-1-phosphate uridylyltransferase OS=Escherichia coli (strain K12) GN=galT PE=1 SV=2				937624	846064		897432	1.05888e+06	
DECOY_sp|P0A8V2|RPOB_ECOLI DNA-directed RNA polymerase subunit beta OS=Escherichia coli (strain K12) GN=rpoB PE=1 SV=1	DECOY_sp|P0A8V2|RPOB_ECOLI DNA-directed RNA polymerase subunit beta OS=Escherichia coli (strain K12) GN=rpoB PE=1 SV=1					6.49094e+06	6.83729e+06	6.62527e+06		6.42771e+06
DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1	DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1				2.39614e+07	1.84992e+07	1.97305e+07	2.34377e+07	2.5178e+07	1.90521e+07
DECOY_sp|P0AAN3|HYPB_ECOLI Hydrogenase isoenzymes nickel incorporation protein HypB OS=Escherichia coli (strain K12) GN=hypB PE=1 SV=1	DECOY_sp|P0AAN3|HYPB_ECOLI Hydrogenase isoenzymes nickel incorporation protein HypB OS=Escherichia coli (strain K12) GN=hypB PE=1 SV=1				671146	554594	477151	793734	334907	722106
DECOY_sp|P0ADX5|YHFG_ECOLI Uncharacterized protein YhfG OS=Escherichia coli (strain K12) GN=yhfG PE=4 SV=1	DECOY_sp|P0ADX5|YHFG_ECOLI Uncharacterized protein YhfG OS=Escherichia coli (strain K12) GN=yhfG PE=4 SV=1					1.02571e+06			326889	
DECOY_sp|P0AEC5|BARA_ECOLI Signal transduction histidine-protein kinase BarA OS=Escherichia coli (strain K12) GN=barA PE=1 SV=1	DECOY_sp|P0AEC5|BARA_ECOLI Signal transduction histidine-protein kinase BarA OS=Escherichia coli (strain K12) GN=barA PE=1 SV=1				6.3015e+06	6.17492e+06	6.29742e+06	6.3914e+06	6.46136e+06	6.16884e+06
DECOY_sp|P25549|ASLA_ECOLI Arylsulfatase OS=Escherichia coli (strain K12) GN=aslA PE=3 SV=2	DECOY_sp|P25549|ASLA_ECOLI Arylsulfatase OS=Escherichia coli (strain K12) GN=aslA PE=3 SV=2				1.63663e+06	1.69029e+06	1.98481e+06	1.74039e+06	1.88315e+06	1.77908e+06
DECOY_sp|P32701|YJCC_ECOLI Uncharacterized membrane protein YjcC OS=Escherichia coli (strain K12) GN=yjcC PE=1 SV=2	DECOY_sp|P32701|YJCC_ECOLI Uncharacterized membrane protein YjcC OS=Escherichia coli (strain K12) GN=yjcC PE=1 SV=2				1.17766e+06	1.22128e+06	868561	1.26344e+06		1.29742e+06
DECOY_sp|P64596|YRAP_ECOLI Uncharacterized protein YraP OS=Escherichia coli (strain K12) GN=yraP PE=4 SV=1	DECOY_sp|P64596|YRAP_ECOLI Uncharacterized protein YraP OS=Escherichia coli (strain K12) GN=yraP PE=4 SV=1				176992	309008	219431	216531	233491	371525
DECOY_sp|P77297|YAHE_ECOLI Uncharacterized protein YahE OS=Escherichia coli (strain K12) GN=yahE PE=4 SV=1	DECOY_sp|P77297|YAHE_ECOLI Uncharacterized protein YahE OS=Escherichia coli (strain K12) GN=yahE PE=4 SV=1				857817	495621		743971	807843	264458
DECOY_sp|P77425|ALLC_ECOLI Allantoate amidohydrolase OS=Escherichia coli (strain K12) GN=allC PE=1 SV=1	DECOY_sp|P77425|ALLC_ECOLI Allantoate amidohydrolase OS=Escherichia coli (strain K12) GN=allC PE=1 SV=1				1.87239e+06	1.51483e+06	1.77885e+06	1.70142e+06	1.91379e+06	1.66105e+06
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)				1.49669e+06	6.82215e+06	6.69104e+06	1.46698e+06	1.47172e+06	6.73824e+06
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)				2.74656e+06	1.23998e+07	1.17268e+07	2.64911e+06	2.60226e+06	1.21804e+07
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)				2.78957e+06	9.83931e+06	9.24085e+06	2.87357e+06	2.61294e+06	9.74081e+06
P00350	P00350		gnd		3.6776e+07	3.69425e+07	3.71899e+07	3.7168e+07	3.72086e+07	3.77178e+07
P00363	P00363		frdA		4.7211e+07	4.9413e+07	4.72693e+07	4.7073e+07	4.69075e+07	4.89789e+07
P00370	P00370		gdhA		2.0448e+06	2.09939e+06	2.06307e+06	1.97506e+06	1.95248e+06	2.04421e+06
P00393	P00393		ndh		5.56624e+06	5.42668e+06	5.53156e+06	5.79543e+06	5.67051e+06	5.49002e+06
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)				1.42428e+06	4.4782e+06	4.644e+06	1.44578e+06	1.50578e+06	4.41318e+06
P00448	P00448		sodA		3.67002e+06	3.81004e+06	3.78661e+06	3.75581e+06	3.67634e+06	3.81312e+06
P00452	P00452		nrdA		1.01596e+07	1.02895e+07	1.02081e+07	1.01791e+07	1.0118e+07	1.04175e+07
P00490	P00490		malP		6.34032e+06	6.15964e+06	5.96469e+06	6.2802e+06	6.27576e+06	6.11003e+06
P00509	P00509		aspC		1.96796e+07	1.91622e+07	1.86345e+07	1.90586e+07	1.88657e+07	1.88827e+07
P00547	P00547		thrB		871652	1.18657e+06	1.15455e+06	786495	953506	1.02002e+06
P00550	P00550		mtlA		1.46165e+06	1.42211e+06	1.3729e+06	1.44861e+06	1.41241e+06	1.46933e+06
P00561	P00561		thrA		2.67878e+06	2.67435e+06	2.49178e+06	2.54095e+06	2.57002e+06	2.47437e+06
P00562	P00562		metL		2.71522e+06	2.65037e+06	2.68803e+06	2.6826e+06	2.79172e+06	2.5555e+06
P00579	P00579		rpoD		8.88687e+06	9.21102e+06	8.76921e+06	8.68337e+06	8.63795e+06	9.20048e+06
P00582	P00582		polA		3.7612e+06	3.62453e+06	3.67507e+06	3.71044e+06	3.63999e+06	3.74284e+06
P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)	P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)				1.45887e+06	6.19831e+06	6.55274e+06	1.39524e+06	1.27061e+06	6.18287e+06
P00803	P00803		lepB		4.38506e+06	4.27342e+06	3.88828e+06	4.18166e+06	4.0981e+06	4.79997e+06
P00805	P00805		ansB		2.13446e+07	2.11043e+07	2.05728e+07	2.12455e+07	2.09145e+07	2.07651e+07
P00811	P00811		ampC		1.01801e+06	1.03478e+06	1.05834e+06	1.03032e+06	977626	1.0601e+06
P00861	P00861		lysA		117877	279792	290516	120613	240741	250867
P00864	P00864		ppc		1.19585e+07	1.20828e+07	1.1895e+07	1.17661e+07	1.16638e+07	1.18931e+07
P00887	P00887		aroH		2.95959e+06	3.01941e+06	2.96269e+06	3.16624e+06	2.91994e+06	3.02159e+06
P00888	P00888		aroF		2.22618e+06	2.19069e+06	2.09614e+06	2.17118e+06	2.22591e+06	2.15326e+06
P00892	P00892		ilvG		644427	517527	513774	527734	499728	529899
P00914	P00914		phrB		895172	913124	852523	793084	793752	722293
P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)	P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)				2.91627e+06	9.5847e+06	9.77892e+06	2.7579e+06	2.88105e+06	9.59244e+06
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)				4.01517e+06	1.64031e+07	1.6193e+07	3.88538e+06	3.6188e+06	1.63656e+07
P00934	P00934		thrC		4.73687e+06	4.77908e+06	5.0589e+06	4.81794e+06	4.92435e+06	4.89307e+06
P00935	P00935		metB		1.2474e+06	1.15279e+06	1.26575e+06	1.10391e+06	1.21274e+06	1.1432e+06
P00946	P00946		manA		1.17097e+07	1.19067e+07	1.20497e+07	1.19804e+07	1.18839e+07	1.19763e+07
P00954	P00954		trpS		1.42841e+07	1.45518e+07	1.48368e+07	1.39591e+07	1.3636e+07	1.4903e+07
P00956	P00956		ileS		2.6295e+07	2.74062e+07	2.73179e+07	2.67216e+07	2.65272e+07	2.73718e+07
P00957	P00957		alaS		1.87843e+07	1.85385e+07	1.85147e+07	1.85807e+07	1.84001e+07	1.83817e+07
P00959	P00959		metG		1.99708e+07	1.99121e+07	1.98468e+07	1.98237e+07	1.97489e+07	2.0213e+07
P00960	P00960		glyQ		4.34052e+06	4.11057e+06	4.06107e+06	4.24303e+06	4.26583e+06	4.1628e+06
P00961	P00961		glyS		1.57771e+07	1.62087e+07	1.62335e+07	1.56516e+07	1.59561e+07	1.61352e+07
P00962	P00962		glnS		1.1687e+07	1.15691e+07	1.13663e+07	1.15701e+07	1.15161e+07	1.13666e+07
P00963	P00963		asnA		2.68874e+07	2.50412e+07	2.59723e+07	2.63336e+07	2.64513e+07	2.59716e+07
P00968	P00968		carB		5.90179e+06	5.92944e+06	5.97319e+06	5.9217e+06	5.9812e+06	5.96062e+06
P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)	P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)				2.61435e+06	1.01632e+07	1.06728e+07	2.57918e+06	2.57035e+06	1.05622e+07
