protein	RD139_Wide_UPS1_0_1fmol_inj1	RD139_Wide_UPS1_0_1fmol_inj2	RD139_Wide_UPS1_0_1fmol_inj3	RD139_Wide_UPS1_10fmol_inj1r	RD139_Wide_UPS1_10fmol_inj2	RD139_Wide_UPS1_10fmol_inj3	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P01579ups|IFNG_HUMAN_UPS	195281.3818252606	137792.99999999985	167499.3404649487	56706454.75576472	57733839.017822735	57667432.69654734	3	3.227434593455123e-05	-8.425513592248798	False	2.448579823702253e-05	False	True	Human	True	False	False	False	diann231	directlfq	min	1.660964047443681
P06732ups|KCRM_HUMAN_UPS	195281.3818252606	137792.99999999985	167499.3404649487	126882898.55124812	124702411.55169724	124599722.979078	3	3.5050769847594044e-05	-9.553644177050437	False	4.897159647404506e-05	False	True	Human	True	False	False	False	diann231	directlfq	min	1.660964047443681
Q15843ups|NEDD8_HUMAN_UPS	195281.3818252606	137792.99999999985	167499.3404649487	52903638.41230127	51728746.8888676	52677309.67555267	3	4.5788520798418906e-05	-8.295809312797607	False	7.34573947110676e-05	False	True	Human	True	False	False	False	diann231	directlfq	min	1.660964047443681
P01127ups|PDGFB_HUMAN_UPS	195281.3818252606	137792.99999999985	167499.3404649487	60843892.95519307	59839198.208663896	59458747.15751003	3	4.637076898552188e-05	-8.491335015312393	False	9.794319294809012e-05	False	True	Human	True	False	False	False	diann231	directlfq	min	1.660964047443681
P05413ups|FABPH_HUMAN_UPS	195281.3818252606	137792.99999999985	167499.3404649487	75121240.33232695	73536149.5491141	75306829.46907602	3	5.610504208782678e-05	-8.805469991112176	False	0.00012242899118511264	False	True	Human	True	False	False	False	diann231	directlfq	min	1.660964047443681
P00441ups|SODC_HUMAN_UPS	195281.3818252606	137792.99999999985	167499.3404649487	13432021.160031963	13682793.185569996	14047802.244924448	3	0.00015460346489014966	-6.361608324472222	False	0.0001469147894221352	False	True	Human	True	False	False	False	diann231	directlfq	min	1.660964047443681
P61626ups|LYSC_HUMAN_UPS	195281.3818252606	137792.99999999985	167499.3404649487	33188063.9894886	32426149.924794342	33932486.66809854	3	0.00017000733356173941	-7.635647130751054	False	0.0001714005876591577	False	True	Human	True	False	False	False	diann231	directlfq	min	1.660964047443681
P69905ups|HBA_HUMAN_UPS	195281.3818252606	137792.99999999985	167499.3404649487	47222234.56648126	46423164.2643856	44974697.95220242	3	0.00020232628284542532	-8.113338157023549	False	0.00019588638589618023	False	True	Human	True	False	False	False	diann231	directlfq	min	1.660964047443681
P02768ups|ALBU_HUMAN_UPS	195281.3818252606	137792.99999999985	167499.3404649487	298081558.8649149	315585815.0708303	306925321.94477844	3	0.00027130949902735293	-10.844764722240088	False	0.00022037218413320275	False	True	Human	True	False	False	False	diann231	directlfq	min	1.660964047443681
P02787ups|TRFE_HUMAN_UPS	195281.3818252606	137792.99999999985	167499.3404649487	153222174.21470317	163351197.0393946	159354232.22062257	3	0.0003451585708716752	-9.892943858438434	False	0.0002448579823702253	False	True	Human	True	False	False	False	diann231	directlfq	min	1.660964047443681
P01133ups|EGF_HUMAN_UPS	195281.3818252606	137792.99999999985	167499.3404649487	11509073.455088342	11037360.62468349	10766505.73791678	3	0.00036647615289706493	-6.056356306637477	False	0.0002693437806072478	False	True	Human	True	False	False	False	diann231	directlfq	min	1.660964047443681
P62937ups|PPIA_HUMAN_UPS	195281.3818252606	137792.99999999985	167499.3404649487	63388824.15297236	62457247.87495841	66549625.568316914	3	0.00037381193597380436	-8.586278263728598	False	0.0002938295788442704	False	True	Human	True	False	False	False	diann231	directlfq	min	1.660964047443681
P02788ups|TRFL_HUMAN_UPS	195281.3818252606	137792.99999999985	167499.3404649487	234897714.51169223	218983232.0946556	225884025.3560452	3	0.00041378594613015167	-10.407237748443087	False	0.00031831537708129284	False	True	Human	True	False	False	False	diann231	directlfq	min	1.660964047443681
P09211ups|GSTP1_HUMAN_UPS	195281.3818252606	137792.99999999985	167499.3404649487	34393481.05566576	32392584.835004736	34869068.67715712	3	0.0005031997341729702	-7.665884813271006	False	0.0003428011753183154	False	True	Human	True	False	False	False	diann231	directlfq	min	1.660964047443681
P01112ups|RASH_HUMAN_UPS	195281.3818252606	137792.99999999985	167499.3404649487	48126077.68517585	51526972.91552834	51908222.04375136	3	0.0005683284237479034	-8.242102885362426	False	0.0003672869735553379	False	True	Human	True	False	False	False	diann231	directlfq	min	1.660964047443681
P41159ups|LEP_HUMAN_UPS	195281.3818252606	137792.99999999985	167499.3404649487	52324366.45982609	48361978.44367219	48460123.04519279	3	0.0006914622464551061	-8.218931538705679	False	0.00039177277179236047	False	True	Human	True	False	False	False	diann231	directlfq	min	1.660964047443681
O00762ups|UBE2C_HUMAN_UPS	195281.3818252606	137792.99999999985	167499.3404649487	49278337.15804917	53609407.22868027	53267163.676865466	3	0.0007159985635771144	-8.285179641227264	False	0.000416258570029383	False	True	Human	True	False	False	False	diann231	directlfq	min	1.660964047443681
P16083ups|NQO2_HUMAN_UPS	195281.3818252606	137792.99999999985	167499.3404649487	42446797.17407302	39504558.08953441	38990565.5757708	3	0.000716602918799275	-7.9165161238314425	False	0.0004407443682664055	False	True	Human	True	False	False	False	diann231	directlfq	min	1.660964047443681
Q06830ups|PRDX1_HUMAN_UPS	195281.3818252606	137792.99999999985	167499.3404649487	56302716.08799783	61810449.94686734	59326498.88976535	3	0.0007273811329383308	-8.469530272433364	False	0.00046523016650342803	False	True	Human	True	False	False	False	diann231	directlfq	min	1.660964047443681
P31061	1286452.9590496758	1137075.3193062623	1251812.4084792435	116542.74046639971	134289.33895480738	164195.4604492106	3	0.0007554475124227103	3.1465990099340377	False	0.0004897159647404506	False	True	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P04040ups|CATA_HUMAN_UPS	195281.3818252606	137792.99999999985	167499.3404649487	41227421.79066438	42888531.82584443	45490825.52371071	3	0.0008285429929424099	-8.016342907191872	False	0.0005142017629774731	False	True	Human	True	False	False	False	diann231	directlfq	min	1.660964047443681
