protein	RD139_Wide_UPS1_25fmol_inj1	RD139_Wide_UPS1_25fmol_inj2	RD139_Wide_UPS1_25fmol_inj3	RD139_Wide_UPS1_2_5fmol_inj1	RD139_Wide_UPS1_2_5fmol_inj2	RD139_Wide_UPS1_2_5fmol_inj3	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P0A8U6	101864210.99994586	104890915.09156232	106415797.55522823	102039024.02015153	103263832.7670866	101785390.68171673	0	0.26541815581484013	0.02829697163923729	False	0.018033596837944664	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0AC02	386130976.2796126	403600935.95239365	398795078.7183301	396141837.0116837	382791552.6903196	383023294.7986709	0	0.2660669001730161	0.03261837779049238	False	0.01805830039525692	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P32664	8543029.620247701	8217475.639170566	7564964.781620901	7894293.592632719	7535181.120999246	7590692.178975253	0	0.2665420010159301	0.07956938964959122	False	0.01808300395256917	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P39173	437064602.8666654	432267254.7042631	415727973.83067495	455401887.67425567	441330775.4070194	428058919.3187407	0	0.26654996324370783	-0.04392987947248233	False	0.018107707509881422	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P05459	167472085.74903542	165595143.40695474	166499022.3225095	165102474.40633118	173529749.99284092	176666367.77400947	0	0.2666615862533009	-0.04473263292609868	False	0.01813241106719368	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0A988	122095827.90925737	124178994.93281102	115151842.95266128	126396503.71089916	125324065.8778763	122149094.86561424	0	0.2672187319446687	-0.04883246547847852	False	0.018157114624505928	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P09158	67173336.58017415	57397862.87358271	62583012.353439696	67581836.77684794	66738402.68145226	65643728.87823892	0	0.26751703356043	-0.09551254737640824	False	0.018181818181818184	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0AFB1	36653828.99016216	37427614.38279095	37540262.36257738	40035754.18672538	37132079.49391181	38270858.53065424	0	0.26768912742174933	-0.0485092628809822	False	0.018206521739130434	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P38489	334048815.4821129	358430355.6517208	339498918.17593724	329656810.84623194	338916181.1427866	329952126.60631263	0	0.2679524002258391	0.04754171492299505	False	0.018231225296442687	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P69228	32216835.161969997	31766648.639646936	32912815.68113016	32327729.628561016	30887414.854788616	31612492.055283573	0	0.26840504875723437	0.031133990435460845	False	0.018255928853754943	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P32173	2939924.3730164743	3734801.954183343	4157940.989580195	5165290.305586814	3649132.227549835	4220500.14124558	0	0.26884489625218	-0.26699350452306103	False	0.018280632411067192	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P75946	1790607.4770143076	2174872.1952766506	979637.9025984752	8299435.378987362	5925463.5121960845	773788.121879144	0	0.2689517446233677	-1.6007594845882056	False	0.01830533596837945	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0AA04	1028454939.3803588	1415542481.82136	1150623490.9627862	1267496877.3042097	1330801308.7047682	1556051206.396749	0	0.26898291790638096	-0.20878292355082395	False	0.0183300395256917	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0A9B2	11909584275.153742	12881073543.435925	12545536254.565851	12683958364.541994	12970149203.163609	12962628606.758871	0	0.2696033566720468	-0.04865136358713089	False	0.01835474308300395	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P00892	1126101.9739696488	1026400.375	1288501.90297912	875408.4521071089	1093003.7251778208	61921.95710385033	1	0.27005913869285075	0.7611125018655364	False	0.018379446640316207	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0AFP6	154466949.49212834	150009628.05139813	145600623.6614329	154358950.1602424	155906262.09803858	151456072.24552807	0	0.270275404487841	-0.036849753087597324	False	0.01840415019762846	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P43337	1549627.7329758515	1205254.3880998208	1286607.356479205	1144397.051729674	1329650.9743188417	1060021.4631181925	0	0.27031501823862536	0.19355668408197482	False	0.018428853754940713	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0A6H5	861925432.009235	852449306.7779131	854613116.1831347	840418028.1431723	859012915.3845664	843382481.6876506	0	0.2705158193996507	0.014774459318128465	False	0.018453557312252965	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0A8G6	391025881.200789	411876869.6117641	388320302.3984244	408804678.15408576	408916253.65930086	406887686.6669409	0	0.27297699964508026	-0.03987716241705913	False	0.01847826086956522	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P23882	89060078.12848793	84321269.43297493	90540769.3744357	85259044.28851093	86103869.65609632	84224238.24065074	0	0.27382996063667264	0.04629693806922615	False	0.01850296442687747	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P64423	1819194.3353500408	2138630.7499999995	2191994.6786322976	1395607.8637345296	2019330.5623674355	1868479.89462015	0	0.2740538525385599	0.21907248779382407	False	0.018527667984189724	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0A9T0	249665650.6158722	255392966.8545611	253295356.17791548	238544762.64607832	251498225.0218046	250099293.07167575	0	0.2754330417203524	0.03506877332832312	False	0.018552371541501977	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0ACA1	17550622.834927756	14228689.975458032	14781634.050100043	13140490.607975818	12399849.76097202	15642423.958601575	0	0.27569994861978053	0.1770797252698707	False	0.01857707509881423	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0AB24	149809436.1568002	150431911.7748188	147901233.32806447	147346796.1626648	146248578.0267519	130751951.65781336	0	0.27578638947049566	0.07871222796156324	False	0.018601778656126482	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P11988	2576054.939500073	2501067.413736028	3186902.9704313865	3162445.848293106	2776672.749063202	3400444.108536415	0	0.2762264845553459	-0.17651032699905062	False	0.018626482213438735	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P64455	49576491.73439252	58737087.99999994	51960405.5291575	57315593.21960167	59272455.30418449	55807205.79647376	0	0.2762561028090519	-0.10517978593652053	False	0.018651185770750988	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0AB91	37847100.76203533	38660260.56349061	42224569.48739766	38958675.512150325	33814438.05974279	38066059.69717937	0	0.2762798748832778	0.09924011884006936	False	0.018675889328063244	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P24228	12058078.21091637	10467167.117721384	10101838.870025735	10116893.36711778	9776745.631367693	10080195.69652187	0	0.27706959668215336	0.12236639663780985	False	0.018700592885375494	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0ADG4	397079817.2711051	403713328.16820616	411192529.8810358	400927609.87035817	400134993.6265397	391597288.9365284	0	0.27718121751082553	0.023189955161159372	False	0.018725296442687746	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P06988	11378187.496067178	13266188.039710376	12114913.882106973	12122093.796393016	14104292.706837362	13580359.05023249	0	0.27764727631260705	-0.11490404843016924	False	0.018750000000000003	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0C0L2	90480747.37297268	87805670.15142804	80264117.55652174	83275636.3124743	81579319.7232648	80256537.12021832	0	0.27794296480675257	0.07700815749744971	False	0.018774703557312252	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P00961	752993157.3637565	746307378.2512157	744748666.0876832	722475628.9965086	729911818.068872	752301034.4653141	0	0.2781460073747341	0.025529487976139128	False	0.01879940711462451	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
