protein	RD139_Wide_UPS1_0_25fmol_inj1	RD139_Wide_UPS1_0_25fmol_inj2	RD139_Wide_UPS1_0_25fmol_inj3	RD139_Wide_UPS1_2_5fmol_inj1	RD139_Wide_UPS1_2_5fmol_inj2	RD139_Wide_UPS1_2_5fmol_inj3	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
Q06830ups|PRDX1_HUMAN_UPS	106587.48698987404	143982.51540525525	45135.529915888896	7153701.46730293	7002779.020276857	6960123.680807199	3	2.586482933771846e-06	-6.158072803639296	True	2.4618414574101428e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P63279ups|UBC9_HUMAN_UPS	106587.48698987404	143982.51540525525	45135.529915888896	3999580.330489732	3991862.250000001	4016160.257101345	3	2.0598203320274423e-05	-5.343643119302977	True	4.9236829148202856e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P02788ups|TRFL_HUMAN_UPS	106587.48698987404	143982.51540525525	45135.529915888896	32866259.95482245	32610335.344553757	32109672.237012684	3	3.571234092416463e-05	-8.366373099087404	False	7.385524372230429e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P01133ups|EGF_HUMAN_UPS	106587.48698987404	143982.51540525525	45135.529915888896	851062.5604094798	794303.8814190258	887277.2285219856	3	4.789080397806952e-05	-3.098410971729346	False	9.847365829640571e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P06732ups|KCRM_HUMAN_UPS	106587.48698987404	143982.51540525525	45135.529915888896	13971971.951188264	13512195.508490996	14010730.334418746	3	8.62170683175584e-05	-7.1326289087126975	False	0.00012309207287050715	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P02144ups|MYG_HUMAN_UPS	106587.48698987404	143982.51540525525	45135.529915888896	13782885.534333082	14039809.087172464	14356905.221614782	3	9.276327236301534e-05	-7.156240363278433	False	0.00014771048744460858	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P0ACV0	106587.48698987404	143982.51540525525	45135.529915888896	634408.8768524401	730508.8750000007	718857.2357803548	3	0.0001426904520717475	-2.8169663594329184	False	0.00017232890201871002	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	1.660964047443681
P02768ups|ALBU_HUMAN_UPS	106587.48698987404	3046258.8310671686	3126035.199089433	48603227.0823575	49326502.525687575	49411146.39325357	1	0.00020736729189347372	-4.5525063261112875	False	0.00019694731659281143	False	True	Human	True	False	False	False	diann231	directlfq	min	1.660964047443681
P75857	31467444.513052456	30872418.62404742	29882094.61557133	47927.32449664492	93273.87499999993	117849.03360117222	3	0.00022163421677324412	8.475734600645895	False	0.00022156573116691286	False	True	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P55957ups|BID_HUMAN_UPS	106587.48698987404	143982.51540525525	45135.529915888896	7227728.924507111	7562591.46399242	7026229.615613582	3	0.00032113926095459687	-6.205117931650084	False	0.0002461841457410143	False	True	Human	True	False	False	False	diann231	directlfq	min	1.660964047443681
P16083ups|NQO2_HUMAN_UPS	106587.48698987404	143982.51540525525	45135.529915888896	5070296.844726443	4778250.985038676	5289902.865094143	3	0.0006078944661238581	-5.677912518924103	False	0.0002708025603151157	False	True	Human	True	False	False	False	diann231	directlfq	min	1.660964047443681
P12081ups|SYHC_HUMAN_UPS	106587.48698987404	143982.51540525525	45135.529915888896	21234106.066394027	22551408.792359494	20694400.76108068	3	0.000644187648377819	-7.768544810813371	False	0.00029542097488921716	False	True	Human	True	False	False	False	diann231	directlfq	min	1.660964047443681
P01112ups|RASH_HUMAN_UPS	106587.48698987404	143982.51540525525	45135.529915888896	2650747.932374548	2749696.723441137	2992557.410754932	3	0.0006764551934011311	-4.826953796046742	False	0.00032003938946331857	False	True	Human	True	False	False	False	diann231	directlfq	min	1.660964047443681
O00762ups|UBE2C_HUMAN_UPS	106587.48698987404	143982.51540525525	45135.529915888896	3130872.819902455	3071923.0702722925	3438247.423501328	3	0.0007265398125509508	-5.026956137379045	False	0.00034465780403742003	False	True	Human	True	False	False	False	diann231	directlfq	min	1.660964047443681
P00918ups|CAH2_HUMAN_UPS	106587.48698987404	143982.51540525525	45135.529915888896	28014467.082530923	27680116.040230967	25594496.53086105	3	0.0007734430530447382	-8.102756509069	False	0.00036927621861152144	False	True	Human	True	False	False	False	diann231	directlfq	min	1.660964047443681
P05413ups|FABPH_HUMAN_UPS	106587.48698987404	143982.51540525525	45135.529915888896	9158638.615380077	10089073.72780875	9388660.962280178	3	0.000784379198963548	-6.597543746886492	False	0.00039389463318562285	False	True	Human	True	False	False	False	diann231	directlfq	min	1.660964047443681
P08263ups|GSTA1_HUMAN_UPS	106587.48698987404	143982.51540525525	45135.529915888896	14068892.605084538	15598823.00332658	14832025.149968192	3	0.0008583414912177727	-7.233491886307945	False	0.0004185130477597243	False	True	Human	True	False	False	False	diann231	directlfq	min	1.660964047443681
