Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P01579ups|IFNG_HUMAN_UPS	Interferon	Interferon		6	6.0	71321100.0	3060360.0	71536100.0	4178950.0	72487000.0	3962200.0	0	1.7405314014774386e-08	-4.264879336604046	True	2.5641025641025643e-05	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
O00762ups|UBE2C_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		7	7.0	59910000.0	1157980.0	59720400.0	2241220.0	58372100.0	1986150.0	0	3.6166288676236233e-07	-5.046713583192639	True	5.1282051282051286e-05	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P69905ups|HBA_HUMAN_UPS	Hemoglobin	Hemoglobin		6	6.0	50787800.0	98559.1	50810100.0	1959570.0	52671000.0	69494.2	2	5.512882993851949e-07	-6.180060698002644	True	7.692307692307694e-05	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P16083ups|NQO2_HUMAN_UPS	Ribosyldihydronicotinamide	Ribosyldihydronicotinamide		10	10.0	31287500.0	2027440.0	30382900.0	1373680.0	30417800.0	1513660.0	0	7.285368368091729e-07	-4.227817560214661	True	0.00010256410256410257	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P06396ups|GELS_HUMAN_UPS	Gelsolin	Gelsolin		18	18.0	35160000.0	98559.1	34555000.0	764082.0	35018700.0	1220690.0	1	1.7033508876642751e-06	-5.651689778003318	True	0.0001282051282051282	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P01127ups|PDGFB_HUMAN_UPS	Platelet-derived	Platelet-derived		3	3.0	62600700.0	3385380.0	65214100.0	3398850.0	63285800.0	69494.2	1	4.314272104812312e-06	-4.8013003600531095	True	0.00015384615384615388	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
Q06830ups|PRDX1_HUMAN_UPS	Peroxiredoxin	Peroxiredoxin		10	10.0	26513300.0	98559.1	27802500.0	730876.0	27242200.0	69494.2	2	4.74430481668915e-06	-6.503474933677443	True	0.0001794871794871795	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P63279ups|UBC9_HUMAN_UPS	SUMO-conjugating	SUMO-conjugating		5	5.0	48934600.0	1724250.0	47089900.0	2050330.0	45783300.0	69494.2	1	7.594514204935902e-06	-5.20515689466046	True	0.00020512820512820514	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P55957ups|BID_HUMAN_UPS	BH3-interacting	BH3-interacting		8	8.0	39895400.0	2399680.0	38785400.0	78381.7	38413200.0	1932560.0	1	8.569393133853858e-06	-4.730541317076136	True	0.00023076923076923076	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P00915ups|CAH1_HUMAN_UPS	Carbonic	Carbonic		10	10.0	65910400.0	98559.1	66223300.0	78381.7	66723200.0	69494.2	3	1.2467238168372098e-05	-9.656307737012883	True	0.0002564102564102564	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P02788ups|TRFL_HUMAN_UPS	Lactotransferrin	Lactotransferrin		22	22.0	72746800.0	2423330.0	71375400.0	2158060.0	73382700.0	2820230.0	0	1.4842513591623489e-05	-4.877063023050777	True	0.0002820512820512821	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P62937ups|PPIA_HUMAN_UPS	Peptidyl-prolyl	Peptidyl-prolyl		7	7.0	73976200.0	98559.1	72883800.0	78381.7	73726100.0	69494.2	3	1.999491038554272e-05	-9.805918998799559	True	0.00030769230769230776	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P08758ups|ANXA5_HUMAN_UPS	Annexin	Annexin		16	16.0	63886400.0	1957890.0	61576100.0	1162990.0	61542800.0	1920460.0	0	3.745005371474379e-05	-5.213128092101149	False	0.0003333333333333333	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P00441ups|SODC_HUMAN_UPS	Superoxide	Superoxide		2	2.0	35081600.0	98559.1	34349300.0	78381.7	34872000.0	69494.2	3	3.839535202742111e-05	-8.725356385494566	False	0.000358974358974359	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
