Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P01579ups|IFNG_HUMAN_UPS	Interferon	Interferon		6	6.0	71710300.0	29163300.0	70535500.0	27920900.0	71357700.0	28213400.0	0	1.3217149185076866e-07	-1.3243582320667149	True	2.5866528711846872e-05	True	True	Human	True	False	False	True	diann231	manual	min	0.6609640474436812
P00441ups|SODC_HUMAN_UPS	Superoxide	Superoxide		2	2.0	33001600.0	15267800.0	32178300.0	14691100.0	32618200.0	14709700.0	0	9.251238062266524e-07	-1.1305453985803804	True	5.1733057423693744e-05	True	True	Human	True	False	False	True	diann231	manual	min	0.6609640474436812
P01127ups|PDGFB_HUMAN_UPS	Platelet-derived	Platelet-derived		3	3.0	65628800.0	27858100.0	66433400.0	26813200.0	64846700.0	25777100.0	0	1.823645672367371e-06	-1.2913926871902621	True	7.759958613554062e-05	True	True	Human	True	False	False	True	diann231	manual	min	0.6609640474436812
P69905ups|HBA_HUMAN_UPS	Hemoglobin	Hemoglobin		6	6.0	34238300.0	12754700.0	34349600.0	13839400.0	35497000.0	14080500.0	0	3.225964963262361e-06	-1.3555607230495297	True	0.00010346611484738749	True	True	Human	True	False	False	True	diann231	manual	min	0.6609640474436812
P02787ups|TRFE_HUMAN_UPS	Serotransferrin	Serotransferrin		18	18.0	79889900.0	30513400.0	78262500.0	33199300.0	80207800.0	30983300.0	0	3.2875707054257615e-06	-1.3317679710506418	True	0.00012933264355923435	True	True	Human	True	False	False	True	diann231	manual	min	0.6609640474436812
P15559ups|NQO1_HUMAN_UPS	NAD(P)H	NAD(P)H		9	9.0	39824300.0	17108200.0	39611400.0	16053800.0	40504500.0	15616800.0	0	9.590861201931477e-06	-1.297989111451635	True	0.00015519917227108123	True	True	Human	True	False	False	True	diann231	manual	min	0.6609640474436812
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		8	8.0	214506000.0	80281200.0	209081000.0	87669100.0	212960000.0	88087400.0	0	9.78147470258976e-06	-1.3139107867297093	True	0.00018106570098292812	True	True	Human	True	False	False	True	diann231	manual	min	0.6609640474436812
P62937ups|PPIA_HUMAN_UPS	Peptidyl-prolyl	Peptidyl-prolyl		7	7.0	74230400.0	29051100.0	74549400.0	28136200.0	73059900.0	30816300.0	0	1.0412320296636296e-05	-1.333883123496722	True	0.00020693222969477498	True	True	Human	True	False	False	True	diann231	manual	min	0.6609640474436812
P08758ups|ANXA5_HUMAN_UPS	Annexin	Annexin		16	16.0	65492700.0	27893600.0	64692700.0	25433900.0	62119800.0	24970000.0	0	1.106326112281961e-05	-1.2963596253512206	True	0.00023279875840662184	True	True	Human	True	False	False	True	diann231	manual	min	0.6609640474436812
P61626ups|LYSC_HUMAN_UPS	Lysozyme	Lysozyme		3	3.0	68122800.0	31017800.0	67484700.0	29105200.0	65364300.0	30233700.0	0	1.2284298871072752e-05	-1.1532895924275381	True	0.0002586652871184687	True	True	Human	True	False	False	True	diann231	manual	min	0.6609640474436812
P62988ups|UBIQ_HUMAN_UPS	Ubiquitin	Ubiquitin		3	3.0	7823640.0	3565180.0	7585640.0	3634330.0	7427300.0	3229380.0	0	1.79319757170203e-05	-1.1307609966302026	True	0.0002845318158303156	True	True	Human	True	False	False	True	diann231	manual	min	0.6609640474436812
P00918ups|CAH2_HUMAN_UPS	Carbonic	Carbonic		9	9.0	93272000.0	39783200.0	92519300.0	38020100.0	96300800.0	37679300.0	0	1.9361518439773645e-05	-1.2884907695622212	True	0.00031039834454216247	True	True	Human	True	False	False	True	diann231	manual	min	0.6609640474436812
P68871ups|HBB_HUMAN_UPS	Hemoglobin	Hemoglobin		9	9.0	57647400.0	25085300.0	57581300.0	24295800.0	59127300.0	24657700.0	0	1.999347188308281e-05	-1.2356825937820004	True	0.0003362648732540093	True	True	Human	True	False	False	True	diann231	manual	min	0.6609640474436812
P00167ups|CYB5_HUMAN_UPS	Cytochrome	Cytochrome		5	5.0	60081700.0	25533600.0	57120100.0	24361900.0	60904000.0	22132200.0	0	2.3863850561223255e-05	-1.3061107566743881	True	0.00036213140196585624	True	True	Human	True	False	False	True	diann231	manual	min	0.6609640474436812
P04040ups|CATA_HUMAN_UPS	Catalase	Catalase		16	16.0	28277200.0	12346300.0	28418700.0	11705000.0	28684200.0	11431400.0	0	2.7633794938016354e-05	-1.2667840589028694	False	0.00038799793067770304	True	True	Human	True	False	False	True	diann231	manual	min	0.6609640474436812
P01112ups|RASH_HUMAN_UPS	GTPase	GTPase		8	8.0	50901400.0	17654500.0	48319400.0	20676400.0	48211900.0	20803900.0	0	3.2060095123398526e-05	-1.3179772528635698	False	0.00041386445938954995	True	True	Human	True	False	False	True	diann231	manual	min	0.6609640474436812
Q15843ups|NEDD8_HUMAN_UPS	NEDD8	NEDD8		3	3.0	44339500.0	17517300.0	42068500.0	20365400.0	41695900.0	19774900.0	0	4.071918215933955e-05	-1.1517317068566668	False	0.0004397309881013968	True	True	Human	True	False	False	True	diann231	manual	min	0.6609640474436812
Q06830ups|PRDX1_HUMAN_UPS	Peroxiredoxin	Peroxiredoxin		10	10.0	27775200.0	9632950.0	29701200.0	11245600.0	27808800.0	10662300.0	0	4.32231686826542e-05	-1.4350738645263736	False	0.00046559751681324367	True	True	Human	True	False	False	True	diann231	manual	min	0.6609640474436812
O00762ups|UBE2C_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		7	7.0	57032800.0	21338400.0	54706800.0	22286900.0	54681500.0	22540200.0	0	5.864232867697682e-05	-1.3306872912992782	False	0.0004914640455250906	True	True	Human	True	False	False	True	diann231	manual	min	0.6609640474436812
P01133ups|EGF_HUMAN_UPS	Pro-Epidermal	Pro-Epidermal		1	1.0	19622800.0	9244020.0	20722900.0	7865110.0	21359800.0	7652000.0	0	6.555436538785717e-05	-1.3173219319809328	False	0.0005173305742369374	True	True	Human	True	False	False	True	diann231	manual	min	0.6609640474436812
P06396ups|GELS_HUMAN_UPS	Gelsolin	Gelsolin		18	18.0	34132800.0	14490900.0	33877600.0	13503700.0	34117100.0	13647100.0	0	9.316368379977546e-05	-1.2942705226296318	False	0.0005431971029487843	True	True	Human	True	False	False	True	diann231	manual	min	0.6609640474436812
P16083ups|NQO2_HUMAN_UPS	Ribosyldihydronicotinamide	Ribosyldihydronicotinamide		10	10.0	29241700.0	11246800.0	27426700.0	11811800.0	28035000.0	12201600.0	0	0.00010473818791463997	-1.2643792227755914	False	0.0005690636316606312	True	True	Human	True	False	False	True	diann231	manual	min	0.6609640474436812
P08263ups|GSTA1_HUMAN_UPS	Glutathione	Glutathione		13	13.0	54178500.0	22591900.0	52237900.0	22238600.0	51741500.0	23283600.0	0	0.00010712608061520522	-1.2153402401754998	False	0.0005949301603724781	True	True	Human	True	False	False	True	diann231	manual	min	0.6609640474436812
P55957ups|BID_HUMAN_UPS	BH3-interacting	BH3-interacting		8	8.0	40801300.0	17356900.0	39395700.0	17884100.0	39082600.0	17350600.0	0	0.00016909306153546551	-1.1814430308463781	False	0.0006207966890843249	True	True	Human	True	False	False	True	diann231	manual	min	0.6609640474436812
P02741ups|CRP_HUMAN_UPS	C-reactive	C-reactive		4	4.0	10176800.0	3539980.0	9876320.0	3921760.0	9366240.0	3587690.0	0	0.00019201203247995265	-1.412793913860848	False	0.0006466632177961717	True	True	Human	True	False	False	True	diann231	manual	min	0.6609640474436812
P10636-8ups|TAU_HUMAN_UPS	Microtubule-associated	Microtubule-associated		15	15.0	47596800.0	19902600.0	44796000.0	18600100.0	48090200.0	18323200.0	0	0.00020559753984491236	-1.305775025396602	False	0.0006725297465080186	True	True	Human	True	False	False	True	diann231	manual	min	0.6609640474436812
P02788ups|TRFL_HUMAN_UPS	Lactotransferrin	Lactotransferrin		22	22.0	74465600.0	29974100.0	72055100.0	29652300.0	74419600.0	30171300.0	0	0.00021289259532124318	-1.2989061948468268	False	0.0006983962752198656	True	True	Human	True	False	False	True	diann231	manual	min	0.6609640474436812
P0A8M3	SYT_ECOLI	thrS	Threonine--tRNA ligase	27	27.0	91063700.0	87512200.0	91620800.0	88231000.0	91607800.0	87859900.0	0	0.00023019754079985148	-0.05734678637923763	False	0.0007242628039317125	True	False	Ecoli	False	True	False	True	diann231	manual	min	0.6609640474436812
P0ABD3	BFR_ECOLI	bfr	Bacterioferritin	9	9.0	48226000.0	45952100.0	48165300.0	46104400.0	48638700.0	45752700.0	0	0.0003746556187804826	-0.0736791539059114	False	0.0007501293326435593	True	False	Ecoli	False	True	False	True	diann231	manual	min	0.6609640474436812
P99999ups|CYC_HUMAN_UPS	Cytochrome	Cytochrome		8	8.0	24406700.0	12883600.0	26120500.0	10699100.0	24345500.0	9987720.0	0	0.0004288012711443535	-1.1572491939855274	False	0.0007759958613554061	True	True	Human	True	False	False	True	diann231	manual	min	0.6609640474436812
P02753ups|RETBP_HUMAN_UPS	Retinol-binding	Retinol-binding		2	2.0	9249550.0	3650250.0	9008740.0	3204530.0	9465280.0	2653710.0	0	0.00046797703456972735	-1.5438248905875056	False	0.000801862390067253	True	True	Human	True	False	False	True	diann231	manual	min	0.6609640474436812
P63165ups|SUMO1_HUMAN_UPS	Small	Small		15	15.0	50815900.0	18993900.0	54311800.0	18555900.0	53575400.0	19460800.0	0	0.0005395342348874973	-1.4770282189829196	False	0.0008277289187790999	True	True	Human	True	False	False	True	diann231	manual	min	0.6609640474436812
P02768ups|ALBU_HUMAN_UPS	Serum	Serum		22	22.0	133064000.0	55593000.0	140453000.0	54789800.0	135625000.0	54501600.0	0	0.0005532224539380094	-1.311146733679178	False	0.0008535954474909468	True	True	Human	True	False	False	True	diann231	manual	min	0.6609640474436812
P01008ups|ANT3_HUMAN_UPS	Antithrombin-III	Antithrombin-III		15	15.0	72532200.0	29688600.0	72455300.0	30937900.0	68195600.0	30731200.0	0	0.0006252278747284761	-1.2224948382724812	False	0.0008794619762027936	True	True	Human	True	False	False	True	diann231	manual	min	0.6609640474436812
P41159ups|LEP_HUMAN_UPS	Leptin	Leptin		7	7.0	50843500.0	19202700.0	52423500.0	19687700.0	54267600.0	19439000.0	0	0.0007267444141627424	-1.43337358952469	False	0.0009053285049146404	True	True	Human	True	False	False	True	diann231	manual	min	0.6609640474436812
P12081ups|SYHC_HUMAN_UPS	Histidyl-tRNA	Histidyl-tRNA		20	20.0	68288100.0	28291600.0	72072300.0	27468700.0	67762200.0	27813200.0	0	0.0007852403762360415	-1.3163161743014946	False	0.0009311950336264873	True	True	Human	True	False	False	True	diann231	manual	min	0.6609640474436812
P51965ups|UB2E1_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		1	1.0	12137000.0	188255.0	12347700.0	100534.0	13369000.0	136459.0	3	0.0008865617871690541	-6.475986062016328	False	0.0009570615623383343	True	True	Human	True	False	False	True	diann231	manual	min	0.6609640474436812
P09211ups|GSTP1_HUMAN_UPS	Glutathione	Glutathione		6	6.0	46376000.0	17259600.0	43839900.0	17367400.0	43355100.0	17742700.0	0	0.0009421044709966386	-1.3508025685269478	False	0.0009829280910501812	True	True	Human	True	False	False	True	diann231	manual	min	0.6609640474436812
P06616	ERA_ECOLI	era	GTPase Era	8	8.0	8454710.0	10780200.0	8196770.0	10150600.0	7985220.0	10351700.0	0	0.0009876594780856398	0.3445467879411803	False	0.001008794619762028	True	False	Ecoli	False	True	False	True	diann231	manual	min	0.6609640474436812
P0A7J0	RIBB_ECOLI	ribB	3,4-dihydroxy-2-butanone 4-phosphate synthase	6	6.0	90258300.0	82347700.0	90095700.0	81458900.0	89971200.0	81204400.0	0	0.0010076705717768225	-0.14184948585674412	False	0.0010346611484738748	True	False	Ecoli	False	True	False	True	diann231	manual	min	0.6609640474436812
P06732ups|KCRM_HUMAN_UPS	Creatine	Creatine		16	16.0	44703500.0	17706900.0	42119300.0	17641500.0	41393600.0	17246700.0	0	0.0013119224369595596	-1.285580504260511	False	0.001060527677185722	False	True	Human	True	False	False	False	diann231	manual	min	0.6609640474436812
P05413ups|FABPH_HUMAN_UPS	Fatty	Fatty		9	9.0	76147100.0	27043500.0	79847400.0	28569200.0	71674800.0	29119900.0	0	0.001398953463239928	-1.425950721184609	False	0.0010863942058975686	False	True	Human	True	False	False	False	diann231	manual	min	0.6609640474436812
P02144ups|MYG_HUMAN_UPS	Myoglobin	Myoglobin		8	8.0	85350500.0	32914800.0	89965700.0	32394900.0	82273900.0	33554800.0	0	0.0014546509698941399	-1.381552667187614	False	0.0011122607346094153	False	True	Human	True	False	False	False	diann231	manual	min	0.6609640474436812
