Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P00918ups|CAH2_HUMAN_UPS	Carbonic	Carbonic		9	9.0	19797600.0	96407200.0	19176700.0	95283400.0	95365500.0	20222500.0	0	1.4292616899369038e-08	2.277741618152016	True	2.570694087403599e-05	True	True	Human	True	False	False	True	diann231	manual	min	1.160964047443681
P01008ups|ANT3_HUMAN_UPS	Antithrombin-III	Antithrombin-III		14	14.0	17099700.0	80792200.0	16192300.0	80607200.0	79650800.0	16287700.0	0	2.8850923281638435e-08	2.2815121797297864	True	5.141388174807198e-05	True	True	Human	True	False	False	True	diann231	manual	min	1.160964047443681
P00915ups|CAH1_HUMAN_UPS	Carbonic	Carbonic		10	10.0	12685400.0	60729900.0	11737000.0	59954600.0	59519200.0	12470300.0	0	8.939871832821104e-08	2.2882213513827305	True	7.712082262210799e-05	True	True	Human	True	False	False	True	diann231	manual	min	1.160964047443681
P02741ups|CRP_HUMAN_UPS	C-reactive	C-reactive		5	5.0	194206.0	12886300.0	177700.0	12945600.0	12972000.0	156928.0	3	1.0663442928777467e-07	6.197242913926098	True	0.00010282776349614396	True	True	Human	True	False	False	True	diann231	manual	min	1.160964047443681
P06396ups|GELS_HUMAN_UPS	Gelsolin	Gelsolin		20	20.0	7043940.0	35204500.0	7405730.0	34939200.0	35582300.0	7830660.0	0	1.2478260615907788e-07	2.246487699938732	True	0.00012853470437017994	True	True	Human	True	False	False	True	diann231	manual	min	1.160964047443681
P02787ups|TRFE_HUMAN_UPS	Serotransferrin	Serotransferrin		18	18.0	14784300.0	80190500.0	16196200.0	80290000.0	81966500.0	16798500.0	0	1.6276590898880405e-07	2.343220838116799	True	0.00015424164524421597	True	True	Human	True	False	False	True	diann231	manual	min	1.160964047443681
P01127ups|PDGFB_HUMAN_UPS	Platelet-derived	Platelet-derived		3	3.0	15364400.0	64884700.0	13306700.0	65646700.0	66935600.0	14474100.0	0	4.3519589582115844e-07	2.194339604848627	True	0.00017994858611825195	True	True	Human	True	False	False	True	diann231	manual	min	1.160964047443681
P16083ups|NQO2_HUMAN_UPS	Ribosyldihydronicotinamide	Ribosyldihydronicotinamide		10	10.0	6286880.0	29692200.0	6341880.0	29552100.0	29254400.0	6938070.0	0	7.97785273663455e-07	2.1772462174056697	True	0.00020565552699228792	True	True	Human	True	False	False	True	diann231	manual	min	1.160964047443681
P04040ups|CATA_HUMAN_UPS	Catalase	Catalase		17	17.0	5886950.0	28997300.0	6196900.0	28844500.0	29761400.0	7073370.0	0	1.6068704494009567e-06	2.1930953504819217	True	0.0002313624678663239	True	True	Human	True	False	False	True	diann231	manual	min	1.160964047443681
P02788ups|TRFL_HUMAN_UPS	Lactotransferrin	Lactotransferrin		22	22.0	15965500.0	75717200.0	14816300.0	73781600.0	75418600.0	15502700.0	0	2.185925994191144e-06	2.280794232747836	True	0.0002570694087403599	True	True	Human	True	False	False	True	diann231	manual	min	1.160964047443681
