Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P55957ups|BID_HUMAN_UPS	BH3-interacting	BH3-interacting		8	8.0	63463100.0	2233830.0	63592800.0	144580.0	62030800.0	1613990.0	1	2.899266527090004e-07	-5.5656478081424305	True	2.6055237102657634e-05	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P16083ups|NQO2_HUMAN_UPS	Ribosyldihydronicotinamide	Ribosyldihydronicotinamide		11	11.0	76260100.0	2315130.0	77433700.0	1497120.0	76081500.0	1753590.0	0	3.0067063422618917e-07	-5.3674804752577465	True	5.211047420531527e-05	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		12	11.0	160138000.0	4865040.0	163183000.0	144580.0	163263000.0	81950.9	2	7.947455308186439e-07	-6.578434232693013	True	7.816571130797291e-05	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P62988ups|UBIQ_HUMAN_UPS	Ubiquitin	Ubiquitin		4	4.0	18329600.0	1016530.0	18655700.0	980538.0	18474900.0	1479020.0	0	1.1757673596907877e-06	-3.995916308291001	True	0.00010422094841063054	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P69905ups|HBA_HUMAN_UPS	Hemoglobin	Hemoglobin		7	7.0	86659700.0	130045.0	88412000.0	1872130.0	89882500.0	81950.9	2	1.19760992197414e-06	-6.990156754604822	True	0.00013027618551328816	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P15559ups|NQO1_HUMAN_UPS	NAD(P)H	NAD(P)H		10	10.0	65123300.0	1990750.0	63812000.0	1424960.0	65055000.0	1918600.0	0	3.235494963181049e-06	-5.184539037010715	True	0.00015633142261594582	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P06396ups|GELS_HUMAN_UPS	Gelsolin	Gelsolin		21	21.0	65856900.0	130045.0	65955100.0	724405.0	65653600.0	1107930.0	1	3.440267116754322e-06	-6.652853101013918	True	0.00018238665971860346	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
O00762ups|UBE2C_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		7	7.0	95795100.0	966700.0	95880300.0	1643460.0	95846600.0	1634350.0	0	4.3830751434803555e-06	-6.081930525144939	True	0.00020844189682126107	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P08263ups|GSTA1_HUMAN_UPS	Glutathione	Glutathione		13	13.0	100228000.0	1826760.0	100692000.0	3316910.0	103951000.0	1804310.0	0	1.2901442049599071e-05	-5.455461513116929	True	0.0002344971339239187	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P05413ups|FABPH_HUMAN_UPS	Fatty	Fatty		10	10.0	136098000.0	4711720.0	139598000.0	4232780.0	134751000.0	6094650.0	0	1.5837138930903702e-05	-4.770401007875699	True	0.0002605523710265763	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P13482	TREA_ECOLI	treA	Periplasmic trehalase	2	2.0	67701.5	1027150.0	137726.0	1119360.0	76588.2	1046080.0	3	1.7782221232922227e-05	3.5008799047189467	True	0.000286607608129234	True	True	Ecoli	False	True	False	True	diann231	manual	min	1.660964047443681
P30131	HYPF_ECOLI	hypF	Carbamoyltransferase HypF	1	1.0	67701.5	786285.0	137726.0	834027.0	76588.2	858476.0	3	1.820303866506637e-05	3.135787503486619	True	0.00031266284523189165	True	True	Ecoli	False	True	False	True	diann231	manual	min	1.660964047443681
