Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P55957ups|BID_HUMAN_UPS	BH3-interacting	BH3-interacting		5	5.0	8618180.0	20051800.0	9336290.0	20693200.0	20313100.0	8748590.0	0	3.232772125973929e-06	1.1931776215830332	True	2.5960539979231568e-05	True	True	Human	True	False	False	True	diann231	manual	min	0.5
P02788ups|TRFL_HUMAN_UPS	Lactotransferrin	Lactotransferrin		19	19.0	20581200.0	39948100.0	19590500.0	39314000.0	40701700.0	19777600.0	0	4.893557670629284e-06	1.0007843139982144	True	5.1921079958463136e-05	True	True	Human	True	False	False	True	diann231	manual	min	0.5
P0AAU2	YBFA_ECOLI	ybfA	Uncharacterized protein YbfA	1	1.0	1278900.0	266283.0	1357460.0	225120.0	214696.0	1318440.0	3	7.898305665423346e-06	-2.485662358663625	True	7.788161993769472e-05	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P10636-8ups|TAU_HUMAN_UPS	Microtubule-associated	Microtubule-associated		8	8.0	7690800.0	16312100.0	7804250.0	16875100.0	16440900.0	8063770.0	0	8.42425661552839e-06	1.0748899423190323	True	0.00010384215991692627	True	True	Human	True	False	False	True	diann231	manual	min	0.5
P06396ups|GELS_HUMAN_UPS	Gelsolin	Gelsolin		14	14.0	5842460.0	13415300.0	6283480.0	12796800.0	12993900.0	6483730.0	0	1.2949729804196075e-05	1.0750219853902816	True	0.00012980269989615784	True	True	Human	True	False	False	True	diann231	manual	min	0.5
P41159ups|LEP_HUMAN_UPS	Leptin	Leptin		6	6.0	10002400.0	18001100.0	10208800.0	18883300.0	18657200.0	9607570.0	0	3.596813059217086e-05	0.8973479889603243	False	0.00015576323987538944	True	True	Human	True	False	False	True	diann231	manual	min	0.5
P12081ups|SYHC_HUMAN_UPS	Histidyl-tRNA	Histidyl-tRNA		17	17.0	13878100.0	26469800.0	13348900.0	26651800.0	26642400.0	13378300.0	0	3.66782828691621e-05	0.9740697124992413	False	0.000181723779854621	True	True	Human	True	False	False	True	diann231	manual	min	0.5
P63279ups|UBC9_HUMAN_UPS	SUMO-conjugating	SUMO-conjugating		2	2.0	8391460.0	17792400.0	8200620.0	17721700.0	16894400.0	9304670.0	0	4.708983664039122e-05	1.0170297643515498	False	0.00020768431983385254	True	True	Human	True	False	False	True	diann231	manual	min	0.5
P04040ups|CATA_HUMAN_UPS	Catalase	Catalase		10	10.0	3493290.0	8224570.0	3713890.0	7969390.0	7831350.0	4079760.0	0	8.791961971535783e-05	1.0899006359361731	False	0.00023364485981308412	True	True	Human	True	False	False	True	diann231	manual	min	0.5
P23256	MALY_ECOLI	malY	Protein MalY	2	2.0	198096.0	1472390.0	205774.0	1419700.0	1540110.0	153245.0	3	8.79992071218081e-05	2.9919759181232206	False	0.00025960539979231567	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P16083ups|NQO2_HUMAN_UPS	Ribosyldihydronicotinamide	Ribosyldihydronicotinamide		7	7.0	5231780.0	10569700.0	5259870.0	10014300.0	9863940.0	5735150.0	0	9.961537450849003e-05	0.907966101984767	False	0.00028556593977154725	True	True	Human	True	False	False	True	diann231	manual	min	0.5
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		7	7.0	38964000.0	86454300.0	45027300.0	88650300.0	89960700.0	42681000.0	0	0.00012024398764348802	1.0652467393451155	False	0.0003115264797507789	True	True	Human	True	False	False	True	diann231	manual	min	0.5
P06732ups|KCRM_HUMAN_UPS	Creatine	Creatine		15	15.0	10121800.0	19982600.0	9980000.0	19990700.0	19478700.0	10089700.0	0	0.00013668931817521968	0.9775829080463344	False	0.0003374870197300104	True	True	Human	True	False	False	True	diann231	manual	min	0.5
P02787ups|TRFE_HUMAN_UPS	Serotransferrin	Serotransferrin		14	14.0	14116700.0	32847800.0	15632000.0	32009900.0	30080200.0	16218400.0	0	0.00014481226361630188	1.04638248669151	False	0.000363447559709242	True	True	Human	True	False	False	True	diann231	manual	min	0.5
P00915ups|CAH1_HUMAN_UPS	Carbonic	Carbonic		9	9.0	12974900.0	24312200.0	11784800.0	22390200.0	24198400.0	10997800.0	0	0.000165024768362553	0.9875560325765339	False	0.0003894080996884735	True	True	Human	True	False	False	True	diann231	manual	min	0.5
