Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P06732ups|KCRM_HUMAN_UPS	Creatine	Creatine		12	12.0	9652030.0	1891650.0	9696820.0	2015100.0	9594750.0	1821770.0	0	1.1564050194518355e-06	-2.337010012502837	True	2.5680534155110427e-05	True	True	Human	True	False	False	True	diann231	manual	min	1.160964047443681
P0AG71	RMUC_ECOLI	rmuC	DNA recombination protein RmuC	2	2.0	154308.0	3447340.0	177625.0	3448790.0	143396.0	3373220.0	3	5.129319214674735e-06	4.4332746350392185	True	5.1361068310220854e-05	True	True	Ecoli	False	True	False	True	diann231	manual	min	1.160964047443681
P02144ups|MYG_HUMAN_UPS	Myoglobin	Myoglobin		5	5.0	15152400.0	1856310.0	16065900.0	2374140.0	15713000.0	2891000.0	0	5.591465028425445e-06	-2.7203074999964345	True	7.70416024653313e-05	True	True	Human	True	False	False	True	diann231	manual	min	1.160964047443681
P02788ups|TRFL_HUMAN_UPS	Lactotransferrin	Lactotransferrin		13	13.0	22764500.0	4017980.0	22017200.0	3547440.0	21751100.0	5116150.0	0	2.125152063106795e-05	-2.391332385463881	True	0.00010272213662044171	True	True	Human	True	False	False	True	diann231	manual	min	1.160964047443681
P00918ups|CAH2_HUMAN_UPS	Carbonic	Carbonic		8	8.0	18674200.0	3429580.0	18496200.0	3550500.0	19024700.0	3389880.0	0	2.6049853113201004e-05	-2.4380340091232178	False	0.00012840267077555214	True	True	Human	True	False	False	True	diann231	manual	min	1.160964047443681
P02768ups|ALBU_HUMAN_UPS	Serum	Serum		12	12.0	27061400.0	5155600.0	26885900.0	5434950.0	27699800.0	5309140.0	0	2.935407459024984e-05	-2.360403006805427	False	0.0001540832049306626	True	True	Human	True	False	False	True	diann231	manual	min	1.160964047443681
P22564	RIHC_ECOLI	rihC	Non-specific ribonucleoside hydrolase RihC	1	1.0	743464.0	534700.0	725685.0	542914.0	748337.0	524834.0	0	3.305869904933093e-05	-0.4686474545204317	False	0.000179763739085773	True	False	Ecoli	False	True	False	True	diann231	manual	min	1.160964047443681
P01008ups|ANT3_HUMAN_UPS	Antithrombin-III	Antithrombin-III		8	8.0	16446400.0	2977960.0	15732700.0	3111590.0	16445300.0	3341780.0	0	3.518070609918719e-05	-2.3661473098241563	False	0.00020544427324088342	True	True	Human	True	False	False	True	diann231	manual	min	1.160964047443681
P68871ups|HBB_HUMAN_UPS	Hemoglobin	Hemoglobin		4	4.0	13809600.0	5824440.0	13676800.0	5132070.0	13376000.0	5110540.0	0	5.795074292599257e-05	-1.3466688749086697	False	0.00023112480739599384	True	True	Human	True	False	False	True	diann231	manual	min	1.160964047443681
P41159ups|LEP_HUMAN_UPS	Leptin	Leptin		3	3.0	11514700.0	124971.0	12018700.0	1555740.0	10769300.0	1604140.0	1	0.0001173424281741689	-3.3844222999774787	False	0.00025680534155110427	True	True	Human	True	False	False	True	diann231	manual	min	1.160964047443681
P75823	LTAE_ECOLI	ltaE	Low specificity L-threonine aldolase	10	10.0	21479600.0	20075800.0	21755800.0	19822000.0	21691100.0	19926100.0	0	0.00011808191610781394	-0.11808547519942279	False	0.0002824858757062147	True	False	Ecoli	False	True	False	True	diann231	manual	min	1.160964047443681
P37325	YBCH_ECOLI	ybcH	Uncharacterized protein YbcH	3	3.0	154308.0	771189.0	177625.0	763112.0	143396.0	769872.0	3	0.00012719952425594387	2.2772507112735982	False	0.0003081664098613252	True	True	Ecoli	False	True	False	True	diann231	manual	min	1.160964047443681
P01375ups|TNFA_HUMAN_UPS	Tumor	Tumor		4	4.0	8915150.0	124971.0	8791460.0	153797.0	9159690.0	143434.0	3	0.00013837075540938263	-5.9917204254388485	False	0.00033384694401643555	True	True	Human	True	False	False	True	diann231	manual	min	1.160964047443681
P10636-8ups|TAU_HUMAN_UPS	Microtubule-associated	Microtubule-associated		5	5.0	6440950.0	838563.0	6147430.0	1388460.0	6467240.0	776616.0	0	0.00014130276250004024	-2.6654332145126314	False	0.000359527478171546	True	True	Human	True	False	False	True	diann231	manual	min	1.160964047443681
P01579ups|IFNG_HUMAN_UPS	Interferon	Interferon		4	4.0	15162600.0	2612910.0	14420300.0	4022430.0	14997800.0	2878290.0	0	0.00015566750851945206	-2.228351446944019	False	0.0003852080123266564	True	True	Human	True	False	False	True	diann231	manual	min	1.160964047443681
P06396ups|GELS_HUMAN_UPS	Gelsolin	Gelsolin		12	12.0	5626590.0	124971.0	6131240.0	753316.0	6109720.0	955451.0	1	0.0001569993206583914	-3.284482395440936	False	0.00041088854648176684	True	True	Human	True	False	False	True	diann231	manual	min	1.160964047443681
P12081ups|SYHC_HUMAN_UPS	Histidyl-tRNA	Histidyl-tRNA		14	14.0	16064800.0	2815260.0	15318400.0	3131620.0	15071600.0	2924580.0	0	0.00019891140809400156	-2.3885842151935863	False	0.0004365690806368773	True	True	Human	True	False	False	True	diann231	manual	min	1.160964047443681
P61626ups|LYSC_HUMAN_UPS	Lysozyme	Lysozyme		1	1.0	14897700.0	124971.0	14783100.0	153797.0	15527200.0	143434.0	3	0.00023586860987785904	-6.7425008712288514	False	0.0004622496147919877	True	True	Human	True	False	False	True	diann231	manual	min	1.160964047443681
P09211ups|GSTP1_HUMAN_UPS	Glutathione	Glutathione		3	3.0	6298900.0	124971.0	6664720.0	153797.0	6449950.0	143434.0	3	0.0002593166503063436	-5.522988219435903	False	0.0004879301489470981	True	True	Human	True	False	False	True	diann231	manual	min	1.160964047443681
P13445	RPOS_ECOLI	rpoS	RNA polymerase sigma factor RpoS	14	14.0	28951700.0	26526700.0	29107300.0	26275600.0	29547200.0	26108400.0	0	0.0003723900196360468	-0.15081203713466063	False	0.0005136106831022085	True	False	Ecoli	False	True	False	True	diann231	manual	min	1.160964047443681
P31063	YEDD_ECOLI	yedD	Uncharacterized lipoprotein YedD	4	4.0	60030300.0	51960000.0	59587800.0	51984200.0	58967700.0	53393200.0	0	0.0005469710304328414	-0.18275572275909113	False	0.000539291217257319	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.160964047443681
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		4	4.0	21686200.0	2366720.0	22943400.0	153797.0	22943300.0	3561240.0	1	0.0006195407993364706	-3.4738846930869474	False	0.0005649717514124294	False	True	Human	True	False	False	False	diann231	manual	min	1.160964047443681
P39187	YTFJ_ECOLI	ytfJ	Uncharacterized protein YtfJ	1	1.0	154308.0	5333610.0	177625.0	4922930.0	143396.0	4985350.0	3	0.0006285467554978647	5.002971574728071	False	0.0005906522855675399	False	True	Ecoli	False	True	False	False	diann231	manual	min	1.160964047443681
P00915ups|CAH1_HUMAN_UPS	Carbonic	Carbonic		6	6.0	8586290.0	124971.0	8264930.0	153797.0	7804310.0	1472820.0	2	0.0006341300667876181	-3.8151758893690224	False	0.0006163328197226504	False	True	Human	True	False	False	False	diann231	manual	min	1.160964047443681
P08263ups|GSTA1_HUMAN_UPS	Glutathione	Glutathione		10	10.0	10127500.0	1730160.0	10270500.0	2774420.0	9888880.0	1843510.0	0	0.0006486764580462493	-2.254298479469091	False	0.0006420133538777606	False	True	Human	True	False	False	False	diann231	manual	min	1.160964047443681
P05413ups|FABPH_HUMAN_UPS	Fatty	Fatty		5	5.0	16647300.0	4598390.0	17010000.0	4452510.0	17939700.0	4673720.0	0	0.0006936124042841875	-1.9105209803832195	False	0.0006676938880328711	False	True	Human	True	False	False	False	diann231	manual	min	1.160964047443681
