Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P02768ups|ALBU_HUMAN_UPS	Serum	Serum		12	12.0	80262.6	25894400.0	186823.0	26011000.0	159946.0	25914500.0	3	9.649778005538142e-11	-7.509652484111333	True	2.5746652935118435e-05	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P01127ups|PDGFB_HUMAN_UPS	Platelet-derived	Platelet-derived		3	3.0	80262.6	12544400.0	186823.0	12453900.0	159946.0	12517500.0	3	1.34521465185582e-09	-6.457011680789127	True	5.149330587023687e-05	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P06396ups|GELS_HUMAN_UPS	Gelsolin	Gelsolin		12	12.0	80262.6	6892950.0	186823.0	7061920.0	159946.0	7035070.0	3	4.950137957703848e-07	-5.6192114003635405	True	7.723995880535531e-05	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P01008ups|ANT3_HUMAN_UPS	Antithrombin-III	Antithrombin-III		7	7.0	80262.6	15914400.0	186823.0	15609600.0	159946.0	15713600.0	3	4.099481011219018e-06	-6.7894490253017965	True	0.00010298661174047374	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
O00762ups|UBE2C_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		3	3.0	80262.6	6909240.0	186823.0	7139720.0	159946.0	7075000.0	3	5.392159621530873e-06	-5.628393672348812	True	0.00012873326467559217	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P0AAU2	YBFA_ECOLI	ybfA	Uncharacterized protein YbfA	1	1.0	80262.6	1654170.0	186823.0	1714210.0	159946.0	1634840.0	3	6.065525961942012e-06	-3.550442154254912	True	0.00015447991761071062	True	True	Ecoli	False	True	False	True	diann231	manual	min	1.660964047443681
P68871ups|HBB_HUMAN_UPS	Hemoglobin	Hemoglobin		4	4.0	3444520.0	13858600.0	4009230.0	13419600.0	3409530.0	12988600.0	0	1.1510580529355722e-05	-1.8901310575037726	True	0.00018022657054582905	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P06732ups|KCRM_HUMAN_UPS	Creatine	Creatine		12	12.0	80262.6	9148100.0	186823.0	9470060.0	159946.0	9227740.0	3	2.4358122585446723e-05	-6.026978280043913	True	0.00020597322348094748	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P01112ups|RASH_HUMAN_UPS	GTPase	GTPase		5	5.0	80262.6	10771000.0	186823.0	10898200.0	159946.0	10539600.0	3	2.5859599726962997e-05	-6.236968269067927	False	0.0002317198764160659	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
Q06830ups|PRDX1_HUMAN_UPS	Peroxiredoxin	Peroxiredoxin		7	7.0	80262.6	5795850.0	186823.0	5566770.0	159946.0	5543210.0	3	3.060213431956997e-05	-5.307034205478338	False	0.00025746652935118434	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
