Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P0A7E1	PYRD_ECOLI	pyrD	Dihydroorotate dehydrogenase (quinone)	17	17.0	33512900.0	32931900.0	33719600.0	35014400.0	33477900.0	32789000.0	0	0.5468954590071871	-0.020091777001204104	False	0.03126315789473685	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P45955	YBGF_ECOLI	ybgF	Uncharacterized protein YbgF	9	9.0	11610900.0	11787400.0	11857700.0	11372100.0	12601600.0	11503300.0	0	0.5473602258198955	-0.032194935217699214	False	0.03128947368421053	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P00561	AK1H_ECOLI	thrA	Bifunctional aspartokinase/homoserine dehydrogenase 1	12	12.0	14503800.0	15574500.0	14852600.0	13908700.0	14792200.0	13779400.0	0	0.5507163994789307	-0.03761962830211918	False	0.031315789473684214	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P0A8W0	NANR_ECOLI	nanR	Transcriptional regulator NanR	9	9.0	7107110.0	8008990.0	8424080.0	8192220.0	8901160.0	8517860.0	0	0.5517958470154587	-0.061843675428756455	False	0.0313421052631579	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P09394	GLPQ_ECOLI	glpQ	Glycerophosphoryl diester phosphodiesterase	14	14.0	27566500.0	28881100.0	27549600.0	27663000.0	27962000.0	28463000.0	0	0.5518252649201971	-0.015913261397612108	False	0.03136842105263158	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P10121	FTSY_ECOLI	ftsY	Signal recognition particle receptor FtsY	22	22.0	47707000.0	47086200.0	46146800.0	47430100.0	47117100.0	46810900.0	0	0.5527166231064535	-0.009901194315580801	False	0.03139473684210527	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P69811	PTFAH_ECOLI	fruB	Multiphosphoryl transfer protein	22	22.0	117695000.0	120139000.0	116100000.0	114916000.0	116819000.0	114576000.0	0	0.5537322952785162	-0.014434384783188599	False	0.03142105263157895	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P04693	TYRB_ECOLI	tyrB	Aromatic-amino-acid aminotransferase	5	5.0	24649200.0	25775100.0	24304800.0	24119100.0	24678500.0	24581800.0	0	0.5537527767266313	-0.020200797776909175	False	0.031447368421052634	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P31979	NUOF_ECOLI	nuoF	NADH-quinone oxidoreductase subunit F	17	17.0	116669000.0	119139000.0	117359000.0	118365000.0	117427000.0	119157000.0	0	0.5544157331973077	-0.007114514136645983	False	0.03147368421052632	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P0A7A2	GPMB_ECOLI	gpmB	Probable phosphoglycerate mutase GpmB	5	5.0	12191000.0	13627600.0	13379700.0	11969400.0	11370900.0	12905900.0	0	0.554873216493323	0.057708228360627535	False	0.0315	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P0A8F0	UPP_ECOLI	upp	Uracil phosphoribosyltransferase	15	15.0	207247000.0	192830000.0	196856000.0	194915000.0	205567000.0	198990000.0	0	0.555932941073971	0.023589527929995833	False	0.03152631578947369	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P18776	DMSB_ECOLI	dmsB	Anaerobic dimethyl sulfoxide reductase chain B	4	3.0	9203040.0	10129000.0	9693460.0	9373950.0	10100000.0	10039700.0	0	0.5559408048292735	-0.03286547609781333	False	0.03155263157894737	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P0A7Z4	RPOA_ECOLI	rpoA	DNA-directed RNA polymerase subunit alpha	18	18.0	542011000.0	538678000.0	540111000.0	540996000.0	549558000.0	540121000.0	0	0.5564102753584329	-0.0062021151444218575	False	0.031578947368421054	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P77781	YDII_ECOLI	ydiI	Esterase YdiI	3	3.0	2447130.0	2710630.0	2586400.0	2464130.0	2056140.0	2602740.0	0	0.5564578478779924	0.07869288924990372	False	0.03160526315789474	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P0A9H9	CHEZ_ECOLI	cheZ	Protein phosphatase CheZ	10	10.0	6527000.0	6722880.0	6410010.0	6264980.0	6781330.0	6487100.0	0	0.5566546505339404	-0.025405264149339683	False	0.03163157894736842	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
