Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P40874	MTOX_ECOLI	solA	N-methyl-L-tryptophan oxidase	14	14.0	17558200.0	18035900.0	18115500.0	18379700.0	18807700.0	18354800.0	0	0.2876288016288425	-0.03155647338643664	False	0.026280737704918036	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0A8J2	DNAT_ECOLI	dnaT	Primosomal protein 1	3	3.0	6243830.0	7634050.0	6898200.0	7125400.0	7135660.0	7351800.0	0	0.28783205280092383	-0.09541906948684663	False	0.026306352459016392	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0A9H5	BTUR_ECOLI	btuR	Cob(I)yrinic acid a,c-diamide adenosyltransferase	3	3.0	5126780.0	4826820.0	6175400.0	5088590.0	4902720.0	5058980.0	0	0.2888222571847572	0.14291164274328755	False	0.026331967213114756	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P17445	BETB_ECOLI	betB	Betaine aldehyde dehydrogenase	9	9.0	2978380.0	3092320.0	3060450.0	2799780.0	2956010.0	3207670.0	0	0.2890381907205671	0.06353805640015901	False	0.026357581967213117	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P10100	RLPA_ECOLI	rlpA	Rare lipoprotein A	3	3.0	25375500.0	24431400.0	25403400.0	23370300.0	24654000.0	23958500.0	0	0.2893167330420273	0.04473118615943841	False	0.026383196721311477	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P24186	FOLD_ECOLI	folD	Bifunctional protein FolD	9	9.0	24543600.0	23339000.0	25278800.0	23193300.0	25714000.0	25956400.0	0	0.2893654903125269	0.06887059037767167	False	0.026408811475409837	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P04846	NLPA_ECOLI	nlpA	Lipoprotein 28	3	3.0	8691310.0	7978460.0	7919220.0	7873570.0	8302020.0	8602920.0	0	0.2896649126043462	0.06192842673990341	False	0.026434426229508198	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0A935	MLTA_ECOLI	mltA	Membrane-bound lytic murein transglycosylase A	8	8.0	19530400.0	20695600.0	19773900.0	19334200.0	21521600.0	19524900.0	0	0.2899174971271702	-0.06525925387256966	False	0.02646004098360656	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P13482	TREA_ECOLI	treA	Periplasmic trehalase	1	1.0	1797000.0	3290250.0	2119380.0	2067630.0	2972080.0	2727000.0	0	0.29073879629191396	-0.32639212922386773	False	0.02648565573770492	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P69425	TATB_ECOLI	tatB	Sec-independent protein translocase protein TatB	4	4.0	15830100.0	17697200.0	17642400.0	17250000.0	17424700.0	16683200.0	0	0.2916491705653951	-0.06237927843741746	False	0.02651127049180328	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
