Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P60624	RL24_ECOLI	rplX	50S ribosomal protein L24	7	7.0	857124000.0	924983000.0	858914000.0	928162000.0	854566000.0	921834000.0	0	1.9394249217487624e-05	-0.1103694727442442	True	2.6096033402922757e-05	True	False	Ecoli	False	True	False	True	diann231	manual	min	1.0
P28635	METQ_ECOLI	metQ	D-methionine-binding lipoprotein MetQ	13	13.0	78119800.0	67638400.0	77944200.0	68597600.0	77384200.0	68404200.0	0	2.3281278780484615e-05	0.19001288542244915	True	5.2192066805845514e-05	True	False	Ecoli	False	True	False	True	diann231	manual	min	1.0
Q15843ups|NEDD8_HUMAN_UPS	NEDD8	NEDD8		2	2.0	149116.0	1009900.0	104247.0	920216.0	130701.0	970938.0	3	0.00010400178007150847	-2.9171585048050037	False	7.828810020876828e-05	False	True	Human	True	False	False	False	diann231	manual	min	1.0
P0C018	RL18_ECOLI	rplR	50S ribosomal protein L18	5	5.0	374059000.0	333904000.0	379307000.0	325615000.0	381647000.0	327828000.0	0	0.00013185099071228213	0.20107971213173628	False	0.00010438413361169103	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P02768ups|ALBU_HUMAN_UPS	Serum	Serum		3	3.0	859035.0	5380360.0	104247.0	5849020.0	130701.0	5301750.0	2	0.00015239626203015675	-3.917523120105127	False	0.00013048016701461377	False	True	Human	True	False	False	False	diann231	manual	min	1.0
P0AD44	YFHG_ECOLI	yfhG	Uncharacterized protein YfhG	4	4.0	3004180.0	2657230.0	3074430.0	2677190.0	3061420.0	2715960.0	0	0.0002564347199253013	0.18314201660394408	False	0.00015657620041753656	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0A7M6	RL29_ECOLI	rpmC	50S ribosomal protein L29	5	5.0	340775000.0	412030000.0	336467000.0	403688000.0	334819000.0	414765000.0	0	0.0002739587689649382	-0.2819284777945409	False	0.00018267223382045932	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P10121	FTSY_ECOLI	ftsY	Signal recognition particle receptor FtsY	22	22.0	60233500.0	58277000.0	60360700.0	58170500.0	59977000.0	58547800.0	0	0.0003078223819116567	0.04525163527689426	False	0.00020876826722338206	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0ACF4	DBHB_ECOLI	hupB	DNA-binding protein HU-beta	6	6.0	349618000.0	323565000.0	349091000.0	323760000.0	344633000.0	320035000.0	0	0.00032271985461585135	0.10908735124433154	False	0.0002348643006263048	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P68871ups|HBB_HUMAN_UPS	Hemoglobin	Hemoglobin		2	2.0	3466230.0	4676880.0	3204030.0	4550040.0	3328940.0	4404100.0	0	0.00038103236979825794	-0.44700894229597316	False	0.00026096033402922753	False	False	Human	True	False	False	False	diann231	manual	min	1.0
P33570	TKT2_ECOLI	tktB	Transketolase 2	9	9.0	11695000.0	12304000.0	11635700.0	12178800.0	11755900.0	12226500.0	0	0.00043121446791569943	-0.06522545142282765	False	0.00028705636743215035	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P68679	RS21_ECOLI	rpsU	30S ribosomal protein S21	6	6.0	573515000.0	607236000.0	573920000.0	614375000.0	565566000.0	608403000.0	0	0.00046170996393737825	-0.09532869185291531	False	0.0003131524008350731	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P00918ups|CAH2_HUMAN_UPS	Carbonic	Carbonic		3	3.0	149116.0	2677680.0	104247.0	2897560.0	130701.0	2677700.0	3	0.0005586575486905068	-4.425489506626243	False	0.0003392484342379958	False	True	Human	True	False	False	False	diann231	manual	min	1.0
P0A7U7	RS20_ECOLI	rpsT	30S ribosomal protein S20	6	6.0	355228000.0	379479000.0	359812000.0	376233000.0	355785000.0	382049000.0	0	0.000614916920585191	-0.08747480816686871	False	0.00036534446764091864	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P02930	TOLC_ECOLI	tolC	Outer membrane protein TolC	16	16.0	131484000.0	126164000.0	130792000.0	126077000.0	130772000.0	125852000.0	0	0.0006376018507590681	0.05596436918284259	False	0.00039144050104384135	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P45578	LUXS_ECOLI	luxS	S-ribosylhomocysteine lyase	8	8.0	191895000.0	203694000.0	190735000.0	203452000.0	193612000.0	201201000.0	0	0.0007578634773882375	-0.07821965236099943	False	0.0004175365344467641	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0AF36	ZAPB_ECOLI	zapB	Cell division protein ZapB	8	8.0	87801100.0	96557800.0	85204500.0	98068500.0	86246600.0	97287000.0	0	0.0007971448196037241	-0.17118371192738713	False	0.0004436325678496869	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P15559ups|NQO1_HUMAN_UPS	NAD(P)H	NAD(P)H		1	1.0	149116.0	840385.0	104247.0	746156.0	130701.0	855142.0	3	0.0008059029988378914	-2.66845726437687	False	0.0004697286012526096	False	True	Human	True	False	False	False	diann231	manual	min	1.0
P12081ups|SYHC_HUMAN_UPS	Histidyl-tRNA	Histidyl-tRNA		3	3.0	149116.0	1156630.0	104247.0	1181330.0	130701.0	1302790.0	3	0.0008358014218259926	-3.2448170332002535	False	0.0004958246346555324	False	True	Human	True	False	False	False	diann231	manual	min	1.0
P52643	LDHD_ECOLI	ldhA	D-lactate dehydrogenase	12	12.0	32433300.0	34195500.0	32506800.0	34157100.0	31973000.0	34571800.0	0	0.0009072384596896892	-0.08682144162390762	False	0.0005219206680584551	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0A7A9	IPYR_ECOLI	ppa	Inorganic pyrophosphatase	9	9.0	425675000.0	471957000.0	435956000.0	465347000.0	427051000.0	471200000.0	0	0.00103373946085878	-0.12826735803583486	False	0.0005480167014613779	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0AF08	MRP_ECOLI	mrp	Protein mrp	7	7.0	37914700.0	33793100.0	37091800.0	34138600.0	37033000.0	34477400.0	0	0.0012810538071162956	0.1296635323150227	False	0.0005741127348643007	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P07658	FDHF_ECOLI	fdhF	Formate dehydrogenase H	12	12.0	4225170.0	4477980.0	4259370.0	4538900.0	4279420.0	4469020.0	0	0.0013514331226913536	-0.0793758124300228	False	0.0006002087682672235	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0A972	CSPE_ECOLI	cspE	Cold shock-like protein CspE	7	7.0	1315750000.0	1269880000.0	1304150000.0	1276900000.0	1314490000.0	1263810000.0	0	0.001444452903904355	0.04612558327708274	False	0.0006263048016701462	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0A7L3	RL20_ECOLI	rplT	50S ribosomal protein L20	7	7.0	655491000.0	718347000.0	633449000.0	710698000.0	644434000.0	702780000.0	0	0.0016625251697360349	-0.14096826760272038	False	0.0006524008350730689	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0AC59	GLRX2_ECOLI	grxB	Glutaredoxin-2	9	9.0	59838200.0	55626600.0	58769300.0	56464800.0	59302700.0	56416800.0	0	0.0016949959955941836	0.0783304279898222	False	0.0006784968684759916	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P25519	HFLX_ECOLI	hflX	GTPase HflX	16	16.0	17371000.0	16195200.0	17308200.0	16072400.0	17346200.0	15953800.0	0	0.0017710835552487824	0.10954261528189588	False	0.0007045929018789144	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P06732ups|KCRM_HUMAN_UPS	Creatine	Creatine		4	4.0	149116.0	1086080.0	104247.0	1233240.0	130701.0	1270500.0	3	0.0018069864249481331	-3.22449286135299	False	0.0007306889352818373	False	True	Human	True	False	False	False	diann231	manual	min	1.0
P37666	GHRB_ECOLI	ghrB	Glyoxylate/hydroxypyruvate reductase B	10	10.0	94274000.0	99937300.0	94195500.0	98416600.0	95287700.0	99750600.0	0	0.001842351075335087	-0.07116115398856246	False	0.00075678496868476	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0A8L1	SYS_ECOLI	serS	Serine--tRNA ligase	21	21.0	185703000.0	195667000.0	185744000.0	193407000.0	187782000.0	193097000.0	0	0.002178021574475579	-0.05800379885019444	False	0.0007828810020876827	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0AE88	CPXR_ECOLI	cpxR	Transcriptional regulatory protein CpxR	10	10.0	19315800.0	20896000.0	19802200.0	20923800.0	19678900.0	21406500.0	0	0.002753703577725722	-0.10478470293478476	False	0.0008089770354906055	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0A6A3	ACKA_ECOLI	ackA	Acetate kinase	15	15.0	878572000.0	906758000.0	866392000.0	924699000.0	865984000.0	918134000.0	0	0.002769516147758545	-0.07464330955711816	False	0.0008350730688935282	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P01008ups|ANT3_HUMAN_UPS	Antithrombin-III	Antithrombin-III		2	2.0	149116.0	2853970.0	104247.0	3060210.0	130701.0	3416330.0	3	0.0028720798344722374	-4.602537294868112	False	0.000861169102296451	False	True	Human	True	False	False	False	diann231	manual	min	1.0
P02788ups|TRFL_HUMAN_UPS	Lactotransferrin	Lactotransferrin		3	3.0	149116.0	5319060.0	104247.0	6306720.0	130701.0	6267040.0	3	0.0030060540799649966	-5.541890231121097	False	0.0008872651356993738	False	True	Human	True	False	False	False	diann231	manual	min	1.0
P02144ups|MYG_HUMAN_UPS	Myoglobin	Myoglobin		3	3.0	149116.0	1170620.0	104247.0	1288300.0	130701.0	1424390.0	3	0.003115125589272747	-3.3378682352684796	False	0.0009133611691022964	False	True	Human	True	False	False	False	diann231	manual	min	1.0
P64493	YOAF_ECOLI	yoaF	Uncharacterized protein YoaF	1	1.0	1030470.0	1626850.0	1161330.0	1473340.0	952416.0	1586350.0	0	0.0032775481534490056	-0.5758228656467649	False	0.0009394572025052192	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0AEG4	DSBA_ECOLI	dsbA	Thiol:disulfide interchange protein DsbA	6	6.0	21540400.0	24220000.0	20289500.0	24399200.0	20754300.0	23302900.0	0	0.003413085220751305	-0.2006366651483889	False	0.000965553235908142	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0A8R0	RRAA_ECOLI	rraA	Regulator of ribonuclease activity A	6	6.0	91377400.0	83084700.0	90767400.0	82400900.0	88947200.0	82075400.0	0	0.0036069327041621394	0.13099848476905795	False	0.0009916492693110648	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0A9S5	GLDA_ECOLI	gldA	Glycerol dehydrogenase	8	8.0	83426600.0	90304000.0	85449400.0	91471800.0	83094900.0	88915300.0	0	0.0039208926532037745	-0.10339032706502783	False	0.0010177453027139876	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0A707	IF3_ECOLI	infC	Translation initiation factor IF-3	6	6.0	293445000.0	312088000.0	293479000.0	312902000.0	298138000.0	313880000.0	0	0.003965967725749368	-0.08514688809739925	False	0.0010438413361169101	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P39342	YJGR_ECOLI	yjgR	Uncharacterized protein YjgR	8	8.0	5358160.0	4438090.0	5111580.0	4725370.0	5260820.0	4566190.0	0	0.003967564323206975	0.19627518250695686	False	0.001069937369519833	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P01579ups|IFNG_HUMAN_UPS	Interferon	Interferon		1	1.0	149116.0	2449370.0	104247.0	3041200.0	130701.0	2799530.0	3	0.004049093220232532	-4.431970859253952	False	0.0010960334029227559	False	True	Human	True	False	False	False	diann231	manual	min	1.0
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		1	1.0	149116.0	1077220.0	104247.0	1020950.0	130701.0	864156.0	3	0.004133004938496941	-2.9473117708188195	False	0.0011221294363256784	False	True	Human	True	False	False	False	diann231	manual	min	1.0
P06974	FLIM_ECOLI	fliM	Flagellar motor switch protein FliM	9	9.0	11372500.0	12176400.0	11624700.0	12264800.0	11626500.0	12335400.0	0	0.0044755739085723814	-0.08702820465031758	False	0.0011482254697286014	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0AEX9	MALE_ECOLI	malE	Maltose-binding periplasmic protein	17	17.0	35759700.0	38997200.0	35737700.0	39674300.0	35770900.0	39822200.0	0	0.004526899843939289	-0.14358656396945543	False	0.001174321503131524	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0AD49	RAIA_ECOLI	raiA	Ribosome-associated inhibitor A	7	7.0	46660800.0	54451200.0	47827300.0	52485900.0	49149400.0	53026000.0	0	0.004767508516624205	-0.15530669686209628	False	0.001200417536534447	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0ABZ4	KDSC_ECOLI	kdsC	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC	3	3.0	29219400.0	27915600.0	29440900.0	28392300.0	29189600.0	28184100.0	0	0.004811141822910573	0.056225895591252836	False	0.0012265135699373695	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P25714	YIDC_ECOLI	yidC	Membrane protein insertase YidC	4	4.0	45271400.0	38602700.0	43588000.0	40564000.0	43482800.0	38862000.0	0	0.004898678932049299	0.16513545791178247	False	0.0012526096033402925	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0A9Y6	CSPC_ECOLI	cspC	Cold shock-like protein CspC	7	7.0	1210490000.0	1177510000.0	1224160000.0	1167960000.0	1236760000.0	1159210000.0	0	0.005502618872710012	0.06705151171017609	False	0.0012787056367432152	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0AAI9	FABD_ECOLI	fabD	Malonyl CoA-acyl carrier protein transacylase	9	9.0	79375800.0	71486100.0	76815800.0	73137000.0	77969500.0	73499400.0	0	0.005680680844949154	0.10236283206830317	False	0.0013048016701461378	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0AAI3	FTSH_ECOLI	ftsH	ATP-dependent zinc metalloprotease FtsH	24	24.0	79452900.0	74837300.0	80612000.0	76756600.0	79932100.0	75958200.0	0	0.005883728871227117	0.07681947152962315	False	0.0013308977035490607	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0AC86	PHSG_ECOLI	glgP	Glycogen phosphorylase	11	11.0	6810520.0	7606690.0	6625470.0	7279650.0	6893940.0	7489140.0	0	0.005921490558096233	-0.13831338377574587	False	0.0013569937369519833	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0AC53	G6PD_ECOLI	zwf	Glucose-6-phosphate 1-dehydrogenase	26	26.0	50421200.0	53324400.0	50455200.0	52389400.0	51127000.0	52514700.0	0	0.005976093841370988	-0.05790588625824044	False	0.0013830897703549063	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P69924	RIR2_ECOLI	nrdB	Ribonucleoside-diphosphate reductase 1 subunit beta	17	17.0	19121800.0	21346300.0	18820400.0	20676900.0	19671100.0	20810800.0	0	0.006323055834565054	-0.12514352918162577	False	0.0014091858037578288	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0AFG3	ODO1_ECOLI	sucA	2-oxoglutarate dehydrogenase E1 component	28	28.0	32743300.0	30654400.0	31705700.0	29933600.0	32263200.0	29695700.0	0	0.006760872348550349	0.09923234935702828	False	0.0014352818371607516	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P21156	CYSD_ECOLI	cysD	Sulfate adenylyltransferase subunit 2	6	6.0	11406800.0	11976600.0	11258600.0	12042700.0	11595800.0	12244400.0	0	0.00682365586806143	-0.08195044858880199	False	0.0014613778705636746	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
