protein	RD139_Wide_UPS1_1fmol_inj1	RD139_Wide_UPS1_1fmol_inj2	RD139_Wide_UPS1_1fmol_inj3	RD139_Wide_UPS1_2_5fmol_inj1	RD139_Wide_UPS1_2_5fmol_inj2	RD139_Wide_UPS1_2_5fmol_inj3	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P45469	4330663.907447898	4063599.084352807	4821751.578785846	3765918.710632557	4714605.382832109	4555297.133620521	0	0.8787678310409486	0.01980571019222715	False	0.04471201588877856	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P00914	3643650.922233767	3154444.6148324306	2544024.253373815	2949123.9823680744	3264865.1780557395	2959119.566570533	0	0.879319117947791	0.026339204570465083	False	0.044736842105263165	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P0A8G9	58016773.12725989	57864901.36983894	57181647.52204831	60548276.34638682	55270255.196249925	58035664.82635186	0	0.8795165928075299	-0.006577889086780845	False	0.04476166832174777	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P37665	149986256.68206102	151704824.324973	152561211.3988345	156755471.22505197	145113111.6407889	154225243.35114855	0	0.8796298905768456	-0.0058368465938806345	False	0.04478649453823237	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P77150	15782861.531979114	17516030.82787163	16320412.88302656	17780038.87164125	14460431.98103322	16830253.724718176	0	0.8798308051035615	0.016038960744866555	False	0.04481132075471698	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P77569	2039782.2444650903	2183105.000000002	2510401.065731508	2146224.126452212	2284327.0351595543	2229652.2945212983	0	0.8800077034278597	0.015744990910583158	False	0.04483614697120159	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P0A935	81852522.11027579	78365155.22742	78197582.09749109	82264260.483378	76933823.25162429	78248715.92221004	0	0.8800595639878199	0.005872264961279484	False	0.0448609731876862	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P00805	785235325.7970957	764808313.6229	750921486.2318238	786712534.4158384	754923699.573346	765905904.9743042	0	0.8801788466486011	-0.004117876086880065	False	0.044885799404170805	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P33218	17818721.068586253	14055925.49027332	15520638.366640763	18659289.036257904	12647931.04194722	15106257.335250456	0	0.8828439643866188	0.030199749261555015	False	0.04491062562065541	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P31455	32834710.19502915	32030678.787895564	36250136.10304378	33213189.152929462	34484593.2895029	34076301.8330296	0	0.883561383116068	-0.009365717806178826	False	0.04493545183714002	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P18355	12333062.092574602	105810.48437500007	13142866.40698808	146892.9414173368	21392548.701267045	129991.79890025848	3	0.8836210338353866	0.23945290450181556	False	0.04496027805362463	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P0AAA1	79653242.94648954	82413573.50148116	77576164.71667218	74687447.44733272	81084359.54375236	82548645.04558946	0	0.8839061544236209	0.007983920740719677	False	0.04498510427010924	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P75863	29704012.36276398	24190708.25410151	26979020.70169984	27435399.15786756	26592102.805710822	26044413.420953117	0	0.8841366031036284	0.014375036804786533	False	0.045009930486593845	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P76027	9437031.511358423	7097640.10648182	6954710.211027363	7084015.112194155	8869037.93488562	7068119.546372281	0	0.884405052742066	0.029047426736634158	False	0.04503475670307845	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P03023	9787888.87346194	7568967.644292679	5882814.439524142	8579066.526993703	8008023.34059249	7227404.1376591185	0	0.8849474778485367	-0.03525025333832619	False	0.04505958291956306	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P0AB20	5518082.820973335	105810.48437500007	5318349.15745138	146892.9414173368	5470680.08407807	6545512.05316084	2	0.8857145085246313	-0.1526007753417905	False	0.04508440913604767	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P69490	2642242.532225784	2448069.0000000014	2811101.5010664547	2869289.780666788	2554520.4268691367	2546040.2083627954	0	0.8860176940222153	-0.012441969067298539	False	0.04510923535253228	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P0AE60	3442798.5410937862	5590570.009979393	4715712.032462076	4397640.360570876	5175845.927115093	4490907.639052953	0	0.8867096854823306	-0.032712237086113746	False	0.045134061569016885	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P0A8F8	12236042.739627972	10313222.028080603	11071670.868996454	11520638.82496292	10152355.988510842	11614561.7607324	0	0.8868930149848318	0.01437689849457174	False	0.04515888778550149	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P08622	221772779.5481808	218278456.1900041	216332281.1586465	211102552.36104932	230628937.16577733	217467443.3647057	0	0.8877245831068896	-0.006174896746340872	False	0.0451837140019861	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
