Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P15559ups|NQO1_HUMAN_UPS	NAD(P)H	NAD(P)H		10	10.0	63546300.0	63831400.0	3114210.0	64004400.0	3498400.0	3168700.0	0	5.744852301644828e-10	-4.290284393734538	True	2.635740643120717e-05	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P08263ups|GSTA1_HUMAN_UPS	Glutathione	Glutathione		13	13.0	101130000.0	101973000.0	4463670.0	102986000.0	5520240.0	6111360.0	0	2.2084575607716767e-08	-4.24924251578362	True	5.271481286241434e-05	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P02787ups|TRFE_HUMAN_UPS	Serotransferrin	Serotransferrin		20	20.0	150289000.0	152929000.0	9810020.0	152378000.0	8280580.0	8264290.0	0	1.310789330760185e-07	-4.111612504985678	True	7.907221929362152e-05	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
O00762ups|UBE2C_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		7	7.0	97355100.0	96910900.0	4413680.0	95544600.0	3348360.0	3626530.0	0	2.7581027589536303e-07	-4.669451851051905	True	0.00010542962572482868	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P04040ups|CATA_HUMAN_UPS	Catalase	Catalase		24	24.0	51729400.0	52581400.0	2219120.0	51353500.0	3780520.0	2597090.0	0	2.891994397752556e-07	-4.178506309042131	True	0.00013178703215603585	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P06396ups|GELS_HUMAN_UPS	Gelsolin	Gelsolin		21	21.0	62793800.0	64235900.0	2460010.0	62801000.0	3575750.0	2933630.0	0	2.998459259406112e-07	-4.4035596459337665	True	0.00015814443858724303	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P01127ups|PDGFB_HUMAN_UPS	Platelet-derived	Platelet-derived		4	4.0	111411000.0	112524000.0	5537040.0	110768000.0	5951000.0	6217550.0	0	1.9418300277985233e-06	-4.240604657909512	True	0.0001845018450184502	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P01008ups|ANT3_HUMAN_UPS	Antithrombin-III	Antithrombin-III		16	16.0	138318000.0	136766000.0	8880250.0	136208000.0	8645680.0	8099480.0	0	2.516453316901354e-06	-4.0045160177259875	True	0.00021085925144965736	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P01112ups|RASH_HUMAN_UPS	GTPase	GTPase		8	8.0	81589400.0	85017900.0	7768490.0	81055900.0	5579170.0	4714400.0	0	2.5347889705246237e-06	-3.7773451676078613	True	0.00023721665788086453	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		11	10.0	156526000.0	160796000.0	11022900.0	161051000.0	8462470.0	10359100.0	0	2.8187956645014464e-06	-4.002600425541612	True	0.0002635740643120717	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
