protein	RD139_Wide_UPS1_10fmol_inj1r	RD139_Wide_UPS1_10fmol_inj2	RD139_Wide_UPS1_10fmol_inj3	RD139_Wide_UPS1_5fmol_inj1	RD139_Wide_UPS1_5fmol_inj2	RD139_Wide_UPS1_5fmol_inj3	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P03024	12805217.559722064	11341589.80077088	10871587.07214544	12802677.532915903	11689614.352861429	9852564.48795318	0	0.8408199264579652	0.028018887485724762	False	0.044436310395314794	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P76046	1617459.2965773516	2191393.7183401496	2131011.4344235347	2119039.1534772706	2143562.8827083134	1814594.1330852704	0	0.8410006793610502	-0.032975853824389265	False	0.04446071254270376	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P0A9C5	1547232539.972211	1515553573.646753	1501889921.112238	1563564887.163156	1496212696.3242412	1486868892.9644194	0	0.8412898081948397	0.00570964055716515	False	0.04448511469009273	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P64554	62924394.92842671	65789500.09450144	60138592.75455953	59330329.54062487	62749589.47120591	65262433.06589972	0	0.8422047995035503	0.011582705326191553	False	0.0445095168374817	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P39391	4207450.92887731	3652401.497635739	3541409.641705558	3548135.177573076	3693238.684598608	4002620.5856182617	0	0.8431440454274339	0.02003888661716772	False	0.04453391898487067	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P60752	64092013.97401664	57472923.92779106	57880374.14878025	61927948.81042242	60469836.68459533	58577142.80165449	0	0.8432052302373221	-0.01224561095506007	False	0.044558321132259646	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P0AFD6	101164492.81590766	112705090.89000589	119332531.85911088	112545984.05190232	111709202.69485152	105173878.55236664	0	0.8433683337080861	0.016429712016052502	False	0.044582723279648614	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P39451	19315366.655715976	17793941.265589386	18591357.178418048	16906211.939046152	19015730.95219337	19226865.554875266	0	0.8435877180726167	0.014364839265961923	False	0.04460712542703758	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P77173	25589740.650366157	37835025.48877224	35484960.47146224	35384160.62113694	32864709.9129318	33208439.391482644	0	0.8437750487453175	-0.036688508774058944	False	0.04463152757442655	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P27859	12236333.808711214	8731434.759437235	9613632.956196737	10160365.322050955	10021770.704126574	9691165.96677415	0	0.8440861264414389	0.03379781369916653	False	0.04465592972181552	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P15047	5344392.793098609	3988262.4308299967	4723692.520031206	2817099.8956200364	6266972.293684074	5705211.056511361	0	0.8461696535512155	-0.07333034659740975	False	0.0446803318692045	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P28249	33386625.953093912	32796030.905989	34327193.4998357	33762913.509591654	31290181.56012048	36448132.28101231	0	0.8486840762630445	-0.014160274457829592	False	0.044704734016593466	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P0A9L5	68763700.72290437	59367055.64280784	61793138.33645808	63690723.84771026	62821916.93167643	65271466.73515192	0	0.8487854485973558	-0.014061748929502295	False	0.044729136163982434	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P28634	6269592.856301685	4699971.711528697	127015.1419862382	6821378.945143402	5888423.367135395	91670.13236449617	2	0.8491027385551083	-0.2061946964098766	False	0.0447535383113714	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P0AF08	121570866.47556289	117351664.36505853	122530198.09134296	125902459.40140717	125353239.17956191	113030030.11774576	0	0.8491133046790944	-0.011263494256914393	False	0.04477794045876037	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P33937	301748480.7212487	293689646.3471897	289724170.11369765	294594344.5272438	293994925.0768328	298994638.79686016	0	0.8492948109438334	-0.003941510249344101	False	0.04480234260614935	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P0C0L9	25535090.472302344	20447522.170868658	20453132.48934752	22195458.00000001	21410292.462894373	23977896.72518444	0	0.8509717143523048	-0.024714529352638813	False	0.04482674475353832	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P24202	23800849.80267696	23004497.48733315	22733814.29701121	22159862.658685468	24137411.867750607	23653789.135106053	0	0.8517485987553604	-0.00852032185643425	False	0.044851146900927286	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P23843	205557088.96816105	228044875.9602435	224653719.36602223	220492579.11040983	216074743.01504377	217205943.359462	0	0.8521382054899282	0.00985769185738425	False	0.044875549048316254	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
