Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P64585	YQJE_ECOLI	yqjE	Inner membrane protein YqjE	1	1.0	2272650.0	88245.1	1826310.0	1849190.0	2280030.0	1966460.0	1	0.3058166843838227	-0.7084137295419566	False	0.02417061611374408	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.160964047443681
P0A9J4	PANE_ECOLI	panE	2-dehydropantoate 2-reductase	4	4.0	7009810.0	6569070.0	5776860.0	7486730.0	6760380.0	7139350.0	0	0.30645902421180743	0.11678328107763186	False	0.024196945760926805	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.160964047443681
P76576	YFGM_ECOLI	yfgM	UPF0070 protein YfgM	7	7.0	70684100.0	64281300.0	74151500.0	70844200.0	70493600.0	70985400.0	0	0.306657437745482	-0.06312316873661433	False	0.02422327540810953	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.160964047443681
P0A7C6	PEPE_ECOLI	pepE	Peptidase E	8	8.0	32951500.0	36243200.0	34693200.0	34684000.0	35007900.0	34645700.0	0	0.3072580116150242	0.040469381402524575	False	0.02424960505529226	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.160964047443681
P0A894	YHBJ_ECOLI	yhbJ	UPF0042 nucleotide-binding protein YhbJ	6	6.0	7855640.0	8345020.0	8428610.0	8373200.0	8378440.0	8739590.0	0	0.3077041608963502	0.04577815176108009	False	0.024275934702474987	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.160964047443681
P0AD44	YFHG_ECOLI	yfhG	Uncharacterized protein YfhG	4	4.0	2403660.0	3122610.0	2692110.0	2581840.0	2427620.0	2570540.0	0	0.30841675656418754	0.1373746892701851	False	0.024302264349657716	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.160964047443681
P69428	TATA_ECOLI	tatA	Sec-independent protein translocase protein TatA	1	1.0	159034000.0	143745000.0	175910000.0	153840000.0	151192000.0	158047000.0	0	0.30931219279044925	-0.09349090035381163	False	0.024328593996840443	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.160964047443681
P68679	RS21_ECOLI	rpsU	30S ribosomal protein S21	6	6.0	565356000.0	390453000.0	541428000.0	534743000.0	549430000.0	535890000.0	0	0.30954905541020544	-0.18084799787797726	False	0.02435492364402317	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.160964047443681
P06846	EBGR_ECOLI	ebgR	HTH-type transcriptional regulator EbgR	8	8.0	4412330.0	4431270.0	4503030.0	3528260.0	4053410.0	3932250.0	0	0.3099877289265962	-0.12507697772861662	False	0.0243812532912059	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.160964047443681
P0ACU5	FABR_ECOLI	fabR	HTH-type transcriptional repressor FabR	6	6.0	10510000.0	10203700.0	10942200.0	10921300.0	10854600.0	9330990.0	0	0.3104138693475901	-0.08511185690977212	False	0.024407582938388628	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.160964047443681
P0A873	TRMD_ECOLI	trmD	tRNA (guanine-N(1)-)-methyltransferase	5	5.0	13202200.0	12001400.0	13134100.0	13419100.0	13178600.0	12389900.0	0	0.3112038578449496	-0.06361364533696222	False	0.024433912585571357	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.160964047443681
P0ABZ6	SURA_ECOLI	surA	Chaperone SurA	16	16.0	64551300.0	54050800.0	65546300.0	64683600.0	65009500.0	63076800.0	0	0.3120783669352537	-0.10182520326712188	False	0.024460242232754083	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.160964047443681
P39325	YTFQ_ECOLI	ytfQ	ABC transporter periplasmic-binding protein YtfQ	2	2.0	3352590.0	3720930.0	4128850.0	3501470.0	3790270.0	2878830.0	0	0.31315588511798514	-0.15817542257039888	False	0.02448657187993681	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.160964047443681
P0A7B1	PPK_ECOLI	ppk	Polyphosphate kinase	13	13.0	3775920.0	4632450.0	4389690.0	4138100.0	3654460.0	4058060.0	0	0.3139076070691303	0.11812628125740023	False	0.02451290152711954	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.160964047443681
