protein	RD139_Wide_UPS1_10fmol_inj1r	RD139_Wide_UPS1_10fmol_inj2	RD139_Wide_UPS1_10fmol_inj3	RD139_Wide_UPS1_50fmol_inj1	RD139_Wide_UPS1_50fmol_inj2	RD139_Wide_UPS1_50fmol_inj3	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P63165ups|SUMO1_HUMAN_UPS	67405544.68325208	64599454.72901011	63469993.20498869	346924122.0537052	351692807.4068118	345976224.1064456	0	1.4630004192671963e-07	-2.4178851946929885	True	2.4962556165751375e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	1.160964047443681
P01008ups|ANT3_HUMAN_UPS	141860504.88245738	155667629.52464843	159150643.42670527	696315626.1473459	714418231.3661966	700194291.1927197	0	2.240597973523885e-07	-2.208625820004412	True	4.992511233150275e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	1.160964047443681
P06396ups|GELS_HUMAN_UPS	108962908.81091768	103387400.8530841	100031714.69031778	488498281.4984998	498617305.8223983	499505754.8649007	0	2.842305002291733e-07	-2.2506538820098156	True	7.488766849725412e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	1.160964047443681
O76070ups|SYUG_HUMAN_UPS	152549901.43583786	137329937.8698749	158059066.91428065	763847023.5758119	772501728.4595501	780814947.0350823	0	3.0276694864093786e-07	-2.3709860852951627	True	9.98502246630055e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	1.160964047443681
P02144ups|MYG_HUMAN_UPS	120144800.7655453	103849206.52649438	116140566.5178136	554934057.8825189	569908140.980686	558407028.7796451	0	3.1990947038764134e-07	-2.3070712379752667	True	0.00012481278082875687	True	True	Human	True	False	False	True	diann231	directlfq	min	1.160964047443681
O00762ups|UBE2C_HUMAN_UPS	54195122.1864584	63932904.36731078	65738119.22618922	329586174.7593544	331579961.31956714	318951128.75725	0	1.049545965122035e-06	-2.4142984998687536	True	0.00014977533699450825	True	True	Human	True	False	False	True	diann231	directlfq	min	1.160964047443681
P06732ups|KCRM_HUMAN_UPS	141747826.91257074	137299231.0448123	139514550.09229258	735896920.6697763	741219058.1137937	730711760.2593282	0	1.3902842860067536e-06	-2.3991157196789428	True	0.00017473789316025962	True	True	Human	True	False	False	True	diann231	directlfq	min	1.160964047443681
P55957ups|BID_HUMAN_UPS	28469735.01090765	34292779.423842825	33671579.237497866	143220842.4880879	148211676.62169212	148615437.12448695	0	1.4928162939966101e-06	-2.190045559009117	True	0.000199700449326011	True	True	Human	True	False	False	True	diann231	directlfq	min	1.160964047443681
P15559ups|NQO1_HUMAN_UPS	71682797.30830367	62374166.623399	62109318.986852266	323199895.1189992	337062277.6220053	330095955.8446976	0	1.5015956149575093e-06	-2.3358732277570082	True	0.00022466300549176237	True	True	Human	True	False	False	True	diann231	directlfq	min	1.160964047443681
Q06830ups|PRDX1_HUMAN_UPS	64545784.78335125	70714526.90393032	71069265.61585273	369474501.022484	379940026.7302774	380903986.8861775	0	2.869555398437159e-06	-2.4537068185515105	True	0.00024962556165751375	True	True	Human	True	False	False	True	diann231	directlfq	min	1.160964047443681
P09211ups|GSTP1_HUMAN_UPS	43648106.288256325	36768712.99595371	39273910.64319901	203783696.7110904	207162824.0187395	197704586.15250477	0	3.0916206246057705e-06	-2.3463040587954027	True	0.0002745881178232651	True	True	Human	True	False	False	True	diann231	directlfq	min	1.160964047443681
P01375ups|TNFA_HUMAN_UPS	50383914.88785806	39196307.49505047	38887328.92996729	219457320.86578515	230544280.19879323	230634462.44284973	0	4.111716041795299e-06	-2.405479588982546	True	0.0002995506739890165	True	True	Human	True	False	False	True	diann231	directlfq	min	1.160964047443681
P02753ups|RETBP_HUMAN_UPS	6800585.09541207	5730384.465830779	4805444.2134977095	29427311.52477557	31208329.211303	30694035.84275529	0	6.467858085332233e-06	-2.3972782320505055	True	0.00032451323015476787	True	True	Human	True	False	False	True	diann231	directlfq	min	1.160964047443681
P08263ups|GSTA1_HUMAN_UPS	142331187.48570326	157386246.64744833	157221737.27489358	727300142.975772	758207703.4466752	750440823.5806028	0	1.0032187610269252e-05	-2.290813040115483	True	0.00034947578632051925	True	True	Human	True	False	False	True	diann231	directlfq	min	1.160964047443681
P63279ups|UBC9_HUMAN_UPS	33755975.82569583	44108358.74168709	35344538.713294305	160287557.67022255	155862078.0850177	151084932.16168916	0	1.2761009635679748e-05	-2.045159973977233	True	0.00037443834248627057	True	True	Human	True	False	False	True	diann231	directlfq	min	1.160964047443681
P61626ups|LYSC_HUMAN_UPS	34173188.779696986	38351919.72836569	43900603.95551591	150486124.82070008	153350127.17049533	157351911.7557547	0	1.2973927911568965e-05	-1.985945776424872	True	0.000399400898652022	True	True	Human	True	False	False	True	diann231	directlfq	min	1.160964047443681
P00167ups|CYB5_HUMAN_UPS	80108200.30128992	67617469.21439	64374212.92503419	329765579.28554374	312670143.53765017	334491490.68269	0	1.4786672265402263e-05	-2.2035072561828852	True	0.00042436345481777337	True	True	Human	True	False	False	True	diann231	directlfq	min	1.160964047443681
