Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P55957ups|BID_HUMAN_UPS	BH3-interacting	BH3-interacting		9	9.0	7135620.0	67123100.0	8195660.0	68236900.0	67683200.0	7360860.0	0	1.9743384602099024e-08	3.1615221366008104	True	2.6096033402922757e-05	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P02787ups|TRFE_HUMAN_UPS	Serotransferrin	Serotransferrin		20	20.0	15182800.0	159898000.0	16713100.0	158473000.0	160928000.0	16867000.0	0	2.7397196299129503e-08	3.2970700971722477	True	5.2192066805845514e-05	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P01127ups|PDGFB_HUMAN_UPS	Platelet-derived	Platelet-derived		4	4.0	13780600.0	114577000.0	12133700.0	115620000.0	113562000.0	12945900.0	0	3.801344531084357e-08	3.1450322543023805	True	7.828810020876828e-05	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P04040ups|CATA_HUMAN_UPS	Catalase	Catalase		24	24.0	5616600.0	54006900.0	6245310.0	55222900.0	54127600.0	6589780.0	0	1.850358652547723e-07	3.146206944896666	True	0.00010438413361169103	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P06396ups|GELS_HUMAN_UPS	Gelsolin	Gelsolin		21	21.0	6754040.0	65757300.0	7413060.0	66668200.0	65253200.0	7655970.0	0	2.48776594964807e-07	3.179231453378962	True	0.00013048016701461377	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P00167ups|CYB5_HUMAN_UPS	Cytochrome	Cytochrome		5	5.0	15514700.0	133649000.0	13414500.0	131391000.0	129961000.0	13092700.0	0	3.696324017045515e-07	3.2326430063168203	True	0.00015657620041753656	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P63165ups|SUMO1_HUMAN_UPS	Small	Small		18	18.0	11294000.0	99850200.0	7523980.0	96344000.0	97101700.0	10001100.0	0	5.604987499616834e-07	3.347260717939487	True	0.00018267223382045932	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P00918ups|CAH2_HUMAN_UPS	Carbonic	Carbonic		14	14.0	19847700.0	200983000.0	20456300.0	200846000.0	201024000.0	21124400.0	0	2.6640974290869957e-06	3.2948285458473148	True	0.00020876826722338206	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P01375ups|TNFA_HUMAN_UPS	Tumor	Tumor		7	7.0	10596000.0	100544000.0	13604300.0	101395000.0	99161700.0	9836990.0	0	4.246372632425195e-06	3.145057980641172	True	0.0002348643006263048	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P08263ups|GSTA1_HUMAN_UPS	Glutathione	Glutathione		13	13.0	12203500.0	104943000.0	13315100.0	103532000.0	106628000.0	12020500.0	0	5.801351146645883e-06	3.0693575228028656	True	0.00026096033402922753	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
