Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P0ABE2	BOLA_ECOLI	bolA	Protein BolA	5	5.0	22952800.0	21544700.0	20584300.0	21267300.0	23826900.0	23088000.0	0	0.6383355489635567	-0.03755480207039575	False	0.03729911871435977	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0AC28	YGFA_ECOLI	ygfA	Uncharacterized protein YgfA	1	1.0	450072.0	410283.0	412220.0	485434.0	511584.0	477566.0	0	0.6391710029160038	-0.0583856827731457	False	0.03732503888024884	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0AF20	NAGC_ECOLI	nagC	N-acetylglucosamine repressor	8	8.0	5985370.0	5684180.0	5304210.0	5100160.0	5734810.0	5266510.0	0	0.6396883026037639	0.04049640481656213	False	0.037350959046137895	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P24186	FOLD_ECOLI	folD	Bifunctional protein FolD	8	8.0	23066900.0	22692400.0	24825400.0	25104900.0	23305800.0	24075000.0	0	0.6397449448876051	-0.027065745674079635	False	0.03737687921202696	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0A6Y8	DNAK_ECOLI	dnaK	Chaperone protein DnaK	44	44.0	401698000.0	382938000.0	382999000.0	389218000.0	397289000.0	407099000.0	0	0.6405924420363656	-0.016537241024165757	False	0.03740279937791602	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0A746	MSRB_ECOLI	msrB	Peptide methionine sulfoxide reductase MsrB	1	1.0	2848430.0	3263910.0	75684.6	3217900.0	3666820.0	3648970.0	1	0.6433338102913747	0.33605198082091264	False	0.037428719543805083	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0AC53	G6PD_ECOLI	zwf	Glucose-6-phosphate 1-dehydrogenase	25	25.0	53747600.0	55661100.0	54723600.0	54380600.0	54812800.0	53048400.0	0	0.6436533097038565	0.0106487252890789	False	0.03745463970969414	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P00562	AK2H_ECOLI	metL	Bifunctional aspartokinase/homoserine dehydrogenase 2	17	17.0	7157090.0	7118630.0	7492350.0	7679700.0	7423430.0	7335490.0	0	0.6446306223648752	-0.01931054780426008	False	0.0374805598755832	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0AE67	CHEY_ECOLI	cheY	Chemotaxis protein CheY	3	3.0	8784920.0	8598620.0	8831170.0	7979570.0	8400790.0	7376510.0	0	0.6449655978917213	0.04357669531945268	False	0.03750648004147227	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P77338	KEFA_ECOLI	kefA	Potassium efflux system KefA	4	4.0	2284960.0	2948890.0	3227810.0	2862020.0	2370700.0	2990660.0	0	0.6451418356629699	-0.08533260164843237	False	0.03753240020736133	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
