Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P15559ups|NQO1_HUMAN_UPS	NAD(P)H	NAD(P)H		10	10.0	127879.0	63389400.0	128457.0	63074500.0	63449300.0	154134.0	3	3.0048819920099985e-06	-8.853847685107	True	2.5947067981318112e-05	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P62937ups|PPIA_HUMAN_UPS	Peptidyl-prolyl	Peptidyl-prolyl		7	7.0	127879.0	126590000.0	128457.0	127321000.0	127399000.0	154134.0	3	4.020706306244595e-06	-9.859471867772164	True	5.1894135962636225e-05	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P05413ups|FABPH_HUMAN_UPS	Fatty	Fatty		9	9.0	127879.0	124495000.0	128457.0	124057000.0	123440000.0	154134.0	3	6.0049911831745345e-06	-9.82377909628489	True	7.784120394395435e-05	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P04040ups|CATA_HUMAN_UPS	Catalase	Catalase		22	22.0	127879.0	52863400.0	128457.0	53237300.0	53380700.0	154134.0	3	7.946488252261699e-06	-8.601895676119314	True	0.00010378827192527245	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P30864	YAFC_ECOLI	yafC	Uncharacterized HTH-type transcriptional regulator YafC	2	2.0	127879.0	904389.0	128457.0	857677.0	896354.0	154134.0	3	1.129884746510151e-05	-2.6952203631718024	True	0.00012973533990659055	True	True	Ecoli	False	True	False	True	diann231	manual	min	1.660964047443681
P01127ups|PDGFB_HUMAN_UPS	Platelet-derived	Platelet-derived		4	4.0	127879.0	105747000.0	128457.0	106251000.0	104848000.0	154134.0	3	1.5008246792782893e-05	-9.592289303429848	True	0.0001556824078879087	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P01579ups|IFNG_HUMAN_UPS	Interferon	Interferon		8	8.0	127879.0	135272000.0	128457.0	137188000.0	136316000.0	154134.0	3	1.647994340462327e-05	-9.95981799643519	True	0.0001816294758692268	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P06396ups|GELS_HUMAN_UPS	Gelsolin	Gelsolin		21	21.0	127879.0	64437500.0	128457.0	63456800.0	64293000.0	154134.0	3	2.254104691159215e-05	-8.87102050498228	True	0.0002075765438505449	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P06732ups|KCRM_HUMAN_UPS	Creatine	Creatine		17	17.0	127879.0	81733900.0	128457.0	80338300.0	81526200.0	154134.0	3	2.8563779356238763e-05	-9.213012158368631	False	0.000233523611831863	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P02787ups|TRFE_HUMAN_UPS	Serotransferrin	Serotransferrin		20	20.0	127879.0	152025000.0	128457.0	149429000.0	149627000.0	154134.0	3	3.078502647146626e-05	-10.101894020509208	False	0.0002594706798131811	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P16083ups|NQO2_HUMAN_UPS	Ribosyldihydronicotinamide	Ribosyldihydronicotinamide		11	11.0	127879.0	75284100.0	128457.0	75065100.0	73911200.0	154134.0	3	3.2341875578694056e-05	-9.093682392174205	False	0.0002854177477944992	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P0AA04	PTHP_ECOLI	ptsH	Phosphocarrier protein HPr	5	5.0	312155000.0	188983000.0	303888000.0	177515000.0	173730000.0	315924000.0	0	3.734145331029764e-05	0.7867104548027799	False	0.0003113648157758174	True	False	Ecoli	False	True	False	True	diann231	manual	min	1.660964047443681
P99999ups|CYC_HUMAN_UPS	Cytochrome	Cytochrome		9	9.0	7701920.0	51845500.0	3886160.0	48678000.0	50379300.0	3042210.0	0	4.5335511134270785e-05	-3.3665893034905716	False	0.0003373118837571355	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
Q06830ups|PRDX1_HUMAN_UPS	Peroxiredoxin	Peroxiredoxin		10	10.0	127879.0	49230400.0	128457.0	50097300.0	48866600.0	154134.0	3	5.441378489615976e-05	-8.495997459290836	False	0.0003632589517384536	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P02741ups|CRP_HUMAN_UPS	C-reactive	C-reactive		7	7.0	127879.0	19389400.0	128457.0	19803100.0	19860700.0	154134.0	3	5.4621689786616224e-05	-7.168594645212786	False	0.0003892060197197717	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P55957ups|BID_HUMAN_UPS	BH3-interacting	BH3-interacting		9	9.0	127879.0	60106600.0	128457.0	59903300.0	58614400.0	154134.0	3	6.151858016398187e-05	-8.765435858626555	False	0.0004151530877010898	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P25397	TEHB_ECOLI	tehB	Tellurite methyltransferase	9	9.0	7770470.0	9097330.0	7940940.0	9024670.0	9220070.0	7894630.0	0	9.059986500883514e-05	-0.21196642545929342	False	0.0004411001556824079	True	False	Ecoli	False	True	False	True	diann231	manual	min	1.660964047443681
P12081ups|SYHC_HUMAN_UPS	Histidyl-tRNA	Histidyl-tRNA		21	21.0	127879.0	149234000.0	128457.0	147842000.0	144477000.0	154134.0	3	9.214683642469427e-05	-10.071094117223481	False	0.000467047223663726	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P00918ups|CAH2_HUMAN_UPS	Carbonic	Carbonic		13	13.0	127879.0	192240000.0	128457.0	185931000.0	188016000.0	154134.0	3	9.678729575386468e-05	-10.429786125447942	False	0.0004929942916450441	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
O00762ups|UBE2C_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		7	7.0	127879.0	95007600.0	128457.0	91820400.0	93675300.0	154134.0	3	9.784103356679343e-05	-9.416525244602063	False	0.0005189413596263622	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P10599ups|THIO_HUMAN_UPS	Thioredoxin	Thioredoxin		4	4.0	127879.0	29450000.0	128457.0	28768700.0	29772600.0	154134.0	3	0.00010143166596003415	-7.743940292718739	False	0.0005448884276076804	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		12	11.0	127879.0	157441000.0	128457.0	162682000.0	161949000.0	154134.0	3	0.00010409585948700774	-10.197756137659097	False	0.0005708354955889984	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P09833	MODC_ECOLI	modC	Molybdenum import ATP-binding protein ModC	1	1.0	899782.0	118416.0	843614.0	184303.0	82097.6	781630.0	3	0.00010714824547697841	2.714055303539154	False	0.0005967825635703166	True	True	Ecoli	False	True	False	True	diann231	manual	min	1.660964047443681
P08758ups|ANXA5_HUMAN_UPS	Annexin	Annexin		17	17.0	127879.0	132614000.0	128457.0	127881000.0	130649000.0	154134.0	3	0.00011101855564987492	-9.896207335729589	False	0.0006227296315516348	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P00441ups|SODC_HUMAN_UPS	Superoxide	Superoxide		2	2.0	127879.0	54289700.0	128457.0	54305800.0	52563700.0	154134.0	3	0.00011597585850216737	-8.616994050012437	False	0.0006486766995329528	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P02788ups|TRFL_HUMAN_UPS	Lactotransferrin	Lactotransferrin		23	23.0	127879.0	141216000.0	128457.0	145183000.0	139999000.0	154134.0	3	0.00012141312947309193	-10.020708172203927	False	0.000674623767514271	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P63165ups|SUMO1_HUMAN_UPS	Small	Small		18	18.0	127879.0	91451600.0	128457.0	91832300.0	88665600.0	154134.0	3	0.00012146464466423053	-9.371846274285256	False	0.000700570835495589	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P02768ups|ALBU_HUMAN_UPS	Serum	Serum		24	24.0	127879.0	258457000.0	128457.0	261839000.0	251850000.0	154134.0	3	0.0001299759435025414	-10.877381163971966	False	0.0007265179034769072	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P00167ups|CYB5_HUMAN_UPS	Cytochrome	Cytochrome		5	5.0	127879.0	122187000.0	128457.0	117709000.0	121563000.0	154134.0	3	0.00013527896716385114	-9.782339513718114	False	0.0007524649714582253	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P61769ups|B2MG_HUMAN_UPS	Beta-2-microglobulin	Beta-2-microglobulin		3	3.0	127879.0	26008000.0	128457.0	26312600.0	27055500.0	154134.0	3	0.00013812778230753032	-7.59528408598538	False	0.0007784120394395433	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P09211ups|GSTP1_HUMAN_UPS	Glutathione	Glutathione		7	7.0	127879.0	83409100.0	128457.0	82259000.0	85614600.0	154134.0	3	0.00013842683512310376	-9.25781885074178	False	0.0008043591074208614	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P02144ups|MYG_HUMAN_UPS	Myoglobin	Myoglobin		9	9.0	127879.0	148279000.0	128457.0	143847000.0	150005000.0	154134.0	3	0.00015506026281608717	-10.072981393337002	False	0.0008303061754021796	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
