protein	RD139_Wide_UPS1_0_1fmol_inj1	RD139_Wide_UPS1_0_1fmol_inj2	RD139_Wide_UPS1_0_1fmol_inj3	RD139_Wide_UPS1_2_5fmol_inj1	RD139_Wide_UPS1_2_5fmol_inj2	RD139_Wide_UPS1_2_5fmol_inj3	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P02768ups|ALBU_HUMAN_UPS	170979.2527276151	172174.93195937865	137899.52840575587	50227165.09518777	50354339.73046885	49936177.65249422	3	5.178543914271408e-06	-8.289519275941231	True	2.4740227610094015e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P68871ups|HBB_HUMAN_UPS	5148364.130403262	5970381.99276211	5383007.560880476	13907495.303384269	14913611.551774835	14697224.7752353	0	3.1029281726841526e-05	-1.3990038972537724	False	4.948045522018803e-05	True	False	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
Q06830ups|PRDX1_HUMAN_UPS	170979.2527276151	172174.93195937865	137899.52840575587	7642052.210978679	7480285.131219934	7458026.6455180785	3	3.452529227308585e-05	-5.552726941597643	False	7.422068283028205e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P02788ups|TRFL_HUMAN_UPS	170979.2527276151	172174.93195937865	137899.52840575587	27608391.42026596	27563586.81378605	26794831.84791849	3	9.196554015977697e-05	-7.412698052900744	False	9.896091044037606e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P69905ups|HBA_HUMAN_UPS	170979.2527276151	172174.93195937865	137899.52840575587	4822727.928779356	5053001.816628219	4954711.662907574	3	0.00013319289459560907	-4.9462197378763735	False	0.00012370113805047008	False	True	Human	True	False	False	False	diann231	directlfq	min	1.660964047443681
P68206	45475336.28197788	44263363.454783306	42476683.84722827	61293489.689025946	59623309.04772294	58644837.890638165	0	0.0001869822097702825	-0.44158910325673506	False	0.0001484413656605641	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P12081ups|SYHC_HUMAN_UPS	170979.2527276151	172174.93195937865	137899.52840575587	21074699.825396266	22332763.19639904	21661524.53415382	3	0.00028142177556102487	-7.079628305773334	False	0.0001731815932706581	False	True	Human	True	False	False	False	diann231	directlfq	min	1.660964047443681
P02144ups|MYG_HUMAN_UPS	170979.2527276151	172174.93195937865	137899.52840575587	13526051.958851395	14127190.706424402	14326735.465563877	3	0.0002942906878795395	-6.4473596146193515	False	0.00019792182088075212	False	True	Human	True	False	False	False	diann231	directlfq	min	1.660964047443681
P01375ups|TNFA_HUMAN_UPS	170979.2527276151	172174.93195937865	137899.52840575587	5439040.888154428	5577703.866246422	5236125.303018748	3	0.0003041659449475489	-5.078352702429605	False	0.00022266204849084612	False	True	Human	True	False	False	False	diann231	directlfq	min	1.660964047443681
P01579ups|IFNG_HUMAN_UPS	170979.2527276151	172174.93195937865	137899.52840575587	6678800.888833288	6937751.80624649	7120301.112128981	3	0.0003274233540613815	-5.429855224798581	False	0.00024740227610094015	False	True	Human	True	False	False	False	diann231	directlfq	min	1.660964047443681
Q15843ups|NEDD8_HUMAN_UPS	170979.2527276151	172174.93195937865	137899.52840575587	3565893.1950913123	3806754.4776226366	3601277.100611926	3	0.0003548263887128543	-4.511737790775067	False	0.00027214250371103416	False	True	Human	True	False	False	False	diann231	directlfq	min	1.660964047443681
P12999	170979.2527276151	172174.93195937865	137899.52840575587	949435.4529434897	865990.375	957877.0209937744	3	0.00041059109645568374	-2.5273352741609054	False	0.0002968827313211282	False	True	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
