protein	RD139_Wide_UPS1_10fmol_inj1r	RD139_Wide_UPS1_10fmol_inj2	RD139_Wide_UPS1_10fmol_inj3	RD139_Wide_UPS1_25fmol_inj1	RD139_Wide_UPS1_25fmol_inj2	RD139_Wide_UPS1_25fmol_inj3	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
O76070ups|SYUG_HUMAN_UPS	196059204.90833536	203653366.71087143	216213060.0371653	538070434.0272042	541330797.7361345	559463705.49457	0	3.205221373317861e-06	-1.4118688913444373	True	2.4715768660405338e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	0.6609640474436812
P02788ups|TRFL_HUMAN_UPS	271683657.41048384	248258489.66440445	258726204.89739263	656252267.6560518	660386825.3687243	645564681.3149008	0	5.216923495203842e-06	-1.3333939768457745	True	4.9431537320810677e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	0.6609640474436812
P00918ups|CAH2_HUMAN_UPS	163742184.87537622	178412448.11793345	184936193.38382837	440113196.9093524	459151274.4774501	445773161.41186553	0	6.052742377208774e-06	-1.351523050134222	True	7.414730598121603e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	0.6609640474436812
P01375ups|TNFA_HUMAN_UPS	41401367.76180504	38389514.98009891	36507622.52641662	105536021.33872876	102935609.3474302	106325497.68983436	0	7.658831161289917e-06	-1.4365898258083478	True	9.886307464162135e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	0.6609640474436812
P04040ups|CATA_HUMAN_UPS	66460620.18386224	75780594.53610133	73032139.50583619	174585428.25742224	184337736.44441143	177866035.64717907	0	1.1453185429669726e-05	-1.3181858874104646	True	0.00012357884330202668	True	True	Human	True	False	False	True	diann231	directlfq	min	0.6609640474436812
P01112ups|RASH_HUMAN_UPS	65978706.63171722	73568130.90573393	73807206.61933851	174094773.16803652	178576725.93279013	168581823.3521753	0	1.3500843677450641e-05	-1.288735216989879	True	0.00014829461196243205	True	True	Human	True	False	False	True	diann231	directlfq	min	0.6609640474436812
P69905ups|HBA_HUMAN_UPS	60700508.150622085	67091003.91124776	66614094.84058158	169148646.53844407	167063165.99781713	160182428.20461985	0	1.4557629811860497e-05	-1.3524165484618083	True	0.0001730103806228374	True	True	Human	True	False	False	True	diann231	directlfq	min	0.6609640474436812
P02768ups|ALBU_HUMAN_UPS	383994311.0559566	355711591.74740547	353945160.1579266	944772195.2956784	907622991.6623212	955240009.5940918	0	1.7288004567480872e-05	-1.3602029850676396	True	0.0001977261492832427	True	True	Human	True	False	False	True	diann231	directlfq	min	0.6609640474436812
P02787ups|TRFE_HUMAN_UPS	190230923.7588741	206459785.5790752	192224594.4750238	491066164.0156544	513579358.3654687	488453429.02341497	0	2.463180907337109e-05	-1.3421777100170167	True	0.00022244191794364805	True	True	Human	True	False	False	True	diann231	directlfq	min	0.6609640474436812
P10636-8ups|TAU_HUMAN_UPS	125756756.84426671	109671084.07307623	108996539.42701387	263615189.2892008	278909297.82100403	263320607.00286603	0	3.471454127924493e-05	-1.2263152705821827	False	0.00024715768660405336	True	True	Human	True	False	False	True	diann231	directlfq	min	0.6609640474436812
