Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P01008ups|ANT3_HUMAN_UPS	Antithrombin-III	Antithrombin-III		9	9.0	28119800.0	8148560.0	28521400.0	7609720.0	27611200.0	7441420.0	0	7.601547761728522e-07	1.8606116335604264	True	2.5893319523562923e-05	True	True	Human	True	False	False	True	diann231	manual	min	1.0
P09211ups|GSTP1_HUMAN_UPS	Glutathione	Glutathione		3	3.0	17934200.0	4421240.0	17456600.0	4479100.0	17841000.0	4174570.0	0	1.2342506494426664e-06	2.0254873350768623	True	5.178663904712585e-05	True	True	Human	True	False	False	True	diann231	manual	min	1.0
P12081ups|SYHC_HUMAN_UPS	Histidyl-tRNA	Histidyl-tRNA		17	17.0	25810300.0	6857000.0	25427900.0	6333430.0	25490100.0	7002540.0	0	2.010661496837391e-06	1.9259056716106338	True	7.767995857068878e-05	True	True	Human	True	False	False	True	diann231	manual	min	1.0
P04040ups|CATA_HUMAN_UPS	Catalase	Catalase		10	10.0	8657170.0	1926110.0	8456770.0	2070920.0	8332200.0	2306600.0	0	2.112597677100973e-06	2.0131920647581123	True	0.0001035732780942517	True	True	Human	True	False	False	True	diann231	manual	min	1.0
P06732ups|KCRM_HUMAN_UPS	Creatine	Creatine		15	15.0	18942500.0	4920310.0	18760800.0	5005320.0	18487700.0	4377600.0	0	2.253852733977513e-06	1.973998097684519	True	0.0001294665976178146	True	True	Human	True	False	False	True	diann231	manual	min	1.0
P41159ups|LEP_HUMAN_UPS	Leptin	Leptin		6	6.0	19117100.0	5429160.0	18326400.0	4661800.0	18054100.0	4574290.0	0	6.77651309620563e-06	1.9200237182284474	True	0.00015535991714137756	True	True	Human	True	False	False	True	diann231	manual	min	1.0
P16083ups|NQO2_HUMAN_UPS	Ribosyldihydronicotinamide	Ribosyldihydronicotinamide		7	7.0	9290780.0	2808490.0	9167290.0	2727830.0	9414840.0	2772210.0	0	2.7401407865280027e-05	1.7461984776456787	False	0.00018125323666494047	True	True	Human	True	False	False	True	diann231	manual	min	1.0
P01112ups|RASH_HUMAN_UPS	GTPase	GTPase		6	6.0	17986700.0	5974460.0	18169000.0	5369440.0	18697300.0	4785270.0	0	2.8445841052744362e-05	1.765898326179228	False	0.0002071465561885034	True	True	Human	True	False	False	True	diann231	manual	min	1.0
P02753ups|RETBP_HUMAN_UPS	Retinol-binding	Retinol-binding		1	1.0	2465030.0	76434.8	2470600.0	102425.0	2551190.0	88633.6	3	4.881402356626323e-05	4.80677786850901	False	0.0002330398757120663	True	True	Human	True	False	False	True	diann231	manual	min	1.0
P06396ups|GELS_HUMAN_UPS	Gelsolin	Gelsolin		13	13.0	13944500.0	3151130.0	13030600.0	3684670.0	12891100.0	3072210.0	0	7.4233798330665e-05	2.008498866081532	False	0.0002589331952356292	True	True	Human	True	False	False	True	diann231	manual	min	1.0
P00918ups|CAH2_HUMAN_UPS	Carbonic	Carbonic		8	8.0	32166100.0	7840350.0	32521700.0	8427920.0	34196800.0	8732610.0	0	0.00011017804625228137	1.9837669804895017	False	0.00028482651475919215	True	True	Human	True	False	False	True	diann231	manual	min	1.0
O00762ups|UBE2C_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		3	3.0	20977400.0	4026790.0	19460000.0	3600020.0	20215700.0	3444860.0	0	0.00014347589510838642	2.4537085358050033	False	0.0003107198342827551	True	True	Human	True	False	False	True	diann231	manual	min	1.0
P00441ups|SODC_HUMAN_UPS	Superoxide	Superoxide		1	1.0	13003900.0	76434.8	13372800.0	102425.0	12829400.0	88633.6	3	0.00014766153329618891	7.195431032055256	False	0.000336613153806318	True	True	Human	True	False	False	True	diann231	manual	min	1.0
P55957ups|BID_HUMAN_UPS	BH3-interacting	BH3-interacting		4	4.0	18383600.0	5056460.0	19266200.0	5051440.0	19035200.0	4884700.0	0	0.00020873687979834816	1.9187164237690975	False	0.00036250647332988095	True	True	Human	True	False	False	True	diann231	manual	min	1.0
P63279ups|UBC9_HUMAN_UPS	SUMO-conjugating	SUMO-conjugating		2	2.0	17480000.0	4516440.0	18525900.0	5003930.0	17166800.0	5035260.0	0	0.00021581884925181804	1.8691084415001442	False	0.0003883997928534438	True	True	Human	True	False	False	True	diann231	manual	min	1.0
P10636-8ups|TAU_HUMAN_UPS	Microtubule-associated	Microtubule-associated		9	9.0	14792000.0	3716410.0	15908900.0	3395930.0	15450200.0	3408130.0	0	0.0002538162529209616	2.1331658763616255	False	0.0004142931123770068	True	True	Human	True	False	False	True	diann231	manual	min	1.0
P02787ups|TRFE_HUMAN_UPS	Serotransferrin	Serotransferrin		14	14.0	32050100.0	8987050.0	31048000.0	8119960.0	28610900.0	7092510.0	0	0.00026242411618628757	1.922084890028168	False	0.0004401864319005697	True	True	Human	True	False	False	True	diann231	manual	min	1.0
P02788ups|TRFL_HUMAN_UPS	Lactotransferrin	Lactotransferrin		19	19.0	44865400.0	10833000.0	42458600.0	11688900.0	41684400.0	10605600.0	0	0.0002796641555974789	1.9613637673110902	False	0.0004660797514241326	True	True	Human	True	False	False	True	diann231	manual	min	1.0
P02768ups|ALBU_HUMAN_UPS	Serum	Serum		17	17.0	53520900.0	13710500.0	50947900.0	13241200.0	51315000.0	13632700.0	0	0.0002984555520622178	1.940548024975326	False	0.0004919730709476956	True	True	Human	True	False	False	True	diann231	manual	min	1.0
P08263ups|GSTA1_HUMAN_UPS	Glutathione	Glutathione		11	11.0	19186500.0	5084260.0	20980500.0	5371440.0	20835800.0	5878140.0	0	0.0003697064155422812	1.901011462421571	False	0.0005178663904712584	True	True	Human	True	False	False	True	diann231	manual	min	1.0
P68871ups|HBB_HUMAN_UPS	Hemoglobin	Hemoglobin		6	6.0	26385700.0	9766560.0	24527400.0	9441290.0	24732400.0	9056180.0	0	0.000465038697543387	1.4202870762955375	False	0.0005437597099948214	True	True	Human	True	False	False	True	diann231	manual	min	1.0
P15559ups|NQO1_HUMAN_UPS	NAD(P)H	NAD(P)H		8	8.0	14277800.0	3120710.0	13260700.0	3430600.0	13145300.0	3118750.0	0	0.0005527842250783911	2.0728576915658468	False	0.0005696530295183843	True	True	Human	True	False	False	True	diann231	manual	min	1.0
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		7	7.0	80011900.0	24873600.0	88452600.0	21424600.0	87414900.0	23003100.0	0	0.0005656307044149599	1.8845096847052727	False	0.0005955463490419472	True	True	Human	True	False	False	True	diann231	manual	min	1.0
P76272	YEBT_ECOLI	yebT	Uncharacterized protein YebT	2	2.0	1225530.0	76434.8	1266330.0	102425.0	1140370.0	88633.6	3	0.0007301213035165252	3.7632803591088	False	0.0006214396685655102	False	True	Ecoli	False	True	False	False	diann231	manual	min	1.0
P62937ups|PPIA_HUMAN_UPS	Peptidyl-prolyl	Peptidyl-prolyl		5	5.0	28227100.0	76434.8	28515800.0	102425.0	29567200.0	3973010.0	2	0.0009945577728337782	4.377696285806892	False	0.000647332988089073	False	True	Human	True	False	False	False	diann231	manual	min	1.0
P00167ups|CYB5_HUMAN_UPS	Cytochrome	Cytochrome		5	5.0	25910600.0	5827480.0	23997100.0	102425.0	21019200.0	4742350.0	1	0.001071065590929206	2.7324678497240495	False	0.000673226307612636	False	True	Human	True	False	False	False	diann231	manual	min	1.0
P01127ups|PDGFB_HUMAN_UPS	Platelet-derived	Platelet-derived		3	3.0	31667200.0	7854570.0	31208400.0	8326160.0	28764000.0	8036510.0	0	0.0012960802021361301	1.919936708639242	False	0.0006991196271361989	False	True	Human	True	False	False	False	diann231	manual	min	1.0
P61626ups|LYSC_HUMAN_UPS	Lysozyme	Lysozyme		1	1.0	32890200.0	76434.8	31856300.0	6838180.0	29058000.0	88633.6	2	0.0014990081875034225	3.743560968713666	False	0.0007250129466597619	False	True	Human	True	False	False	False	diann231	manual	min	1.0
P75809	YBJI_ECOLI	ybjI	Flavin mononucleotide phosphatase YbjI	3	3.0	5215400.0	3882230.0	5145800.0	3752120.0	4854180.0	4094700.0	0	0.0015228945831104897	0.3754441988955339	False	0.0007509062661833248	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0ADP7	YIGP_ECOLI	yigP	Uncharacterized protein YigP	4	4.0	8603650.0	7484590.0	8434300.0	7521840.0	8720790.0	7160400.0	0	0.0016009394851008217	0.2166595548833806	False	0.0007767995857068876	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0A7M6	RL29_ECOLI	rpmC	50S ribosomal protein L29	5	5.0	370386000.0	312903000.0	354267000.0	306386000.0	361032000.0	321444000.0	0	0.0016723318599412439	0.20674836249545922	False	0.0008026929052304505	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
Q15843ups|NEDD8_HUMAN_UPS	NEDD8	NEDD8		2	2.0	12077600.0	2956910.0	13653100.0	2946320.0	13365500.0	3176540.0	0	0.001908559968969402	2.1063007318190343	False	0.0008285862247540135	False	True	Human	True	False	False	False	diann231	manual	min	1.0
P02144ups|MYG_HUMAN_UPS	Myoglobin	Myoglobin		8	8.0	25607300.0	6807360.0	29066400.0	6634790.0	26187800.0	7331940.0	0	0.002090709356097447	1.9606676844436048	False	0.0008544795442775765	False	True	Human	True	False	False	False	diann231	manual	min	1.0
P08758ups|ANXA5_HUMAN_UPS	Annexin	Annexin		11	11.0	26078900.0	6267770.0	23289300.0	6412110.0	23257700.0	5917820.0	0	0.002198030398118035	1.965359924370596	False	0.0008803728638011394	False	True	Human	True	False	False	False	diann231	manual	min	1.0
P01579ups|IFNG_HUMAN_UPS	Interferon	Interferon		5	5.0	31248000.0	7598850.0	28144900.0	7664620.0	27699500.0	8175340.0	0	0.0022216388661788653	1.8936475042162706	False	0.0009062661833247022	False	True	Human	True	False	False	False	diann231	manual	min	1.0
P01133ups|EGF_HUMAN_UPS	Pro-Epidermal	Pro-Epidermal		1	1.0	9963250.0	2387190.0	8860830.0	102425.0	8612150.0	2159020.0	1	0.0022304083428952184	2.5612031966942825	False	0.0009321595028482652	False	True	Human	True	False	False	False	diann231	manual	min	1.0
P0A6R0	FABH_ECOLI	fabH	3-oxoacyl-[acyl-carrier-protein] synthase 3	7	7.0	67310700.0	64551200.0	67639400.0	65333800.0	68400600.0	64448900.0	0	0.0023146889267876727	0.06543236751155532	False	0.0009580528223718281	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P05413ups|FABPH_HUMAN_UPS	Fatty	Fatty		7	7.0	26741300.0	9824440.0	30435800.0	8844050.0	30123300.0	9281370.0	0	0.0023198463040480844	1.643147207455214	False	0.0009839461418953911	False	True	Human	True	False	False	False	diann231	manual	min	1.0
P0A6Q6	FABZ_ECOLI	fabZ	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ	8	8.0	103735000.0	98285100.0	103608000.0	98469400.0	102570000.0	98020100.0	0	0.0024097055943575	0.07225105697549557	False	0.001009839461418954	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P00915ups|CAH1_HUMAN_UPS	Carbonic	Carbonic		9	9.0	30241900.0	7370850.0	24389800.0	9059430.0	26246400.0	6407500.0	0	0.0027746524220769084	1.8243266886794731	False	0.0010357327809425167	False	True	Human	True	False	False	False	diann231	manual	min	1.0
P0A7L3	RL20_ECOLI	rplT	50S ribosomal protein L20	7	7.0	701965000.0	632852000.0	713389000.0	618571000.0	732036000.0	632661000.0	0	0.002798459483631691	0.18872094373897896	False	0.0010616261004660799	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P75883	GFCC_ECOLI	gfcC	Uncharacterized protein GfcC	4	4.0	5818520.0	4839230.0	5848270.0	5064030.0	6181790.0	4846760.0	0	0.003218237322793995	0.27509239000201424	False	0.0010875194199896428	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0ADV7	MLAC_ECOLI	mlaC	Probable phospholipid-binding protein MlaC	8	8.0	67652200.0	72354000.0	69065800.0	72282600.0	68752700.0	71354800.0	0	0.003650399841463585	-0.07204118949294355	False	0.0011134127395132055	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0ADC3	LOLC_ECOLI	lolC	Lipoprotein-releasing system transmembrane protein LolC	4	4.0	3699640.0	3481460.0	3717490.0	3440730.0	3634540.0	3497090.0	0	0.0036818255436881007	0.08500880241557378	False	0.0011393060590367686	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P62988ups|UBIQ_HUMAN_UPS	Ubiquitin	Ubiquitin		2	2.0	2287800.0	742324.0	1955700.0	636911.0	1880560.0	811001.0	0	0.0038859465701729917	1.483402087642137	False	0.0011651993785603315	False	True	Human	True	False	False	False	diann231	manual	min	1.0
P0ADY1	PPID_ECOLI	ppiD	Peptidyl-prolyl cis-trans isomerase D	25	25.0	85369100.0	88044700.0	85966400.0	87603200.0	85021500.0	87175400.0	0	0.004576699195259554	-0.03593888813728907	False	0.0011910926980838944	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0A780	NUSB_ECOLI	nusB	N utilization substance protein B	9	9.0	119970000.0	106727000.0	119299000.0	105124000.0	117483000.0	101279000.0	0	0.004864272085552066	0.1881597824969038	False	0.0012169860176074574	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0A7D7	PUR7_ECOLI	purC	Phosphoribosylaminoimidazole-succinocarboxamide synthase	14	14.0	53748000.0	52361100.0	54006000.0	52122800.0	53317800.0	51920000.0	0	0.004938373715061182	0.04242744581332215	False	0.0012428793371310205	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0A9H7	CFA_ECOLI	cfa	Cyclopropane-fatty-acyl-phospholipid synthase	11	11.0	16719900.0	18901900.0	17365300.0	18321300.0	17180700.0	18441600.0	0	0.005033540645691052	-0.11876579571527851	False	0.0012687726566545832	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P69905ups|HBA_HUMAN_UPS	Hemoglobin	Hemoglobin		5	5.0	8067260.0	2432500.0	9634340.0	2116800.0	9901740.0	2517970.0	0	0.005220521852752149	1.9656179111478864	False	0.001294665976178146	False	True	Human	True	False	False	False	diann231	manual	min	1.0
P08178	PUR5_ECOLI	purM	Phosphoribosylformylglycinamidine cyclo-ligase	4	4.0	6972950.0	6647990.0	7070640.0	6601820.0	7151540.0	6581660.0	0	0.006541899252245802	0.09594119442860824	False	0.001320559295701709	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P02932	PHOE_ECOLI	phoE	Outer membrane pore protein E	2	2.0	1481100.0	1067670.0	1417790.0	970716.0	1324170.0	1139430.0	0	0.006546173678875901	0.4102531516336044	False	0.001346452615225272	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P63417	YHBS_ECOLI	yhbS	Uncharacterized N-acetyltransferase YhbS	6	6.0	38747500.0	40972800.0	37783400.0	41584500.0	38123200.0	40218900.0	0	0.006770813558783652	-0.09874297710157422	False	0.001372345934748835	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0A7P5	RL34_ECOLI	rpmH	50S ribosomal protein L34	2	2.0	100756000.0	93535600.0	99824700.0	94179100.0	102514000.0	94516600.0	0	0.006812532436324673	0.1028906304742351	False	0.0013982392542723977	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0A6X7	IHFA_ECOLI	ihfA	Integration host factor subunit alpha	8	8.0	222595000.0	196818000.0	214087000.0	198446000.0	213651000.0	192689000.0	0	0.0068860106705751645	0.1454777996566908	False	0.0014241325737959607	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0A905	SLYB_ECOLI	slyB	Outer membrane lipoprotein SlyB	6	6.0	549302000.0	611082000.0	564757000.0	601503000.0	542100000.0	607831000.0	0	0.006986337951733099	-0.13642698578920792	False	0.0014500258933195238	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0A6F1	CARA_ECOLI	carA	Carbamoyl-phosphate synthase small chain	12	12.0	40235700.0	42517000.0	41141300.0	42866600.0	40824600.0	42310500.0	0	0.007368657432559484	-0.0634286933954497	False	0.0014759192128430865	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P61175	RL22_ECOLI	rplV	50S ribosomal protein L22	11	11.0	928057000.0	887124000.0	911420000.0	875294000.0	915218000.0	889963000.0	0	0.007451888570695594	0.05460456677990326	False	0.0015018125323666496	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0AE88	CPXR_ECOLI	cpxR	Transcriptional regulatory protein CpxR	9	9.0	21495400.0	19774800.0	21738400.0	20080200.0	22164300.0	20624800.0	0	0.007626774699131937	0.11279535322167253	False	0.0015277058518902123	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P02741ups|CRP_HUMAN_UPS	C-reactive	C-reactive		4	4.0	1495530.0	76434.8	2008180.0	102425.0	1830880.0	88633.6	3	0.007708739801217283	4.317802193534685	False	0.0015535991714137752	False	True	Human	True	False	False	False	diann231	manual	min	1.0
P0AG99	SECG_ECOLI	secG	Protein-export membrane protein SecG	3	3.0	46047300.0	40587900.0	44054400.0	39711100.0	44514500.0	40373500.0	0	0.0077947408164764	0.15775509894098766	False	0.0015794924909373384	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P52643	LDHD_ECOLI	ldhA	D-lactate dehydrogenase	14	14.0	32077900.0	29043700.0	31128300.0	29120200.0	31093000.0	29726400.0	0	0.007825709276656212	0.10154158032517349	False	0.001605385810460901	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0AES6	GYRB_ECOLI	gyrB	DNA gyrase subunit B	36	36.0	36252500.0	35161000.0	35791400.0	35054900.0	35984500.0	34926100.0	0	0.007926171879430167	0.0390715548033882	False	0.0016312791299844642	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P77213	CAAL_ECOLI	ybdK	Carboxylate-amine ligase YbdK	1	1.0	1325210.0	1488290.0	1281290.0	1593930.0	1206240.0	1478060.0	0	0.00808490504099678	-0.2582942546681576	False	0.001657172449508027	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
Q06830ups|PRDX1_HUMAN_UPS	Peroxiredoxin	Peroxiredoxin		8	8.0	9416320.0	3152720.0	11764800.0	3273780.0	11120300.0	3267050.0	0	0.00837376582375919	1.7365005730222716	False	0.0016830657690315898	False	True	Human	True	False	False	False	diann231	manual	min	1.0
P61320	LOLB_ECOLI	lolB	Outer-membrane lipoprotein LolB	11	11.0	16577700.0	17115100.0	16650300.0	16893400.0	16521700.0	17024000.0	0	0.008690678290398497	-0.036728492799133185	False	0.001708959088555153	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0C0S1	MSCS_ECOLI	mscS	Small-conductance mechanosensitive channel	6	6.0	39889200.0	35463300.0	39509100.0	36947400.0	39318000.0	36367400.0	0	0.00900497314946848	0.12612990173075678	False	0.0017348524080787158	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0A9L3	FKBB_ECOLI	fklB	FKBP-type 22 kDa peptidyl-prolyl cis-trans isomerase	9	9.0	146715000.0	132838000.0	147292000.0	131956000.0	142573000.0	131639000.0	0	0.00903166692846658	0.13916898029404623	False	0.0017607457276022787	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P52006	NUDI_ECOLI	nudI	Nucleoside triphosphatase NudI	3	3.0	5486010.0	4267500.0	5470550.0	4393290.0	5098770.0	4413080.0	0	0.009170141597973705	0.29636606148602174	False	0.0017866390471258417	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P00934	THRC_ECOLI	thrC	Threonine synthase	14	14.0	16744700.0	17323700.0	16810600.0	17661100.0	16903500.0	17526900.0	0	0.009418478164313546	-0.05753300498454499	False	0.0018125323666494044	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0A915	OMPW_ECOLI	ompW	Outer membrane protein W	6	6.0	120884000.0	109876000.0	124839000.0	105578000.0	116807000.0	102363000.0	0	0.009491477768180715	0.18990408927308158	False	0.0018384256861729675	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0A6F9	CH10_ECOLI	groS	10 kDa chaperonin	8	8.0	577562000.0	620492000.0	595036000.0	636288000.0	586990000.0	647321000.0	0	0.00988180309239607	-0.11387233859853807	False	0.0018643190056965304	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P01375ups|TNFA_HUMAN_UPS	Tumor	Tumor		5	5.0	20371600.0	3308020.0	16245200.0	3318080.0	15479000.0	3832610.0	0	0.010992305717621019	2.3164621486849875	False	0.0018902123252200933	False	True	Human	True	False	False	False	diann231	manual	min	1.0
P0C0L7	PROP_ECOLI	proP	Proline/betaine transporter	8	8.0	9199220.0	8199810.0	9037680.0	8430080.0	8817950.0	8470220.0	0	0.011037704503859672	0.10819355588924554	False	0.0019161056447436562	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P01344ups|IGF2_HUMAN_UPS	Insulin-like	Insulin-like		1	1.0	10773100.0	76434.8	7594480.0	102425.0	8546850.0	88633.6	3	0.011053341722218665	6.652732766119381	False	0.0019419989642672191	False	True	Human	True	False	False	False	diann231	manual	min	1.0
P36680	ZAPD_ECOLI	zapD	Cell division protein ZapD	6	6.0	14108200.0	12741200.0	13786700.0	12925000.0	13604600.0	12755300.0	0	0.011099909582459632	0.11118011064435515	False	0.0019678922837907823	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P65870	QUED_ECOLI	queD	6-carboxy-5,6,7,8-tetrahydropterin synthase	5	5.0	9622930.0	8170990.0	9765630.0	8538940.0	9762010.0	8719280.0	0	0.011427685912215862	0.19703745061020944	False	0.0019937856033143448	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P06715	GSHR_ECOLI	gor	Glutathione reductase	13	13.0	24381600.0	23116600.0	24461800.0	22436900.0	24012800.0	23144200.0	0	0.011506361043401745	0.08478995122109562	False	0.002019678922837908	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0ADG4	SUHB_ECOLI	suhB	Inositol-1-monophosphatase	16	16.0	81224200.0	80155400.0	82310800.0	79451600.0	82470200.0	79466700.0	0	0.012110525528854992	0.041233380334320495	False	0.002045572242361471	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0AEH1	RSEP_ECOLI	rseP	Regulator of sigma E protease	4	4.0	1924420.0	2256030.0	2033820.0	2401090.0	1914830.0	2210190.0	0	0.01220047076894486	-0.22563025721668317	False	0.0020714655618850335	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0AEW9	K1PF_ECOLI	fruK	1-phosphofructokinase	12	12.0	79648400.0	75843000.0	80995900.0	75127200.0	78910000.0	77255700.0	0	0.012458893004472636	0.06989018628368868	False	0.0020973588814085964	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0AEX9	MALE_ECOLI	malE	Maltose-binding periplasmic protein	20	20.0	38105100.0	34951300.0	37040100.0	34576100.0	39110700.0	33961200.0	0	0.013723034219318225	0.14279681234130406	False	0.0021232522009321598	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P06616	ERA_ECOLI	era	GTPase Era	7	7.0	11721700.0	9386080.0	11363200.0	9695280.0	10809600.0	9470270.0	0	0.013745197289442587	0.2474780780402005	False	0.0021491455204557227	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0A6K6	DEOB_ECOLI	deoB	Phosphopentomutase	20	20.0	119038000.0	121749000.0	120321000.0	122254000.0	119706000.0	121670000.0	0	0.01380832102049924	-0.0263090745185571	False	0.0021750388399792856	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
Q46927	YGDL_ECOLI	ygdL	Uncharacterized protein YgdL	4	4.0	6119790.0	5828130.0	6115840.0	5924520.0	6177090.0	5759410.0	0	0.01408379690268441	0.07235396044568444	False	0.002200932159502848	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P00709ups|LALBA_HUMAN_UPS	Alpha-lactalbumin	Alpha-lactalbumin		1	1.0	16955900.0	76434.8	11372800.0	102425.0	13104300.0	88633.6	3	0.014151180925598656	7.2751331781193675	False	0.002226825479026411	False	True	Human	True	False	False	False	diann231	manual	min	1.0
P0A7R1	RL9_ECOLI	rplI	50S ribosomal protein L9	19	19.0	1659550000.0	1746290000.0	1676680000.0	1764540000.0	1692670000.0	1721340000.0	0	0.014600861121192072	-0.05716655101526581	False	0.0022527187985499743	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P27303	EMRA_ECOLI	emrA	Multidrug resistance protein A	12	12.0	9318660.0	7753870.0	8592700.0	7594280.0	8933250.0	8139760.0	0	0.015318603411139645	0.19271410025091992	False	0.0022786121180735372	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P00963	ASNA_ECOLI	asnA	Aspartate--ammonia ligase	9	9.0	108454000.0	103104000.0	107576000.0	105292000.0	107048000.0	104475000.0	0	0.015671810450797005	0.04631457218070675	False	0.0023045054375971	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P99999ups|CYC_HUMAN_UPS	Cytochrome	Cytochrome		5	5.0	10985100.0	3082950.0	8414200.0	3314050.0	8256380.0	2621680.0	0	0.015806359088925734	1.6165876185472723	False	0.002330398757120663	False	True	Human	True	False	False	False	diann231	manual	min	1.0
P33235	FLGK_ECOLI	flgK	Flagellar hook-associated protein 1	10	10.0	16258000.0	14797100.0	15729900.0	15390400.0	16060500.0	14829800.0	0	0.01637400109445782	0.09400885945618914	False	0.0023562920766442255	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0AF03	MOG_ECOLI	mog	Molybdopterin adenylyltransferase	5	5.0	43799800.0	46569700.0	41886900.0	45176200.0	43056800.0	45695400.0	0	0.01641037415470847	-0.09431599213713328	False	0.002382185396167789	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0A9Y6	CSPC_ECOLI	cspC	Cold shock-like protein CspC	7	7.0	1160850000.0	1081040000.0	1204150000.0	1086470000.0	1172220000.0	1087610000.0	0	0.016602135977868956	0.11990522198422592	False	0.002408078715691352	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0AEQ6	GLNP_ECOLI	glnP	Glutamine transport system permease protein GlnP	4	4.0	3608720.0	3231770.0	3477300.0	3008280.0	3481950.0	2962300.0	0	0.016668096668165724	0.19962404250999957	False	0.0024339720352149147	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P09323	PTW3C_ECOLI	nagE	PTS system N-acetylglucosamine-specific EIICBA component	2	2.0	6324570.0	5400580.0	6257380.0	5271730.0	6803020.0	5265570.0	0	0.01673869575002277	0.28247876245204373	False	0.0024598653547384776	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P11875	SYR_ECOLI	argS	Arginine--tRNA ligase	26	26.0	58576900.0	54599700.0	57007700.0	54552200.0	58125000.0	54868300.0	0	0.016834481910262586	0.08280398458147445	False	0.002485758674262041	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
