Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
Q46829	BGLA_ECOLI	bglA	6-phospho-beta-glucosidase BglA	14	14.0	60011000.0	50528500.0	52051700.0	49968800.0	50547900.0	48177300.0	0	0.2511692829656291	0.12926311034192015	False	0.016468151216986016	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0ABP8	DEOD_ECOLI	deoD	Purine nucleoside phosphorylase DeoD-type	13	13.0	461841000.0	488216000.0	464801000.0	473594000.0	465432000.0	463927000.0	0	0.2512376662989181	-0.03447197399951484	False	0.016494044536509583	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P04949	FLIC_ECOLI	fliC	Flagellin	15	15.0	426573000.0	410079000.0	398845000.0	428488000.0	397422000.0	432020000.0	0	0.25129962441255693	-0.05525951367468634	False	0.016519937856033146	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0AAN9	IRAP_ECOLI	iraP	Anti-adapter protein IraP	3	3.0	1113920.0	874798.0	1058880.0	852098.0	1065970.0	1113860.0	0	0.2513021725758995	0.18917109936028756	False	0.01654583117555671	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P69428	TATA_ECOLI	tatA	Sec-independent protein translocase protein TatA	1	1.0	142340000.0	154326000.0	148957000.0	158060000.0	154762000.0	150990000.0	0	0.2518680788306655	-0.054948776175763825	False	0.016571724495080268	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P27431	YCFD_ECOLI	ycfD	50S ribosomal protein L16 arginine hydroxylase	3	3.0	26521700.0	26089000.0	25101500.0	26425800.0	24663300.0	26432800.0	0	0.2520397848983448	-0.04946763506689021	False	0.016597617814603834	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P00393	DHNA_ECOLI	ndh	NADH dehydrogenase	18	18.0	24150900.0	23406400.0	25312300.0	24914500.0	25023600.0	23874600.0	0	0.25238001900759477	0.045075868832361254	False	0.016623511134127397	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P76558	MAO2_ECOLI	maeB	NADP-dependent malic enzyme	12	12.0	30350500.0	29818200.0	31557300.0	30590900.0	32510700.0	31019900.0	0	0.25474659632052005	0.0464177228764144	False	0.016649404453650957	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0AC30	FTSX_ECOLI	ftsX	Cell division protein FtsX	8	8.0	9264760.0	9673440.0	10316800.0	10555500.0	9529680.0	10647400.0	0	0.2548158040696384	-0.08492545677315497	False	0.016675297773174523	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P09832	GLTD_ECOLI	gltD	Glutamate synthase [NADPH] small chain	6	6.0	34948300.0	33990300.0	31863000.0	36373200.0	31232600.0	33513500.0	0	0.25508448456994764	-0.08337647612450587	False	0.016701191092698082	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0ABL5	NAPC_ECOLI	napC	Cytochrome c-type protein NapC	2	2.0	2004210.0	1778210.0	1943470.0	1745740.0	2182170.0	2082110.0	0	0.25648261318448407	0.12886458580454233	False	0.01672708441222165	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P63224	GMHA_ECOLI	gmhA	Phosphoheptose isomerase	9	9.0	198882000.0	182996000.0	186184000.0	179268000.0	181059000.0	179104000.0	0	0.25655420671012763	0.06451102120665085	False	0.016752977731745212	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0ABM9	CCMH_ECOLI	ccmH	Cytochrome c-type biogenesis protein CcmH	3	3.0	3176970.0	2583330.0	2598330.0	2545600.0	3297930.0	2919780.0	0	0.25686762780602307	0.17285865545419082	False	0.01677887105126877	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0AB18	TUSE_ECOLI	tusE	Sulfurtransferase TusE	5	5.0	7277110.0	6168880.0	6525410.0	6583500.0	6794560.0	6733710.0	0	0.25695894414351966	0.0799951901091215	False	0.016804764370792338	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0A6H5	HSLU_ECOLI	hslU	ATP-dependent protease ATPase subunit HslU	28	28.0	89695900.0	84196700.0	84026400.0	81191100.0	83920800.0	83323600.0	0	0.25732581507865937	0.05090131904257323	False	0.016830657690315897	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P31678	OTSB_ECOLI	otsB	Trehalose-6-phosphate phosphatase	1	1.0	1021250.0	1330460.0	1191000.0	1307730.0	1309440.0	1273640.0	0	0.2578893326582505	-0.1515757549241443	False	0.016856551009839463	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P06959	ODP2_ECOLI	aceF	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex	38	38.0	286527000.0	303543000.0	300528000.0	302798000.0	298491000.0	299458000.0	0	0.2586145356868779	-0.03262369642935932	False	0.016882444329363026	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0A9C3	GALM_ECOLI	galM	Aldose 1-epimerase	13	13.0	26930800.0	31420500.0	32160300.0	32917000.0	30422700.0	32299400.0	0	0.2590519826640287	-0.11046406112000817	False	0.016908337648886586	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
Q46845	YGHU_ECOLI	yghU	Disulfide-bond oxidoreductase YghU	3	3.0	7280580.0	6606430.0	7122990.0	7443260.0	7582940.0	6692210.0	0	0.2591941084409168	0.08407056406135995	False	0.016934230968410152	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
