protein	RD139_Wide_UPS1_10fmol_inj1r	RD139_Wide_UPS1_10fmol_inj2	RD139_Wide_UPS1_10fmol_inj3	RD139_Wide_UPS1_1fmol_inj1	RD139_Wide_UPS1_1fmol_inj2	RD139_Wide_UPS1_1fmol_inj3	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P05413ups|FABPH_HUMAN_UPS	72028223.6137347	70910462.59592661	72448869.96340312	10276288.663326962	10556774.487186324	10921383.543986607	0	4.760198561916598e-06	2.7619043646985197	True	2.447381302006853e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P01008ups|ANT3_HUMAN_UPS	121314251.406766	123485118.71692978	119582118.30160992	11223715.511335496	12648769.325166034	13003670.767535577	0	5.104062587937228e-06	3.30468950261239	True	4.894762604013706e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P16083ups|NQO2_HUMAN_UPS	44115775.48458919	42632111.52585429	42997549.41051788	7342696.0517779505	4910734.218259534	5515865.255421054	0	1.106437625406342e-05	2.8682254039973474	True	7.342143906020559e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
Q06830ups|PRDX1_HUMAN_UPS	56978298.06168351	60475614.69624976	54480025.27470213	6235192.9738932345	4206211.675536565	96873.125148736	1	2.8191069118826966e-05	4.028143328532946	False	9.789525208027412e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P12081ups|SYHC_HUMAN_UPS	202628764.61771092	203896198.51393008	208937342.2158031	17348690.933427103	19004449.28335696	18956284.34347103	0	3.4100002600796154e-05	3.476073262569467	False	0.00012236906510034264	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P06732ups|KCRM_HUMAN_UPS	132367443.88694194	131299399.53936316	130444694.13382895	8016631.301130401	11789336.17973796	13503944.22251925	0	3.938353082765045e-05	3.564580549899157	False	0.00014684287812041118	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P10636-8ups|TAU_HUMAN_UPS	86524789.32041083	81652637.40481457	78306309.17457797	4557326.087882391	82669.26562500009	4188627.948543325	1	4.867632096658767e-05	4.803160156355349	False	0.0001713166911404797	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P06396ups|GELS_HUMAN_UPS	79408081.47483532	73139317.35766822	70777585.08479342	79920.51944532013	4089962.688643244	6458786.107757331	1	4.986958497607802e-05	4.393111766750136	False	0.00019579050416054824	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P69905ups|HBA_HUMAN_UPS	54551058.4759054	52424214.52060364	51365853.526381016	79920.51944532013	4815396.061416245	96873.125148736	2	5.474826267986862e-05	4.987219451945143	False	0.00022026431718061675	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P08758ups|ANXA5_HUMAN_UPS	105840465.04209338	101361145.7101584	96374661.67585091	9159290.4063996	4355219.563472956	8164709.315315965	0	6.798190944327011e-05	3.807674325653771	False	0.0002447381302006853	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P01375ups|TNFA_HUMAN_UPS	34054575.63374268	34602475.107100405	35054013.3012224	79920.51944532013	82669.26562500009	96873.125148736	3	6.985051362864106e-05	8.642825773234021	False	0.00026921194322075383	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P02144ups|MYG_HUMAN_UPS	81124624.47386007	81548223.05524947	82590730.18869081	3037835.6255753264	4594540.748161366	7692489.171760482	0	9.457198084301134e-05	4.000386684387997	False	0.00029368575624082237	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P55957ups|BID_HUMAN_UPS	27345069.385656387	29782304.74773895	31349058.259601947	3941438.9493278847	82669.26562500009	4242964.852635684	1	0.0001282282044490582	3.419844670354511	False	0.00031815956926089085	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P02787ups|TRFE_HUMAN_UPS	172752807.5424107	158429384.21202847	153614009.956715	36136981.70848339	17106710.350268766	12710929.448671246	0	0.00014979798541283934	2.8778327363649825	False	0.0003426333822809594	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
O76070ups|SYUG_HUMAN_UPS	161356535.9037229	179093382.7923564	174354829.11877608	26611507.323222216	14956286.887092624	96873.125148736	1	0.00015894608029714597	3.627128992653448	False	0.0003671071953010279	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P0AAP5	72430.77423286857	128091.0669175269	182805.30061056837	665152.7178657551	739841.7499999998	748336.9434849538	3	0.00017392864452569484	-2.489922318549297	False	0.0003915810083210965	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	1.660964047443681
P01133ups|EGF_HUMAN_UPS	10541556.789771624	10694527.047319977	11072671.606611963	79920.51944532013	82669.26562500009	96873.125148736	3	0.0002150605128854217	6.960253045282813	False	0.000416054821341165	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P15559ups|NQO1_HUMAN_UPS	59594367.82615788	58087198.94266901	54377388.55993642	6627137.668921839	5189412.912593269	7046996.737527791	0	0.00025669278953013164	3.1892300758000878	False	0.0004405286343612335	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P01112ups|RASH_HUMAN_UPS	61148902.041924894	63600400.01454327	65519373.28717432	79920.51944532013	82669.26562500009	96873.125148736	3	0.00039843962625631997	9.518294026922812	False	0.00046500244738130204	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P00918ups|CAH2_HUMAN_UPS	144906648.89307442	156392250.06818783	151160815.5039487	15046790.779093591	13109151.563524248	14096942.668637266	0	0.00042931703223060406	3.4206675885100655	False	0.0004894762604013706	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P00441ups|SODC_HUMAN_UPS	13876652.45417756	14945193.527228631	14391228.026308233	79920.51944532013	82669.26562500009	96873.125148736	3	0.00046244579790224706	7.379795729466206	False	0.0005139500734214391	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P01579ups|IFNG_HUMAN_UPS	61613575.68408871	57320144.666591614	58396184.99638352	7907874.75941756	8349857.012706931	7614669.401538831	0	0.00046971112160497245	2.8930202659699966	False	0.0005384238864415077	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P02768ups|ALBU_HUMAN_UPS	320943920.2181902	302490686.20703423	296890680.0019	30281893.22842411	27001947.97437516	28929648.23962593	0	0.0005660117265040337	3.4161583436926133	False	0.0005628976994615761	False	True	Human	True	False	False	False	diann231	directlfq	min	1.660964047443681
P02753ups|RETBP_HUMAN_UPS	2886278.099057247	2663483.631065673	2726808.009530274	79920.51944532013	82669.26562500009	96873.125148736	3	0.0005730175140702562	4.995432732723397	False	0.0005873715124816447	False	True	Human	True	False	False	False	diann231	directlfq	min	1.660964047443681
O00762ups|UBE2C_HUMAN_UPS	47115243.37176707	51003386.33660325	53785742.34916803	2600412.562306493	4672220.779497635	3896886.444987354	0	0.000726151548229241	3.765524327357204	False	0.0006118453255017131	False	True	Human	True	False	False	False	diann231	directlfq	min	1.660964047443681
Q15843ups|NEDD8_HUMAN_UPS	51986785.55298639	45871279.54184554	48185557.3268999	4327772.52213467	4579319.485095859	2999104.432641392	0	0.0008066979769431723	3.6166148507425935	False	0.0006363191385217817	False	True	Human	True	False	False	False	diann231	directlfq	min	1.660964047443681
