Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P68871ups|HBB_HUMAN_UPS	Hemoglobin	Hemoglobin		10	10.0	5537090.0	61644100.0	4965980.0	62584300.0	4972580.0	62537800.0	0	1.3828940456773343e-07	-3.5931614759033366	True	2.554931016862545e-05	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P62988ups|UBIQ_HUMAN_UPS	Ubiquitin	Ubiquitin		3	3.0	908186.0	8954920.0	698396.0	9205040.0	772371.0	8906800.0	0	1.089200275631972e-06	-3.5081235270689577	True	5.10986203372509e-05	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P0A972	CSPE_ECOLI	cspE	Cold shock-like protein CspE	7	7.0	1454840000.0	1165720000.0	1447250000.0	1145630000.0	1473160000.0	1157780000.0	0	1.1810826301247135e-05	0.33479155002061955	True	7.664793050587636e-05	True	False	Ecoli	False	True	False	True	diann231	manual	min	1.660964047443681
P02787ups|TRFE_HUMAN_UPS	Serotransferrin	Serotransferrin		18	18.0	160402.0	82684200.0	149845.0	82215900.0	151359.0	83233000.0	3	1.2644452483797702e-05	-9.070236506295656	True	0.0001021972406745018	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P09211ups|GSTP1_HUMAN_UPS	Glutathione	Glutathione		6	6.0	160402.0	43409100.0	149845.0	43008000.0	151359.0	43594600.0	3	1.5961783638346455e-05	-8.137763768230219	True	0.00012774655084312725	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P00915ups|CAH1_HUMAN_UPS	Carbonic	Carbonic		10	10.0	160402.0	68406000.0	149845.0	68126100.0	151359.0	67364700.0	3	2.1007455249217664e-05	-8.786961441832938	True	0.00015329586101175271	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P06396ups|GELS_HUMAN_UPS	Gelsolin	Gelsolin		19	19.0	160402.0	35049900.0	149845.0	34485500.0	151359.0	34895800.0	3	2.345930119435335e-05	-7.821675106003359	True	0.00017884517118037815	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P01579ups|IFNG_HUMAN_UPS	Interferon	Interferon		7	7.0	160402.0	71137600.0	149845.0	70078000.0	151359.0	71313700.0	3	2.9765074094471265e-05	-8.846784057989858	False	0.0002043944813490036	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P27836	WECG_ECOLI	wecG	Probable UDP-N-acetyl-D-mannosaminuronic acid transferase	5	5.0	2505960.0	3107120.0	2473060.0	3168180.0	2426080.0	3149200.0	0	3.439725043506863e-05	-0.34789686270766645	False	0.00022994379151762903	True	False	Ecoli	False	True	False	True	diann231	manual	min	1.660964047443681
P08263ups|GSTA1_HUMAN_UPS	Glutathione	Glutathione		13	13.0	160402.0	53563000.0	149845.0	52514600.0	151359.0	53306800.0	3	3.541608547682923e-05	-8.431632738446899	False	0.0002554931016862545	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
