Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML
P0AGJ7	P0AGJ7		trmL		3.25062e+06	3.15937e+06	3.13207e+06	3.10756e+06	3.04026e+06	3.21465e+06
P0AGJ9	P0AGJ9		tyrS		1.38882e+07	1.38838e+07	1.31302e+07	1.39062e+07	1.35418e+07	1.30446e+07
P0AGK4	P0AGK4		yhbY		1.30858e+07	1.34092e+07	1.56342e+07	1.28613e+07	1.48366e+07	1.52876e+07
P0AGK8	P0AGK8		iscR		2.20082e+06	2.21777e+06	2.16728e+06	2.24987e+06	2.0992e+06	2.22939e+06
P0AGL2	P0AGL2		tdcF		1.03671e+06	1.00014e+06	1.17093e+06	1.05911e+06	1.04363e+06	1.16152e+06
P0AGL7	P0AGL7		rsmE		4.2159e+06	4.05719e+06	4.25672e+06	4.00416e+06	4.27734e+06	4.32694e+06
P0AGM5	P0AGM5		sirB1		397757	350729	402547	432025	426623	391348
P0C018	P0C018		rplR		2.60019e+07	3.06217e+07	3.16534e+07	2.70414e+07	3.25743e+07	2.85768e+07
P0C037	P0C037		yaiE		1.06377e+07	1.08729e+07	1.09436e+07	1.07605e+07	1.07403e+07	1.10126e+07
P0C054	P0C054		ibpA		4.7615e+06	4.58393e+06	4.69238e+06	4.49516e+06	4.46502e+06	4.70326e+06
P0C093	P0C093		slmA		3.44922e+06	3.23118e+06	3.27874e+06	3.33617e+06	3.15284e+06	3.25613e+06
P0C0K3	P0C0K3		rdoA		1.10978e+06	1.07864e+06	1.01131e+06	1.00491e+06	965388	995513
P0C0L2	P0C0L2		osmC		6.20685e+06	6.04811e+06	6.09353e+06	6.40619e+06	6.3365e+06	6.17632e+06
P0C0L7	P0C0L7		proP		2.43714e+06	2.42946e+06	2.45828e+06	2.4439e+06	2.43209e+06	2.44725e+06
P0C0L9	P0C0L9		iscX		1.66062e+06	1.62078e+06	1.7707e+06	1.60944e+06	1.69141e+06	1.77914e+06
P0C0R7	P0C0R7		rlmE		4.23926e+06	4.01214e+06	3.98674e+06	3.99146e+06	3.92899e+06	4.07205e+06
P0C0S1	P0C0S1		mscS		7.68595e+06	7.9167e+06	8.7641e+06	8.17302e+06	8.53395e+06	8.60984e+06
P0C0V0	P0C0V0		degP		1.20548e+07	1.21575e+07	1.28737e+07	1.21274e+07	1.31177e+07	1.27372e+07
P0C960	P0C960		emtA		50718.6	85296		19211.7		
P0CB39	P0CB39		eptC		2.29692e+06	1.9542e+06	2.71964e+06	2.11764e+06	2.49621e+06	2.56964e+06
P0CE47	P0CE47		tufA		1.47479e+09	1.48706e+09	1.43347e+09	1.47413e+09	1.43765e+09	1.43835e+09
P0CG19	P0CG19		rph		7.88806e+06	7.83524e+06	8.05219e+06	8.27625e+06	8.39938e+06	8.37818e+06
P0CK95	P0CK95		yghJ		4.87752e+06	4.64731e+06	4.64832e+06	4.87823e+06	4.77075e+06	4.80084e+06
P10100	P10100		rlpA		3.66035e+06	3.37591e+06	3.4501e+06	3.47265e+06	3.32993e+06	3.56268e+06
P10121	P10121		ftsY		4.73316e+06	4.78049e+06	4.79081e+06	4.75112e+06	4.86562e+06	4.91111e+06
P10145ups|IL8_HUMAN_UPS Interleukin-8, IL-8 (Chain 28-99) - Homo sapiens (Human)	P10145ups|IL8_HUMAN_UPS Interleukin-8, IL-8 (Chain 28-99) - Homo sapiens (Human)				4.54743e+06	4.47144e+06		4.62387e+06		637505
P10346	P10346		glnQ		2.52236e+06	2.43784e+06	2.34192e+06	2.54438e+06	2.37543e+06	2.39477e+06
P10371	P10371		hisA		2.88667e+06	2.95404e+06	2.98247e+06	2.98222e+06	2.95944e+06	3.03885e+06
P10384	P10384		fadL		1.06148e+07	1.00766e+07	1.05554e+07	1.07361e+07	1.10331e+07	1.07978e+07
P10408	P10408		secA		7.44817e+06	7.50413e+06	7.44176e+06	7.63928e+06	7.5369e+06	7.5214e+06
P10441	P10441		lpxB		989971	1.0396e+06	1.09962e+06	972451	1.14855e+06	1.19993e+06
P10636-8ups|TAU_HUMAN_UPS Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human)	P10636-8ups|TAU_HUMAN_UPS Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human)				5.29867e+06	5.14112e+06		5.15786e+06		
P10903	P10903		narK		2.36472e+06	2.34556e+06	2.48812e+06	2.69241e+06	2.48295e+06	2.43278e+06
P10908	P10908		ugpQ		400446	380796	424228	372995	483557	433283
P11349	P11349		narH		4.327e+06	4.31769e+06	4.15385e+06	4.12022e+06	4.13179e+06	4.22734e+06
P11447	P11447		argH		2.01573e+06	2.10087e+06	1.97722e+06	2.01471e+06	1.91303e+06	1.96826e+06
P11557	P11557		damX		8.42599e+06	8.42561e+06	8.4544e+06	8.24727e+06	8.3947e+06	8.53392e+06
P11875	P11875		argS		1.03717e+07	1.01425e+07	1.03501e+07	1.01046e+07	1.01301e+07	1.02383e+07
