Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML
DECOY_sp|P32138|YIHQ_ECOLI	Alpha-glucosidase	Alpha-glucosidase		1	1		1.11245e+06				
DECOY_sp|P33924|YEJO_ECOLI	Putative	Putative		1	1		6.12845e+06				
DECOY_sp|P76621|CSID_ECOLI	Protein	Protein		1	1	1.8315e+06		1.71553e+06			
O00762ups|UBE2C_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		7	7	1.0266e+07	9.95504e+07	1.05159e+07	9.7015e+07	9.8238e+07	1.01318e+07
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		11	10	1.76038e+07	1.65607e+08	1.803e+07	1.72898e+08	1.68426e+08	1.85017e+07
P00167ups|CYB5_HUMAN_UPS	Cytochrome	Cytochrome		5	5	1.66271e+07	1.43621e+08	1.29839e+07	1.36172e+08	1.45516e+08	1.5415e+07
P00350	6PGD_ECOLI	gnd	6-phosphogluconate dehydrogenase, decarboxylating	26	26	3.64792e+08	3.58553e+08	3.56281e+08	3.59445e+08	3.59316e+08	3.605e+08
P00363	FRDA_ECOLI	frdA	Fumarate reductase flavoprotein subunit	26	26	2.57802e+08	2.4563e+08	2.54038e+08	2.48212e+08	2.44312e+08	2.622e+08
P00370	DHE4_ECOLI	gdhA	NADP-specific glutamate dehydrogenase	10	10	1.6187e+07	1.66843e+07	1.6406e+07	1.72947e+07	1.73824e+07	1.68097e+07
P00393	DHNA_ECOLI	ndh	NADH dehydrogenase	17	17	3.93798e+07	4.05035e+07	3.84477e+07	4.00568e+07	3.87224e+07	4.06192e+07
P00441ups|SODC_HUMAN_UPS	Superoxide	Superoxide		2	2		5.77551e+07	7.17099e+06	5.80744e+07	5.5252e+07	
P00448	SODM_ECOLI	sodA	Superoxide dismutase [Mn]	8	8	4.61402e+07	4.39764e+07	4.45806e+07	4.26377e+07	4.28596e+07	4.44776e+07
P00452	RIR1_ECOLI	nrdA	Ribonucleoside-diphosphate reductase 1 subunit alpha	30	30	4.38817e+07	4.43019e+07	4.18616e+07	4.55019e+07	4.47263e+07	4.27848e+07
P00490	PHSM_ECOLI	malP	Maltodextrin phosphorylase	30	30	4.21036e+07	4.00022e+07	4.15002e+07	3.97526e+07	4.00815e+07	4.20656e+07
P00509	AAT_ECOLI	aspC	Aspartate aminotransferase	25	25	1.02525e+08	1.04465e+08	1.04757e+08	1.06938e+08	1.0597e+08	1.03543e+08
P00547	KHSE_ECOLI	thrB	Homoserine kinase	2	2	3.83996e+06	3.70169e+06	3.89276e+06	3.95942e+06	3.89403e+06	3.45228e+06
P00550	PTM3C_ECOLI	mtlA	PTS system mannitol-specific EIICBA component	4	4	2.93796e+06	2.90185e+06	3.33398e+06	2.95087e+06	3.07268e+06	3.14651e+06
P00561	AK1H_ECOLI	thrA	Bifunctional aspartokinase/homoserine dehydrogenase 1	11	11	1.34272e+07	1.30986e+07	1.32986e+07	1.2416e+07	1.33022e+07	1.37391e+07
P00562	AK2H_ECOLI	metL	Bifunctional aspartokinase/homoserine dehydrogenase 2	17	17	8.87394e+06	8.31594e+06	8.67157e+06	8.56865e+06	8.71963e+06	8.41336e+06
P00579	RPOD_ECOLI	rpoD	RNA polymerase sigma factor RpoD	19	18	5.99326e+07	5.70528e+07	6.04874e+07	6.18363e+07	5.97121e+07	6.04415e+07
P00582	DPO1_ECOLI	polA	DNA polymerase I	39	39	2.55745e+07	2.5165e+07	2.57563e+07	2.50608e+07	2.44841e+07	2.61933e+07
P00709ups|LALBA_HUMAN_UPS	Alpha-lactalbumin	Alpha-lactalbumin		2	2		8.23565e+07		7.00077e+07	7.97204e+07	7.86456e+06
P00803	LEP_ECOLI	lepB	Signal peptidase I	6	6	1.52817e+07	1.5534e+07	1.48038e+07	1.48444e+07	1.62053e+07	1.40014e+07
P00805	ASPG2_ECOLI	ansB	L-asparaginase 2	18	18	1.47676e+08	1.43631e+08	1.46635e+08	1.45561e+08	1.43393e+08	1.47878e+08
P00811	AMPC_ECOLI	ampC	Beta-lactamase	4	4	5.1907e+06	5.72135e+06	5.16256e+06	5.64041e+06	5.59415e+06	5.86956e+06
P00861	DCDA_ECOLI	lysA	Diaminopimelate decarboxylase	2	2	1.50571e+06	1.88609e+06		1.3721e+06	1.7141e+06	1.30308e+06
P00864	CAPP_ECOLI	ppc	Phosphoenolpyruvate carboxylase	38	38	6.5078e+07	6.50102e+07	6.56014e+07	6.57739e+07	6.62482e+07	6.54439e+07
P00887	AROH_ECOLI	aroH	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive	3	3	9.24695e+06	9.24197e+06	8.8733e+06	8.89771e+06	9.66306e+06	8.75086e+06
P00888	AROF_ECOLI	aroF	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive	6	6	9.06363e+06	8.92208e+06	9.93031e+06	8.83495e+06	9.48636e+06	9.63441e+06
P00892	ILVG_ECOLI	ilvG	Acetolactate synthase isozyme 2 large subunit	2	2	627770				719906	692496
P00894	ILVH_ECOLI	ilvH	Acetolactate synthase isozyme 3 small subunit	3	3	1.18399e+06	1.38865e+06	1.51282e+06	1.61897e+06	1.3716e+06	1.15615e+06
P00914	PHR_ECOLI	phrB	Deoxyribodipyrimidine photo-lyase	3	3	1.43841e+06	1.49365e+06	1.52991e+06	1.34091e+06	1.59978e+06	1.41779e+06
P00915ups|CAH1_HUMAN_UPS	Carbonic	Carbonic		10	10	1.44052e+07	1.35815e+08	1.32901e+07	1.27204e+08	1.4046e+08	1.36508e+07
P00918ups|CAH2_HUMAN_UPS	Carbonic	Carbonic		12	12	1.97703e+07	2.02633e+08	2.01905e+07	1.9868e+08	2.02008e+08	2.03262e+07
P00926	SDHD_ECOLI	dsdA	D-serine dehydratase	2	2	1.3348e+06	1.29158e+06	1.4729e+06	1.06315e+06	1.38275e+06	1.55774e+06
P00934	THRC_ECOLI	thrC	Threonine synthase	14	14	2.03162e+07	1.90039e+07	1.97117e+07	1.8546e+07	2.01438e+07	1.95128e+07
P00935	METB_ECOLI	metB	Cystathionine gamma-synthase	3	3	1.7425e+06	2.45256e+06	2.25099e+06	1.92579e+06	2.01974e+06	2.0398e+06
P00936	CYAA_ECOLI	cyaA	Adenylate cyclase	4	4	2.44941e+06	2.8452e+06	2.24391e+06	2.50811e+06	2.69491e+06	3.21724e+06
P00946	MANA_ECOLI	manA	Mannose-6-phosphate isomerase	11	11	5.27306e+07	5.48256e+07	5.2037e+07	5.52632e+07	5.3714e+07	5.37173e+07
P00954	SYW_ECOLI	trpS	Tryptophan--tRNA ligase	13	13	1.03762e+08	1.05078e+08	1.0624e+08	1.02101e+08	1.0421e+08	1.05706e+08
P00956	SYI_ECOLI	ileS	Isoleucine--tRNA ligase	37	37	1.1613e+08	1.15726e+08	1.14386e+08	1.13998e+08	1.17292e+08	1.15365e+08
P00957	SYA_ECOLI	alaS	Alanine--tRNA ligase	40	40	1.37712e+08	1.36267e+08	1.37204e+08	1.36283e+08	1.37503e+08	1.37039e+08
P00959	SYM_ECOLI	metG	Methionine--tRNA ligase	35	35	6.49362e+07	6.48066e+07	6.24563e+07	6.43838e+07	6.53863e+07	6.57874e+07
P00960	SYGA_ECOLI	glyQ	Glycine--tRNA ligase alpha subunit	9	9	3.29424e+07	3.33308e+07	3.2474e+07	3.36628e+07	3.17072e+07	3.25422e+07
P00961	SYGB_ECOLI	glyS	Glycine--tRNA ligase beta subunit	38	38	7.8651e+07	7.79264e+07	7.82263e+07	7.73311e+07	7.8083e+07	7.78594e+07
P00962	SYQ_ECOLI	glnS	Glutamine--tRNA ligase	26	26	7.80518e+07	7.47919e+07	7.74341e+07	7.50292e+07	7.68813e+07	7.70308e+07
P00963	ASNA_ECOLI	asnA	Aspartate--ammonia ligase	10	10	1.21227e+08	1.13248e+08	1.17424e+08	1.1168e+08	1.11203e+08	1.1496e+08
P00968	CARB_ECOLI	carB	Carbamoyl-phosphate synthase large chain	31	31	1.90226e+07	1.91238e+07	1.89575e+07	1.92474e+07	1.90845e+07	1.94775e+07
P01008ups|ANT3_HUMAN_UPS	Antithrombin-III	Antithrombin-III		15	15	1.68553e+07	1.56666e+08	1.59759e+07	1.46788e+08	1.50146e+08	1.71621e+07
P01112ups|RASH_HUMAN_UPS	GTPase	GTPase		8	8	8.47369e+06	8.42617e+07	9.21723e+06	8.53527e+07	8.42502e+07	9.8945e+06
P01127ups|PDGFB_HUMAN_UPS	Platelet-derived	Platelet-derived		4	4	1.26292e+07	1.1606e+08	1.16423e+07	1.19208e+08	1.15285e+08	1.26891e+07
P01133ups|EGF_HUMAN_UPS	Pro-Epidermal	Pro-Epidermal		1	1	5.15634e+06	5.82608e+07		5.36643e+07	5.43375e+07	
P01344ups|IGF2_HUMAN_UPS	Insulin-like	Insulin-like		1	1		7.36031e+07	5.14088e+06	7.00744e+07	7.04756e+07	6.60208e+06
P01375ups|TNFA_HUMAN_UPS	Tumor	Tumor		7	7	1.07693e+07	1.02599e+08	1.12331e+07	9.94388e+07	9.9656e+07	9.58945e+06
P01579ups|IFNG_HUMAN_UPS	Interferon	Interferon		8	8	1.60933e+07	1.45981e+08	1.57012e+07	1.42805e+08	1.51557e+08	1.56588e+07
P02144ups|MYG_HUMAN_UPS	Myoglobin	Myoglobin		8	8	1.57317e+07	1.4879e+08	1.62434e+07	1.43963e+08	1.51869e+08	1.59121e+07
P02358	RS6_ECOLI	rpsF	30S ribosomal protein S6	11	11	9.38079e+08	9.31983e+08	9.80397e+08	9.91726e+08	9.17886e+08	9.75695e+08
P02359	RS7_ECOLI	rpsG	30S ribosomal protein S7	14	14	1.0231e+09	1.00267e+09	1.01971e+09	9.98674e+08	1.03715e+09	1.036e+09
P02413	RL15_ECOLI	rplO	50S ribosomal protein L15	12	12	8.57664e+08	8.02791e+08	8.77807e+08	8.16855e+08	8.06293e+08	8.86534e+08
P02741ups|CRP_HUMAN_UPS	C-reactive	C-reactive		6	6		1.68866e+07		1.77776e+07	1.78184e+07	
P02753ups|RETBP_HUMAN_UPS	Retinol-binding	Retinol-binding		4	4		2.14356e+07		2.19911e+07	2.05537e+07	
P02768ups|ALBU_HUMAN_UPS	Serum	Serum		23	23	2.75201e+07	2.65228e+08	2.7383e+07	2.69888e+08	2.61398e+08	2.81345e+07
P02787ups|TRFE_HUMAN_UPS	Serotransferrin	Serotransferrin		20	20	1.52842e+07	1.39407e+08	1.56388e+07	1.34091e+08	1.41278e+08	1.5438e+07
P02788ups|TRFL_HUMAN_UPS	Lactotransferrin	Lactotransferrin		23	23	1.60306e+07	1.49068e+08	1.48264e+07	1.54385e+08	1.48208e+08	1.55893e+07
P02918	PBPA_ECOLI	mrcA	Penicillin-binding protein 1A	8	8	7.3684e+07	6.57893e+07	6.59518e+07	6.50825e+07	6.56423e+07	6.37209e+07
P02919	PBPB_ECOLI	mrcB	Penicillin-binding protein 1B	16	16	2.83216e+07	2.73168e+07	2.9117e+07	3.03804e+07	3.2803e+07	2.81123e+07
P02925	RBSB_ECOLI	rbsB	D-ribose-binding periplasmic protein	13	13	4.4757e+07	4.42023e+07	4.37104e+07	4.4597e+07	4.41434e+07	4.25315e+07
P02930	TOLC_ECOLI	tolC	Outer membrane protein TolC	15	15	1.22898e+08	1.1744e+08	1.19024e+08	1.17009e+08	1.15646e+08	1.2291e+08
P02931	OMPF_ECOLI	ompF	Outer membrane protein F	16	15	2.12818e+08	2.07835e+08	2.08833e+08	2.15555e+08	2.0134e+08	2.08273e+08
P02932	PHOE_ECOLI	phoE	Outer membrane pore protein E	2	2	1.50914e+06	1.28452e+06	1.41905e+06	1.27318e+06	973449	1.34548e+06
P02942	MCP1_ECOLI	tsr	Methyl-accepting chemotaxis protein I	15	13	6.87949e+07	7.12538e+07	6.85692e+07	7.20088e+07	7.27548e+07	6.72765e+07
