Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)				2.66571e+06	2.56985e+06				2.46824e+06
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)				3.41765e+06	3.67044e+06		1.48859e+06		3.38787e+06
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)				2.3419e+06	2.27816e+06	1.53618e+06	1.35297e+06	1.17172e+06	2.22912e+06
P00350	P00350		gnd		3.6197e+07	3.58997e+07	3.55258e+07	3.56398e+07	3.53978e+07	3.49277e+07
P00363	P00363		frdA		4.86194e+07	4.85678e+07	4.6331e+07	4.73439e+07	4.6734e+07	4.65196e+07
P00370	P00370		gdhA		1.95092e+06	1.81568e+06	1.89529e+06	1.89209e+06	2.0197e+06	1.89172e+06
P00393	P00393		ndh		5.81525e+06	5.72852e+06	5.79744e+06	5.74743e+06	5.73206e+06	5.58018e+06
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)				2.0151e+06	1.96537e+06				1.66532e+06
P00448	P00448		sodA		2.41653e+06	2.51398e+06	2.42834e+06	2.54792e+06	2.45969e+06	2.49393e+06
P00452	P00452		nrdA		9.74394e+06	9.6513e+06	9.68788e+06	9.93601e+06	9.89984e+06	9.65301e+06
