Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML
DECOY_sp|P0CE61|INH14_ECOLI	Transposase	Transposase		1	1		4.42387e+07		4.32247e+07		
DECOY_sp|P63389|YHES_ECOLI	Uncharacterized	Uncharacterized		1	1	1.00882e+07		1.12168e+07	1.07416e+07	1.05096e+07	1.1154e+07
DECOY_sp|P76621|CSID_ECOLI	Protein	Protein		1	1	1.83776e+06		1.72874e+06			
O00762ups|UBE2C_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		5	5	8.90111e+06	2.03333e+07	9.31918e+06	1.90054e+07	1.95893e+07	9.0634e+06
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		6	6	3.86008e+07	8.36671e+07	4.13653e+07	8.83809e+07	8.99648e+07	4.22881e+07
P00167ups|CYB5_HUMAN_UPS	Cytochrome	Cytochrome		5	5	1.22007e+07	2.42476e+07	1.23402e+07	2.30371e+07	2.05202e+07	1.19765e+07
P00350	6PGD_ECOLI	gnd	6-phosphogluconate dehydrogenase, decarboxylating	26	26	3.51125e+08	3.52348e+08	3.45461e+08	3.51536e+08	3.50174e+08	3.50088e+08
P00363	FRDA_ECOLI	frdA	Fumarate reductase flavoprotein subunit	28	28	2.67471e+08	2.5845e+08	2.7016e+08	2.90299e+08	2.79941e+08	2.78274e+08
P00370	DHE4_ECOLI	gdhA	NADP-specific glutamate dehydrogenase	10	10	1.46219e+07	1.64799e+07	1.4827e+07	1.6392e+07	1.54392e+07	1.47209e+07
P00393	DHNA_ECOLI	ndh	NADH dehydrogenase	18	18	3.02945e+07	3.28731e+07	3.00047e+07	3.08869e+07	3.1604e+07	3.09566e+07
P00441ups|SODC_HUMAN_UPS	Superoxide	Superoxide		1	1		1.2298e+07	6.40143e+06	1.30794e+07	1.27031e+07	
P00448	SODM_ECOLI	sodA	Superoxide dismutase [Mn]	8	8	4.61791e+07	4.44369e+07	4.47337e+07	4.60556e+07	4.93751e+07	4.50343e+07
P00452	RIR1_ECOLI	nrdA	Ribonucleoside-diphosphate reductase 1 subunit alpha	31	31	4.35906e+07	4.58337e+07	4.22187e+07	4.23339e+07	4.3256e+07	4.29122e+07
P00490	PHSM_ECOLI	malP	Maltodextrin phosphorylase	31	31	3.86989e+07	3.8134e+07	3.84374e+07	3.77991e+07	3.79771e+07	3.8262e+07
P00509	AAT_ECOLI	aspC	Aspartate aminotransferase	26	26	1.05342e+08	1.08051e+08	1.07635e+08	1.09105e+08	1.12024e+08	1.06255e+08
P00547	KHSE_ECOLI	thrB	Homoserine kinase	2	2	3.84886e+06	3.72919e+06	4.01829e+06	3.6626e+06	3.81391e+06	3.41048e+06
P00550	PTM3C_ECOLI	mtlA	PTS system mannitol-specific EIICBA component	5	5	3.43577e+06	3.09838e+06	3.78126e+06	3.67161e+06	3.71582e+06	3.64197e+06
P00561	AK1H_ECOLI	thrA	Bifunctional aspartokinase/homoserine dehydrogenase 1	12	12	1.43571e+07	1.54504e+07	1.4538e+07	1.45578e+07	1.52945e+07	1.45782e+07
P00562	AK2H_ECOLI	metL	Bifunctional aspartokinase/homoserine dehydrogenase 2	17	17	7.96311e+06	8.79066e+06	7.80204e+06	7.98276e+06	8.11427e+06	7.55644e+06
P00579	RPOD_ECOLI	rpoD	RNA polymerase sigma factor RpoD	19	18	8.08565e+07	7.96383e+07	8.36481e+07	7.96873e+07	8.30031e+07	8.03243e+07
P00582	DPO1_ECOLI	polA	DNA polymerase I	42	42	2.26822e+07	2.12186e+07	2.33996e+07	2.3003e+07	2.24836e+07	2.37819e+07
P00709ups|LALBA_HUMAN_UPS	Alpha-lactalbumin	Alpha-lactalbumin		1	1		1.55248e+07		9.40244e+06	1.13527e+07	6.26862e+06
P00803	LEP_ECOLI	lepB	Signal peptidase I	6	6	1.549e+07	1.61086e+07	1.62779e+07	1.53083e+07	1.61082e+07	1.45615e+07
P00805	ASPG2_ECOLI	ansB	L-asparaginase 2	19	19	1.43669e+08	1.42952e+08	1.45333e+08	1.43805e+08	1.4245e+08	1.46875e+08
P00811	AMPC_ECOLI	ampC	Beta-lactamase	4	4	4.80583e+06	3.99962e+06	5.10535e+06	4.50817e+06	4.52911e+06	5.28162e+06
P00861	DCDA_ECOLI	lysA	Diaminopimelate decarboxylase	2	2	1.68061e+06	1.81094e+06		1.51877e+06	1.40809e+06	988782
P00864	CAPP_ECOLI	ppc	Phosphoenolpyruvate carboxylase	38	38	6.16677e+07	6.30651e+07	6.3616e+07	6.25609e+07	6.61647e+07	6.3495e+07
P00887	AROH_ECOLI	aroH	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive	3	3	8.8276e+06	7.76678e+06	8.60067e+06	7.71744e+06	7.24014e+06	8.40514e+06
P00888	AROF_ECOLI	aroF	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive	8	7	9.83191e+06	1.00498e+07	1.09346e+07	1.04941e+07	1.02506e+07	1.10036e+07
P00892	ILVG_ECOLI	ilvG	Acetolactate synthase isozyme 2 large subunit	1	1	270105	388474		517485	447419	403369
