Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML
P0A8W2	SLYA_ECOLI	slyA	Transcriptional regulator SlyA	4	4	3.97922e+07	4.00377e+07	3.89178e+07	3.89937e+07	3.90681e+07	3.89209e+07
P0A8W5	YQGE_ECOLI	yqgE	UPF0301 protein YqgE	5	5	2.26407e+07	2.21561e+07	2.14828e+07	2.12892e+07	2.24633e+07	2.18547e+07
P0A8W8	YFBU_ECOLI	yfbU	UPF0304 protein YfbU	10	10	1.02692e+08	1.06475e+08	1.07409e+08	1.04688e+08	1.08684e+08	1.0701e+08
P0A8X0	YJGA_ECOLI	yjgA	UPF0307 protein YjgA	14	14	3.99687e+07	3.98663e+07	3.921e+07	3.91352e+07	3.96598e+07	3.92521e+07
P0A8X2	YCEI_ECOLI	yceI	Protein YceI	6	6	5.72292e+06	5.15986e+06	5.60403e+06	6.09836e+06	5.35855e+06	5.67742e+06
P0A8Y1	YJJG_ECOLI	yjjG	Pyrimidine 5'-nucleotidase YjjG	2	2	6.15126e+06	5.84453e+06	5.21689e+06	5.7841e+06	5.13641e+06	5.6403e+06
P0A8Y3	YIHX_ECOLI	yihX	Alpha-D-glucose-1-phosphate phosphatase YihX	5	5	9.1282e+06	9.5324e+06	9.60663e+06	9.50784e+06	9.92046e+06	9.14579e+06
P0A8Y5	YIDA_ECOLI	yidA	Sugar phosphatase YidA	8	8	4.42107e+07	4.2495e+07	3.87668e+07	4.25365e+07	4.04784e+07	4.26418e+07
P0A8Z0	YCIA_ECOLI	yciA	Acyl-CoA thioester hydrolase YciA	3	3	1.35202e+07	1.6579e+07	1.63038e+07	1.67412e+07	1.53197e+07	1.56005e+07
P0A8Z3	YBGC_ECOLI	ybgC	Acyl-CoA thioester hydrolase YbgC	2	2	4.93855e+06	4.17559e+06	4.44946e+06	4.12939e+06	4.62242e+06	4.37437e+06
P0A901	BLC_ECOLI	blc	Outer membrane lipoprotein blc	4	4	3.16139e+06	2.91386e+06	2.97258e+06	2.87915e+06	3.27093e+06	2.43998e+06
P0A903	BAMC_ECOLI	bamC	Outer membrane protein assembly factor BamC	14	14	1.29524e+08	1.35961e+08	1.28534e+08	1.35364e+08	1.31524e+08	1.32238e+08
P0A905	SLYB_ECOLI	slyB	Outer membrane lipoprotein SlyB	6	6	6.02677e+08	6.91633e+08	6.43345e+08	6.5692e+08	6.25435e+08	6.80216e+08
P0A908	MIPA_ECOLI	mipA	MltA-interacting protein	8	8	3.34118e+07	3.17678e+07	3.56096e+07	2.96283e+07	3.29774e+07	2.83529e+07
P0A910	OMPA_ECOLI	ompA	Outer membrane protein A	14	14	2.04435e+09	2.58357e+09	2.67473e+09	2.65502e+09	2.65618e+09	2.61689e+09
P0A912	PAL_ECOLI	pal	Peptidoglycan-associated lipoprotein	7	7	3.62676e+08	4.15682e+08	4.02899e+08	4.17367e+08	3.90692e+08	4.15625e+08
P0A915	OMPW_ECOLI	ompW	Outer membrane protein W	7	7	1.27645e+08	1.12907e+08	1.32133e+08	1.0753e+08	1.23374e+08	1.06789e+08
P0A917	OMPX_ECOLI	ompX	Outer membrane protein X	9	9	1.67295e+08	1.56286e+08	1.65997e+08	1.5425e+08	1.56617e+08	1.57885e+08
P0A921	PA1_ECOLI	pldA	Phospholipase A1	6	6	1.05809e+07	7.72344e+06	8.55634e+06	7.82891e+06	8.56232e+06	7.78255e+06
P0A927	TSX_ECOLI	tsx	Nucleoside-specific channel-forming protein tsx	10	10	1.00479e+08	1.04861e+08	1.10817e+08	1.02808e+08	1.07099e+08	1.00562e+08
P0A932	GFCE_ECOLI	gfcE	Putative polysaccharide export protein GfcE	14	14	6.20314e+07	6.02121e+07	6.17515e+07	6.16726e+07	6.1051e+07	6.15606e+07
P0A935	MLTA_ECOLI	mltA	Membrane-bound lytic murein transglycosylase A	8	8	1.79157e+07	2.00548e+07	1.95316e+07	1.90484e+07	1.93167e+07	1.89839e+07
P0A937	BAME_ECOLI	bamE	Outer membrane protein assembly factor BamE	1	1	7.38873e+07	1.04591e+08	9.6017e+07	9.88846e+07	9.44732e+07	9.97932e+07
P0A940	BAMA_ECOLI	bamA	Outer membrane protein assembly factor BamA	40	40	7.16178e+07	7.49396e+07	7.59107e+07	7.40171e+07	7.31079e+07	7.4325e+07
P0A944	RIMI_ECOLI	rimI	Ribosomal-protein-alanine acetyltransferase	4	4	3.37375e+06	3.41496e+06	2.85361e+06	3.53195e+06	3.28588e+06	3.43222e+06
P0A948	RIMJ_ECOLI	rimJ	Ribosomal-protein-alanine acetyltransferase	1	1		935352	979894	1.12402e+06	930131	921928
P0A951	ATDA_ECOLI	speG	Spermidine N(1)-acetyltransferase	3	3	2.26984e+06	2.86722e+06	2.95882e+06	2.63914e+06	2.90348e+06	2.76907e+06
P0A953	FABB_ECOLI	fabB	3-oxoacyl-[acyl-carrier-protein] synthase 1	14	14	1.32682e+08	1.45548e+08	1.5172e+08	1.43953e+08	1.47645e+08	1.46996e+08
P0A955	ALKH_ECOLI	eda	KHG/KDPG aldolase	7	7	1.4721e+08	1.41492e+08	1.43752e+08	1.42309e+08	1.39624e+08	1.46447e+08
P0A959	ALAA_ECOLI	alaA	Glutamate-pyruvate aminotransferase AlaA	10	10	7.78013e+06	7.30211e+06	8.36014e+06	6.88605e+06	7.89455e+06	7.07666e+06
P0A962	ASPG1_ECOLI	ansA	L-asparaginase 1	3	3	6.62934e+06	6.89975e+06	6.68697e+06	6.4556e+06	6.65137e+06	6.82763e+06
P0A964	CHEW_ECOLI	cheW	Chemotaxis protein CheW	4	4	5.24453e+07	4.9492e+07	4.75582e+07	5.03683e+07	4.77676e+07	4.86959e+07
P0A968	CSPD_ECOLI	cspD	Cold shock-like protein CspD	1	1	8.09227e+06	9.15597e+06	9.80359e+06	9.65884e+06	9.44216e+06	9.53271e+06
P0A972	CSPE_ECOLI	cspE	Cold shock-like protein CspE	7	7	1.10839e+09	1.20154e+09	1.19327e+09	1.21077e+09	1.20147e+09	1.21836e+09
P0A978	CSPG_ECOLI	cspG	Cold shock-like protein CspG	4	4	1.34263e+07	1.37042e+07	1.45005e+07	1.31103e+07	1.4806e+07	1.38829e+07
P0A988	DPO3B_ECOLI	dnaN	DNA polymerase III subunit beta	10	10	2.37421e+07	2.11414e+07	2.33836e+07	2.12867e+07	2.16546e+07	2.16126e+07
P0A991	ALF1_ECOLI	fbaB	Fructose-bisphosphate aldolase class 1	12	12	3.68359e+07	3.64042e+07	3.61912e+07	3.63528e+07	3.51483e+07	3.63688e+07
P0A993	F16PA_ECOLI	fbp	Fructose-1,6-bisphosphatase class 1	15	15	8.68927e+07	8.52882e+07	8.93421e+07	8.70648e+07	8.80549e+07	8.7806e+07
P0A996	GLPC_ECOLI	glpC	Anaerobic glycerol-3-phosphate dehydrogenase subunit C	11	11	1.4033e+07	1.36305e+07	1.33063e+07	1.31093e+07	1.24451e+07	1.37829e+07
P0A998	FTNA_ECOLI	ftnA	Ferritin-1	5	5	2.58079e+08	2.44637e+08	2.35143e+08	2.45946e+08	2.36363e+08	2.48877e+08
P0A9A2	FTNB_ECOLI	ftnB	Ferritin-like protein 2	3	3	1.9791e+06	1.75526e+06	1.59346e+06	1.73619e+06	1.83959e+06	1.76964e+06
P0A9A6	FTSZ_ECOLI	ftsZ	Cell division protein FtsZ	23	23	1.14056e+08	1.22406e+08	1.20146e+08	1.19263e+08	1.21258e+08	1.2266e+08
P0A9A9	FUR_ECOLI	fur	Ferric uptake regulation protein	7	7	1.12e+08	1.02362e+08	1.04399e+08	1.05763e+08	1.03438e+08	1.04299e+08
P0A9B2	G3P1_ECOLI	gapA	Glyceraldehyde-3-phosphate dehydrogenase A	25	24	1.91337e+09	2.28852e+09	2.36092e+09	2.30897e+09	2.30393e+09	2.2819e+09
P0A9B6	E4PD_ECOLI	epd	D-erythrose-4-phosphate dehydrogenase	6	6	6.96724e+06	7.6982e+06	8.67494e+06	7.83317e+06	7.98103e+06	7.92903e+06
P0A9C0	GLPA_ECOLI	glpA	Anaerobic glycerol-3-phosphate dehydrogenase subunit A	14	14	6.06984e+06	5.95315e+06	6.1916e+06	5.79358e+06	6.12249e+06	5.99407e+06
P0A9C3	GALM_ECOLI	galM	Aldose 1-epimerase	13	13	2.70444e+07	3.11588e+07	3.05446e+07	3.11752e+07	3.01465e+07	3.18756e+07
P0A9C5	GLNA_ECOLI	glnA	Glutamine synthetase	24	24	1.95977e+08	2.07429e+08	2.13361e+08	2.06943e+08	2.08932e+08	2.02752e+08
P0A9C9	GLPX_ECOLI	glpX	Fructose-1,6-bisphosphatase 1 class 2	13	13	2.30444e+07	2.06554e+07	2.11444e+07	2.02864e+07	2.13043e+07	2.08022e+07
P0A9D2	GSTA_ECOLI	gstA	Glutathione S-transferase GstA	7	7	2.22828e+07	2.30611e+07	2.30173e+07	2.18055e+07	2.33591e+07	2.14407e+07
P0A9D4	CYSE_ECOLI	cysE	Serine acetyltransferase	4	4	1.60169e+07	1.63572e+07	1.83325e+07	1.77385e+07	1.70512e+07	1.7262e+07
P0A9D8	DAPD_ECOLI	dapD	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	19	19	1.47336e+08	1.3844e+08	1.41689e+08	1.39228e+08	1.44445e+08	1.42153e+08
P0A9E5	FNR_ECOLI	fnr	Fumarate and nitrate reduction regulatory protein	5	5	3.44524e+07	3.51492e+07	3.54044e+07	3.57616e+07	3.59204e+07	3.4296e+07
P0A9F1	MNTR_ECOLI	mntR	Transcriptional regulator MntR	5	5	5.94391e+06	5.26979e+06	5.31953e+06	5.61138e+06	5.95921e+06	5.57808e+06
P0A9F3	CYSB_ECOLI	cysB	HTH-type transcriptional regulator CysB	12	12	1.40988e+07	1.31993e+07	1.34575e+07	1.27401e+07	1.35732e+07	1.28239e+07
P0A9F6	GCVA_ECOLI	gcvA	Glycine cleavage system transcriptional activator	1	1	732632	643083	591713	589295	725733	
P0A9G2	NHAR_ECOLI	nhaR	Transcriptional activator protein NhaR	3	3	4.64514e+06	4.30158e+06	4.29908e+06	4.62234e+06	4.38752e+06	4.56411e+06
P0A9G6	ACEA_ECOLI	aceA	Isocitrate lyase	10	10	2.78465e+07	2.70588e+07	2.72726e+07	2.7038e+07	2.59716e+07	2.79929e+07
P0A9G8	MODE_ECOLI	modE	Transcriptional regulator ModE	8	8	1.05546e+07	1.10967e+07	1.04867e+07	1.00066e+07	1.03971e+07	1.09095e+07
P0A9H1	MUG_ECOLI	mug	G/U mismatch-specific DNA glycosylase	5	5	5.91068e+06	7.39034e+06	6.41383e+06	6.50871e+06	6.59502e+06	6.41264e+06
P0A9H3	LDCI_ECOLI	cadA	Lysine decarboxylase, inducible	3	3	5.52363e+06	6.13707e+06	6.78034e+06	6.12941e+06	6.44598e+06	6.20712e+06
P0A9H5	BTUR_ECOLI	btuR	Cob(I)yrinic acid a,c-diamide adenosyltransferase	2	2	4.00031e+06	4.23537e+06	4.36818e+06	4.94058e+06	4.35658e+06	4.952e+06
P0A9H7	CFA_ECOLI	cfa	Cyclopropane-fatty-acyl-phospholipid synthase	11	11	1.6503e+07	1.91911e+07	1.77742e+07	1.86413e+07	1.75739e+07	1.84028e+07
P0A9H9	CHEZ_ECOLI	cheZ	Protein phosphatase CheZ	10	10	6.71412e+06	6.68972e+06	6.51459e+06	6.30394e+06	6.47814e+06	6.68282e+06
P0A9I1	CITE_ECOLI	citE	Citrate lyase subunit beta	14	14	3.4463e+07	3.38488e+07	3.44379e+07	3.57029e+07	3.51077e+07	3.50113e+07
P0A9I3	GCVR_ECOLI	gcvR	Glycine cleavage system transcriptional repressor	3	3	6.13943e+06	9.17128e+06	1.0092e+07	9.36572e+06	9.52435e+06	9.83222e+06
P0A9I8	NIRD_ECOLI	nirD	Nitrite reductase [NAD(P)H] small subunit	3	3	1.7752e+07	2.32903e+07	2.3765e+07	2.26955e+07	2.27611e+07	2.23493e+07
P0A9J0	RNG_ECOLI	rng	Ribonuclease G	12	12	4.16037e+07	4.56353e+07	4.53921e+07	4.38484e+07	4.60214e+07	4.47932e+07
P0A9J4	PANE_ECOLI	panE	2-dehydropantoate 2-reductase	5	5	6.08468e+06	6.25809e+06	6.38651e+06	6.05791e+06	6.25411e+06	6.13945e+06
P0A9J6	RBSK_ECOLI	rbsK	Ribokinase	4	4	1.26215e+07	1.00594e+07	1.0692e+07	1.02862e+07	9.92983e+06	9.67777e+06
P0A9J8	PHEA_ECOLI	pheA	P-protein	6	6	9.36312e+06	8.29282e+06	9.0776e+06	8.61136e+06	9.21148e+06	8.45432e+06
P0A9K3	PHOL_ECOLI	ybeZ	PhoH-like protein	13	13	2.55913e+07	2.54862e+07	2.53801e+07	2.53139e+07	2.4805e+07	2.55771e+07
P0A9K7	PHOU_ECOLI	phoU	Phosphate-specific transport system accessory protein PhoU	4	4	9.15511e+06	1.07697e+07	1.0947e+07	1.02699e+07	1.1332e+07	9.94142e+06
P0A9K9	SLYD_ECOLI	slyD	FKBP-type peptidyl-prolyl cis-trans isomerase SlyD	5	5	5.08977e+08	4.62271e+08	5.3128e+08	4.34598e+08	4.95812e+08	4.48802e+08
P0A9L3	FKBB_ECOLI	fklB	FKBP-type 22 kDa peptidyl-prolyl cis-trans isomerase	9	9	1.42244e+08	1.29366e+08	1.41917e+08	1.29735e+08	1.41881e+08	1.28582e+08
P0A9L5	PPIC_ECOLI	ppiC	Peptidyl-prolyl cis-trans isomerase C	6	6	2.26217e+07	2.07893e+07	2.34252e+07	2.16741e+07	2.42991e+07	2.1418e+07
P0A9L8	P5CR_ECOLI	proC	Pyrroline-5-carboxylate reductase	2	2	1.08095e+07	1.7418e+07	1.56727e+07	1.6056e+07	1.67342e+07	1.63237e+07
P0A9M0	LON_ECOLI	lon	Lon protease	34	34	4.40914e+07	4.49576e+07	4.49386e+07	4.45434e+07	4.46945e+07	4.53009e+07
P0A9M2	HPRT_ECOLI	hpt	Hypoxanthine phosphoribosyltransferase	9	9	3.11437e+07	3.21955e+07	3.20468e+07	3.33035e+07	3.19895e+07	3.11132e+07
P0A9M5	XGPT_ECOLI	gpt	Xanthine phosphoribosyltransferase	9	9	2.08921e+08	2.11657e+08	2.15954e+08	2.24764e+08	2.17136e+08	2.31869e+08
P0A9M8	PTA_ECOLI	pta	Phosphate acetyltransferase	33	33	2.33467e+08	2.29086e+08	2.31446e+08	2.22369e+08	2.28852e+08	2.2637e+08
P0A9N4	PFLA_ECOLI	pflA	Pyruvate formate-lyase 1-activating enzyme	5	5	2.14237e+07	2.09023e+07	2.19835e+07	2.06052e+07	2.26374e+07	1.97378e+07
P0A9N8	NRDG_ECOLI	nrdG	Anaerobic ribonucleoside-triphosphate reductase-activating protein	3	3	2.2657e+06	2.15214e+06	2.45845e+06	2.19408e+06	2.15092e+06	
P0A9P0	DLDH_ECOLI	lpdA	Dihydrolipoyl dehydrogenase	30	30	2.0011e+08	2.15302e+08	2.19703e+08	2.19082e+08	2.15123e+08	2.15444e+08
P0A9P4	TRXB_ECOLI	trxB	Thioredoxin reductase	13	13	6.57336e+07	7.25193e+07	7.13202e+07	7.12307e+07	6.94226e+07	7.32377e+07
P0A9P6	DEAD_ECOLI	deaD	Cold-shock DEAD box protein A	29	29	3.82548e+07	3.97832e+07	4.02435e+07	4.06854e+07	4.04371e+07	3.96672e+07
P0A9Q1	ARCA_ECOLI	arcA	Aerobic respiration control protein ArcA	15	15	2.53704e+08	2.63873e+08	2.61028e+08	2.60162e+08	2.53172e+08	2.54949e+08
