Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML
DECOY_sp|P0A6L9|HSCB_ECOLI	Co-chaperone	Co-chaperone		1	1		4.67887e+07				
DECOY_sp|P0A9P0|DLDH_ECOLI	Dihydrolipoyl	Dihydrolipoyl		1	1				2.21635e+06		2.51146e+06
DECOY_sp|P0AG82|PSTS_ECOLI	Phosphate-binding	Phosphate-binding		1	1		2.92305e+06	3.7617e+06	3.36373e+06	3.52587e+06	3.08779e+06
DECOY_sp|P30125|LEU3_ECOLI	3-isopropylmalate	3-isopropylmalate		1	1		2.59949e+06	2.47643e+06			
DECOY_sp|P37005|LAST_ECOLI	Uncharacterized	Uncharacterized		1	1		1.49286e+07		1.39361e+07		1.1901e+07
DECOY_sp|P63389|YHES_ECOLI	Uncharacterized	Uncharacterized		1	1			9.44213e+06		9.65679e+06	
DECOY_sp|P64619|YHDU_ECOLI	Uncharacterized	Uncharacterized		1	1					4.12208e+06	
DECOY_sp|P76251|DMLA_ECOLI	D-malate	D-malate		1	1					477221	
DECOY_sp|P76344|ZINT_ECOLI	Metal-binding	Metal-binding		1	1						3.38929e+06
DECOY_sp|Q57083|PERR_ECOLI	HTH-type	HTH-type		1	1		1.41971e+06	1.15932e+06			1.27175e+06
O00762ups|UBE2C_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		5	5	2.16425e+07	4.73497e+06	2.00946e+07	4.81986e+06	2.03869e+07	5.48785e+06
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		6	6	9.31541e+07	2.52578e+07	9.74746e+07	2.3714e+07	9.6071e+07	2.55205e+07
P00167ups|CYB5_HUMAN_UPS	Cytochrome	Cytochrome		5	5	2.29641e+07		2.32377e+07		2.17739e+07	
P00350	6PGD_ECOLI	gnd	6-phosphogluconate dehydrogenase, decarboxylating	28	28	2.89332e+08	2.79783e+08	2.90976e+08	2.73743e+08	2.82459e+08	2.80148e+08
P00363	FRDA_ECOLI	frdA	Fumarate reductase flavoprotein subunit	28	28	2.54342e+08	2.64152e+08	2.74347e+08	2.66974e+08	2.66239e+08	2.7017e+08
P00370	DHE4_ECOLI	gdhA	NADP-specific glutamate dehydrogenase	10	10	1.50715e+07	1.42836e+07	1.4492e+07	1.37878e+07	1.44426e+07	1.40602e+07
P00393	DHNA_ECOLI	ndh	NADH dehydrogenase	18	18	2.93341e+07	2.60007e+07	2.86004e+07	2.74386e+07	2.81746e+07	2.67383e+07
P00441ups|SODC_HUMAN_UPS	Superoxide	Superoxide		1	1	1.42642e+07		1.39887e+07		1.42433e+07	
P00448	SODM_ECOLI	sodA	Superoxide dismutase [Mn]	9	9	4.45016e+07	4.37643e+07	4.55156e+07	4.5103e+07	4.71593e+07	4.24624e+07
P00452	RIR1_ECOLI	nrdA	Ribonucleoside-diphosphate reductase 1 subunit alpha	33	33	4.68266e+07	4.4652e+07	4.40424e+07	4.3682e+07	4.3648e+07	4.39665e+07
P00490	PHSM_ECOLI	malP	Maltodextrin phosphorylase	30	30	3.36891e+07	3.36281e+07	3.45021e+07	3.35426e+07	3.41591e+07	3.34011e+07
P00509	AAT_ECOLI	aspC	Aspartate aminotransferase	25	25	9.77185e+07	9.47511e+07	9.95536e+07	9.40381e+07	9.82451e+07	9.49663e+07
P00547	KHSE_ECOLI	thrB	Homoserine kinase	2	2	3.24437e+06	3.76653e+06	3.27502e+06	3.28399e+06	3.14951e+06	3.36735e+06
P00550	PTM3C_ECOLI	mtlA	PTS system mannitol-specific EIICBA component	5	5	4.12553e+06	3.82221e+06	3.75777e+06	3.98241e+06	3.68994e+06	3.83132e+06
P00561	AK1H_ECOLI	thrA	Bifunctional aspartokinase/homoserine dehydrogenase 1	14	14	1.42736e+07	1.47922e+07	1.41752e+07	1.43774e+07	1.45514e+07	1.44842e+07
P00562	AK2H_ECOLI	metL	Bifunctional aspartokinase/homoserine dehydrogenase 2	15	15	8.62481e+06	7.46332e+06	7.84392e+06	7.46974e+06	7.76196e+06	7.50885e+06
P00579	RPOD_ECOLI	rpoD	RNA polymerase sigma factor RpoD	20	19	1.5009e+08	1.43449e+08	1.45576e+08	1.38482e+08	1.49839e+08	1.39369e+08
P00582	DPO1_ECOLI	polA	DNA polymerase I	43	43	2.24649e+07	2.3696e+07	2.44115e+07	2.34793e+07	2.37543e+07	2.41041e+07
P00709ups|LALBA_HUMAN_UPS	Alpha-lactalbumin	Alpha-lactalbumin		1	1	1.55005e+07		1.0392e+07		1.45168e+07	
P00803	LEP_ECOLI	lepB	Signal peptidase I	5	5	1.69424e+07	1.65791e+07	1.55898e+07	1.60731e+07	1.58694e+07	1.5143e+07
P00805	ASPG2_ECOLI	ansB	L-asparaginase 2	19	19	1.30852e+08	1.29095e+08	1.31228e+08	1.28617e+08	1.25724e+08	1.27904e+08
P00811	AMPC_ECOLI	ampC	Beta-lactamase	4	4	5.91773e+06	6.63796e+06	6.40849e+06	6.19319e+06	5.77968e+06	6.12124e+06
P00861	DCDA_ECOLI	lysA	Diaminopimelate decarboxylase	3	3	1.67308e+06	1.73354e+06	1.37647e+06	1.37464e+06	1.33645e+06	1.54495e+06
P00864	CAPP_ECOLI	ppc	Phosphoenolpyruvate carboxylase	41	41	6.17347e+07	6.18675e+07	6.22226e+07	6.20017e+07	6.31695e+07	6.18454e+07
P00887	AROH_ECOLI	aroH	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive	4	4	8.16268e+06	7.79773e+06	7.93984e+06	7.30606e+06	7.40586e+06	7.32896e+06
P00888	AROF_ECOLI	aroF	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive	7	6	9.97731e+06	9.84317e+06	9.9591e+06	9.87585e+06	9.91236e+06	9.91357e+06
P00892	ILVG_ECOLI	ilvG	Acetolactate synthase isozyme 2 large subunit	1	1	488339	594302	670392		632633	702103
P00894	ILVH_ECOLI	ilvH	Acetolactate synthase isozyme 3 small subunit	3	3	1.4585e+06	1.46561e+06	1.50879e+06	1.26479e+06	1.18187e+06	1.55666e+06
P00909	TRPC_ECOLI	trpC	Tryptophan biosynthesis protein TrpCF	1	1				1.02264e+06		
P00914	PHR_ECOLI	phrB	Deoxyribodipyrimidine photo-lyase	5	5	881303	872578		759028	819520	836346
P00915ups|CAH1_HUMAN_UPS	Carbonic	Carbonic		9	9	2.98853e+07	5.3282e+06	2.70363e+07	8.67001e+06	2.70555e+07	7.78592e+06
P00918ups|CAH2_HUMAN_UPS	Carbonic	Carbonic		8	8	3.37555e+07	9.00646e+06	3.41685e+07	9.01281e+06	3.58525e+07	9.20314e+06
P00926	SDHD_ECOLI	dsdA	D-serine dehydratase	2	2	3.17877e+06	3.13702e+06	2.92505e+06	2.65495e+06	3.39896e+06	3.14136e+06
P00934	THRC_ECOLI	thrC	Threonine synthase	14	14	1.57152e+07	1.81362e+07	1.80479e+07	1.82056e+07	1.82996e+07	1.73051e+07
P00935	METB_ECOLI	metB	Cystathionine gamma-synthase	2	2	2.37248e+06	2.54005e+06	2.33927e+06	2.86607e+06	2.09393e+06	2.5011e+06
P00936	CYAA_ECOLI	cyaA	Adenylate cyclase	4	4	2.96748e+06	2.86366e+06	3.04357e+06	2.90182e+06	3.13238e+06	2.87735e+06
P00946	MANA_ECOLI	manA	Mannose-6-phosphate isomerase	11	11	5.38834e+07	5.40041e+07	5.13431e+07	5.26836e+07	5.02954e+07	5.18288e+07
P00954	SYW_ECOLI	trpS	Tryptophan--tRNA ligase	11	11	9.50778e+07	9.181e+07	9.81326e+07	9.29479e+07	9.28259e+07	9.18004e+07
P00956	SYI_ECOLI	ileS	Isoleucine--tRNA ligase	37	37	1.13544e+08	1.17905e+08	1.20391e+08	1.17921e+08	1.18053e+08	1.172e+08
P00957	SYA_ECOLI	alaS	Alanine--tRNA ligase	42	42	1.13806e+08	1.20005e+08	1.24643e+08	1.22502e+08	1.22989e+08	1.21827e+08
P00959	SYM_ECOLI	metG	Methionine--tRNA ligase	31	31	5.84628e+07	5.87425e+07	6.0761e+07	5.82631e+07	5.92698e+07	5.8791e+07
P00960	SYGA_ECOLI	glyQ	Glycine--tRNA ligase alpha subunit	9	9	3.5957e+07	3.33212e+07	3.52201e+07	3.23813e+07	3.45491e+07	3.27348e+07
P00961	SYGB_ECOLI	glyS	Glycine--tRNA ligase beta subunit	40	40	7.42873e+07	7.55068e+07	7.87538e+07	7.62827e+07	7.70475e+07	7.69309e+07
P00962	SYQ_ECOLI	glnS	Glutamine--tRNA ligase	29	29	7.10741e+07	7.81408e+07	7.84581e+07	8.04022e+07	7.8951e+07	7.84106e+07
P00963	ASNA_ECOLI	asnA	Aspartate--ammonia ligase	9	9	1.04962e+08	1.03976e+08	1.09091e+08	1.04357e+08	1.08698e+08	1.05794e+08
P00968	CARB_ECOLI	carB	Carbamoyl-phosphate synthase large chain	32	32	2.14044e+07	1.95595e+07	2.00633e+07	1.93281e+07	2.0021e+07	1.94898e+07
P01008ups|ANT3_HUMAN_UPS	Antithrombin-III	Antithrombin-III		9	9	2.64583e+07	7.68138e+06	2.86672e+07	7.43167e+06	2.78685e+07	7.60388e+06
P01112ups|RASH_HUMAN_UPS	GTPase	GTPase		6	6	2.26279e+07		2.47211e+07	7.32265e+06	2.51937e+07	8.23977e+06
P01127ups|PDGFB_HUMAN_UPS	Platelet-derived	Platelet-derived		3	3	3.53992e+07	9.43661e+06	3.46432e+07	1.0162e+07	3.33413e+07	9.99705e+06
P01133ups|EGF_HUMAN_UPS	Pro-Epidermal	Pro-Epidermal		1	1	1.12992e+07		9.9348e+06		8.95582e+06	
P01344ups|IGF2_HUMAN_UPS	Insulin-like	Insulin-like		1	1	1.00644e+07		9.11554e+06		9.57322e+06	
P01375ups|TNFA_HUMAN_UPS	Tumor	Tumor		6	6	2.16876e+07	3.04112e+06	1.70171e+07	3.49745e+06	1.66701e+07	3.75186e+06
P01579ups|IFNG_HUMAN_UPS	Interferon	Interferon		5	5	2.95016e+07	8.17538e+06	2.83153e+07	8.21367e+06	2.76764e+07	7.77396e+06
P02144ups|MYG_HUMAN_UPS	Myoglobin	Myoglobin		7	7	2.84651e+07	7.73785e+06	3.09022e+07	7.25729e+06	3.12651e+07	7.93679e+06
P02358	RS6_ECOLI	rpsF	30S ribosomal protein S6	11	11	6.68392e+08	8.06385e+08	8.70925e+08	7.78754e+08	8.26724e+08	8.28802e+08
P02359	RS7_ECOLI	rpsG	30S ribosomal protein S7	14	14	9.35835e+08	9.66441e+08	1.00182e+09	1.00085e+09	1.01445e+09	9.98507e+08
P02413	RL15_ECOLI	rplO	50S ribosomal protein L15	13	13	6.51888e+08	7.14853e+08	7.52116e+08	6.99358e+08	7.32551e+08	7.17987e+08
P02741ups|CRP_HUMAN_UPS	C-reactive	C-reactive		3	3	2.75097e+06		3.40222e+06		3.38576e+06	
P02753ups|RETBP_HUMAN_UPS	Retinol-binding	Retinol-binding		1	1	3.92656e+06		3.54081e+06		3.07697e+06	
P02768ups|ALBU_HUMAN_UPS	Serum	Serum		17	17	5.31961e+07	1.47901e+07	5.25282e+07	1.38401e+07	5.27456e+07	1.39436e+07
P02787ups|TRFE_HUMAN_UPS	Serotransferrin	Serotransferrin		15	15	3.04539e+07	8.72533e+06	3.12497e+07	7.92183e+06	3.0154e+07	8.47424e+06
P02788ups|TRFL_HUMAN_UPS	Lactotransferrin	Lactotransferrin		19	19	4.00683e+07	1.0174e+07	3.96988e+07	1.04927e+07	3.93741e+07	1.00343e+07
P02918	PBPA_ECOLI	mrcA	Penicillin-binding protein 1A	9	9	6.10795e+06	6.86839e+06	6.37112e+06	6.23456e+06	5.63253e+06	6.21752e+06
P02919	PBPB_ECOLI	mrcB	Penicillin-binding protein 1B	17	17	8.03164e+07	7.93445e+07	7.67087e+07	7.37412e+07	7.68881e+07	7.84362e+07
P02925	RBSB_ECOLI	rbsB	D-ribose-binding periplasmic protein	12	12	4.28155e+07	4.05108e+07	4.09105e+07	4.06835e+07	4.06856e+07	4.07393e+07
P02930	TOLC_ECOLI	tolC	Outer membrane protein TolC	15	15	1.26197e+08	1.2636e+08	1.25655e+08	1.27063e+08	1.24375e+08	1.2765e+08
P02931	OMPF_ECOLI	ompF	Outer membrane protein F	17	16	2.13899e+08	1.82327e+08	1.88999e+08	1.79512e+08	1.83168e+08	1.82638e+08
P02932	PHOE_ECOLI	phoE	Outer membrane pore protein E	1	1	1.47818e+06	1.0685e+06	1.46408e+06	942009	1.37798e+06	1.1464e+06
P02942	MCP1_ECOLI	tsr	Methyl-accepting chemotaxis protein I	16	14	6.59806e+07	6.95329e+07	6.87327e+07	6.76523e+07	6.63094e+07	6.66538e+07
P02943	LAMB_ECOLI	lamB	Maltoporin	9	9	8.0794e+06	8.73834e+06	8.39726e+06	8.40343e+06	8.43661e+06	8.21609e+06
P03004	DNAA_ECOLI	dnaA	Chromosomal replication initiator protein DnaA	13	13	7.36944e+06	6.18631e+06	7.02776e+06	6.66817e+06	7.45959e+06	6.44115e+06
P03007	DPO3E_ECOLI	dnaQ	DNA polymerase III subunit epsilon	2	2		2.08452e+06	4.1629e+06	3.1752e+06		
P03018	UVRD_ECOLI	uvrD	DNA helicase II	10	10	1.29393e+07	1.16502e+07	1.1748e+07	1.18041e+07	1.23888e+07	1.20584e+07
P03023	LACI_ECOLI	lacI	Lactose operon repressor	2	2	2.12926e+06	1.83404e+06	1.55522e+06	1.47816e+06	2.00827e+06	2.054e+06
P03024	GALR_ECOLI	galR	HTH-type transcriptional regulator GalR	2	2	7.0678e+06	6.78754e+06	7.40128e+06	6.81165e+06	7.07069e+06	6.91351e+06
P03817	MIOC_ECOLI	mioC	Protein MioC	1	1	3.49684e+07	4.03197e+07	4.03946e+07	4.02475e+07	3.96891e+07	3.96265e+07
P03841	MALM_ECOLI	malM	Maltose operon periplasmic protein	7	7	2.90382e+07	3.13928e+07	3.06397e+07	3.20442e+07	3.14282e+07	3.41793e+07
P04036	DAPB_ECOLI	dapB	4-hydroxy-tetrahydrodipicolinate reductase	8	8	3.15719e+07	3.25887e+07	3.42423e+07	3.42385e+07	3.37403e+07	3.37931e+07
P04040ups|CATA_HUMAN_UPS	Catalase	Catalase		9	9	8.65386e+06	2.6266e+06	8.97604e+06	2.35328e+06	8.94243e+06	2.58075e+06
P04079	GUAA_ECOLI	guaA	GMP synthase [glutamine-hydrolyzing]	26	26	8.09438e+07	8.0616e+07	8.02051e+07	7.86773e+07	7.90111e+07	7.76584e+07
P04335	FRSA_ECOLI	frsA	Esterase FrsA	13	13	1.92314e+07	1.92399e+07	1.89924e+07	1.97663e+07	1.94626e+07	1.82608e+07
P04391	OTC1_ECOLI	argI	Ornithine carbamoyltransferase chain I	1	1	455003			611430		
P04425	GSHB_ECOLI	gshB	Glutathione synthetase	15	15	3.02967e+07	3.082e+07	3.18234e+07	3.11982e+07	3.1414e+07	3.05396e+07
P04693	TYRB_ECOLI	tyrB	Aromatic-amino-acid aminotransferase	4	4	2.79951e+07	2.49576e+07	2.46944e+07	2.51112e+07	2.42078e+07	2.4207e+07
P04805	SYE_ECOLI	gltX	Glutamate--tRNA ligase	23	23	1.45339e+08	1.42962e+08	1.41609e+08	1.42103e+08	1.42601e+08	1.42218e+08
P04825	AMPN_ECOLI	pepN	Aminopeptidase N	27	27	7.21733e+07	7.51567e+07	7.46381e+07	7.41511e+07	7.36977e+07	7.27943e+07
P04846	NLPA_ECOLI	nlpA	Lipoprotein 28	3	3	9.072e+06	8.77282e+06	8.64911e+06	8.82264e+06	8.72035e+06	8.70259e+06
P04949	FLIC_ECOLI	fliC	Flagellin	15	15	4.10359e+08	4.09475e+08	4.01051e+08	4.23828e+08	3.97186e+08	4.30253e+08
P04951	KDSB_ECOLI	kdsB	3-deoxy-manno-octulosonate cytidylyltransferase	7	7	3.6773e+07	3.43076e+07	3.58362e+07	3.37906e+07	3.4766e+07	3.59499e+07
P04968	ILVA_ECOLI	ilvA	L-threonine dehydratase biosynthetic IlvA	5	5	2.50647e+06	2.50881e+06	2.27971e+06	2.72242e+06	2.32741e+06	2.70636e+06
P04982	RBSD_ECOLI	rbsD	D-ribose pyranase	1	1	7.24941e+06	6.29812e+06	5.90876e+06	6.5058e+06	6.64714e+06	6.78086e+06
P04994	EX7L_ECOLI	xseA	Exodeoxyribonuclease 7 large subunit	3	3	7.25589e+06	6.63289e+06	5.60989e+06	5.88854e+06	5.53741e+06	6.60393e+06
P04995	EX1_ECOLI	sbcB	Exodeoxyribonuclease I	9	9	9.15092e+06	1.01462e+07	9.64352e+06	9.70794e+06	9.42691e+06	9.70409e+06
P05020	PYRC_ECOLI	pyrC	Dihydroorotase	11	11	2.23413e+07	2.11528e+07	2.12872e+07	2.10455e+07	2.08526e+07	2.13705e+07
P05041	PABB_ECOLI	pabB	Para-aminobenzoate synthase component 1	4	4	6.05429e+06	5.06982e+06	4.84386e+06	5.86987e+06	5.52517e+06	5.35936e+06
P05055	PNP_ECOLI	pnp	Polyribonucleotide nucleotidyltransferase	34	34	1.75943e+08	1.75305e+08	1.8453e+08	1.74194e+08	1.83583e+08	1.75585e+08
P05100	3MG1_ECOLI	tag	DNA-3-methyladenine glycosylase 1	2	2	5.99652e+06	5.45032e+06	5.39897e+06	5.52709e+06	5.57626e+06	5.51045e+06
P05194	AROD_ECOLI	aroD	3-dehydroquinate dehydratase	6	6	2.86315e+07	2.74203e+07	2.60943e+07	2.67971e+07	2.84546e+07	2.53036e+07
P05413ups|FABPH_HUMAN_UPS	Fatty	Fatty		7	7	2.72608e+07	9.57584e+06	3.02116e+07	8.71008e+06	2.9932e+07	1.02526e+07
P05458	PTRA_ECOLI	ptrA	Protease 3	11	11	5.90143e+06	5.95547e+06	5.72872e+06	5.22531e+06	5.77079e+06	5.526e+06
P05459	PDXB_ECOLI	pdxB	Erythronate-4-phosphate dehydrogenase	15	15	4.26963e+07	4.25403e+07	4.28852e+07	4.39323e+07	4.17278e+07	4.28344e+07
P05523	FPG_ECOLI	mutM	Formamidopyrimidine-DNA glycosylase	2	2	842445	767461	768764	782386	500114	
P05637	APAH_ECOLI	apaH	Bis(5'-nucleosyl)-tetraphosphatase [symmetrical]	8	8	9.41399e+06	1.1137e+07	9.79568e+06	9.2877e+06	1.01794e+07	1.06641e+07
P05706	PTHA_ECOLI	srlB	Glucitol/sorbitol-specific phosphotransferase enzyme IIA component	1	1		1.21413e+06				
P05719	T1SK_ECOLI	hsdS	Type-1 restriction enzyme EcoKI specificity protein	5	5	1.19393e+07	1.26408e+07	1.16751e+07	1.25194e+07	1.17047e+07	1.12999e+07
P05791	ILVD_ECOLI	ilvD	Dihydroxy-acid dehydratase	14	14	1.18354e+07	1.09177e+07	1.18111e+07	1.18183e+07	1.17437e+07	1.18973e+07
P05793	ILVC_ECOLI	ilvC	Ketol-acid reductoisomerase	15	15	3.65123e+07	3.58653e+07	3.57918e+07	3.61849e+07	3.71861e+07	3.71057e+07
P05825	FEPA_ECOLI	fepA	Ferrienterobactin receptor	17	17	9.99944e+06	9.57545e+06	9.29649e+06	9.6209e+06	9.11728e+06	9.27302e+06
P05852	GCP_ECOLI	gcp	Probable tRNA threonylcarbamoyladenosine biosynthesis protein Gcp	3	3	9.85064e+06	8.7225e+06	8.81409e+06	8.32566e+06	8.93637e+06	8.67151e+06
P06129	BTUB_ECOLI	btuB	Vitamin B12 transporter BtuB	23	23	5.17083e+07	5.26768e+07	5.38648e+07	5.24192e+07	5.39567e+07	5.30945e+07
P06136	FTSQ_ECOLI	ftsQ	Cell division protein FtsQ	3	3	8.32802e+07	7.10936e+07	6.94923e+07	5.66702e+07	8.41372e+07	7.74462e+07
P06149	DLD_ECOLI	dld	D-lactate dehydrogenase	18	18	3.18886e+07	3.08512e+07	3.39509e+07	3.08422e+07	3.19091e+07	3.12125e+07
P06282	CDH_ECOLI	cdh	CDP-diacylglycerol pyrophosphatase	5	5	6.53845e+06	6.3894e+06	6.22731e+06	6.24259e+06	6.40312e+06	6.54042e+06
P06396ups|GELS_HUMAN_UPS	Gelsolin	Gelsolin		13	13	1.3285e+07	2.78592e+06	1.173e+07	3.36921e+06	1.20615e+07	2.88427e+06
P06610	BTUE_ECOLI	btuE	Vitamin B12 transport periplasmic protein BtuE	8	8	5.59045e+07	5.5684e+07	5.35706e+07	5.74396e+07	5.28241e+07	5.45196e+07
P06611	BTUD_ECOLI	btuD	Vitamin B12 import ATP-binding protein BtuD	2	2	2.09898e+06	2.27529e+06	2.2393e+06	2.13253e+06	2.10145e+06	2.15165e+06
P06612	TOP1_ECOLI	topA	DNA topoisomerase 1	24	24	3.11577e+07	2.69619e+07	2.79566e+07	2.70207e+07	2.69293e+07	2.71081e+07
P06616	ERA_ECOLI	era	GTPase Era	8	8	1.23637e+07	1.08189e+07	1.22895e+07	1.13644e+07	1.17494e+07	1.09656e+07
P06709	BIRA_ECOLI	birA	Bifunctional protein BirA	5	5	5.27914e+06	5.2328e+06	5.08873e+06	5.36406e+06	5.30333e+06	5.31584e+06
P06710	DPO3X_ECOLI	dnaX	DNA polymerase III subunit tau	8	8	6.37883e+06	6.79236e+06	6.60586e+06	6.3768e+06	6.51627e+06	7.03414e+06
P06715	GSHR_ECOLI	gor	Glutathione reductase	13	13	2.37763e+07	2.34144e+07	2.47293e+07	2.27015e+07	2.38308e+07	2.26903e+07
P06721	METC_ECOLI	metC	Cystathionine beta-lyase MetC	4	4	614191	608509	681201	535127	748614	301601
P06722	MUTH_ECOLI	mutH	DNA mismatch repair protein MutH	3	3	1.75305e+06	2.07883e+06	2.18721e+06	2.05379e+06	2.2355e+06	2.06027e+06
P06732ups|KCRM_HUMAN_UPS	Creatine	Creatine		15	15	1.78603e+07	4.9084e+06	1.78523e+07	4.91053e+06	1.7538e+07	4.77459e+06
P06846	EBGR_ECOLI	ebgR	HTH-type transcriptional regulator EbgR	8	8	5.18912e+06	4.88939e+06	4.65033e+06	5.12711e+06	4.64013e+06	4.69209e+06
P06959	ODP2_ECOLI	aceF	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex	39	39	3.02449e+08	3.20948e+08	3.20908e+08	3.1394e+08	3.16939e+08	3.17403e+08
P06961	CCA_ECOLI	cca	Multifunctional CCA protein	9	9	1.05061e+07	1.0539e+07	1.04274e+07	1.00959e+07	9.78105e+06	1.04678e+07
P06968	DUT_ECOLI	dut	Deoxyuridine 5'-triphosphate nucleotidohydrolase	3	3	7.88861e+07	8.31075e+07	8.39574e+07	8.4699e+07	8.05588e+07	8.35439e+07
P06971	FHUA_ECOLI	fhuA	Ferrichrome-iron receptor	18	18	7.21832e+07	7.29755e+07	7.42028e+07	7.03297e+07	7.2031e+07	7.19809e+07
P06974	FLIM_ECOLI	fliM	Flagellar motor switch protein FliM	9	9	1.43975e+07	1.67025e+07	1.68595e+07	1.64561e+07	1.52907e+07	1.63108e+07
P06983	HEM3_ECOLI	hemC	Porphobilinogen deaminase	14	14	4.73113e+07	5.28173e+07	5.17493e+07	5.1952e+07	5.05115e+07	5.32145e+07
P06986	HIS8_ECOLI	hisC	Histidinol-phosphate aminotransferase	9	9	1.64313e+07	1.34249e+07	1.40725e+07	1.31983e+07	1.42477e+07	1.34838e+07
P06987	HIS7_ECOLI	hisB	Histidine biosynthesis bifunctional protein HisB	8	8	3.99546e+06	4.16065e+06	3.96691e+06	4.40033e+06	4.15078e+06	4.26354e+06
P06988	HISX_ECOLI	hisD	Histidinol dehydrogenase	6	6	4.88697e+06	4.31414e+06	4.83266e+06	4.72186e+06	5.3012e+06	4.71074e+06
P06992	RSMA_ECOLI	rsmA	Ribosomal RNA small subunit methyltransferase A	3	3	1.31439e+08	1.39199e+08	1.52812e+08	1.47066e+08	1.50721e+08	1.48092e+08
P06993	MALT_ECOLI	malT	HTH-type transcriptional regulator MalT	3	3	8.76913e+06	8.36414e+06	7.76152e+06	7.69532e+06	7.29491e+06	7.17796e+06
P06996	OMPC_ECOLI	ompC	Outer membrane protein C	18	15	1.37824e+09	1.31628e+09	1.41064e+09	1.30622e+09	1.34908e+09	1.36998e+09
P06999	K6PF2_ECOLI	pfkB	6-phosphofructokinase isozyme 2	6	6	4.85314e+06	5.31867e+06	5.21772e+06	5.20514e+06	5.17885e+06	4.85899e+06
P07000	PLDB_ECOLI	pldB	Lysophospholipase L2	2	2	1.63652e+06	1.81816e+06	1.97515e+06	2.18016e+06	2.13171e+06	1.93532e+06
P07001	PNTA_ECOLI	pntA	NAD(P) transhydrogenase subunit alpha	11	11	2.1103e+07	1.98146e+07	2.10163e+07	1.98132e+07	2.07609e+07	2.01815e+07
P07003	POXB_ECOLI	poxB	Pyruvate dehydrogenase [ubiquinone]	8	8	1.20097e+07	1.08378e+07	1.17379e+07	1.12895e+07	1.14826e+07	1.14206e+07
P07004	PROA_ECOLI	proA	Gamma-glutamyl phosphate reductase	15	15	2.91552e+07	3.16993e+07	3.15245e+07	3.12816e+07	3.17409e+07	3.13412e+07
P07012	RF2_ECOLI	prfB	Peptide chain release factor 2	16	16	6.94486e+07	6.47219e+07	6.59024e+07	6.41159e+07	6.3871e+07	6.44611e+07
P07014	DHSB_ECOLI	sdhB	Succinate dehydrogenase iron-sulfur subunit	9	9	2.19201e+07	2.30501e+07	2.22704e+07	2.23412e+07	2.22458e+07	2.316e+07
P07017	MCP2_ECOLI	tar	Methyl-accepting chemotaxis protein II	14	14	1.82534e+07	1.81999e+07	1.87043e+07	1.84037e+07	1.94026e+07	1.8791e+07
P07021	YFIB_ECOLI	yfiB	Putative lipoprotein YfiB	4	4	3.66624e+06	4.81244e+06	4.55133e+06	4.6887e+06	4.9332e+06	4.64101e+06
P07023	TYRA_ECOLI	tyrA	T-protein	7	7	7.69427e+06	6.99449e+06	7.04588e+06	7.61172e+06	7.2694e+06	6.77161e+06
P07024	USHA_ECOLI	ushA	Protein UshA	13	13	2.44038e+07	2.34682e+07	2.30654e+07	2.32952e+07	2.27579e+07	2.33733e+07
P07026	SDIA_ECOLI	sdiA	Regulatory protein SdiA	1	1	5.40237e+06	4.54204e+06	4.74506e+06	4.97347e+06	4.64288e+06	4.69413e+06
P07117	PUTP_ECOLI	putP	Sodium/proline symporter	2	2	2.1907e+06			1.17049e+06	1.68074e+06	1.72238e+06
P07118	SYV_ECOLI	valS	Valine--tRNA ligase	47	47	1.07587e+08	1.1204e+08	1.13517e+08	1.08698e+08	1.14442e+08	1.10644e+08
P07330	CHEB_ECOLI	cheB	Chemotaxis response regulator protein-glutamate methylesterase	3	3	3.33552e+06	3.2642e+06	3.2105e+06	3.33332e+06	3.22976e+06	3.47108e+06
P07363	CHEA_ECOLI	cheA	Chemotaxis protein CheA	15	15	9.8803e+06	1.04626e+07	9.69125e+06	9.65442e+06	9.59988e+06	1.01474e+07
P07364	CHER_ECOLI	cheR	Chemotaxis protein methyltransferase	2	2			571780	515908	804863	514062
P07395	SYFB_ECOLI	pheT	Phenylalanine--tRNA ligase beta subunit	37	37	8.92259e+07	8.53449e+07	8.91679e+07	8.47081e+07	8.77116e+07	8.73128e+07
