Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)				6.21547e+06	6.26747e+06	539653	6.33718e+06	347006	591062
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)				1.15259e+07	1.10543e+07	391544	1.17092e+07	514188	637545
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)				1.00386e+07	9.5547e+06	1.05634e+06	1.02095e+07	813115	
P00350	P00350		gnd		3.6625e+07	3.68484e+07	3.67169e+07	3.76926e+07	3.62774e+07	3.65538e+07
P00363	P00363		frdA		3.26346e+07	3.09945e+07	3.17816e+07	3.22801e+07	3.16608e+07	3.23682e+07
P00370	P00370		gdhA		1.93222e+06	1.93629e+06	1.97747e+06	1.95621e+06	1.93824e+06	1.96731e+06
P00393	P00393		ndh		5.88918e+06	5.97649e+06	5.94705e+06	6.00809e+06	5.98742e+06	5.88264e+06
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)				5.71505e+06	5.69529e+06	460663	5.87714e+06	249219	275720
P00448	P00448		sodA		3.84277e+06	3.85289e+06	3.9097e+06	3.8904e+06	3.73448e+06	3.74804e+06
P00452	P00452		nrdA		7.3571e+06	7.24709e+06	7.41773e+06	7.55633e+06	7.40803e+06	7.38087e+06
P00490	P00490		malP		5.17702e+06	5.01742e+06	5.14966e+06	5.01685e+06	5.21498e+06	5.27095e+06
P00509	P00509		aspC		1.8485e+07	1.82452e+07	1.89079e+07	1.84084e+07	1.87479e+07	1.86162e+07
P00547	P00547		thrB		1.05485e+06	1.14028e+06	1.08248e+06	893606	1.01229e+06	975778
P00550	P00550		mtlA		2.11009e+06	2.38935e+06	2.30576e+06	2.37299e+06	2.22756e+06	2.14268e+06
P00561	P00561		thrA		2.02387e+06	1.89234e+06	1.90519e+06	1.9429e+06	1.90905e+06	1.98744e+06
P00562	P00562		metL		2.56028e+06	2.52186e+06	2.54382e+06	2.45968e+06	2.54122e+06	2.57564e+06
P00579	P00579		rpoD		8.62521e+06	8.3744e+06	8.72351e+06	8.7176e+06	8.5629e+06	8.7825e+06
P00582	P00582		polA		3.49636e+06	3.51066e+06	3.56278e+06	3.60182e+06	3.56592e+06	3.51531e+06
P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)	P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)				2.65268e+06	2.70908e+06	884966	2.71694e+06	757423	1.36409e+06
P00803	P00803		lepB		4.51208e+06	4.56563e+06	4.41981e+06	4.74448e+06	4.28677e+06	4.60474e+06
