Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML
O00762ups|UBE2C_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		7	7		5.2705e+07		5.18051e+07	5.11429e+07	
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		8	8		1.87447e+08		1.79524e+08	1.84424e+08	
P00167ups|CYB5_HUMAN_UPS	Cytochrome	Cytochrome		5	5		5.47828e+07		5.21967e+07	5.56604e+07	
P00350	6PGD_ECOLI	gnd	6-phosphogluconate dehydrogenase, decarboxylating	28	28	3.47001e+08	3.34313e+08	3.44695e+08	3.32718e+08	3.2053e+08	3.35597e+08
P00363	FRDA_ECOLI	frdA	Fumarate reductase flavoprotein subunit	28	28	2.19396e+08	2.03071e+08	2.07366e+08	2.05712e+08	2.09051e+08	2.13392e+08
P00370	DHE4_ECOLI	gdhA	NADP-specific glutamate dehydrogenase	10	10	1.59027e+07	1.58465e+07	1.51961e+07	1.55899e+07	1.60849e+07	1.64658e+07
P00393	DHNA_ECOLI	ndh	NADH dehydrogenase	18	18	3.2422e+07	3.20422e+07	3.17132e+07	3.02174e+07	3.05306e+07	3.25222e+07
P00441ups|SODC_HUMAN_UPS	Superoxide	Superoxide		2	2		2.98051e+07		3.30336e+07	3.27876e+07	
P00448	SODM_ECOLI	sodA	Superoxide dismutase [Mn]	9	9	4.88431e+07	4.705e+07	4.56794e+07	4.77608e+07	4.72734e+07	4.80164e+07
P00452	RIR1_ECOLI	nrdA	Ribonucleoside-diphosphate reductase 1 subunit alpha	32	32	4.25873e+07	4.1224e+07	4.23753e+07	4.03033e+07	4.18219e+07	4.34248e+07
P00490	PHSM_ECOLI	malP	Maltodextrin phosphorylase	30	30	3.87614e+07	3.61615e+07	3.98295e+07	3.70289e+07	3.80968e+07	3.98863e+07
P00509	AAT_ECOLI	aspC	Aspartate aminotransferase	27	27	9.80374e+07	9.70762e+07	9.62903e+07	9.55946e+07	9.6942e+07	9.59499e+07
P00547	KHSE_ECOLI	thrB	Homoserine kinase	2	2	3.05639e+06	3.49456e+06	3.56781e+06	3.88371e+06	3.95766e+06	3.5957e+06
P00550	PTM3C_ECOLI	mtlA	PTS system mannitol-specific EIICBA component	5	5	3.7429e+06	3.73017e+06	3.82733e+06	3.71382e+06	3.42658e+06	3.63438e+06
P00561	AK1H_ECOLI	thrA	Bifunctional aspartokinase/homoserine dehydrogenase 1	13	13	1.38879e+07	1.38295e+07	1.50418e+07	1.45641e+07	1.4966e+07	1.41019e+07
P00562	AK2H_ECOLI	metL	Bifunctional aspartokinase/homoserine dehydrogenase 2	17	17	7.62087e+06	7.44397e+06	7.89944e+06	7.48453e+06	7.86145e+06	7.93452e+06
P00579	RPOD_ECOLI	rpoD	RNA polymerase sigma factor RpoD	20	19	1.32483e+08	1.37004e+08	1.34402e+08	1.33918e+08	1.38527e+08	1.36553e+08
P00582	DPO1_ECOLI	polA	DNA polymerase I	44	44	2.57492e+07	2.56469e+07	2.58994e+07	2.50206e+07	2.53524e+07	2.53479e+07
P00709ups|LALBA_HUMAN_UPS	Alpha-lactalbumin	Alpha-lactalbumin		1	1		3.57216e+07		3.54856e+07	3.69497e+07	
P00803	LEP_ECOLI	lepB	Signal peptidase I	6	6	1.5004e+07	1.55397e+07	1.42516e+07	1.40049e+07	1.48303e+07	1.39064e+07
P00805	ASPG2_ECOLI	ansB	L-asparaginase 2	20	20	1.39739e+08	1.30449e+08	1.39682e+08	1.32161e+08	1.3361e+08	1.3948e+08
P00811	AMPC_ECOLI	ampC	Beta-lactamase	6	6	2.60006e+06	2.61907e+06	2.71473e+06	2.45269e+06	2.64841e+06	2.35617e+06
P00861	DCDA_ECOLI	lysA	Diaminopimelate decarboxylase	2	2	1.37512e+06	1.34089e+06	1.29923e+06	1.33686e+06	1.61239e+06	1.55724e+06
P00864	CAPP_ECOLI	ppc	Phosphoenolpyruvate carboxylase	40	40	6.48926e+07	6.35919e+07	6.46905e+07	6.46888e+07	6.60233e+07	6.44051e+07
P00887	AROH_ECOLI	aroH	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive	4	4	6.93642e+06	6.88674e+06	6.61012e+06	6.35719e+06	6.89695e+06	6.50537e+06
P00888	AROF_ECOLI	aroF	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive	8	7	1.06692e+07	1.08519e+07	1.0529e+07	1.05794e+07	1.01308e+07	1.06123e+07
P00892	ILVG_ECOLI	ilvG	Acetolactate synthase isozyme 2 large subunit	1	1		803387	781645	814410	814098	778822
P00894	ILVH_ECOLI	ilvH	Acetolactate synthase isozyme 3 small subunit	3	3	989864	756288	1.13264e+06	1.12008e+06	1.06863e+06	1.05469e+06
P00914	PHR_ECOLI	phrB	Deoxyribodipyrimidine photo-lyase	5	5	1.34907e+06	1.12235e+06	1.21086e+06	1.1812e+06	1.37408e+06	1.19113e+06
P00915ups|CAH1_HUMAN_UPS	Carbonic	Carbonic		10	10		6.53988e+07		6.54265e+07	6.5959e+07	
P00918ups|CAH2_HUMAN_UPS	Carbonic	Carbonic		9	9		8.37927e+07		8.45265e+07	8.55219e+07	
P00926	SDHD_ECOLI	dsdA	D-serine dehydratase	4	4	2.29902e+06	2.35419e+06	2.45625e+06	2.37086e+06	2.33528e+06	2.53646e+06
P00934	THRC_ECOLI	thrC	Threonine synthase	14	14	1.75001e+07	1.77085e+07	1.76652e+07	1.84301e+07	1.83913e+07	1.73713e+07
P00935	METB_ECOLI	metB	Cystathionine gamma-synthase	2	2	2.52508e+06	2.53228e+06	2.2106e+06	2.87512e+06	2.5655e+06	2.09345e+06
P00936	CYAA_ECOLI	cyaA	Adenylate cyclase	2	2		3.32369e+06		3.01585e+06	3.18809e+06	3.08352e+06
P00946	MANA_ECOLI	manA	Mannose-6-phosphate isomerase	11	11	5.3123e+07	5.34549e+07	5.20041e+07	5.19007e+07	5.15094e+07	5.48317e+07
P00954	SYW_ECOLI	trpS	Tryptophan--tRNA ligase	12	12	8.43638e+07	9.96716e+07	8.6984e+07	9.85205e+07	9.36411e+07	8.50333e+07
P00956	SYI_ECOLI	ileS	Isoleucine--tRNA ligase	38	38	1.16573e+08	1.21601e+08	1.12802e+08	1.21567e+08	1.20062e+08	1.17156e+08
P00957	SYA_ECOLI	alaS	Alanine--tRNA ligase	43	43	1.23211e+08	1.26681e+08	1.21833e+08	1.25308e+08	1.2718e+08	1.22051e+08
P00959	SYM_ECOLI	metG	Methionine--tRNA ligase	32	32	6.46505e+07	6.3585e+07	6.48069e+07	6.17406e+07	6.20606e+07	6.53162e+07
P00960	SYGA_ECOLI	glyQ	Glycine--tRNA ligase alpha subunit	9	9	3.17554e+07	3.08814e+07	3.33869e+07	2.90043e+07	3.12793e+07	3.42804e+07
P00961	SYGB_ECOLI	glyS	Glycine--tRNA ligase beta subunit	40	40	8.02094e+07	8.06675e+07	7.95118e+07	7.86301e+07	8.12745e+07	8.10424e+07
P00962	SYQ_ECOLI	glnS	Glutamine--tRNA ligase	27	27	7.89888e+07	8.04027e+07	8.01809e+07	8.14988e+07	7.94919e+07	7.97274e+07
P00963	ASNA_ECOLI	asnA	Aspartate--ammonia ligase	9	9	1.0215e+08	9.82913e+07	1.03064e+08	1.04016e+08	9.81395e+07	9.88109e+07
P00968	CARB_ECOLI	carB	Carbamoyl-phosphate synthase large chain	34	34	1.93643e+07	1.89441e+07	1.89464e+07	1.94214e+07	1.97258e+07	1.94659e+07
P01008ups|ANT3_HUMAN_UPS	Antithrombin-III	Antithrombin-III		14	14		7.71366e+07		7.62502e+07	7.47489e+07	
P01112ups|RASH_HUMAN_UPS	GTPase	GTPase		8	8		5.11937e+07		4.86341e+07	5.02565e+07	
P01127ups|PDGFB_HUMAN_UPS	Platelet-derived	Platelet-derived		4	4		5.92281e+07		5.86038e+07	5.91462e+07	
P01133ups|EGF_HUMAN_UPS	Pro-Epidermal	Pro-Epidermal		1	1		1.75278e+07		1.86586e+07	2.0051e+07	
P01344ups|IGF2_HUMAN_UPS	Insulin-like	Insulin-like		1	1		3.57259e+07		3.39915e+07	3.75297e+07	
P01375ups|TNFA_HUMAN_UPS	Tumor	Tumor		7	7		5.02477e+07		5.10249e+07	4.68422e+07	
P01579ups|IFNG_HUMAN_UPS	Interferon	Interferon		7	7		6.71451e+07		6.49401e+07	6.77073e+07	
P02144ups|MYG_HUMAN_UPS	Myoglobin	Myoglobin		8	8		7.58458e+07		7.75149e+07	7.32459e+07	
P02358	RS6_ECOLI	rpsF	30S ribosomal protein S6	11	11	8.2082e+08	9.34108e+08	8.14442e+08	9.32766e+08	9.49974e+08	8.06714e+08
P02359	RS7_ECOLI	rpsG	30S ribosomal protein S7	14	14	9.70866e+08	9.86262e+08	9.65162e+08	1.00131e+09	9.60072e+08	9.16673e+08
P02413	RL15_ECOLI	rplO	50S ribosomal protein L15	12	12	8.46743e+08	7.95355e+08	8.45578e+08	8.05248e+08	8.03706e+08	8.64453e+08
P02741ups|CRP_HUMAN_UPS	C-reactive	C-reactive		5	5		1.3734e+07		1.43137e+07	1.42734e+07	
P02753ups|RETBP_HUMAN_UPS	Retinol-binding	Retinol-binding		3	3		9.34877e+06		9.23334e+06	9.27087e+06	
P02768ups|ALBU_HUMAN_UPS	Serum	Serum		21	21		1.249e+08		1.34004e+08	1.2828e+08	
P02787ups|TRFE_HUMAN_UPS	Serotransferrin	Serotransferrin		18	18		7.82374e+07		7.72801e+07	7.93847e+07	
P02788ups|TRFL_HUMAN_UPS	Lactotransferrin	Lactotransferrin		22	22		6.94599e+07		6.6876e+07	6.93679e+07	
P02918	PBPA_ECOLI	mrcA	Penicillin-binding protein 1A	9	9	3.41023e+07	3.84283e+07	3.57762e+07	3.81495e+07	3.78235e+07	3.58123e+07
P02919	PBPB_ECOLI	mrcB	Penicillin-binding protein 1B	16	16	3.55095e+07	3.76124e+07	3.86144e+07	3.62236e+07	3.75454e+07	3.77186e+07
P02925	RBSB_ECOLI	rbsB	D-ribose-binding periplasmic protein	13	13	4.15472e+07	4.20283e+07	4.12554e+07	4.23954e+07	4.2597e+07	4.13457e+07
P02930	TOLC_ECOLI	tolC	Outer membrane protein TolC	16	16	1.28828e+08	1.19428e+08	1.24766e+08	1.17971e+08	1.18777e+08	1.24492e+08
P02931	OMPF_ECOLI	ompF	Outer membrane protein F	17	16	2.0931e+08	1.9779e+08	2.14069e+08	1.91944e+08	1.98187e+08	2.06771e+08
P02932	PHOE_ECOLI	phoE	Outer membrane pore protein E	2	2	1.31021e+06	1.3324e+06	1.23355e+06	1.28498e+06	1.40587e+06	1.30148e+06
P02942	MCP1_ECOLI	tsr	Methyl-accepting chemotaxis protein I	13	13	3.76502e+07	4.08835e+07	3.98139e+07	4.00311e+07	4.1929e+07	3.93847e+07
P02943	LAMB_ECOLI	lamB	Maltoporin	9	9	8.62036e+06	8.91828e+06	8.16085e+06	9.26572e+06	9.81854e+06	9.07748e+06
P03004	DNAA_ECOLI	dnaA	Chromosomal replication initiator protein DnaA	12	12	6.41458e+06	6.75855e+06	6.90599e+06	7.07081e+06	7.12301e+06	6.83383e+06
P03007	DPO3E_ECOLI	dnaQ	DNA polymerase III subunit epsilon	5	5	1.36554e+06	1.47131e+06	1.63327e+06	1.70412e+06	1.57592e+06	1.87152e+06
P03018	UVRD_ECOLI	uvrD	DNA helicase II	10	10	9.23273e+06	8.44471e+06	9.70712e+06	9.93634e+06	9.15486e+06	9.53161e+06
P03023	LACI_ECOLI	lacI	Lactose operon repressor	3	3	1.82863e+06	2.23685e+06	2.03166e+06	2.16916e+06	2.6526e+06	1.82496e+06
P03024	GALR_ECOLI	galR	HTH-type transcriptional regulator GalR	2	2	6.94445e+06	6.45023e+06	7.44942e+06	7.09008e+06	7.19129e+06	6.35107e+06
P03813	YGEA_ECOLI	ygeA	Uncharacterized protein YgeA	2	2				721927		770322
P03817	MIOC_ECOLI	mioC	Protein MioC	1	1	3.77997e+07	3.57466e+07	3.71563e+07	3.44467e+07	3.70687e+07	3.70018e+07
P03841	MALM_ECOLI	malM	Maltose operon periplasmic protein	6	6	3.40114e+07	3.29127e+07	3.42537e+07	3.0727e+07	3.27713e+07	3.33522e+07
P04036	DAPB_ECOLI	dapB	4-hydroxy-tetrahydrodipicolinate reductase	9	9	3.37796e+07	3.34862e+07	3.29495e+07	3.2503e+07	3.3258e+07	3.33797e+07
P04040ups|CATA_HUMAN_UPS	Catalase	Catalase		18	18		2.74844e+07		2.80547e+07	2.80026e+07	
P04079	GUAA_ECOLI	guaA	GMP synthase [glutamine-hydrolyzing]	26	26	8.40423e+07	8.07213e+07	8.18005e+07	8.218e+07	8.02017e+07	8.3318e+07
P04335	FRSA_ECOLI	frsA	Esterase FrsA	14	14	1.88928e+07	1.81765e+07	1.83762e+07	1.8027e+07	1.84161e+07	1.80077e+07
P04425	GSHB_ECOLI	gshB	Glutathione synthetase	15	15	3.47283e+07	3.72071e+07	3.70004e+07	3.73073e+07	3.69943e+07	3.86572e+07
P04693	TYRB_ECOLI	tyrB	Aromatic-amino-acid aminotransferase	4	4	2.36161e+07	2.31292e+07	2.27928e+07	2.44977e+07	2.37471e+07	2.34436e+07
P04805	SYE_ECOLI	gltX	Glutamate--tRNA ligase	23	23	1.42467e+08	1.43115e+08	1.40077e+08	1.38579e+08	1.40098e+08	1.44637e+08
P04825	AMPN_ECOLI	pepN	Aminopeptidase N	27	27	7.87946e+07	7.81174e+07	7.7291e+07	7.64476e+07	7.90206e+07	8.09062e+07
P04846	NLPA_ECOLI	nlpA	Lipoprotein 28	3	3	8.69131e+06	7.97846e+06	7.91922e+06	7.87357e+06	8.30202e+06	8.60292e+06
P04949	FLIC_ECOLI	fliC	Flagellin	15	15	4.17183e+08	3.83491e+08	3.9725e+08	3.57895e+08	3.73025e+08	3.89916e+08
P04951	KDSB_ECOLI	kdsB	3-deoxy-manno-octulosonate cytidylyltransferase	6	6	3.29657e+07	3.23453e+07	3.47448e+07	3.29284e+07	3.34932e+07	3.49474e+07
P04968	ILVA_ECOLI	ilvA	L-threonine dehydratase biosynthetic IlvA	5	5	1.76237e+06	1.45575e+06	1.43642e+06	1.50025e+06	1.54639e+06	1.51099e+06
P04982	RBSD_ECOLI	rbsD	D-ribose pyranase	1	1	6.36712e+06	5.45573e+06	6.18497e+06	6.30197e+06	6.31838e+06	6.87616e+06
P04994	EX7L_ECOLI	xseA	Exodeoxyribonuclease 7 large subunit	3	3	4.02442e+06	5.62784e+06	6.10593e+06	5.63962e+06	5.68146e+06	5.55431e+06
P04995	EX1_ECOLI	sbcB	Exodeoxyribonuclease I	8	8	1.52109e+07	1.56327e+07	1.40381e+07	1.59926e+07	1.7176e+07	1.61605e+07
P05020	PYRC_ECOLI	pyrC	Dihydroorotase	11	11	2.07003e+07	2.13965e+07	2.02596e+07	2.07487e+07	2.11981e+07	2.0799e+07
P05041	PABB_ECOLI	pabB	Para-aminobenzoate synthase component 1	4	4	5.26253e+06	5.32068e+06	5.81532e+06	5.76317e+06	5.65594e+06	5.47714e+06
P05055	PNP_ECOLI	pnp	Polyribonucleotide nucleotidyltransferase	34	34	1.96614e+08	2.01293e+08	1.94123e+08	2.05064e+08	1.9714e+08	1.98065e+08
P05100	3MG1_ECOLI	tag	DNA-3-methyladenine glycosylase 1	3	3	5.0792e+06	5.67425e+06	5.91326e+06	5.4998e+06	5.44465e+06	5.50443e+06
P05194	AROD_ECOLI	aroD	3-dehydroquinate dehydratase	6	6	2.34023e+07	2.83961e+07	2.46263e+07	2.73792e+07	3.10285e+07	2.63394e+07
P05413ups|FABPH_HUMAN_UPS	Fatty	Fatty		9	9		6.92289e+07		7.11354e+07	6.76397e+07	
P05458	PTRA_ECOLI	ptrA	Protease 3	12	12	7.06249e+06	6.90741e+06	7.20359e+06	6.286e+06	7.14927e+06	6.93468e+06
P05459	PDXB_ECOLI	pdxB	Erythronate-4-phosphate dehydrogenase	15	15	3.06905e+07	3.1489e+07	3.17671e+07	3.2885e+07	3.19245e+07	3.15095e+07
P05523	FPG_ECOLI	mutM	Formamidopyrimidine-DNA glycosylase	2	2		414826	431595	513502	548662	343968
P05637	APAH_ECOLI	apaH	Bis(5'-nucleosyl)-tetraphosphatase [symmetrical]	8	8	8.33577e+06	9.61679e+06	8.82525e+06	1.03175e+07	9.58368e+06	8.98159e+06
P05706	PTHA_ECOLI	srlB	Glucitol/sorbitol-specific phosphotransferase enzyme IIA component	2	2	655921	731090		623120	655812	
P05719	T1SK_ECOLI	hsdS	Type-1 restriction enzyme EcoKI specificity protein	4	4	1.11586e+07	1.10289e+07	1.12215e+07	1.04637e+07	1.0379e+07	1.0739e+07
P05791	ILVD_ECOLI	ilvD	Dihydroxy-acid dehydratase	13	13	1.29508e+07	1.37784e+07	1.35474e+07	1.35405e+07	1.32526e+07	1.34916e+07
P05793	ILVC_ECOLI	ilvC	Ketol-acid reductoisomerase	16	16	2.08786e+07	2.12304e+07	2.11001e+07	2.08295e+07	2.08941e+07	2.1815e+07
P05825	FEPA_ECOLI	fepA	Ferrienterobactin receptor	15	15	9.87563e+06	9.31583e+06	9.81758e+06	9.65076e+06	9.65328e+06	9.92081e+06
P05852	GCP_ECOLI	gcp	Probable tRNA threonylcarbamoyladenosine biosynthesis protein Gcp	4	4	9.14211e+06	9.09941e+06	9.32797e+06	8.1349e+06	9.25405e+06	8.7185e+06
P06129	BTUB_ECOLI	btuB	Vitamin B12 transporter BtuB	24	24	5.0876e+07	5.01351e+07	4.97005e+07	5.02048e+07	4.97305e+07	4.92868e+07
P06136	FTSQ_ECOLI	ftsQ	Cell division protein FtsQ	3	3	7.40381e+07	8.44857e+07	9.42094e+07	9.59985e+07	8.62308e+07	7.60893e+07
P06149	DLD_ECOLI	dld	D-lactate dehydrogenase	20	20	2.34679e+07	2.4137e+07	2.36715e+07	2.49924e+07	2.49095e+07	2.30366e+07
P06282	CDH_ECOLI	cdh	CDP-diacylglycerol pyrophosphatase	4	4	7.07258e+06	7.84428e+06	7.90668e+06	7.9216e+06	7.75005e+06	7.82241e+06
P06396ups|GELS_HUMAN_UPS	Gelsolin	Gelsolin		18	18		3.35246e+07		3.32016e+07	3.37221e+07	
P06610	BTUE_ECOLI	btuE	Vitamin B12 transport periplasmic protein BtuE	7	7	5.51845e+07	5.77473e+07	5.61514e+07	5.86402e+07	5.75695e+07	5.52692e+07
P06611	BTUD_ECOLI	btuD	Vitamin B12 import ATP-binding protein BtuD	2	2	1.81314e+06	1.47503e+06	1.93874e+06	1.84809e+06	1.7652e+06	1.85305e+06
P06612	TOP1_ECOLI	topA	DNA topoisomerase 1	25	25	2.66441e+07	2.60052e+07	2.72814e+07	2.58432e+07	2.68333e+07	2.78262e+07
P06616	ERA_ECOLI	era	GTPase Era	8	8	9.53364e+06	7.87781e+06	1.01934e+07	7.69256e+06	7.81322e+06	1.05213e+07
P06709	BIRA_ECOLI	birA	Bifunctional protein BirA	6	6	5.83869e+06	5.3216e+06	6.02881e+06	5.72513e+06	5.41905e+06	6.44524e+06
P06710	DPO3X_ECOLI	dnaX	DNA polymerase III subunit tau	9	9	5.16164e+06	5.468e+06	5.70384e+06	5.43064e+06	5.36913e+06	5.93786e+06
P06715	GSHR_ECOLI	gor	Glutathione reductase	14	14	2.35149e+07	2.71182e+07	2.38027e+07	2.56415e+07	2.66895e+07	2.41578e+07
P06721	METC_ECOLI	metC	Cystathionine beta-lyase MetC	4	4	1.2503e+06	1.65144e+06	1.18578e+06	1.4747e+06	1.51866e+06	1.57644e+06
P06722	MUTH_ECOLI	mutH	DNA mismatch repair protein MutH	3	3	3.21878e+06	3.18094e+06	3.22825e+06	3.41631e+06	3.18367e+06	3.26604e+06
P06732ups|KCRM_HUMAN_UPS	Creatine	Creatine		16	16		4.72187e+07		4.51776e+07	4.49669e+07	
P06846	EBGR_ECOLI	ebgR	HTH-type transcriptional regulator EbgR	7	7	4.40514e+06	3.93391e+06	4.53884e+06	4.27381e+06	4.23803e+06	4.48277e+06
P06959	ODP2_ECOLI	aceF	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex	37	37	2.98772e+08	2.95404e+08	2.92229e+08	2.91868e+08	2.98453e+08	2.91648e+08
P06961	CCA_ECOLI	cca	Multifunctional CCA protein	8	8	6.74208e+06	7.09878e+06	6.44375e+06	6.73299e+06	7.01189e+06	6.4376e+06
P06968	DUT_ECOLI	dut	Deoxyuridine 5'-triphosphate nucleotidohydrolase	3	3	8.50311e+07	7.96637e+07	8.17188e+07	7.7437e+07	8.16564e+07	8.11338e+07
P06971	FHUA_ECOLI	fhuA	Ferrichrome-iron receptor	19	19	7.39853e+07	7.19565e+07	7.34133e+07	7.27036e+07	7.4785e+07	7.31104e+07
P06974	FLIM_ECOLI	fliM	Flagellar motor switch protein FliM	8	8	1.08773e+07	1.10822e+07	1.08312e+07	1.11262e+07	1.1276e+07	1.1408e+07
P06983	HEM3_ECOLI	hemC	Porphobilinogen deaminase	14	14	6.21283e+07	5.59274e+07	6.17645e+07	5.7928e+07	5.78259e+07	6.11899e+07
P06986	HIS8_ECOLI	hisC	Histidinol-phosphate aminotransferase	10	10	1.24474e+07	1.2347e+07	1.33819e+07	1.246e+07	1.28866e+07	1.26549e+07
P06987	HIS7_ECOLI	hisB	Histidine biosynthesis bifunctional protein HisB	9	9	3.36187e+06	3.86368e+06	3.43099e+06	3.90073e+06	3.85392e+06	3.61483e+06
P06988	HISX_ECOLI	hisD	Histidinol dehydrogenase	6	6	5.95564e+06	5.94593e+06	5.77681e+06	5.70359e+06	6.25329e+06	5.54561e+06
P06992	RSMA_ECOLI	rsmA	Ribosomal RNA small subunit methyltransferase A	4	4	1.4678e+08	1.45026e+08	1.41962e+08	1.4811e+08	1.47944e+08	1.45059e+08
P06993	MALT_ECOLI	malT	HTH-type transcriptional regulator MalT	4	4	2.53704e+06	3.19873e+06	3.71582e+06	3.60516e+06	4.16617e+06	
P06996	OMPC_ECOLI	ompC	Outer membrane protein C	18	15	1.38021e+09	1.24721e+09	1.34966e+09	1.20875e+09	1.24342e+09	1.35435e+09
P06999	K6PF2_ECOLI	pfkB	6-phosphofructokinase isozyme 2	6	6	5.6369e+06	5.49993e+06	5.58587e+06	5.19079e+06	5.62519e+06	5.44926e+06
P07000	PLDB_ECOLI	pldB	Lysophospholipase L2	1	1	2.38402e+06	2.55265e+06	2.37113e+06	2.53032e+06	1.94546e+06	2.63153e+06
P07001	PNTA_ECOLI	pntA	NAD(P) transhydrogenase subunit alpha	11	11	2.19843e+07	2.26013e+07	2.35862e+07	2.3124e+07	2.17222e+07	2.33577e+07
P07003	POXB_ECOLI	poxB	Pyruvate dehydrogenase [ubiquinone]	9	9	1.2142e+07	1.13589e+07	1.1007e+07	1.16558e+07	1.18855e+07	1.28342e+07
P07004	PROA_ECOLI	proA	Gamma-glutamyl phosphate reductase	15	15	3.25137e+07	3.21564e+07	3.2524e+07	3.21585e+07	3.29209e+07	3.36274e+07
P07012	RF2_ECOLI	prfB	Peptide chain release factor 2	18	18	6.34931e+07	6.56489e+07	6.04434e+07	6.27495e+07	6.28632e+07	5.9951e+07
P07014	DHSB_ECOLI	sdhB	Succinate dehydrogenase iron-sulfur subunit	10	10	2.1264e+07	2.1119e+07	2.20061e+07	2.13665e+07	2.1581e+07	2.21955e+07
P07017	MCP2_ECOLI	tar	Methyl-accepting chemotaxis protein II	15	13	5.85365e+07	6.04139e+07	5.85324e+07	6.09194e+07	6.06438e+07	5.81495e+07
P07021	YFIB_ECOLI	yfiB	Putative lipoprotein YfiB	4	4	3.36144e+06	4.17352e+06	3.58322e+06	4.48456e+06	4.50609e+06	3.62532e+06
P07023	TYRA_ECOLI	tyrA	T-protein	7	7	7.50299e+06	7.30142e+06	7.54182e+06	7.39434e+06	7.9781e+06	7.42842e+06
P07024	USHA_ECOLI	ushA	Protein UshA	13	13	2.42695e+07	2.4267e+07	2.39047e+07	2.44452e+07	2.45464e+07	2.31385e+07
P07026	SDIA_ECOLI	sdiA	Regulatory protein SdiA	2	2	5.01934e+06	5.21995e+06	5.27091e+06	5.27163e+06	5.24149e+06	5.39823e+06
P07102	PPA_ECOLI	appA	Periplasmic AppA protein	1	1		2.34297e+06				
P07117	PUTP_ECOLI	putP	Sodium/proline symporter	2	2		1.48547e+06	1.38641e+06	1.54413e+06	1.38586e+06	1.57889e+06
P07118	SYV_ECOLI	valS	Valine--tRNA ligase	49	49	1.12392e+08	1.12252e+08	1.11163e+08	1.13648e+08	1.14493e+08	1.12771e+08
P07330	CHEB_ECOLI	cheB	Chemotaxis response regulator protein-glutamate methylesterase	4	4	2.61964e+06	2.32688e+06	2.6026e+06	2.41341e+06	2.36369e+06	2.6275e+06
P07363	CHEA_ECOLI	cheA	Chemotaxis protein CheA	17	17	1.08908e+07	1.14935e+07	1.10988e+07	1.15099e+07	1.14125e+07	1.1518e+07
P07364	CHER_ECOLI	cheR	Chemotaxis protein methyltransferase	3	3		461512	523839	465631	242647	
P07395	SYFB_ECOLI	pheT	Phenylalanine--tRNA ligase beta subunit	36	36	9.38302e+07	9.0805e+07	9.26818e+07	8.887e+07	8.89106e+07	9.26421e+07
P07604	TYRR_ECOLI	tyrR	Transcriptional regulatory protein TyrR	9	9	8.01321e+06	7.86071e+06	8.66789e+06	8.39214e+06	7.7667e+06	9.26066e+06
P07639	AROB_ECOLI	aroB	3-dehydroquinate synthase	11	11	1.69142e+07	1.60062e+07	1.73371e+07	1.59472e+07	1.6594e+07	1.72662e+07
P07648	EX5C_ECOLI	recC	Exodeoxyribonuclease V gamma chain	5	5	990927	954893	1.28749e+06	1.07277e+06	1.17359e+06	1.34279e+06
P07649	TRUA_ECOLI	truA	tRNA pseudouridine synthase A	5	5	3.13281e+06	3.94205e+06	3.62405e+06	4.0003e+06	3.78407e+06	3.73057e+06
P07650	TYPH_ECOLI	deoA	Thymidine phosphorylase	24	24	3.30304e+07	3.3095e+07	3.29228e+07	3.27173e+07	3.27985e+07	3.2523e+07
P07658	FDHF_ECOLI	fdhF	Formate dehydrogenase H	13	13	4.63498e+06	4.4173e+06	4.28882e+06	4.31235e+06	4.40863e+06	4.43488e+06
P07762	GLGB_ECOLI	glgB	1,4-alpha-glucan branching enzyme GlgB	20	20	1.02164e+07	1.04446e+07	1.10605e+07	1.06743e+07	1.08738e+07	1.12084e+07
P07813	SYL_ECOLI	leuS	Leucine--tRNA ligase	31	31	9.79776e+07	1.08525e+08	9.95328e+07	1.08304e+08	1.11574e+08	1.01115e+08
P07821	FHUC_ECOLI	fhuC	Iron(3+)-hydroxamate import ATP-binding protein FhuC	1	1		2.33821e+06	2.26135e+06		2.63547e+06	2.91138e+06
P07822	FHUD_ECOLI	fhuD	Iron(3+)-hydroxamate-binding protein FhuD	2	2	1.15646e+06	1.47216e+06	1.30708e+06	1.30903e+06	1.54501e+06	1.35424e+06
P07862	DDLB_ECOLI	ddlB	D-alanine--D-alanine ligase B	11	11	3.92191e+07	3.99825e+07	4.00175e+07	3.87012e+07	3.99235e+07	4.14025e+07
