Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML
P0AFY8	SEQA_ECOLI	seqA	Negative modulator of initiation of replication	12	12	1.07406e+08	1.06247e+08	1.04817e+08	1.06801e+08	1.0669e+08	1.08765e+08
P0AFZ1	SSEB_ECOLI	sseB	Protein SseB	5	5	1.57195e+07	1.76497e+07	1.71835e+07	1.80463e+07	1.68985e+07	1.70567e+07
P0AFZ3	SSPB_ECOLI	sspB	Stringent starvation protein B	4	4	4.1811e+07	4.15741e+07	4.48745e+07	4.14134e+07	4.11337e+07	4.43216e+07
P0AG00	WZZE_ECOLI	wzzE	Lipopolysaccharide biosynthesis protein WzzE	5	5	1.50514e+07	1.50522e+07	1.51989e+07	1.39876e+07	1.47474e+07	1.57676e+07
P0AG03	UBIX_ECOLI	ubiX	3-octaprenyl-4-hydroxybenzoate carboxy-lyase	4	4	1.08923e+06		1.02908e+06	695832	937594	1.1245e+06
P0AG07	RPE_ECOLI	rpe	Ribulose-phosphate 3-epimerase	7	7	6.13926e+07	6.93372e+07	6.24396e+07	7.04982e+07	7.26444e+07	6.71175e+07
P0AG14	SOHB_ECOLI	sohB	Probable protease SohB	4	4	1.32987e+07	1.34364e+07	1.31388e+07	1.32862e+07	1.36088e+07	1.39772e+07
P0AG16	PUR1_ECOLI	purF	Amidophosphoribosyltransferase	11	11	3.25731e+06	3.43982e+06	3.32257e+06	3.31231e+06	3.5098e+06	3.23466e+06
P0AG18	PURE_ECOLI	purE	N5-carboxyaminoimidazole ribonucleotide mutase	3	3	8.80188e+06	8.81977e+06	8.42245e+06	9.22032e+06	9.5118e+06	8.48035e+06
P0AG20	RELA_ECOLI	relA	GTP pyrophosphokinase	15	15	1.00077e+08	9.61353e+07	1.05802e+08	1.01782e+08	1.04175e+08	1.03834e+08
P0AG24	SPOT_ECOLI	spoT	Bifunctional (p)ppGpp synthase/hydrolase SpoT	10	10	6.80878e+06	6.53323e+06	6.34734e+06	6.44782e+06	6.02147e+06	6.51556e+06
P0AG27	YIBN_ECOLI	yibN	Uncharacterized protein YibN	5	5	1.14421e+08	1.11215e+08	1.13872e+08	1.13056e+08	1.1043e+08	1.15605e+08
P0AG30	RHO_ECOLI	rho	Transcription termination factor Rho	29	29	1.36004e+08	1.32542e+08	1.33031e+08	1.31189e+08	1.3123e+08	1.36636e+08
P0AG40	RIBF_ECOLI	ribF	Riboflavin biosynthesis protein RibF	6	6	1.00169e+07	9.5664e+06	9.94355e+06	1.02119e+07	1.02139e+07	1.02812e+07
P0AG44	RL17_ECOLI	rplQ	50S ribosomal protein L17	6	6	1.21745e+09	1.31416e+09	1.14743e+09	1.26032e+09	1.30885e+09	1.17707e+09
P0AG48	RL21_ECOLI	rplU	50S ribosomal protein L21	9	9	6.22363e+08	6.70812e+08	6.24094e+08	6.74161e+08	6.76646e+08	6.40016e+08
P0AG51	RL30_ECOLI	rpmD	50S ribosomal protein L30	6	6	3.94219e+08	4.24147e+08	4.22188e+08	4.34251e+08	4.3122e+08	3.90725e+08
P0AG55	RL6_ECOLI	rplF	50S ribosomal protein L6	11	11	1.24786e+09	1.26284e+09	1.26589e+09	1.2948e+09	1.21147e+09	1.25609e+09
P0AG59	RS14_ECOLI	rpsN	30S ribosomal protein S14	8	8	8.28248e+08	7.82995e+08	7.89572e+08	8.51766e+08	8.61571e+08	8.20516e+08
P0AG63	RS17_ECOLI	rpsQ	30S ribosomal protein S17	3	3	1.02747e+09	1.02857e+09	1.04818e+09	1.05458e+09	1.08545e+09	1.04035e+09
