Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML
P0A890	P0A890		tusA		2.32695e+06	2.31672e+06	2.30139e+06	2.35369e+06	2.27133e+06	1.96588e+06
P0A894	P0A894		yhbJ		1.55413e+06	1.53304e+06	1.59368e+06	1.52357e+06	1.6474e+06	1.64378e+06
P0A898	P0A898		ybeY		3.65658e+06	3.63571e+06	4.14895e+06	3.68647e+06	3.88108e+06	3.92016e+06
P0A8A0	P0A8A0		yebC		2.9601e+06	2.94374e+06	2.74229e+06	2.82397e+06	2.6967e+06	2.81891e+06
P0A8A2	P0A8A2		yeeN		1.03434e+07	1.03218e+07	9.25588e+06	1.03782e+07	9.89089e+06	9.18694e+06
P0A8A4	P0A8A4		ppsR		2.10112e+06	2.06948e+06	1.99487e+06	2.16079e+06	2.01783e+06	2.07378e+06
P0A8A8	P0A8A8		rimP		1.12106e+07	1.12917e+07	1.04743e+07	9.56057e+06	1.06249e+07	1.09304e+07
P0A8B2	P0A8B2		yfcN		1.64085e+06	1.617e+06	1.49669e+06	1.57052e+06	1.54508e+06	1.38843e+06
P0A8B5	P0A8B5		ybaB		1.06621e+06	1.92049e+06	2.0285e+06	2.10533e+06	2.02424e+06	2.13965e+06
P0A8C1	P0A8C1		ybjQ		1.43368e+06	1.34177e+06	1.86764e+06	1.77374e+06	1.39161e+06	1.41685e+06
P0A8C4	P0A8C4		ygfB		3.58029e+06	3.59292e+06	3.60945e+06	3.54792e+06	3.54644e+06	3.75033e+06
P0A8D0	P0A8D0		nrdR		1.38394e+06	1.39792e+06	1.47818e+06	1.44795e+06	1.36015e+06	1.36543e+06
P0A8D3	P0A8D3		yaiI		2.69702e+06	2.64596e+06	2.68103e+06	2.75834e+06	2.65851e+06	2.66701e+06
P0A8D6	P0A8D6		ymdB		3.68181e+06	3.47544e+06	3.44612e+06	3.35802e+06	3.46076e+06	3.09314e+06
P0A8E1	P0A8E1		ycfP		1.20295e+07	1.19354e+07	1.18171e+07	1.15404e+07	1.1378e+07	1.17327e+07
P0A8E7	P0A8E7		yajQ		2.14396e+07	2.19127e+07	2.29302e+07	2.11875e+07	2.29536e+07	2.263e+07
P0A8F0	P0A8F0		upp		3.33376e+07	3.32568e+07	3.24361e+07	3.34142e+07	3.19788e+07	3.17026e+07
P0A8F4	P0A8F4		udk		7.45878e+06	7.67401e+06	6.63538e+06	7.51396e+06	6.85808e+06	7.32624e+06
P0A8F8	P0A8F8		uvrB		2.05466e+06	2.08329e+06	2.10846e+06	2.14849e+06	2.02713e+06	1.89025e+06
P0A8G0	P0A8G0		uvrC		635635	639878	605756	604155	568202	594767
P0A8G3	P0A8G3		uxaC		2.24302e+06	2.29133e+06	2.26408e+06	2.18673e+06	2.19085e+06	2.38017e+06
P0A8G6	P0A8G6		wrbA		8.77764e+06	8.86379e+06	9.10874e+06	8.84831e+06	9.37596e+06	9.06678e+06
P0A8G9	P0A8G9		xseB		9.02926e+06	9.3873e+06	9.73311e+06	9.06956e+06	9.99451e+06	8.89954e+06
P0A8H8	P0A8H8		yacG		2.20605e+06	2.21842e+06	2.16722e+06	2.26093e+06	2.15727e+06	2.03925e+06
P0A8I1	P0A8I1		yqgF		1.6483e+06	1.62743e+06	1.65602e+06	1.57791e+06	1.65735e+06	1.65014e+06
P0A8I3	P0A8I3		yaaA		3.97621e+06	4.00937e+06	4.36546e+06	3.94089e+06	4.33899e+06	4.47762e+06
P0A8I5	P0A8I5		trmB		6.45509e+06	6.39199e+06	6.75802e+06	6.2717e+06	6.92634e+06	7.12102e+06
P0A8I8	P0A8I8		rlmH		2.75204e+06	2.6429e+06	2.75234e+06	2.7081e+06	2.68079e+06	2.72263e+06
P0A8J2	P0A8J2		dnaT		1.05552e+06	1.08419e+06	1.2635e+06	1.01317e+06	1.27547e+06	1.21424e+06
P0A8J4	P0A8J4		ybeD		1.26694e+07	1.29315e+07	1.47159e+07	1.2847e+07	1.39621e+07	1.39464e+07
P0A8J8	P0A8J8		rhlB		5.03265e+06	5.01838e+06	4.92047e+06	4.88523e+06	4.91737e+06	4.98383e+06
P0A8K1	P0A8K1		psd		4.31423e+06	4.61999e+06	4.38654e+06	4.27721e+06	4.72819e+06	4.1782e+06
P0A8K5	P0A8K5		yaeP		2.2882e+06	2.17081e+06	2.27613e+06	2.39842e+06	2.22028e+06	2.27861e+06
P0A8L1	P0A8L1		serS		2.67193e+07	2.6264e+07	2.49173e+07	2.61508e+07	2.55001e+07	2.49044e+07
P0A8L5	P0A8L5		ycgN		1.1651e+06	1.23436e+06	1.20723e+06	1.1409e+06	1.25446e+06	1.28236e+06
P0A8L7	P0A8L7		yciU		2.6335e+06	2.96572e+06	2.86206e+06	1.93149e+06	2.76916e+06	2.75386e+06
P0A8M0	P0A8M0		asnS		2.80811e+07	2.82242e+07	2.71444e+07	2.78041e+07	2.73907e+07	2.77365e+07
P0A8M3	P0A8M3		thrS		1.57737e+07	1.59379e+07	1.58912e+07	1.60492e+07	1.57917e+07	1.55504e+07
P0A8M6	P0A8M6		yeeX		1.00093e+07	1.0547e+07	1.00351e+07	8.87084e+06	1.02795e+07	9.91698e+06
P0A8N0	P0A8N0		matP		5.53833e+06	5.24025e+06	4.05142e+06	5.03351e+06	3.51994e+06	4.0128e+06
P0A8N3	P0A8N3		lysS		4.18958e+07	4.17743e+07	4.11747e+07	4.16729e+07	4.08972e+07	4.04141e+07
P0A8N5	P0A8N5		lysU		2.02232e+07	2.05912e+07	2.04901e+07	2.06968e+07	2.08885e+07	2.13004e+07
P0A8N7	P0A8N7		epmA		3.08021e+06	3.23293e+06	3.4413e+06	3.12916e+06	3.27852e+06	3.24383e+06
P0A8P3	P0A8P3		yggX		2.70845e+07	2.73176e+07	2.65895e+07	2.76318e+07	2.7754e+07	2.74676e+07
P0A8Q0	P0A8Q0		frdC		2.80523e+06	2.83256e+06	2.56334e+06	2.90658e+06	2.78264e+06	2.87102e+06
P0A8Q6	P0A8Q6		clpS		1.4989e+06	1.67156e+06	1.61546e+06	1.6219e+06	1.48346e+06	1.65529e+06
P0A8R0	P0A8R0		rraA		2.00718e+07	1.95691e+07	2.12574e+07	2.04274e+07	2.1597e+07	2.0253e+07
P0A8R9	P0A8R9		hdfR		1.16944e+06	1.10854e+06	1.20957e+06	1.11843e+06	1.22159e+06	1.18184e+06
P0A8S1	P0A8S1		iciA		2.69284e+06	2.83356e+06	2.77945e+06	2.75012e+06	2.88555e+06	2.86924e+06
P0A8T1	P0A8T1		prmA		7.90131e+06	7.62298e+06	7.93218e+06	8.14483e+06	7.99227e+06	7.95886e+06
P0A8T7	P0A8T7		rpoC		5.11332e+07	5.1203e+07	5.20747e+07	5.14321e+07	5.21204e+07	5.1806e+07
P0A8U0	P0A8U0		syd		527984	727797	920707	740845	889333	768367
P0A8U6	P0A8U6		metJ		8.98072e+06	8.70055e+06	8.76107e+06	8.94467e+06	8.53322e+06	8.43443e+06
P0A8V0	P0A8V0		rbn		395337	440358		463524	377892	
P0A8V2	P0A8V2		rpoB		7.23435e+07	7.29837e+07	7.2279e+07	7.18328e+07	7.20859e+07	7.13845e+07
P0A8V6	P0A8V6		fadR		6.69592e+06	7.03156e+06	6.84654e+06	6.69644e+06	7.05531e+06	6.80399e+06
P0A8W0	P0A8W0		nanR		2.80232e+06	3.02854e+06	2.72137e+06	2.70581e+06	2.63728e+06	2.5999e+06
P0A8W2	P0A8W2		slyA		9.66598e+06	9.6859e+06	1.0097e+07	1.04941e+07	9.83827e+06	9.311e+06
P0A8W5	P0A8W5		yqgE		2.77039e+06	2.8549e+06	2.87147e+06	2.77613e+06	2.8174e+06	2.79862e+06
P0A8W8	P0A8W8		yfbU		1.83187e+07	1.82471e+07	1.77414e+07	1.84983e+07	1.74742e+07	1.7419e+07
P0A8X0	P0A8X0		yjgA		6.59978e+06	6.57269e+06	6.47413e+06	6.65324e+06	6.46317e+06	6.50404e+06
P0A8X2	P0A8X2		yceI		1.14362e+06	1.09481e+06	1.21607e+06	1.11785e+06	1.23573e+06	1.20449e+06
P0A8Y1	P0A8Y1		yjjG		1.84051e+06	1.79385e+06	1.91297e+06	1.8016e+06	1.91899e+06	1.91533e+06
P0A8Y3	P0A8Y3		yihX		2.93001e+06	2.78947e+06	2.51642e+06	2.90527e+06	2.65266e+06	2.71415e+06
P0A8Y5	P0A8Y5		yidA		4.0313e+06	4.32938e+06	4.41496e+06	4.10017e+06	4.28072e+06	4.41805e+06
P0A8Z0	P0A8Z0		yciA		2.16888e+06	2.11001e+06	2.2498e+06	2.10105e+06	2.25257e+06	2.21263e+06
P0A8Z3	P0A8Z3		ybgC		1.22804e+06	1.45249e+06	1.22545e+06	1.59739e+06	1.14733e+06	877144
P0A8Z7	P0A8Z7		yqiA		292052	249206	431355	296880	469073	450263
P0A901	P0A901		blc		977591	960779	931890	924684	1.05032e+06	982567
P0A903	P0A903		bamC		2.53427e+07	2.53744e+07	2.56665e+07	2.54234e+07	2.58984e+07	2.51949e+07
P0A905	P0A905		slyB		3.37724e+07	3.24625e+07	3.12941e+07	3.20455e+07	3.09238e+07	3.1879e+07
P0A908	P0A908		mipA		2.54324e+06	2.5085e+06	2.37736e+06	2.59565e+06	2.39893e+06	2.30718e+06
P0A910	P0A910		ompA		6.29371e+08	6.33073e+08	6.23568e+08	6.27165e+08	6.38555e+08	6.22765e+08
P0A912	P0A912		pal		3.72582e+07	3.6601e+07	3.95859e+07	3.62751e+07	3.98971e+07	4.07823e+07
P0A915	P0A915		ompW		1.6404e+07	1.57522e+07	1.4286e+07	1.67974e+07	1.48233e+07	1.40821e+07
P0A917	P0A917		ompX		1.97867e+07	1.97338e+07	1.96694e+07	1.90682e+07	1.93407e+07	1.9289e+07
P0A921	P0A921		pldA		2.03367e+06	2.00911e+06	1.88563e+06	1.90354e+06	2.0191e+06	1.8047e+06
P0A927	P0A927		tsx		9.98014e+06	9.77686e+06	9.91151e+06	9.92486e+06	9.88561e+06	9.57656e+06
P0A932	P0A932		gfcE		1.15556e+07	1.16056e+07	1.15361e+07	1.14122e+07	1.17532e+07	1.16139e+07
P0A935	P0A935		mltA		6.00783e+06	6.35432e+06	6.01725e+06	5.77059e+06	6.05908e+06	5.89764e+06
P0A937	P0A937		bamE		6.67266e+06	6.77572e+06	7.05051e+06	6.63805e+06	7.24741e+06	7.31621e+06
P0A940	P0A940		bamA		1.4527e+07	1.47084e+07	1.51324e+07	1.45359e+07	1.50687e+07	1.48487e+07
P0A944	P0A944		rimI		761820	748677	569903	665978	522555	555616
P0A948	P0A948		rimJ		368363	395949	357785	386796	320764	346444
P0A951	P0A951		speG		1.11386e+06	1.264e+06	1.2343e+06	1.23555e+06	1.02857e+06	1.12688e+06
P0A953	P0A953		fabB		2.72968e+07	2.70361e+07	2.66278e+07	2.77446e+07	2.67885e+07	2.6885e+07
P0A955	P0A955		eda		2.99958e+07	3.0866e+07	3.08898e+07	3.13187e+07	3.20729e+07	3.13657e+07
P0A959	P0A959		alaA		1.99677e+06	1.98602e+06	2.02373e+06	1.98577e+06	2.05594e+06	2.02699e+06
P0A962	P0A962		ansA		1.92862e+06	1.84841e+06	2.00129e+06	1.80064e+06	1.96097e+06	1.96056e+06
P0A964	P0A964		cheW		1.71378e+07	1.67771e+07	1.73856e+07	1.6249e+07	1.71667e+07	1.67341e+07
P0A968	P0A968		cspD		2.20323e+06	2.35612e+06	2.48708e+06	2.387e+06	2.54255e+06	2.49774e+06
P0A972	P0A972		cspE		1.13864e+08	1.1543e+08	1.37917e+08	1.17041e+08	1.36373e+08	1.34449e+08
P0A978	P0A978		cspG		4.20538e+06	4.20423e+06	4.16774e+06	4.60152e+06	4.06655e+06	3.89955e+06
P0A988	P0A988		dnaN		4.6234e+06	4.59562e+06	4.61886e+06	4.60576e+06	4.54996e+06	4.75382e+06
P0A991	P0A991		fbaB		8.80727e+06	8.93567e+06	8.98539e+06	8.82183e+06	9.06982e+06	8.96761e+06
P0A993	P0A993		fbp		1.96267e+07	2.00943e+07	2.01856e+07	1.96426e+07	1.99424e+07	1.98347e+07
P0A996	P0A996		glpC		1.75135e+06	1.75481e+06	1.78944e+06	1.85511e+06	1.7611e+06	1.76124e+06
P0A998	P0A998		ftnA		3.36977e+07	3.39463e+07	3.37998e+07	3.38447e+07	3.32745e+07	3.10198e+07
P0A9A2	P0A9A2		ftnB		993691	1.03868e+06	999713	990331	1.09836e+06	1.04024e+06
P0A9A6	P0A9A6		ftsZ		1.48437e+07	1.4782e+07	1.45576e+07	1.47283e+07	1.44551e+07	1.46086e+07
P0A9A9	P0A9A9		fur		1.91327e+07	1.87972e+07	1.85227e+07	1.89204e+07	1.80553e+07	1.8717e+07
P0A9B2	P0A9B2		gapA		3.67678e+08	3.67238e+08	3.7534e+08	3.57792e+08	3.7896e+08	3.58854e+08
P0A9B6	P0A9B6		epd		2.12578e+06	2.02801e+06	2.11748e+06	2.02489e+06	2.15279e+06	2.03202e+06
P0A9C0	P0A9C0		glpA		2.2422e+06	2.22316e+06	2.26061e+06	2.23524e+06	2.27588e+06	2.24041e+06
P0A9C3	P0A9C3		galM		6.00955e+06	5.98332e+06	6.30718e+06	5.86139e+06	6.3575e+06	6.06595e+06
P0A9C5	P0A9C5		glnA		4.21952e+07	4.36487e+07	4.3944e+07	4.31719e+07	4.3866e+07	4.37467e+07
P0A9C9	P0A9C9		glpX		9.91511e+06	1.00855e+07	1.01958e+07	1.00476e+07	1.03089e+07	1.05115e+07
P0A9D2	P0A9D2		gstA		8.12783e+06	8.17919e+06	7.16951e+06	8.02151e+06	7.36213e+06	7.02768e+06
P0A9D4	P0A9D4		cysE		3.38523e+06	3.50452e+06	3.35081e+06	3.2922e+06	3.50468e+06	3.14253e+06
P0A9D8	P0A9D8		dapD		3.6719e+07	3.69892e+07	3.61576e+07	3.69117e+07	3.542e+07	3.58911e+07
P0A9E5	P0A9E5		fnr		7.26507e+06	7.58982e+06	7.72481e+06	7.27368e+06	7.80463e+06	7.87725e+06
P0A9F1	P0A9F1		mntR		1.43681e+06	1.31056e+06	1.31837e+06	1.33703e+06	1.34418e+06	1.29583e+06
P0A9F3	P0A9F3		cysB		4.0929e+06	4.12894e+06	4.17727e+06	4.17735e+06	4.07779e+06	4.12449e+06
P0A9F6	P0A9F6		gcvA		590612	604665	380759	510561	425127	445247
P0A9G2	P0A9G2		nhaR		1.27469e+06	1.22426e+06	1.28495e+06	1.26145e+06	1.22244e+06	1.2998e+06
P0A9G4	P0A9G4		cueR		205079	480626	335662	578798	347851	258134
P0A9G6	P0A9G6		aceA		6.41015e+06	6.36186e+06	6.37883e+06	5.93767e+06	6.47662e+06	6.23061e+06
P0A9G8	P0A9G8		modE		3.34545e+06	3.36017e+06	3.35134e+06	3.26571e+06	3.19649e+06	3.32988e+06
P0A9H1	P0A9H1		mug		3.39468e+06	3.2198e+06	3.34704e+06	3.23069e+06	3.31083e+06	3.31417e+06
P0A9H5	P0A9H5		btuR		998309	967395	1.02005e+06	949440	996972	902617
P0A9H7	P0A9H7		cfa		3.41588e+06	3.40697e+06	3.50272e+06	3.43393e+06	3.56433e+06	3.60235e+06
P0A9H9	P0A9H9		cheZ		2.1556e+06	2.22794e+06	2.40541e+06	2.21426e+06	2.34653e+06	2.23437e+06
P0A9I1	P0A9I1		citE		6.53739e+06	6.8246e+06	6.84622e+06	6.62092e+06	6.66283e+06	6.6743e+06
P0A9I3	P0A9I3		gcvR		2.54804e+06	2.59359e+06	2.76953e+06	2.59491e+06	2.69799e+06	2.53755e+06
P0A9I8	P0A9I8		nirD		2.97907e+06	3.18694e+06	3.03771e+06	3.00393e+06	3.02164e+06	3.20938e+06
P0A9J0	P0A9J0		rng		4.81441e+06	4.84929e+06	4.95661e+06	4.78698e+06	4.89601e+06	4.69294e+06
P0A9J4	P0A9J4		panE		2.82555e+06	3.05983e+06	3.00005e+06	2.8326e+06	2.74239e+06	2.7936e+06
P0A9J6	P0A9J6		rbsK		3.95742e+06	3.80143e+06	3.60248e+06	3.72638e+06	3.57342e+06	3.39664e+06
P0A9J8	P0A9J8		pheA		2.07441e+06	1.98911e+06	1.97742e+06	2.05578e+06	2.017e+06	1.98939e+06
P0A9K3	P0A9K3		ybeZ		5.34299e+06	5.44257e+06	5.27857e+06	5.35493e+06	5.2881e+06	5.272e+06
P0A9K7	P0A9K7		phoU		4.16825e+06	4.20261e+06	4.23861e+06	4.1904e+06	4.01566e+06	4.21133e+06
P0A9K9	P0A9K9		slyD		7.0853e+07	6.98351e+07	7.4345e+07	6.5544e+07	7.41431e+07	7.14501e+07
