Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)				2.59483e+06	2.63033e+06	1.14174e+07	1.15909e+07	1.10783e+07	2.60474e+06
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)				4.60888e+06	4.58226e+06	2.07946e+07	2.00342e+07	2.19225e+07	4.47666e+06
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)				4.21071e+06	4.0993e+06	1.77026e+07	1.74754e+07	1.72837e+07	4.05612e+06
P00350	P00350		gnd		3.78455e+07	3.78717e+07	3.75363e+07	3.7261e+07	3.76187e+07	3.70037e+07
P00363	P00363		frdA		4.75075e+07	4.72974e+07	4.45617e+07	4.46047e+07	4.44435e+07	4.42394e+07
P00370	P00370		gdhA		1.98486e+06	1.86753e+06	1.97955e+06	1.96373e+06	1.89416e+06	1.98215e+06
P00393	P00393		ndh		5.77136e+06	5.8625e+06	5.57322e+06	5.64861e+06	5.76472e+06	5.44141e+06
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)				1.3864e+06	1.45424e+06	5.74967e+06	5.63383e+06	5.71241e+06	1.31864e+06
P00448	P00448		sodA		3.5222e+06	3.69643e+06	3.47049e+06	3.53902e+06	3.38952e+06	3.72315e+06
P00452	P00452		nrdA		1.02085e+07	1.01971e+07	1.01044e+07	9.80508e+06	1.01345e+07	9.82235e+06
P00490	P00490		malP		5.4055e+06	5.41435e+06	5.3355e+06	5.19631e+06	5.1638e+06	4.82885e+06
P00509	P00509		aspC		1.90362e+07	1.92219e+07	1.86349e+07	1.83857e+07	1.90889e+07	1.88818e+07
P00547	P00547		thrB		953221	871587	742282	730796	754632	818336
P00550	P00550		mtlA		1.34411e+06	1.34216e+06	1.13294e+06	1.26039e+06	1.2836e+06	1.28498e+06
P00561	P00561		thrA		2.51625e+06	2.43476e+06	2.43864e+06	2.41204e+06	2.33632e+06	2.52187e+06
P00562	P00562		metL		3.18155e+06	3.34813e+06	3.45975e+06	3.51506e+06	3.41307e+06	3.32362e+06
P00579	P00579		rpoD		8.58579e+06	8.58253e+06	8.36373e+06	8.35815e+06	8.45882e+06	7.97698e+06
P00582	P00582		polA		6.30101e+06	6.18137e+06	5.95567e+06	6.22154e+06	5.99061e+06	5.75269e+06
P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)	P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)				1.93436e+06	2.25823e+06	8.89662e+06	8.65752e+06	8.55346e+06	2.06283e+06
P00803	P00803		lepB		4.85003e+06	5.0502e+06	4.80137e+06	4.79333e+06	4.75995e+06	5.28356e+06
P00805	P00805		ansB		2.20845e+07	2.16303e+07	2.12093e+07	2.13128e+07	2.12051e+07	1.99176e+07
P00811	P00811		ampC		1.24351e+06	1.35112e+06	1.41216e+06	1.23803e+06	1.14494e+06	1.40746e+06
P00861	P00861		lysA		178018	253350	245668	258774		207367
P00864	P00864		ppc		1.12629e+07	1.13282e+07	1.11323e+07	1.08732e+07	1.11959e+07	1.07574e+07
P00887	P00887		aroH		2.5067e+06	2.61839e+06	2.78899e+06	3.00093e+06	2.77265e+06	2.61199e+06
P00888	P00888		aroF		1.93016e+06	1.87979e+06	1.92737e+06	1.89772e+06	1.90597e+06	1.85444e+06
P00892	P00892		ilvG		934449	978699	722781	908496	552410	
P00909	P00909		trpC		631226		917975	896293	856897	
P00914	P00914		phrB		944975	952520	957349	1.03216e+06	814771	1.01108e+06
P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)	P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)				4.43871e+06	4.36968e+06	1.73824e+07	1.7646e+07	1.71292e+07	4.35011e+06
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)				5.88107e+06	6.03235e+06	2.39695e+07	2.38188e+07	2.42657e+07	5.40683e+06
P00926	P00926		dsdA		1.09217e+06	1.1999e+06	1.27167e+06	1.15761e+06	1.25292e+06	1.0378e+06
P00934	P00934		thrC		4.46078e+06	4.41398e+06	4.53923e+06	4.20599e+06	4.26663e+06	4.14303e+06
P00935	P00935		metB		1.50063e+06	1.44207e+06	1.27982e+06	1.66019e+06	1.14622e+06	1.49501e+06
P00936	P00936		cyaA		991902	973259	826301	867653	944381	916415
P00946	P00946		manA		1.12096e+07	1.14193e+07	1.12554e+07	1.11352e+07	1.09904e+07	1.11066e+07
P00954	P00954		trpS		1.28576e+07	1.26218e+07	1.30414e+07	1.25238e+07	1.20752e+07	1.1872e+07
P00956	P00956		ileS		2.63585e+07	2.60344e+07	2.6179e+07	2.60386e+07	2.54556e+07	2.41054e+07
P00957	P00957		alaS		1.58222e+07	1.60713e+07	1.57493e+07	1.54538e+07	1.5634e+07	1.46762e+07
P00959	P00959		metG		1.82759e+07	1.83399e+07	1.86117e+07	1.8129e+07	1.80095e+07	1.69152e+07
P00960	P00960		glyQ		4.80758e+06	4.76337e+06	4.2357e+06	4.64484e+06	4.58316e+06	4.80153e+06
P00961	P00961		glyS		1.38859e+07	1.38226e+07	1.34873e+07	1.34145e+07	1.3646e+07	1.25572e+07
P00962	P00962		glnS		1.06605e+07	1.05733e+07	1.05655e+07	1.04193e+07	1.0085e+07	9.6144e+06
P00963	P00963		asnA		2.39739e+07	2.34276e+07	2.42821e+07	2.40866e+07	2.34094e+07	2.29699e+07
P00968	P00968		carB		4.07994e+06	4.1268e+06	4.0217e+06	4.01908e+06	4.08113e+06	3.97402e+06
P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)	P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)				4.57413e+06	4.57609e+06	1.69695e+07	1.78646e+07	1.7573e+07	4.58258e+06
P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)	P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)				5.65499e+06	5.36316e+06	2.45634e+07	2.42616e+07	2.36218e+07	5.17921e+06
P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)	P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)				4.3442e+06	4.11733e+06	1.6209e+07	1.65384e+07	1.64629e+07	3.74651e+06
P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)				5.56405e+06	5.54611e+06	2.4455e+07	2.42582e+07	2.43496e+07	5.9588e+06
P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)	P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)				3.38801e+06	3.3267e+06	1.49977e+07	1.56582e+07	1.45439e+07	3.72702e+06
P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)				5.73054e+06	5.60988e+06	2.8145e+07	2.93287e+07	2.8327e+07	6.8367e+06
P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)	P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)				2.41155e+06	1.99216e+06	8.4311e+06	8.2998e+06	8.48034e+06	2.03176e+06
P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)	P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)				6.06681e+06	5.67727e+06	2.67011e+07	2.67267e+07	2.69817e+07	5.23721e+06
P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)	P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)				4.24561e+06	4.7368e+06	2.0692e+07	2.07892e+07	2.07091e+07	4.41069e+06
P02358	P02358		rpsF		1.08329e+08	1.04136e+08	1.05012e+08	1.06329e+08	1.06191e+08	8.26967e+07
P02359	P02359		rpsG		1.36389e+08	1.37355e+08	1.38813e+08	1.36013e+08	1.3285e+08	1.33815e+08
P02413	P02413		rplO		1.21615e+08	1.2245e+08	1.21196e+08	1.16266e+08	1.17777e+08	1.13194e+08
P02741ups|CRP_HUMAN_UPS C-reactive protein (Chain 19-224) - Homo sapiens (Human)	P02741ups|CRP_HUMAN_UPS C-reactive protein (Chain 19-224) - Homo sapiens (Human)				431986	451020	2.07976e+06	2.06382e+06	2.16325e+06	388830
P02753ups|RETBP_HUMAN_UPS Retinol-binding protein 4 (Chain 19-201) - Homo sapiens (Human)	P02753ups|RETBP_HUMAN_UPS Retinol-binding protein 4 (Chain 19-201) - Homo sapiens (Human)				1.30032e+06	1.33405e+06	4.38957e+06	4.51013e+06	4.448e+06	1.10618e+06
P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)				8.56538e+06	8.53694e+06	3.914e+07	3.97898e+07	4.02619e+07	8.09402e+06
P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)				7.19957e+06	6.96265e+06	2.92337e+07	2.95352e+07	2.89737e+07	6.86972e+06
P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)				5.71562e+06	5.89116e+06	2.5723e+07	2.59424e+07	2.61703e+07	5.83129e+06
P02918	P02918		mrcA		1.02951e+06	908425	919893	934891	999921	1.04222e+06
P02919	P02919		mrcB		1.6767e+06	1.64751e+06	1.82051e+06	1.75788e+06	1.71508e+06	1.58219e+06
P02925	P02925		rbsB		8.77413e+06	8.96722e+06	9.16019e+06	9.21132e+06	9.1276e+06	8.85682e+06
P02930	P02930		tolC		2.17529e+07	2.19201e+07	2.21336e+07	2.19233e+07	2.14739e+07	2.24255e+07
P02931	P02931		ompF		3.88221e+07	3.9818e+07	3.5033e+07	3.48924e+07	3.84711e+07	4.16332e+07
P02932	P02932		phoE		1.48391e+06	1.54073e+06	1.24248e+06	1.35853e+06	1.47637e+06	1.11143e+06
P02942	P02942		tsr		8.75475e+06	8.70136e+06	8.5044e+06	8.51236e+06	8.55221e+06	7.81e+06
P02943	P02943		lamB		1.39633e+06	1.46783e+06	1.31392e+06	1.34982e+06	1.23852e+06	1.32286e+06
P03004	P03004		dnaA		1.96052e+06	2.17764e+06	2.15846e+06	2.16248e+06	2.06224e+06	2.10671e+06
P03007	P03007		dnaQ		993381	1.07301e+06	982047	850451	1.02115e+06	863954
P03018	P03018		uvrD		3.84949e+06	3.94309e+06	3.88905e+06	3.96736e+06	3.87349e+06	4.16837e+06
P03024	P03024		galR		1.45313e+06	1.48166e+06	1.55423e+06	1.39342e+06	1.57294e+06	1.50702e+06
P03817	P03817		mioC		7.74384e+06	7.61579e+06	8.1288e+06	7.64839e+06	8.26069e+06	7.37773e+06
P03841	P03841		malM		9.4685e+06	9.71097e+06	9.73988e+06	9.79906e+06	9.6226e+06	9.84467e+06
P04036	P04036		dapB		1.13182e+07	1.09183e+07	1.0356e+07	1.04533e+07	1.02558e+07	9.77519e+06
P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)	P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)				2.7345e+06	2.67318e+06	1.02963e+07	1.00926e+07	1.02415e+07	2.64975e+06
P04079	P04079		guaA		1.87827e+07	1.89542e+07	1.75211e+07	1.77956e+07	1.74685e+07	1.77129e+07
P04335	P04335		frsA		4.49691e+06	4.48925e+06	4.27521e+06	4.04775e+06	4.34334e+06	4.17776e+06
P04425	P04425		gshB		1.02339e+07	1.03772e+07	9.89173e+06	1.0023e+07	1.01147e+07	1.03213e+07
P04693	P04693		tyrB		4.0076e+06	3.92549e+06	3.97928e+06	4.01562e+06	3.95088e+06	4.32272e+06
P04805	P04805		gltX		2.37528e+07	2.40103e+07	2.4301e+07	2.38812e+07	2.41168e+07	2.38642e+07
P04825	P04825		pepN		1.59788e+07	1.58259e+07	1.57695e+07	1.59445e+07	1.63585e+07	1.40648e+07
P04846	P04846		nlpA		3.07625e+06	2.88034e+06	3.28447e+06	3.31055e+06	3.417e+06	3.22147e+06
P04949	P04949		fliC		3.7898e+07	3.7982e+07	3.56082e+07	3.46347e+07	3.35743e+07	3.61892e+07
P04951	P04951		kdsB		5.75446e+06	5.4214e+06	5.61677e+06	5.54302e+06	5.7433e+06	5.76966e+06
P04982	P04982		rbsD		1.06745e+06	1.07983e+06	1.08608e+06	992308	1.06702e+06	976813
P04994	P04994		xseA		1.53044e+06	1.43798e+06	1.18603e+06	1.28514e+06	917956	1.65058e+06
P04995	P04995		sbcB		1.08664e+07	1.04973e+07	1.03798e+07	1.03083e+07	1.02276e+07	1.05892e+07
P05020	P05020		pyrC		6.34896e+06	6.46896e+06	6.31677e+06	6.23802e+06	6.35064e+06	6.07484e+06
P05041	P05041		pabB		1.74037e+06	1.7656e+06	1.83626e+06	1.80464e+06	1.71801e+06	1.92613e+06
P05055	P05055		pnp		4.42692e+07	4.46544e+07	4.54988e+07	4.42643e+07	4.47478e+07	4.25288e+07
P05100	P05100		tag		1.52781e+06	1.48043e+06	1.69014e+06	1.86197e+06	1.45668e+06	1.56169e+06
P05194	P05194		aroD		1.15292e+06	1.1779e+06	1.23769e+06	1.24022e+06	1.26289e+06	1.32217e+06
P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)	P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)				7.17759e+06	7.41831e+06	3.42789e+07	3.41085e+07	3.35101e+07	6.86795e+06
P05458	P05458		ptrA		1.56146e+06	1.55963e+06	1.43724e+06	1.50459e+06	1.46933e+06	1.59374e+06
P05459	P05459		pdxB		5.46861e+06	5.49918e+06	5.43146e+06	5.30639e+06	5.56873e+06	5.28521e+06
P05523	P05523		mutM		361805	229151	393065	559563	541227	293637
P05637	P05637		apaH		2.59356e+06	2.60287e+06	2.39289e+06	2.32932e+06	2.23611e+06	2.40494e+06
P05719	P05719		hsdS		1.51625e+06	1.59738e+06	1.46708e+06	1.92317e+06	1.75977e+06	1.73585e+06
P05791	P05791		ilvD		3.26051e+06	3.33626e+06	3.34927e+06	3.26068e+06	3.28704e+06	3.08012e+06
P05793	P05793		ilvC		5.37737e+06	5.32017e+06	4.88602e+06	4.8908e+06	4.98676e+06	5.02448e+06
P05825	P05825		fepA		3.43966e+06	3.50762e+06	3.45428e+06	3.52921e+06	3.32499e+06	3.27219e+06
P05852	P05852		gcp		2.52115e+06	2.69984e+06	2.67524e+06	2.73854e+06	2.72183e+06	2.80259e+06
P06129	P06129		btuB		1.54212e+07	1.50094e+07	1.47656e+07	1.45773e+07	1.38329e+07	1.39077e+07
P06136	P06136		ftsQ		1.20772e+06	1.35996e+06	1.32017e+06	1.29825e+06	1.40833e+06	1.37847e+06
P06149	P06149		dld		7.42679e+06	7.17957e+06	7.43308e+06	7.31902e+06	7.279e+06	6.32821e+06
P06282	P06282		cdh		3.76584e+06	3.92763e+06	3.61907e+06	3.71206e+06	3.39563e+06	3.80606e+06
P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human)	P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human)				4.50658e+06	4.53054e+06	1.56617e+07	1.56792e+07	1.57629e+07	4.46102e+06
P06610	P06610		btuE		9.05189e+06	8.57414e+06	9.30817e+06	9.20879e+06	8.55582e+06	7.77541e+06
P06612	P06612		topA		4.52963e+06	4.51363e+06	4.33122e+06	4.36043e+06	4.31767e+06	4.77174e+06
P06616	P06616		era		3.62828e+06	3.68053e+06	3.33967e+06	3.43598e+06	3.50786e+06	3.72748e+06
P06709	P06709		birA		946420	945392	864199	919273	836327	914381
P06710	P06710		dnaX		1.19148e+06	1.25134e+06	1.11319e+06	1.10095e+06	1.15994e+06	1.25934e+06
P06715	P06715		gor		5.33438e+06	5.2917e+06	5.05967e+06	5.07128e+06	5.12359e+06	4.76853e+06
P06721	P06721		metC		701588	667767	511556	738931	635906	762367
P06722	P06722		mutH		1.06069e+06	983455	955629	957168	1.22922e+06	1.06288e+06
