Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)					1.42974e+06	1.60782e+06	1.45214e+06		365680
P00350	P00350		gnd		3.58937e+07	3.61269e+07	3.61692e+07	3.58852e+07	3.61718e+07	3.58925e+07
P00363	P00363		frdA		4.36712e+07	4.40388e+07	4.47282e+07	4.41649e+07	4.35539e+07	4.36563e+07
P00370	P00370		gdhA		2.27796e+06	2.3274e+06	2.26003e+06	2.26486e+06	2.33537e+06	2.26226e+06
P00393	P00393		ndh		5.46223e+06	5.55538e+06	5.43993e+06	5.62517e+06	5.60776e+06	5.43044e+06
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)				465201	728560	779945	835737	453900	285524
P00448	P00448		sodA		3.9058e+06	4.0591e+06	3.74372e+06	3.91456e+06	4.02718e+06	3.85425e+06
P00452	P00452		nrdA		9.81654e+06	9.87417e+06	9.75994e+06	9.77891e+06	9.81222e+06	9.89528e+06
P00490	P00490		malP		5.7832e+06	5.81595e+06	5.71778e+06	5.82395e+06	5.90737e+06	5.8572e+06
P00509	P00509		aspC		1.85528e+07	1.87599e+07	1.87742e+07	1.86431e+07	1.86815e+07	1.86742e+07
P00547	P00547		thrB		1.99897e+06	2.02732e+06	1.98964e+06	1.94484e+06	2.0904e+06	1.95224e+06
P00550	P00550		mtlA		1.9052e+06	1.9957e+06	1.93999e+06	1.9881e+06	2.01394e+06	1.98989e+06
P00561	P00561		thrA		3.08436e+06	3.17917e+06	3.28965e+06	3.22249e+06	3.14657e+06	3.27133e+06
P00562	P00562		metL		2.78966e+06	2.759e+06	2.8973e+06	2.78662e+06	2.77955e+06	2.84861e+06
P00579	P00579		rpoD		8.37189e+06	8.35864e+06	8.28606e+06	8.15489e+06	8.5286e+06	8.50542e+06
P00582	P00582		polA		3.40989e+06	3.30394e+06	3.36469e+06	3.33219e+06	3.35995e+06	3.27995e+06
P00803	P00803		lepB		4.16769e+06	4.30559e+06	4.07326e+06	3.8512e+06	4.06009e+06	4.13756e+06
P00805	P00805		ansB		2.03441e+07	2.01168e+07	1.99472e+07	2.01892e+07	2.04363e+07	1.99756e+07
P00811	P00811		ampC		2.25435e+06	2.12034e+06	2.17497e+06	2.15603e+06	2.22254e+06	2.04466e+06
P00864	P00864		ppc		1.14785e+07	1.17416e+07	1.16031e+07	1.16351e+07	1.14454e+07	1.16485e+07
P00887	P00887		aroH		1.60416e+06	1.40397e+06	1.59535e+06	1.52876e+06	1.50716e+06	1.48823e+06
