Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)				1.3574e+06	1.37927e+06	1.39469e+06	1.19518e+07	1.20737e+07	1.17059e+07
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)				2.52522e+06	2.43448e+06	2.39935e+06	2.06809e+07	2.019e+07	2.06354e+07
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)				2.78949e+06	2.82897e+06	2.62963e+06	1.80262e+07	1.79637e+07	1.78159e+07
P00350	P00350		gnd		4.00587e+07	3.96345e+07	3.94171e+07	3.97542e+07	3.92978e+07	3.84569e+07
P00363	P00363		frdA		4.3378e+07	4.30719e+07	4.26869e+07	4.20101e+07	4.11964e+07	4.07086e+07
P00370	P00370		gdhA		1.87608e+06	1.92779e+06	1.8531e+06	1.95543e+06	1.93452e+06	1.86984e+06
P00393	P00393		ndh		5.35334e+06	5.56629e+06	5.32895e+06	5.31553e+06	5.42967e+06	5.48163e+06
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)				1.56421e+06	1.46106e+06	1.38361e+06	9.60317e+06	9.55214e+06	9.82124e+06
P00448	P00448		sodA		4.10998e+06	4.17056e+06	4.04574e+06	4.06673e+06	4.15521e+06	3.95537e+06
P00452	P00452		nrdA		9.79479e+06	9.83796e+06	9.81579e+06	9.95097e+06	9.68766e+06	9.79599e+06
