Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)				1.33909e+06	1.33606e+06		1.309e+06		
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)				2.5119e+06	2.38276e+06		2.2621e+06	567619	
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)				2.83185e+06	2.56858e+06		2.86471e+06		
P00350	P00350		gnd		3.34599e+07	3.37112e+07	3.35495e+07	3.37426e+07	3.39126e+07	3.37423e+07
P00363	P00363		frdA		4.66925e+07	4.62924e+07	4.5391e+07	4.64724e+07	4.54649e+07	4.64595e+07
P00370	P00370		gdhA		1.93631e+06	1.95728e+06	2.0221e+06	1.88458e+06	2.03166e+06	2.13868e+06
P00393	P00393		ndh		5.38355e+06	5.36695e+06	5.52523e+06	5.3021e+06	5.55046e+06	5.37749e+06
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)				1.20482e+06	1.29557e+06	1.41306e+06	1.29397e+06	1.19792e+06	1.26594e+06
P00448	P00448		sodA		3.29391e+06	3.27844e+06	3.39708e+06	3.32256e+06	3.45997e+06	3.42678e+06
P00452	P00452		nrdA		9.42108e+06	9.49946e+06	9.62432e+06	9.45987e+06	9.70853e+06	9.64508e+06
P00490	P00490		malP		5.91835e+06	5.86763e+06	5.81279e+06	5.89087e+06	5.64809e+06	5.71108e+06
P00509	P00509		aspC		1.88666e+07	1.87232e+07	1.83073e+07	1.84456e+07	1.869e+07	1.81602e+07
P00547	P00547		thrB		859896	820148	835976	836328	880974	847282
P00550	P00550		mtlA		1.33128e+06	1.3151e+06	1.32695e+06	1.40508e+06	1.38725e+06	1.2642e+06
P00561	P00561		thrA		2.56009e+06	2.53604e+06	2.5955e+06	2.59756e+06	2.71334e+06	2.54528e+06
P00562	P00562		metL		2.92479e+06	2.8327e+06	2.87127e+06	3.01778e+06	2.82517e+06	2.89532e+06
P00579	P00579		rpoD		8.74306e+06	8.4357e+06	8.25765e+06	8.36215e+06	8.07914e+06	8.37341e+06
P00582	P00582		polA		3.48616e+06	3.49323e+06	3.47131e+06	3.46375e+06	3.51601e+06	3.42324e+06
P00803	P00803		lepB		4.79637e+06	4.68889e+06	4.63186e+06	4.56651e+06	4.98072e+06	4.46364e+06
P00805	P00805		ansB		2.09745e+07	2.16738e+07	2.12458e+07	2.12724e+07	2.11238e+07	2.09596e+07
P00811	P00811		ampC		1.29007e+06	1.32186e+06	1.33966e+06	1.42738e+06	1.35205e+06	1.29822e+06
P00861	P00861		lysA		128501	145591	169962	214056	239570	254320
P00864	P00864		ppc		1.14072e+07	1.12496e+07	1.11874e+07	1.1137e+07	1.10324e+07	1.09702e+07
P00887	P00887		aroH		2.83243e+06	2.9527e+06	2.55076e+06	2.80395e+06	2.81535e+06	2.5476e+06
P00888	P00888		aroF		2.04865e+06	2.01301e+06	2.10146e+06	2.01356e+06	2.05754e+06	2.00291e+06
P00892	P00892		ilvG		561297	489398	531724	462870	503585	475629
P00914	P00914		phrB		1.08775e+06	1.00164e+06	1.02439e+06	941359	963586	886564
P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)	P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)				6.28409e+06	6.12572e+06	6.21084e+06	6.32678e+06	2.87772e+06	5.98057e+06
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)				2.95736e+06	2.99803e+06		2.86348e+06		
P00926	P00926		dsdA		1.32992e+06	1.29657e+06	1.39097e+06	1.33432e+06	1.40934e+06	1.35222e+06
P00934	P00934		thrC		4.71555e+06	4.66069e+06	4.60367e+06	4.55658e+06	4.48063e+06	4.37762e+06
P00935	P00935		metB		1.09884e+06	991587	1.18803e+06	1.04416e+06	1.15756e+06	1.01749e+06
P00946	P00946		manA		1.09396e+07	1.12138e+07	1.12632e+07	1.09784e+07	1.11816e+07	1.12872e+07
P00954	P00954		trpS		1.50513e+07	1.47971e+07	1.38965e+07	1.42164e+07	1.37429e+07	1.36748e+07
P00956	P00956		ileS		2.54712e+07	2.61889e+07	2.46216e+07	2.57119e+07	2.47491e+07	2.44405e+07
P00957	P00957		alaS		1.53463e+07	1.5381e+07	1.4292e+07	1.51475e+07	1.43096e+07	1.41066e+07
P00959	P00959		metG		1.85272e+07	1.90691e+07	1.84406e+07	1.8352e+07	1.85063e+07	1.83753e+07
P00960	P00960		glyQ		5.0561e+06	5.06448e+06	5.09508e+06	5.10856e+06	5.17139e+06	4.93426e+06
P00961	P00961		glyS		1.35634e+07	1.35558e+07	1.35302e+07	1.36655e+07	1.38075e+07	1.35902e+07
P00962	P00962		glnS		1.07889e+07	1.07705e+07	1.01647e+07	1.074e+07	1.03494e+07	1.02398e+07
P00963	P00963		asnA		2.2854e+07	2.21648e+07	2.17694e+07	2.29238e+07	2.07042e+07	2.09977e+07
P00968	P00968		carB		5.84997e+06	5.93474e+06	5.73646e+06	5.82581e+06	5.84107e+06	5.83003e+06
P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)	P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)				1.61817e+06	1.63259e+06	895753	1.54542e+06	822175	675222
P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)	P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)				2.68671e+06	2.74559e+06		2.50087e+06		
P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)	P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)				3.78242e+06	3.81644e+06		3.83883e+06		722937
P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)				2.3217e+06	2.36324e+06	1.98601e+06	2.37521e+06		
P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)	P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)				1.00779e+06	1.01564e+06		994716		
P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)				4.09967e+06	4.06465e+06		4.00837e+06		
P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)	P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)				1.61499e+06	1.6967e+06	768266	1.77547e+06		601750
P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)	P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)				2.88885e+06	2.88417e+06		2.88732e+06		
P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)	P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)				2.64821e+06	2.75463e+06		2.62162e+06		
P02358	P02358		rpsF		1.4186e+08	1.40778e+08	1.23062e+08	1.38529e+08	1.18564e+08	1.15229e+08
P02359	P02359		rpsG		1.58407e+08	1.55338e+08	1.49126e+08	1.56019e+08	1.496e+08	1.49496e+08
P02413	P02413		rplO		1.45661e+08	1.46244e+08	1.43211e+08	1.44596e+08	1.43084e+08	1.43008e+08
P02753ups|RETBP_HUMAN_UPS Retinol-binding protein 4 (Chain 19-201) - Homo sapiens (Human)	P02753ups|RETBP_HUMAN_UPS Retinol-binding protein 4 (Chain 19-201) - Homo sapiens (Human)				697899	793475		916998		
P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)				3.25491e+06	3.20155e+06	2.92823e+06	3.27637e+06		
P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)				2.52874e+06	2.5412e+06	2.48137e+06	2.55395e+06	2.56633e+06	2.56133e+06
P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)				2.26384e+06	2.44868e+06	1.59443e+06	2.23778e+06	2.49181e+06	1.79731e+06
P02918	P02918		mrcA		1.41263e+06	1.38129e+06	1.32974e+06	1.38852e+06	1.38219e+06	1.38767e+06
P02919	P02919		mrcB		1.70619e+06	1.53401e+06	1.6221e+06	1.57259e+06	1.65398e+06	1.69484e+06
P02925	P02925		rbsB		9.32537e+06	9.2526e+06	9.08851e+06	9.39982e+06	9.14024e+06	9.06976e+06
P02930	P02930		tolC		2.50853e+07	2.49271e+07	2.39886e+07	2.40796e+07	2.47813e+07	2.39492e+07
P02931	P02931		ompF		3.77197e+07	3.7086e+07	3.83957e+07	3.86823e+07	3.8735e+07	3.75225e+07
P02942	P02942		tsr		6.01343e+06	6.01492e+06	5.35254e+06	5.99479e+06	5.65387e+06	5.65627e+06
P02943	P02943		lamB		1.43543e+06	1.45562e+06	1.41903e+06	1.52368e+06	1.40985e+06	1.52016e+06
P03004	P03004		dnaA		2.35739e+06	2.29242e+06	2.35039e+06	2.33817e+06	2.27753e+06	2.46064e+06
P03007	P03007		dnaQ		553396	617981	603293	568988	577985	662987
P03018	P03018		uvrD		3.63102e+06	3.53645e+06	3.74814e+06	3.61405e+06	3.86102e+06	3.65884e+06
P03023	P03023		lacI		855690	825520	548724	634327	624569	571108
P03024	P03024		galR		1.49847e+06	1.45815e+06	1.46531e+06	1.18514e+06	1.3894e+06	1.19641e+06
P03817	P03817		mioC		4.19612e+06	4.36949e+06	4.39338e+06	4.6359e+06	3.96084e+06	4.4446e+06
P03841	P03841		malM		9.51253e+06	9.75352e+06	9.77736e+06	9.75988e+06	1.0356e+07	1.02317e+07
P04036	P04036		dapB		5.61193e+06	5.49217e+06	5.10327e+06	5.52137e+06	4.96044e+06	5.19417e+06
P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)	P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)				891838	950759	791437	991741	650634	728572
P04079	P04079		guaA		1.97636e+07	1.95465e+07	1.99352e+07	2.01006e+07	1.99482e+07	2.01077e+07
P04128	P04128		fimA		605708	602566	582207	555480	627194	456104
P04335	P04335		frsA		4.47402e+06	4.58741e+06	4.54033e+06	4.43775e+06	4.29293e+06	4.29592e+06
P04425	P04425		gshB		7.76482e+06	7.59466e+06	7.82409e+06	7.59991e+06	7.81462e+06	7.47168e+06
P04693	P04693		tyrB		3.83159e+06	3.87632e+06	3.81679e+06	3.6349e+06	3.9129e+06	3.73657e+06
P04805	P04805		gltX		2.14255e+07	2.12654e+07	2.07576e+07	2.15778e+07	2.08238e+07	2.09706e+07
P04825	P04825		pepN		1.65436e+07	1.64755e+07	1.62264e+07	1.69822e+07	1.66795e+07	1.67888e+07
P04846	P04846		nlpA		3.46175e+06	3.41954e+06	3.12037e+06	3.04106e+06	3.51753e+06	3.32245e+06
P04949	P04949		fliC		3.80718e+07	3.80617e+07	3.68089e+07	3.76573e+07	3.76715e+07	3.61606e+07
P04951	P04951		kdsB		4.14606e+06	4.04817e+06	4.00548e+06	4.12433e+06	3.8789e+06	4.15695e+06
P04982	P04982		rbsD		1.36529e+06	1.222e+06	1.19413e+06	1.40586e+06	1.28995e+06	1.19287e+06
P04994	P04994		xseA		840815	850133	867271	739187	762968	764033
P04995	P04995		sbcB		1.27055e+07	1.27e+07	1.26653e+07	1.28748e+07	1.29991e+07	1.31111e+07
P05020	P05020		pyrC		6.18161e+06	6.16384e+06	5.93485e+06	6.21231e+06	5.80806e+06	6.16484e+06
P05041	P05041		pabB		1.6804e+06	1.80708e+06	1.72691e+06	1.74354e+06	1.57227e+06	1.59612e+06
P05055	P05055		pnp		4.36913e+07	4.32644e+07	4.11747e+07	4.3184e+07	4.10839e+07	4.14671e+07
P05100	P05100		tag		2.21507e+06	1.87579e+06	1.84747e+06	2.22293e+06	1.86393e+06	1.86383e+06
P05194	P05194		aroD		1.02309e+06	1.05745e+06	1.00182e+06	1.00992e+06	942463	970237
P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)	P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)				3.99681e+06	4.02569e+06		4.02651e+06		
P05458	P05458		ptrA		1.03342e+06	1.04516e+06	1.10751e+06	1.02447e+06	1.07782e+06	1.13759e+06
P05459	P05459		pdxB		5.9334e+06	5.95001e+06	5.86047e+06	5.98312e+06	5.93021e+06	5.76956e+06
P05637	P05637		apaH		1.63691e+06	1.72957e+06	1.52076e+06	1.63061e+06	1.45884e+06	1.49619e+06
P05706	P05706		srlB		692287	844213	717009	813406	756811	599035
P05719	P05719		hsdS		1.563e+06	1.419e+06	1.56041e+06	1.48898e+06	1.54287e+06	1.49257e+06
P05791	P05791		ilvD		3.1028e+06	3.1942e+06	3.07102e+06	3.09608e+06	3.01615e+06	3.07412e+06
P05793	P05793		ilvC		5.68645e+06	5.76013e+06	5.44554e+06	5.55696e+06	5.7176e+06	5.59708e+06
