Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML
P0ABF6	CDD_ECOLI	cdd	Cytidine deaminase	7	7	5.09917e+07	4.99054e+07	5.00446e+07	4.95053e+07	5.00233e+07	5.28199e+07
P0ABG4	FTSW_ECOLI	ftsW	Lipid II flippase FtsW	1	1	628064	739288	577760	719071	592671	537839
P0ABH0	FTSA_ECOLI	ftsA	Cell division protein FtsA	10	10	1.23954e+07	1.22686e+07	1.22291e+07	1.29599e+07	1.28133e+07	1.2796e+07
P0ABH7	CISY_ECOLI	gltA	Citrate synthase	15	15	4.16376e+07	4.08101e+07	4.23728e+07	4.05412e+07	4.15668e+07	4.29106e+07
P0ABH9	CLPA_ECOLI	clpA	ATP-dependent Clp protease ATP-binding subunit ClpA	28	28	3.53631e+07	3.68226e+07	3.45422e+07	3.46568e+07	3.4838e+07	3.49562e+07
P0ABI4	CORA_ECOLI	corA	Magnesium transport protein CorA	4	4	1.45211e+07	1.5005e+07	1.47539e+07	1.37783e+07	1.37721e+07	1.4316e+07
P0ABI8	CYOB_ECOLI	cyoB	Ubiquinol oxidase subunit 1	2	2	8.11753e+06	9.16274e+06	8.92206e+06	1.05647e+07	1.03932e+07	9.64909e+06
P0ABJ1	CYOA_ECOLI	cyoA	Ubiquinol oxidase subunit 2	3	3	2.37396e+07	2.49978e+07	2.22344e+07	2.45732e+07	2.4298e+07	2.48303e+07
P0ABJ9	CYDA_ECOLI	cydA	Cytochrome d ubiquinol oxidase subunit 1	12	12	1.79974e+08	2.15519e+08	1.78677e+08	1.75417e+08	1.79263e+08	1.76467e+08
P0ABK2	CYDB_ECOLI	cydB	Cytochrome d ubiquinol oxidase subunit 2	2	2	2.59186e+07	2.75847e+07	2.44713e+07	2.33954e+07	2.51412e+07	2.55285e+07
