Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML
P0AF26	P0AF26		narJ		594503	709180	597838	564428	532291	842543
P0AF28	P0AF28		narL		7.59011e+06	7.56018e+06	7.51924e+06	7.73173e+06	7.55861e+06	7.30052e+06
P0AF36	P0AF36		zapB		7.49335e+06	5.81543e+06	7.51683e+06	5.60132e+06	7.52809e+06	6.29823e+06
P0AF48	P0AF48		yjbQ		888004	888256	1.07939e+06	1.12545e+06	976534	1.10153e+06
P0AF50	P0AF50		yjbR		8.10567e+06	7.32327e+06	7.99247e+06	6.51971e+06	7.58061e+06	7.32287e+06
P0AF61	P0AF61		yjdK		1.98896e+06	1.09728e+06	1.72919e+06	1.46175e+06	1.36966e+06	1.63427e+06
P0AF63	P0AF63		nsrR		1.44727e+06	1.45751e+06	1.50979e+06	1.42286e+06	1.48207e+06	1.41607e+06
P0AF67	P0AF67		yjeE		3.898e+06	3.70801e+06	3.96191e+06	3.61863e+06	3.67444e+06	3.65793e+06
P0AF70	P0AF70		yjeI		1.00314e+07	1.03547e+07	9.89709e+06	9.49603e+06	1.04243e+07	1.0022e+07
P0AF90	P0AF90		rraB		7.21622e+06	7.00376e+06	6.79547e+06	7.81674e+06	6.78773e+06	7.65472e+06
P0AF93	P0AF93		ridA		1.48771e+08	1.1243e+08	1.42657e+08	1.15667e+08	1.34093e+08	1.21078e+08
P0AF96	P0AF96		tabA		2.71817e+06	2.61521e+06	2.54298e+06	2.61335e+06	2.61196e+06	2.57649e+06
P0AF98	P0AF98		lptF		1.18662e+06	1.59161e+06	1.27954e+06	1.61221e+06	1.21777e+06	1.62657e+06
P0AFB1	P0AFB1		nlpI		1.61828e+06	1.433e+06	1.62195e+06	1.45928e+06	1.54864e+06	1.58581e+06
P0AFB8	P0AFB8		glnG		1.36609e+07	1.30227e+07	1.33704e+07	1.34237e+07	1.38957e+07	1.25137e+07
P0AFC3	P0AFC3		nuoA		1.90271e+06	1.98593e+06	1.96316e+06	2.00661e+06	1.86761e+06	2.31283e+06
P0AFC7	P0AFC7		nuoB		6.80631e+06	7.1497e+06	6.5685e+06	7.08396e+06	6.82952e+06	6.31338e+06
P0AFD1	P0AFD1		nuoE		5.97953e+06	6.1889e+06	5.9928e+06	5.89285e+06	5.90661e+06	5.9322e+06
P0AFD4	P0AFD4		nuoH		2.52322e+06	2.52432e+06	2.4178e+06	2.51165e+06	2.55842e+06	2.43801e+06
P0AFD6	P0AFD6		nuoI		8.07778e+06	7.83535e+06	8.57999e+06	7.86608e+06	8.13309e+06	7.82503e+06
P0AFF2	P0AFF2		nupC		478703	527266	383238	488776	437063	485453
