Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML
P0AG93	P0AG93		secF		1.41933e+06	1.48646e+06	1.45172e+06	1.37463e+06	1.34161e+06	1.22374e+06
P0AG96	P0AG96		secE		1.29402e+06	1.25781e+06	1.23272e+06	1.22495e+06	1.27188e+06	1.2276e+06
P0AG99	P0AG99		secG		9.16289e+06	9.45583e+06	9.12927e+06	9.03696e+06	9.13863e+06	8.9083e+06
P0AGA2	P0AGA2		secY		4.48339e+06	4.66845e+06	4.57464e+06	4.69419e+06	4.5625e+06	4.87774e+06
P0AGB0	P0AGB0		serB		2.37333e+06	2.37992e+06	2.44037e+06	2.47084e+06	2.17539e+06	2.41566e+06
P0AGB6	P0AGB6		rpoE		4.02117e+06	3.87711e+06	3.96914e+06	4.07574e+06	3.9673e+06	4.30714e+06
P0AGC3	P0AGC3		slt		1.33945e+06	1.3458e+06	1.36464e+06	1.36011e+06	1.36617e+06	1.50638e+06
P0AGC7	P0AGC7		smp		625524	685306	599258	615023	629841	653304
P0AGD1	P0AGD1		sodC		555505	529601	617878	474240	521930	212821
P0AGD3	P0AGD3		sodB		7.81266e+07	8.30601e+07	8.22108e+07	7.88257e+07	7.84402e+07	8.20916e+07
P0AGD7	P0AGD7		ffh		5.26452e+06	5.1252e+06	5.11904e+06	5.23515e+06	5.2187e+06	5.2162e+06
P0AGE0	P0AGE0		ssb		3.79057e+07	3.51523e+07	3.48364e+07	3.69528e+07	3.69065e+07	3.36526e+07
P0AGE6	P0AGE6		yieF		8.4242e+06	7.61728e+06	7.87914e+06	8.1734e+06	8.28954e+06	6.74236e+06
P0AGE9	P0AGE9		sucD		6.70977e+06	7.10587e+06	7.06255e+06	7.09371e+06	6.82068e+06	6.40902e+06
P0AGF2	P0AGF2		ygdK		2.78475e+06	2.93511e+06	3.05231e+06	2.87382e+06	2.69731e+06	2.94744e+06
P0AGG0	P0AGG0		thiL		3.65973e+06	3.35185e+06	3.11641e+06	3.71687e+06	3.43305e+06	2.88765e+06
P0AGG2	P0AGG2		tesB		1.22151e+06	1.26194e+06	1.27698e+06	1.33602e+06	1.21184e+06	1.20356e+06
P0AGG4	P0AGG4		trxC		8.40379e+06	7.46235e+06	7.87378e+06	7.27939e+06	7.99604e+06	7.78509e+06
P0AGG8	P0AGG8		tldD		3.29626e+06	3.27051e+06	3.33343e+06	3.29105e+06	3.33864e+06	3.15539e+06
P0AGI8	P0AGI8		trkA		1.70888e+06	1.50041e+06	1.45111e+06	1.66064e+06	1.68829e+06	1.32266e+06
P0AGJ2	P0AGJ2		trmH		1.50194e+06	1.71496e+06	1.54556e+06	1.46103e+06	1.57275e+06	1.44527e+06
P0AGJ5	P0AGJ5		yfiF		1.33019e+07	1.27157e+07	1.27418e+07	1.28013e+07	1.3094e+07	1.25199e+07
P0AGJ7	P0AGJ7		trmL		3.03708e+06	3.13532e+06	3.16554e+06	3.21032e+06	3.05235e+06	3.3837e+06
P0AGJ9	P0AGJ9		tyrS		1.20061e+07	1.21494e+07	1.2261e+07	1.2118e+07	1.17105e+07	1.0462e+07
P0AGK4	P0AGK4		yhbY		1.64537e+07	1.6308e+07	1.6865e+07	1.65941e+07	1.66772e+07	1.58878e+07
P0AGK8	P0AGK8		iscR		2.54534e+06	2.18374e+06	2.09531e+06	2.49904e+06	2.33924e+06	2.06414e+06
P0AGL2	P0AGL2		tdcF		1.22906e+06	1.20618e+06	1.21618e+06	1.13674e+06	1.18274e+06	873602
P0AGL5	P0AGL5		ratA		827032	841591	784198	745123	814597	840527
P0AGL7	P0AGL7		rsmE		3.03123e+06	2.91625e+06	3.00413e+06	3.21866e+06	3.06332e+06	2.92337e+06
P0AGM5	P0AGM5		sirB1		408073	484118	424730	427444	407114	542034
P0C018	P0C018		rplR		3.75584e+07	3.53185e+07	3.83238e+07	3.79199e+07	3.65856e+07	3.56516e+07
P0C037	P0C037		yaiE		8.66575e+06	8.59429e+06	8.79614e+06	7.69724e+06	8.41885e+06	7.62573e+06
P0C054	P0C054		ibpA		4.58206e+06	4.79117e+06	4.79569e+06	4.68945e+06	4.82332e+06	4.71429e+06
P0C058	P0C058		ibpB		1.13986e+06	961171	919696	1.04156e+06	939439	1.138e+06
P0C093	P0C093		slmA		3.89648e+06	3.5645e+06	3.50746e+06	3.62523e+06	3.81554e+06	4.04131e+06
P0C0K3	P0C0K3		rdoA		2.1888e+06	2.24646e+06	2.25608e+06	2.15557e+06	2.18309e+06	2.01721e+06
P0C0L2	P0C0L2		osmC		6.88407e+06	7.03828e+06	6.98404e+06	6.94218e+06	6.6716e+06	6.41818e+06
P0C0L7	P0C0L7		proP		2.88088e+06	2.91494e+06	2.90203e+06	2.78885e+06	2.81875e+06	2.87064e+06
P0C0L9	P0C0L9		iscX		1.74133e+06	1.58378e+06	1.59435e+06	1.6915e+06	1.6982e+06	1.54941e+06
P0C0R7	P0C0R7		rlmE		3.25199e+06	3.17346e+06	3.09284e+06	3.13012e+06	3.16432e+06	3.4068e+06
P0C0S1	P0C0S1		mscS		9.15287e+06	9.32053e+06	9.33282e+06	8.72822e+06	9.32521e+06	9.17115e+06
P0C0T5	P0C0T5		mepA		4.3499e+06	3.46948e+06	3.72961e+06	4.31256e+06	4.59034e+06	3.79097e+06
