Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)				3.05212e+06	3.04404e+06	557977	401860	469041	2.99299e+06
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)				5.20417e+06	5.14791e+06	489220	689947	739966	4.9224e+06
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)				3.93992e+06	3.97099e+06	844196	891537	830966	3.8369e+06
P00350	P00350		gnd		3.68956e+07	3.64997e+07	3.55764e+07	3.60198e+07	3.61352e+07	3.65042e+07
P00363	P00363		frdA		3.19901e+07	3.17233e+07	3.17933e+07	3.15251e+07	3.19555e+07	3.09131e+07
P00370	P00370		gdhA		2.10649e+06	1.97105e+06	2.04064e+06	2.03112e+06	2.07142e+06	2.03508e+06
P00393	P00393		ndh		6.32673e+06	6.21881e+06	6.10778e+06	6.1811e+06	6.03724e+06	6.04453e+06
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)				1.99718e+06	2.02584e+06	421018	325345	358792	1.4233e+06
P00448	P00448		sodA		3.76463e+06	3.83881e+06	3.80717e+06	3.6083e+06	3.66314e+06	3.83154e+06
P00452	P00452		nrdA		1.00698e+07	1.00205e+07	9.94904e+06	9.91339e+06	9.83403e+06	9.78433e+06
P00490	P00490		malP		4.60581e+06	4.71186e+06	4.6453e+06	4.57008e+06	4.57964e+06	4.52113e+06
P00509	P00509		aspC		1.96414e+07	1.95651e+07	1.95728e+07	1.94753e+07	1.93003e+07	1.83424e+07
P00547	P00547		thrB		965370	953515	986154	916626	941463	701612
P00550	P00550		mtlA		1.82694e+06	1.91024e+06	1.88431e+06	1.8127e+06	1.82602e+06	1.57298e+06
P00561	P00561		thrA		2.58462e+06	2.5624e+06	2.57708e+06	2.6753e+06	2.69991e+06	2.71796e+06
P00562	P00562		metL		2.95694e+06	3.0088e+06	2.9699e+06	3.0077e+06	2.97205e+06	3.12136e+06
P00579	P00579		rpoD		8.42943e+06	8.60276e+06	8.60732e+06	8.48547e+06	8.68401e+06	8.19928e+06
P00582	P00582		polA		7.22563e+06	7.09202e+06	7.00371e+06	7.16546e+06	6.99574e+06	6.93553e+06
P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)	P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)				1.28107e+06	1.21727e+06	126440	413427	449858	965050
P00803	P00803		lepB		4.4625e+06	4.3346e+06	4.45409e+06	4.3158e+06	4.48751e+06	4.17586e+06
P00805	P00805		ansB		2.11736e+07	2.1251e+07	2.198e+07	2.20683e+07	2.22118e+07	1.88366e+07
P00811	P00811		ampC		907587	934289	985153	891163	918012	720486
P00864	P00864		ppc		3.23655e+07	3.20603e+07	3.18466e+07	3.17879e+07	3.17959e+07	3.02601e+07
P00887	P00887		aroH		1.58428e+06	1.47639e+06	1.41036e+06	1.5519e+06	1.46579e+06	1.53931e+06
P00888	P00888		aroF		1.99422e+06	1.94903e+06	1.89976e+06	1.9903e+06	1.97122e+06	1.76399e+06
P00914	P00914		phrB		1.04164e+06	1.12919e+06	1.09117e+06	1.09756e+06	962605	973245
P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)	P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)				1.68757e+07	1.69946e+07	3.33241e+06	2.824e+06	3.00783e+06	1.24943e+07
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)				6.99314e+06	7.40196e+06	840670	867291	840628	7.30379e+06
P00926	P00926		dsdA		1.40273e+06	1.46213e+06	1.44308e+06	1.28187e+06	1.32718e+06	1.13445e+06
P00934	P00934		thrC		4.50211e+06	4.55385e+06	4.50813e+06	4.47527e+06	4.38879e+06	4.33958e+06
P00935	P00935		metB		526909	499998	728244	721301	606120	602398
P00936	P00936		cyaA		809821	889464	779975	891175	809808	968713
P00946	P00946		manA		1.13626e+07	1.14951e+07	1.15811e+07	1.14522e+07	1.17062e+07	1.16666e+07
P00954	P00954		trpS		1.43368e+07	1.38235e+07	1.42979e+07	1.44917e+07	1.42559e+07	1.33856e+07
P00956	P00956		ileS		2.15722e+07	2.14273e+07	2.1167e+07	2.12279e+07	2.14669e+07	1.99137e+07
P00957	P00957		alaS		1.59295e+07	1.59813e+07	1.60452e+07	1.60128e+07	1.58194e+07	1.42967e+07
P00959	P00959		metG		1.86228e+07	1.85535e+07	1.84369e+07	1.85899e+07	1.83743e+07	1.81429e+07
P00960	P00960		glyQ		4.51072e+06	4.40658e+06	4.29576e+06	4.25052e+06	4.24376e+06	4.68604e+06
P00961	P00961		glyS		1.17533e+07	1.18856e+07	1.16673e+07	1.15395e+07	1.16169e+07	1.09449e+07
P00962	P00962		glnS		1.08452e+07	1.09305e+07	1.09659e+07	1.0568e+07	1.06626e+07	1.00491e+07
P00963	P00963		asnA		1.84347e+07	1.84872e+07	1.80013e+07	1.74403e+07	1.79751e+07	1.74037e+07
P00968	P00968		carB		4.52747e+06	4.51263e+06	4.45765e+06	4.57493e+06	4.49677e+06	4.66295e+06
P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)	P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)				6.93803e+06	6.77563e+06	876233	842886	852390	6.72238e+06
P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)	P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)				5.79555e+06	5.70508e+06	651819	703163	616110	5.65809e+06
P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)	P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)				6.00548e+06	6.10904e+06	1.56096e+06	1.19252e+06	1.23284e+06	5.51941e+06
P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)				1.46484e+07	1.44524e+07	1.84348e+06	2.89988e+06	1.87644e+06	1.54261e+07
P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)	P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)				4.59096e+06	4.50214e+06	1.56497e+06	990863	698451	4.91654e+06
P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)				7.61753e+06	7.55756e+06	830990	817359	717624	8.2037e+06
P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)	P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)				1.57932e+06	1.55497e+06	214229	99249.9	50726.7	1.67242e+06
