Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML
DECOY_sp|P05793|ILVC_ECOLI Ketol-acid reductoisomerase OS=Escherichia coli (strain K12) GN=ilvC PE=1 SV=4	DECOY_sp|P05793|ILVC_ECOLI Ketol-acid reductoisomerase OS=Escherichia coli (strain K12) GN=ilvC PE=1 SV=4				1.39108e+06	1.51972e+06	1.40758e+06	1.41162e+06	1.28444e+06	1.7902e+06
DECOY_sp|P08200|IDH_ECOLI Isocitrate dehydrogenase [NADP] OS=Escherichia coli (strain K12) GN=icd PE=1 SV=1	DECOY_sp|P08200|IDH_ECOLI Isocitrate dehydrogenase [NADP] OS=Escherichia coli (strain K12) GN=icd PE=1 SV=1				7.85954e+06	6.2285e+06	7.675e+06	5.1914e+06	6.12871e+06	7.35458e+06
DECOY_sp|P0A932|GFCE_ECOLI Putative polysaccharide export protein GfcE OS=Escherichia coli (strain K12) GN=gfcE PE=3 SV=1	DECOY_sp|P0A932|GFCE_ECOLI Putative polysaccharide export protein GfcE OS=Escherichia coli (strain K12) GN=gfcE PE=3 SV=1				1.06482e+06	984513		1.00526e+06	1.00969e+06	
DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1	DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1				2.57549e+07	1.76873e+07	2.56804e+07	2.20977e+07	2.00503e+07	2.45822e+07
DECOY_sp|P0AAI3|FTSH_ECOLI ATP-dependent zinc metalloprotease FtsH OS=Escherichia coli (strain K12) GN=ftsH PE=1 SV=1	DECOY_sp|P0AAI3|FTSH_ECOLI ATP-dependent zinc metalloprotease FtsH OS=Escherichia coli (strain K12) GN=ftsH PE=1 SV=1				1.6098e+06	1.83296e+06	1.69451e+06	1.8557e+06	1.86758e+06	1.64007e+06
DECOY_sp|P0AEZ1|METF_ECOLI 5,10-methylenetetrahydrofolate reductase OS=Escherichia coli (strain K12) GN=metF PE=1 SV=1	DECOY_sp|P0AEZ1|METF_ECOLI 5,10-methylenetetrahydrofolate reductase OS=Escherichia coli (strain K12) GN=metF PE=1 SV=1					337388	225707			
DECOY_sp|P15028|FECB_ECOLI Fe(3+) dicitrate-binding periplasmic protein OS=Escherichia coli (strain K12) GN=fecB PE=3 SV=3	DECOY_sp|P15028|FECB_ECOLI Fe(3+) dicitrate-binding periplasmic protein OS=Escherichia coli (strain K12) GN=fecB PE=3 SV=3				851204	861252	832825	867546	859052	1.06099e+06
DECOY_sp|P27250|YJGB_ECOLI Uncharacterized zinc-type alcohol dehydrogenase-like protein YjgB OS=Escherichia coli (strain K12) GN=yjgB PE=3 SV=2	DECOY_sp|P27250|YJGB_ECOLI Uncharacterized zinc-type alcohol dehydrogenase-like protein YjgB OS=Escherichia coli (strain K12) GN=yjgB PE=3 SV=2				4.19007e+06	4.31633e+06	4.07231e+06	3.89455e+06	4.20551e+06	
DECOY_sp|P69503|APT_ECOLI Adenine phosphoribosyltransferase OS=Escherichia coli (strain K12) GN=apt PE=1 SV=1	DECOY_sp|P69503|APT_ECOLI Adenine phosphoribosyltransferase OS=Escherichia coli (strain K12) GN=apt PE=1 SV=1				8.984e+06	9.19081e+06	9.48482e+06	8.7589e+06	9.12642e+06	8.11354e+06
DECOY_sp|P69741|MBHT_ECOLI Hydrogenase-2 small chain OS=Escherichia coli (strain K12) GN=hybO PE=1 SV=1	DECOY_sp|P69741|MBHT_ECOLI Hydrogenase-2 small chain OS=Escherichia coli (strain K12) GN=hybO PE=1 SV=1				3.08737e+06	3.04471e+06	2.97968e+06	3.13924e+06	3.50725e+06	2.76627e+06
