Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML
P0A6Q6	FABZ_ECOLI	fabZ	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ	8	8	9.29774e+07	1.04253e+08	9.53917e+07	1.01169e+08	1.04352e+08	9.66235e+07
P0A6R0	FABH_ECOLI	fabH	3-oxoacyl-[acyl-carrier-protein] synthase 3	7	7	6.73037e+07	7.68932e+07	6.83663e+07	7.49157e+07	7.4839e+07	7.19201e+07
P0A6R3	FIS_ECOLI	fis	DNA-binding protein fis	2	2	2.34437e+07	3.3529e+07	2.39987e+07	3.33339e+07	3.68919e+07	2.38827e+07
P0A6S0	FLGH_ECOLI	flgH	Flagellar L-ring protein	5	5	5.46429e+06	5.92909e+06	5.79785e+06	5.83111e+06	5.70979e+06	5.75693e+06
P0A6S7	GPDA_ECOLI	gpsA	Glycerol-3-phosphate dehydrogenase [NAD(P)+]	8	8	2.68496e+07	2.83872e+07	2.71241e+07	2.81213e+07	2.7798e+07	2.53542e+07
P0A6T1	G6PI_ECOLI	pgi	Glucose-6-phosphate isomerase	24	24	2.28456e+08	2.36261e+08	2.27365e+08	2.3685e+08	2.34832e+08	2.30889e+08
P0A6T3	GAL1_ECOLI	galK	Galactokinase	8	8	1.51779e+07	1.5235e+07	1.58673e+07	1.48183e+07	1.49965e+07	1.51949e+07
P0A6T5	GCH1_ECOLI	folE	GTP cyclohydrolase 1	6	6	1.87508e+07	2.2132e+07	1.93206e+07	2.00283e+07	2.00298e+07	1.88284e+07
P0A6T9	GCSH_ECOLI	gcvH	Glycine cleavage system H protein	3	3	1.26058e+07	1.32023e+07	1.21909e+07	1.35786e+07	1.28615e+07	1.18494e+07
P0A6U3	MNMG_ECOLI	mnmG	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG	18	18	1.97823e+07	1.97532e+07	1.9385e+07	1.8857e+07	1.95776e+07	2.027e+07
P0A6U5	RSMG_ECOLI	rsmG	Ribosomal RNA small subunit methyltransferase G	5	5	1.66476e+07	1.67708e+07	1.69566e+07	1.8031e+07	1.69715e+07	1.65673e+07
P0A6U8	GLGA_ECOLI	glgA	Glycogen synthase	11	11	1.16363e+07	1.24605e+07	1.20506e+07	1.20406e+07	1.29024e+07	1.25033e+07
P0A6V1	GLGC_ECOLI	glgC	Glucose-1-phosphate adenylyltransferase	7	7	2.98148e+07	3.11477e+07	3.22216e+07	3.06295e+07	2.95763e+07	3.21452e+07
P0A6V8	GLK_ECOLI	glk	Glucokinase	9	9	4.91841e+07	4.81622e+07	4.82408e+07	4.9919e+07	4.86735e+07	4.9659e+07
P0A6W0	GLSA2_ECOLI	glsA2	Glutaminase 2	3	3	2.06576e+06	1.99937e+06	2.08936e+06	2.22179e+06	2.01469e+06	2.2867e+06
P0A6W3	MRAY_ECOLI	mraY	Phospho-N-acetylmuramoyl-pentapeptide-transferase	1	1	3.43689e+06	3.99194e+06	4.1926e+06	4.01891e+06	3.3958e+06	3.68197e+06
P0A6W5	GREA_ECOLI	greA	Transcription elongation factor GreA	11	11	1.06259e+08	9.88561e+07	1.07327e+08	1.02089e+08	1.00792e+08	1.11866e+08
P0A6W9	GSH1_ECOLI	gshA	Glutamate--cysteine ligase	10	10	2.18234e+07	2.16115e+07	2.22001e+07	2.18794e+07	2.10846e+07	2.1756e+07
P0A6X1	HEM1_ECOLI	hemA	Glutamyl-tRNA reductase	1	1		308127			346564	
P0A6X3	HFQ_ECOLI	hfq	Protein hfq	2	2	2.59767e+06	1.76838e+06	2.85904e+06	1.48839e+06	1.70963e+06	2.89453e+06
P0A6X7	IHFA_ECOLI	ihfA	Integration host factor subunit alpha	8	8	1.94687e+08	1.975e+08	2.00806e+08	2.11905e+08	2.02713e+08	2.00415e+08
P0A6Y1	IHFB_ECOLI	ihfB	Integration host factor subunit beta	3	3	4.97025e+07	5.15413e+07	5.38014e+07	5.13893e+07	4.63542e+07	5.06449e+07
P0A6Y5	HSLO_ECOLI	hslO	33 kDa chaperonin	5	5	3.76085e+07	3.81099e+07	3.81428e+07	3.96193e+07	3.83817e+07	3.92203e+07
P0A6Y8	DNAK_ECOLI	dnaK	Chaperone protein DnaK	41	41	3.85378e+08	3.75304e+08	3.77733e+08	3.7646e+08	3.76189e+08	3.72866e+08
P0A6Z1	HSCA_ECOLI	hscA	Chaperone protein HscA	16	16	2.51644e+07	2.40661e+07	2.45149e+07	2.36451e+07	2.37546e+07	2.42944e+07
P0A6Z3	HTPG_ECOLI	htpG	Chaperone protein HtpG	42	42	1.31808e+08	1.28912e+08	1.29558e+08	1.31042e+08	1.32767e+08	1.31737e+08
P0A6Z6	NIKR_ECOLI	nikR	Nickel-responsive regulator	4	4	7.8311e+06	6.95092e+06	8.13107e+06	7.17006e+06	5.52158e+06	7.90701e+06
P0A705	IF2_ECOLI	infB	Translation initiation factor IF-2	36	36	8.72725e+07	8.51482e+07	8.86497e+07	8.70758e+07	8.60621e+07	8.93765e+07
P0A707	IF3_ECOLI	infC	Translation initiation factor IF-3	6	6	2.91975e+08	2.87391e+08	2.87748e+08	2.63808e+08	2.82784e+08	2.88153e+08
P0A715	KDSA_ECOLI	kdsA	2-dehydro-3-deoxyphosphooctonate aldolase	15	15	1.72691e+08	1.72968e+08	1.63985e+08	1.69861e+08	1.72373e+08	1.47399e+08
P0A717	KPRS_ECOLI	prs	Ribose-phosphate pyrophosphokinase	13	13	2.14462e+08	2.20314e+08	2.04976e+08	2.23223e+08	2.24094e+08	2.10583e+08
P0A720	KTHY_ECOLI	tmk	Thymidylate kinase	10	10	9.65174e+06	1.03122e+07	9.11955e+06	1.04439e+07	1.0377e+07	9.74114e+06
P0A722	LPXA_ECOLI	lpxA	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase	7	7	5.33832e+07	5.13747e+07	5.21e+07	5.38552e+07	5.21146e+07	5.31799e+07
P0A725	LPXC_ECOLI	lpxC	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase	2	2	4.24871e+06	3.45983e+06	2.752e+06	2.94264e+06	2.78592e+06	3.12274e+06
P0A729	YCEF_ECOLI	yceF	Maf-like protein YceF	5	5	7.15416e+06	7.09214e+06	6.74155e+06	7.32726e+06	7.10637e+06	7.51927e+06
P0A731	MGSA_ECOLI	mgsA	Methylglyoxal synthase	2	2	2.72615e+07	2.52888e+07	2.51368e+07	2.50892e+07	2.42366e+07	2.61848e+07
P0A734	MINE_ECOLI	minE	Cell division topological specificity factor	10	10	1.01047e+08	1.05046e+08	1.06587e+08	1.00381e+08	1.01206e+08	1.05818e+08
P0A738	MOAC_ECOLI	moaC	Cyclic pyranopterin monophosphate synthase accessory protein	5	5	4.82568e+06	4.34237e+06	4.36916e+06	4.73704e+06	5.04562e+06	4.25586e+06
P0A744	MSRA_ECOLI	msrA	Peptide methionine sulfoxide reductase MsrA	3	3	3.46837e+07	3.44402e+07	3.3111e+07	3.60519e+07	3.64123e+07	3.52659e+07
P0A749	MURA_ECOLI	murA	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	13	13	3.66509e+07	4.05559e+07	3.66481e+07	4.04357e+07	3.98003e+07	3.90665e+07
P0A752	NADD_ECOLI	nadD	Nicotinate-nucleotide adenylyltransferase	2	2	2.2172e+06	2.18773e+06	2.40529e+06	2.48105e+06	2.18091e+06	2.00287e+06
P0A759	NAGB_ECOLI	nagB	Glucosamine-6-phosphate deaminase	4	4	3.16504e+07	3.84177e+07	3.52136e+07	3.71375e+07	3.88311e+07	3.34608e+07
P0A763	NDK_ECOLI	ndk	Nucleoside diphosphate kinase	6	6	5.01571e+07	5.01506e+07	5.12216e+07	4.84804e+07	4.94182e+07	5.28456e+07
P0A776	RPPH_ECOLI	rppH	RNA pyrophosphohydrolase	2	2	1.14205e+06	1.06265e+06	1.13417e+06	1.09995e+06	1.12591e+06	1.32117e+06
P0A780	NUSB_ECOLI	nusB	N utilization substance protein B	7	7	1.06777e+08	1.14504e+08	1.06942e+08	1.11785e+08	1.17635e+08	1.10911e+08
P0A784	ORN_ECOLI	orn	Oligoribonuclease	8	8	2.22092e+07	2.33066e+07	2.30761e+07	2.3514e+07	2.46709e+07	2.38305e+07
P0A786	PYRB_ECOLI	pyrB	Aspartate carbamoyltransferase catalytic chain	10	10	7.86491e+06	8.23077e+06	7.65827e+06	8.29656e+06	8.86612e+06	8.60621e+06
P0A790	PAND_ECOLI	panD	Aspartate 1-decarboxylase	2	2	3.97605e+07	4.30807e+07	3.98063e+07	4.38192e+07	3.86402e+07	3.80722e+07
P0A794	PDXJ_ECOLI	pdxJ	Pyridoxine 5'-phosphate synthase	8	8	4.05949e+07	3.91154e+07	4.02592e+07	3.88153e+07	3.88093e+07	4.16681e+07
P0A796	K6PF1_ECOLI	pfkA	6-phosphofructokinase isozyme 1	14	14	1.45885e+08	1.59422e+08	1.37543e+08	1.51515e+08	1.68063e+08	1.50123e+08
P0A799	PGK_ECOLI	pgk	Phosphoglycerate kinase	26	26	1.52599e+09	1.41495e+09	1.44954e+09	1.39628e+09	1.43184e+09	1.48946e+09
P0A7A2	GPMB_ECOLI	gpmB	Probable phosphoglycerate mutase GpmB	5	5	1.2948e+07	1.35241e+07	1.22324e+07	1.33359e+07	1.20956e+07	1.11615e+07
P0A7A5	PIMT_ECOLI	pcm	Protein-L-isoaspartate O-methyltransferase	4	4	1.28753e+06	1.02222e+06	1.12296e+06	945438	988915	929064
P0A7A7	PLSB_ECOLI	plsB	Glycerol-3-phosphate acyltransferase	14	14	1.35422e+07	1.37425e+07	1.44046e+07	1.34254e+07	1.3776e+07	1.48279e+07
P0A7A9	IPYR_ECOLI	ppa	Inorganic pyrophosphatase	10	10	4.32488e+08	4.23671e+08	4.31326e+08	4.24093e+08	4.60101e+08	4.33933e+08
P0A7B1	PPK_ECOLI	ppk	Polyphosphate kinase	13	13	4.55019e+06	4.50091e+06	4.51478e+06	4.56885e+06	3.97868e+06	4.70329e+06
P0A7B5	PROB_ECOLI	proB	Glutamate 5-kinase	13	13	1.60459e+07	1.56858e+07	1.6746e+07	1.58845e+07	1.61706e+07	1.61572e+07
P0A7B8	HSLV_ECOLI	hslV	ATP-dependent protease subunit HslV	6	6	8.4575e+07	8.46247e+07	8.58598e+07	8.73075e+07	9.0471e+07	8.44811e+07
P0A7C2	LEXA_ECOLI	lexA	LexA repressor	8	8	2.6278e+07	2.67979e+07	2.69838e+07	2.90212e+07	2.91871e+07	2.791e+07
P0A7C6	PEPE_ECOLI	pepE	Peptidase E	9	9	3.43962e+07	3.32979e+07	3.36124e+07	3.33207e+07	3.43778e+07	3.37575e+07
P0A7D1	PTH_ECOLI	pth	Peptidyl-tRNA hydrolase	9	9	2.83104e+07	2.91378e+07	2.86065e+07	2.95485e+07	2.86737e+07	2.80107e+07
P0A7D4	PURA_ECOLI	purA	Adenylosuccinate synthetase	25	25	1.77772e+08	1.81376e+08	1.83623e+08	1.83158e+08	1.84723e+08	1.77892e+08
P0A7D7	PUR7_ECOLI	purC	Phosphoribosylaminoimidazole-succinocarboxamide synthase	15	15	5.15571e+07	5.08923e+07	4.92498e+07	5.15408e+07	5.07679e+07	5.25782e+07
P0A7E1	PYRD_ECOLI	pyrD	Dihydroorotate dehydrogenase (quinone)	16	16	2.98429e+07	3.12578e+07	2.87417e+07	2.97249e+07	3.1216e+07	2.7747e+07
P0A7E3	PYRE_ECOLI	pyrE	Orotate phosphoribosyltransferase	10	10	3.17699e+07	3.31183e+07	3.18846e+07	3.2559e+07	3.35702e+07	3.19224e+07
P0A7E5	PYRG_ECOLI	pyrG	CTP synthase	19	19	7.61271e+07	7.86308e+07	7.64001e+07	7.7418e+07	7.75598e+07	7.81263e+07
P0A7E9	PYRH_ECOLI	pyrH	Uridylate kinase	8	8	2.18131e+07	2.59941e+07	2.15568e+07	2.65162e+07	2.70889e+07	2.34808e+07
P0A7F3	PYRI_ECOLI	pyrI	Aspartate carbamoyltransferase regulatory chain	7	7	1.26029e+07	1.56618e+07	1.31544e+07	1.59814e+07	1.57778e+07	1.37897e+07
P0A7F6	SPED_ECOLI	speD	S-adenosylmethionine decarboxylase proenzyme	5	5	7.6928e+06	7.08691e+06	7.86665e+06	8.00121e+06	7.67725e+06	7.48577e+06
